GRIDCODE,CVENTMUN,Fur,Frur,Fpob,Suma de Pob_Urb_Cel,Suma de POB  RURAL en CELL,Promedio de POB_TOTxMUN rur,
6315020,02002,,6.07841E-05,6.07841E-05,,6,98710,
6315023,02002,,1.01307E-05,1.01307E-05,,1,98710,
6315030,02002,,1.01307E-05,1.01307E-05,,1,98710,
6315035,02002,,0.010647351,0.010647351,,1051,98710,
6315037,02002,,4.05227E-05,4.05227E-05,,4,98710,
6315039,02002,,6.07841E-05,6.07841E-05,,6,98710,
6315041,02002,,5.06534E-05,5.06534E-05,,5,98710,
6315046,02002,,0.000101307,0.000101307,,10,98710,
6315047,02002,,8.10455E-05,8.10455E-05,,8,98710,
6315052,26055,,0.000371609,0.000371609,,4,10764,
6315054,26055,,0.009661836,0.009661836,,104,10764,
6315055,26055,,0.000371609,0.000371609,,4,10764,
6315056,26055,,0.000185805,0.000185805,,2,10764,
6315058,26055,,0.000185805,0.000185805,,2,10764,
6315059,26055,,0.000557414,0.000557414,,6,10764,
6318198,02002,,5.06534E-05,5.06534E-05,,5,98710,
6318203,02002,,0.015054199,0.015054199,,1486,98710,
6318208,02002,,7.09148E-05,7.09148E-05,,7,98710,
6318214,02002,,0.000192483,0.000192483,,19,98710,
6318218,02002,,0.000131699,0.000131699,,13,98710,
6318219,02002,,3.03921E-05,3.03921E-05,,3,98710,
6318222,02002,,5.06534E-05,5.06534E-05,,5,98710,
6318223,02002,,0.00015196,0.00015196,,15,98710,
6318225,02002,,8.10455E-05,8.10455E-05,,8,98710,
6318226,02002,,0.000131699,0.000131699,,13,98710,
6318228,02002,,1.01307E-05,1.01307E-05,,1,98710,
6318232,26055,,0.000557414,0.000557414,,6,10764,
6318233,26055,,0.000650316,0.000650316,,7,10764,
6321373,02002,,0.000101307,0.000101307,,10,98710,
6321378,02002,,1.01307E-05,1.01307E-05,,1,98710,
6321383,02002,,4.05227E-05,4.05227E-05,,4,98710,
6321384,02002,,3.03921E-05,3.03921E-05,,3,98710,
6321387,02002,,5.06534E-05,5.06534E-05,,5,98710,
6321396,02002,,2.02614E-05,2.02614E-05,,2,98710,
6321397,02002,,0.00354574,0.00354574,,350,98710,
6321398,02002,,0.0056124,0.0056124,,554,98710,
6321399,02002,,1.01307E-05,1.01307E-05,,1,98710,
6321401,02002,,3.03921E-05,3.03921E-05,,3,98710,
6321412,26055,,0.027406169,0.027406169,,295,10764,
6321416,26055,,0.000185805,0.000185805,,2,10764,
6324554,02002,,5.06534E-05,5.06534E-05,,5,98710,
6324556,02002,,0.000992807,0.000992807,,98,98710,
6324562,02002,,3.03921E-05,3.03921E-05,,3,98710,
6324565,02002,8.6098E-06,,8.6098E-06,7.216008845,,,838116
6324566,02002,3.48976E-06,,3.48976E-06,2.924824693,,,838116
6324578,02002,,0.001853916,0.001853916,,183,98710,
6324579,02002,,0.0008915,0.0008915,,88,98710,
6324583,02002,,0.000253267,0.000253267,,25,98710,
6324588,26055,,0.000185805,0.000185805,,2,10764,
6324589,26055,,0.001579339,0.001579339,,17,10764,
6324590,26055,,0.001207729,0.001207729,,13,10764,
6324591,26055,,0.000557414,0.000557414,,6,10764,
6324592,26055,,9.29023E-05,9.29023E-05,,1,10764,
6324594,26055,,9.29023E-05,9.29023E-05,,1,10764,
6327729,02002,,0.008965657,0.008965657,,885,98710,
6327732,02002,,0.000121568,0.000121568,,12,98710,
6327742,02002,0.000266211,,0.000266211,223.1153884,,,838116
6327743,02002,0.000911483,1.01307E-05,0.000816511,763.9284096,1,98710,838116
6327744,02002,0.00076348,,0.00076348,639.8848998,,,838116
6327748,02002,,8.10455E-05,8.10455E-05,,8,98710,
6327749,02002,,1.01307E-05,1.01307E-05,,1,98710,
6327751,02002,,0.000395097,0.000395097,,39,98710,
6327752,02002,,0.002431365,0.002431365,,240,98710,
6327754,02002,,0.015327728,0.015327728,,1513,98710,
6327756,02002,,0.001266336,0.001266336,,125,98710,
6327757,02002,,1.01307E-05,1.01307E-05,,1,98710,
6327758,02002,,0.000172222,0.000172222,,17,98710,
6327760,02002,,0.001165029,0.001165029,,115,98710,
6327761,02002,,0.00058758,0.00058758,,58,98710,
6327762,02002,,0.000131699,0.000131699,,13,98710,
6327763,02002,,0.000212744,0.000212744,,21,98710,
6327764,02002,,0.000233006,0.000233006,,23,98710,
6327764,26055,,0.000185805,0.000185805,,2,10764,
6327765,26055,,9.29023E-05,9.29023E-05,,1,10764,
6327766,26055,,0.000650316,0.000650316,,7,10764,
6327770,26055,,0.000557414,0.000557414,,6,10764,
6327771,26055,,9.29023E-05,9.29023E-05,,1,10764,
6330872,02002,,2.02614E-05,2.02614E-05,,2,98710,
6330910,02002,,2.02614E-05,2.02614E-05,,2,98710,
6330919,02002,0.00027242,3.03921E-05,0.000246919,228.3199657,3,98710,838116
6330920,02002,0.001436146,3.03921E-05,0.001288026,1203.656583,3,98710,838116
6330921,02002,0.001367698,,0.001367698,1146.289475,,,838116
6330922,02002,0.000541259,,0.000541259,453.6382078,,,838116
6330925,02002,,7.09148E-05,7.09148E-05,,7,98710,
6330926,02002,,0.000131699,0.000131699,,13,98710,
6330927,02002,,6.07841E-05,6.07841E-05,,6,98710,
6330928,02002,,0.000283659,0.000283659,,28,98710,
6330929,02002,,5.06534E-05,5.06534E-05,,5,98710,
6330930,02002,,0.000567318,0.000567318,,56,98710,
6330931,02002,,0.00029379,0.00029379,,29,98710,
6330934,02002,,0.000131699,0.000131699,,13,98710,
6330935,02002,,0.00266437,0.00266437,,263,98710,
6330938,02002,,0.000486273,0.000486273,,48,98710,
6330941,02002,,6.07841E-05,6.07841E-05,,6,98710,
6330945,26055,,0.003530286,0.003530286,,38,10764,
6330948,26055,,0.010590858,0.010590858,,114,10764,
6330949,26055,,0.003623188,0.003623188,,39,10764,
6330951,26055,,0.169546637,0.169546637,,1825,10764,
6334088,02002,,5.06534E-05,5.06534E-05,,5,98710,
6334097,02002,2.76483E-09,,2.76483E-09,0.00231725,,,838116
6334098,02002,0.00052669,0.000628103,0.000537376,441.4275176,62,98710,838116
6334099,02002,8.30391E-05,,8.30391E-05,69.5963695,,,838116
6334101,02002,,1.01307E-05,1.01307E-05,,1,98710,
6334104,02002,,0.000131699,0.000131699,,13,98710,
6334106,02002,,0.000192483,0.000192483,,19,98710,
6334107,02002,,0.000506534,0.000506534,,50,98710,
6334108,02002,,0.00059771,0.00059771,,59,98710,
6334109,02002,,6.07841E-05,6.07841E-05,,6,98710,
6334110,02002,,0.000354574,0.000354574,,35,98710,
6334111,02002,,0.024192078,0.024192078,,2388,98710,
6334112,02002,,0.003778746,0.003778746,,373,98710,
6334119,02002,,4.05227E-05,4.05227E-05,,4,98710,
6334123,26055,,0.000464511,0.000464511,,5,10764,
6334124,26055,,0.000464511,0.000464511,,5,10764,
6334127,26055,,0.003065775,0.003065775,,33,10764,
6337277,02002,,0.001104245,0.001104245,,109,98710,
6337280,02002,,1.01307E-05,1.01307E-05,,1,98710,
6337284,02002,,6.07841E-05,6.07841E-05,,6,98710,
6337286,02002,,0.000131699,0.000131699,,13,98710,
6337287,02002,,0.000374835,0.000374835,,37,98710,
6337288,02002,,0.000111438,0.000111438,,11,98710,
6337289,02002,,6.07841E-05,6.07841E-05,,6,98710,
6337291,02002,,0.001945092,0.001945092,,192,98710,
6337292,02002,,0.000709148,0.000709148,,70,98710,
6337300,26055,,0.000650316,0.000650316,,7,10764,
6337301,26055,,0.001207729,0.001207729,,13,10764,
6337302,26055,,0.000557414,0.000557414,,6,10764,
6337303,26055,,9.29023E-05,9.29023E-05,,1,10764,
6337304,26055,,0.000278707,0.000278707,,3,10764,
6337306,26055,,0.004459309,0.004459309,,48,10764,
6337307,26055,,9.29023E-05,9.29023E-05,,1,10764,
6337309,26055,,0.000185805,0.000185805,,2,10764,
6340452,02002,,1.01307E-05,1.01307E-05,,1,98710,
6340455,02002,,2.02614E-05,2.02614E-05,,2,98710,
6340463,02002,,6.07841E-05,6.07841E-05,,6,98710,
6340464,02002,,7.09148E-05,7.09148E-05,,7,98710,
6340465,02002,,0.000415358,0.000415358,,41,98710,
6340466,02002,,6.07841E-05,6.07841E-05,,6,98710,
6340467,02002,,0.001671563,0.001671563,,165,98710,
6340470,02002,,0.000992807,0.000992807,,98,98710,
6340473,02002,,4.05227E-05,4.05227E-05,,4,98710,
6340475,02002,,0.000253267,0.000253267,,25,98710,
6340480,26055,,0.000278707,0.000278707,,3,10764,
6340481,26055,,0.000185805,0.000185805,,2,10764,
6340484,26055,,0.000278707,0.000278707,,3,10764,
6340485,26055,,0.020995912,0.020995912,,226,10764,
6340486,26055,,0.000743218,0.000743218,,8,10764,
6340487,26055,,0.000650316,0.000650316,,7,10764,
6340488,26055,,0.003344482,0.003344482,,36,10764,
6343633,02002,,0.000101307,0.000101307,,10,98710,
6343638,02002,,0.014821193,0.014821193,,1463,98710,
6343641,02002,,0.000354574,0.000354574,,35,98710,
6343642,02002,,8.10455E-05,8.10455E-05,,8,98710,
6343643,02002,,0.000192483,0.000192483,,19,98710,
6343644,02002,,0.014730017,0.014730017,,1454,98710,
6343645,02002,,0.00029379,0.00029379,,29,98710,
6343646,02002,,9.11762E-05,9.11762E-05,,9,98710,
6343648,02002,,0.000303921,0.000303921,,30,98710,
6343649,02002,,0.00118529,0.00118529,,117,98710,
6343650,02002,,3.03921E-05,3.03921E-05,,3,98710,
6343651,02002,,0.00147908,0.00147908,,146,98710,
6343653,02002,,4.05227E-05,4.05227E-05,,4,98710,
6343657,26055,,0.000371609,0.000371609,,4,10764,
6343658,26055,,0.000371609,0.000371609,,4,10764,
6343663,26055,,0.001300632,0.001300632,,14,10764,
6343664,26055,,0.005574136,0.005574136,,60,10764,
6343665,26055,,0.000650316,0.000650316,,7,10764,
6343666,26055,,9.29023E-05,9.29023E-05,,1,10764,
6343667,26055,,0.000557414,0.000557414,,6,10764,
6343668,26055,0.000228859,0.000185805,0.000226261,38.35994807,2,10764,167614
6343669,26055,3.61861E-05,,3.61861E-05,6.065289896,,,167614
6346811,02002,0.000586908,,0.000586908,491.8965858,,,838116
6346812,02002,0.000179355,,0.000179355,150.3206705,,,838116
6346819,02002,,9.11762E-05,9.11762E-05,,9,98710,
6346820,02002,,3.03921E-05,3.03921E-05,,3,98710,
6346821,02002,,0.00015196,0.00015196,,15,98710,
6346822,02002,,6.07841E-05,6.07841E-05,,6,98710,
6346823,02002,,0.001134637,0.001134637,,112,98710,
6346825,02002,,7.09148E-05,7.09148E-05,,7,98710,
6346827,02002,,0.001549995,0.001549995,,153,98710,
6346830,02002,,0.003495087,0.003495087,,345,98710,
6346838,26055,,0.001114827,0.001114827,,12,10764,
6346839,26055,,0.000557414,0.000557414,,6,10764,
6346840,26055,,0.001114827,0.001114827,,12,10764,
6346841,26055,,0.00287997,0.00287997,,31,10764,
6346843,26055,,0.000464511,0.000464511,,5,10764,
6346844,26055,,0.000278707,0.000278707,,3,10764,
6346846,26055,0.002568784,0.001765143,0.002520289,430.5641909,19,10764,167614
6346847,26055,0.004823833,,0.004823833,808.5419791,,,167614
6349988,02002,0.000216648,,0.000216648,181.5757676,,,838116
6349989,02002,0.001328517,,0.001328517,1113.451275,,,838116
6349990,02002,0.000549359,,0.000549359,460.4267147,,,838116
6349999,02002,,0.00014183,0.00014183,,14,98710,
6350003,02002,,3.03921E-05,3.03921E-05,,3,98710,
6350004,02002,,9.11762E-05,9.11762E-05,,9,98710,
6350006,02002,,4.05227E-05,4.05227E-05,,4,98710,
6350007,02002,,0.000344443,0.000344443,,34,98710,
6350008,02002,,0.000395097,0.000395097,,39,98710,
6350009,02002,,0.000303921,0.000303921,,30,98710,
6350014,26055,,0.000464511,0.000464511,,5,10764,
6350016,26055,,9.29023E-05,9.29023E-05,,1,10764,
6350018,26055,,0.002694166,0.002694166,,29,10764,
6350020,26055,,0.000743218,0.000743218,,8,10764,
6350021,26055,,0.00083612,0.00083612,,9,10764,
6350022,26055,,0.000278707,0.000278707,,3,10764,
6350023,26055,,0.000650316,0.000650316,,7,10764,
6350024,26055,0.001076584,,0.001076584,180.4506047,,,167614
6350025,26055,0.01020233,,0.01020233,1710.053406,,,167614
6353166,02002,5.45058E-05,,5.45058E-05,45.68215436,,,838116
6353167,02002,0.000928603,,0.000928603,778.2768507,,,838116
6353168,02002,0.000492778,,0.000492778,413.0055263,,,838116
6353169,02002,2.42979E-05,,2.42979E-05,20.36447351,,,838116
6353171,02002,,0.001762739,0.001762739,,174,98710,
6353173,02002,,0.01580387,0.01580387,,1560,98710,
6353176,02002,,0.010363692,0.010363692,,1023,98710,
6353178,02002,,0.010748658,0.010748658,,1061,98710,
6353179,02002,,0.004153581,0.004153581,,410,98710,
6353180,02002,,0.000101307,0.000101307,,10,98710,
6353182,02002,,0.000162091,0.000162091,,16,98710,
6353183,02002,,0.000182352,0.000182352,,18,98710,
6353184,02002,,0.000435619,0.000435619,,43,98710,
6353185,02002,,0.000121568,0.000121568,,12,98710,
6353186,02002,,0.000405227,0.000405227,,40,98710,
6353187,02002,,0.000172222,0.000172222,,17,98710,
6353188,02002,,0.001732347,0.001732347,,171,98710,
6353189,02002,,0.003292473,0.003292473,,325,98710,
6353194,26055,,0.001858045,0.001858045,,20,10764,
6353196,26055,,0.000371609,0.000371609,,4,10764,
6353197,26055,,0.000743218,0.000743218,,8,10764,
6353198,26055,,0.002229654,0.002229654,,24,10764,
6353199,26055,,0.000929023,0.000929023,,10,10764,
6353200,26055,,0.000464511,0.000464511,,5,10764,
6353201,26055,,0.001486436,0.001486436,,16,10764,
6353202,26055,,0.000557414,0.000557414,,6,10764,
6353203,26055,0.006374325,,0.006374325,1068.426114,,,167614
6356342,02002,,0.008094418,0.008094418,,799,98710,
6356343,02002,,2.02614E-05,2.02614E-05,,2,98710,
6356345,02002,,9.11762E-05,9.11762E-05,,9,98710,
6356350,02002,,8.10455E-05,8.10455E-05,,8,98710,
6356353,02002,,4.05227E-05,4.05227E-05,,4,98710,
6356358,02002,,0.000101307,0.000101307,,10,98710,
6356360,02002,,2.02614E-05,2.02614E-05,,2,98710,
6356364,02002,,5.06534E-05,5.06534E-05,,5,98710,
6356365,02002,,6.07841E-05,6.07841E-05,,6,98710,
6356366,02002,,4.05227E-05,4.05227E-05,,4,98710,
6356367,02002,,0.001580387,0.001580387,,156,98710,
6356374,26055,,0.00204385,0.00204385,,22,10764,
6356375,26055,,0.003251579,0.003251579,,35,10764,
6356376,26055,,0.001207729,0.001207729,,13,10764,
6356377,26055,,0.000371609,0.000371609,,4,10764,
6356378,26055,,0.000650316,0.000650316,,7,10764,
6356379,26055,,0.000929023,0.000929023,,10,10764,
6356380,26055,0.000721397,0.000557414,0.000711502,120.9163029,6,10764,167614
6356381,26055,0.011680294,,0.011680294,1957.780764,,,167614
6359507,02002,,0.000374835,0.000374835,,37,98710,
6359523,02002,,0.000932023,0.000932023,,92,98710,
6359531,02002,,0.008661736,0.008661736,,855,98710,
6359539,02002,,1.01307E-05,1.01307E-05,,1,98710,
6359541,02002,,0.000172222,0.000172222,,17,98710,
6359542,02002,,0.00220849,0.00220849,,218,98710,
6359544,02002,,0.000121568,0.000121568,,12,98710,
6359546,02002,,0.000172222,0.000172222,,17,98710,
6359551,26055,,0.002415459,0.002415459,,26,10764,
6359552,26055,,0.001114827,0.001114827,,12,10764,
6359554,26055,,0.000371609,0.000371609,,4,10764,
6359555,26055,,0.000929023,0.000929023,,10,10764,
6359556,26055,,0.003065775,0.003065775,,33,10764,
6359557,26055,,0.000743218,0.000743218,,8,10764,
6359558,26055,0.002174813,0.000557414,0.002077213,364.5290874,6,10764,167614
6359559,26055,0.014075773,,0.014075773,2359.296661,,,167614
6362684,02002,,0.004974167,0.004974167,,491,98710,
6362690,02002,,2.02614E-05,2.02614E-05,,2,98710,
6362693,02002,,0.000668625,0.000668625,,66,98710,
6362697,02002,,0.000263398,0.000263398,,26,98710,
6362700,02002,,0.000202614,0.000202614,,20,98710,
6362701,02002,,0.000243136,0.000243136,,24,98710,
6362707,02002,,1.01307E-05,1.01307E-05,,1,98710,
6362714,02002,,1.01307E-05,1.01307E-05,,1,98710,
