GRIDCODE,CVENTMUN,Fa
6299090,2002,0.000258696
6299091,2002,3.31555E-06
6299126,2002,0.0001213
6299127,2002,0.000334805
6299128,2002,0.000478558
6299129,2002,0.00045284
6299130,2002,0.000500793
6299131,2002,0.000500793
6299132,2002,0.000500793
6299133,2002,0.000500734
6299134,2002,0.000500793
6299135,2002,0.000500793
6299136,2002,0.000500793
6299137,2002,0.000500793
6299138,2002,0.000500793
6299139,2002,0.000500793
6299140,2002,0.000500793
6299141,2002,0.000500793
6299142,2002,0.000500793
6299143,2002,0.000500793
6299144,2002,0.000500793
6299145,2002,0.000500793
6299146,2002,0.000500793
6299147,2002,0.000495295
6299148,2002,0.000500793
6299149,2002,0.000500793
6299150,2002,0.000500793
6299151,2002,0.000500793
6299152,2002,0.000500793
6299153,2002,0.000425964
6299154,2002,0.000228005
6299154,26055,0.000499193
6299155,2002,9.71608E-06
6299155,26055,0.002912868
6299156,26055,0.003400518
6299157,26055,0.003400518
6299158,26055,0.003400518
6299159,26055,0.003400518
6299160,26055,0.003400518
6299161,26055,0.003400518
6299162,26055,0.003400518
6299163,26055,0.003400518
6299164,26055,0.003400518
6299165,26055,0.002771147
6299166,26055,0.003399623
6299167,26055,0.000277226
6299175,26055,7.64277E-06
6299176,26055,0.000390775
6299177,26055,3.53873E-05
6302266,2002,0.000493903
6302267,2002,0.000186051
6302304,2002,5.43894E-05
6302305,2002,0.000362531
6302306,2002,0.000399987
6302307,2002,0.00044918
6302308,2002,0.000500793
6302309,2002,0.000500793
6302310,2002,0.000500793
6302311,2002,0.000500793
6302312,2002,0.000500793
6302313,2002,0.000500793
6302314,2002,0.000500793
6302315,2002,0.000500793
6302316,2002,0.000500793
6302317,2002,0.000500793
6302318,2002,0.000500793
6302319,2002,0.000500793
6302320,2002,0.000500793
6302321,2002,0.000500793
6302322,2002,0.000500793
6302323,2002,0.000500793
6302324,2002,0.000496267
6302325,2002,0.000291156
6302326,2002,0.000172429
6302327,2002,0.000263479
6302328,2002,0.000500793
6302329,2002,0.000500793
6302330,2002,0.000500793
6302331,2002,0.000500793
6302332,2002,0.000500793
6302333,2002,0.000384178
6302333,26055,0.000366223
6302334,2002,4.89439E-06
6302334,26055,0.002967946
6302335,26055,0.003400518
6302336,26055,0.003400518
6302337,26055,0.003400518
6302338,26055,0.003400518
6302339,26055,0.003400518
6302340,26055,0.003400518
6302341,26055,0.003400518
6302342,26055,0.003370973
6302343,26055,0.001983391
6302344,26055,0.003400518
6302345,26055,0.001129326
6302349,26055,0.000448417
6302350,26055,0.002531741
6302351,26055,0.000987422
6302352,26055,0.001466214
6302353,26055,0.002664438
6302354,26055,0.003400518
6302355,26055,0.000300157
6305444,2002,0.000100971
6305483,2002,0.000206497
6305484,2002,0.000500793
6305485,2002,0.000466611
6305486,2002,0.000500793
6305487,2002,0.000500793
6305488,2002,0.000500793
6305489,2002,0.000500793
6305490,2002,0.000500793
6305491,2002,0.000487548
6305492,2002,0.000300666
6305493,2002,0.000411559
6305494,2002,0.000500793
6305495,2002,0.000500793
6305496,2002,0.000500793
6305497,2002,0.000500793
6305498,2002,0.000500793
6305499,2002,0.000500793
6305500,2002,0.000500793
6305501,2002,0.000500793
6305502,2002,0.000497336
6305503,2002,0.000237252
6305505,2002,0.000119571
6305506,2002,0.000481752
6305507,2002,0.000500793
6305508,2002,0.000500793
6305509,2002,0.000500793
6305510,2002,0.000500793
6305511,2002,0.000500793
6305512,2002,0.000326014
6305512,26055,0.000346882
6305513,2002,5.0095E-05
6305513,26055,0.002010195
6305514,26055,0.003398496
6305515,26055,0.003400518
6305516,26055,0.003400518
6305517,26055,0.003400518
6305518,26055,0.003400518
6305519,26055,0.003400518
6305520,26055,0.003373684
6305521,26055,0.00189147
6305522,26055,0.003146406
6305523,26055,0.002680763
6305524,26055,0.000152925
6305526,26055,0.000103399
6305527,26055,0.003117557
6305528,26055,0.003400518
6305529,26055,0.002649369
6305530,26055,0.001646615
6305531,26055,0.00161839
6305532,26055,0.002353159
6305533,26055,0.000287137
6308661,2002,2.30002E-05
6308662,2002,0.000392035
6308663,2002,0.000500793
6308664,2002,0.000500793
6308665,2002,0.000500793
6308666,2002,0.000500793
6308667,2002,0.000500793
6308668,2002,0.000500793
6308669,2002,0.000436766
6308670,2002,2.51478E-05
6308671,2002,0.000404958
6308672,2002,0.000500793
6308673,2002,0.000500793
6308674,2002,0.000500793
6308675,2002,0.000500793
6308676,2002,0.000500793
6308677,2002,0.000500793
6308678,2002,0.000500793
6308679,2002,0.000500793
6308680,2002,0.000500793
6308681,2002,0.000405962
6308682,2002,0.000121564
6308683,2002,0.000394617
6308684,2002,0.000497131
6308685,2002,0.000362661
6308686,2002,0.000500793
6308687,2002,0.000500793
6308688,2002,0.000500793
6308689,2002,0.000500793
6308690,2002,0.000500793
6308691,2002,0.000414745
6308692,2002,5.40682E-05
6308692,26055,0.001162518
6308693,26055,0.003277336
6308694,26055,0.003400518
6308695,26055,0.003400518
6308696,26055,0.003400518
6308697,26055,0.003400518
6308698,26055,0.003400518
6308699,26055,0.003392409
6308700,26055,0.003167055
6308701,26055,0.003400518
6308702,26055,0.001483782
6308704,26055,0.000243658
6308705,26055,0.003400518
6308706,26055,0.003400518
6308707,26055,0.002339803
6308708,26055,0.000175915
6308709,26055,3.52517E-05
6311840,2002,0.000363275
6311841,2002,0.000500793
6311842,2002,0.000196462
6311843,2002,0.000500793
6311844,2002,0.000500793
6311845,2002,0.000500793
6311846,2002,0.000500793
6311847,2002,0.000500793
6311848,2002,0.000479295
6311849,2002,0.000500793
6311850,2002,0.000500793
6311851,2002,0.000500793
6311852,2002,0.000500793
6311853,2002,0.000500793
6311854,2002,0.000500793
6311855,2002,0.000500793
6311856,2002,0.000500793
6311857,2002,0.000425374
6311858,2002,0.000500793
6311859,2002,0.000500793
6311860,2002,0.000477257
6311861,2002,0.000500788
6311862,2002,0.000500793
6311863,2002,0.000400413
6311864,2002,0.000500544
6311865,2002,0.000500793
6311866,2002,0.000500793
6311867,2002,0.000459298
6311868,2002,0.000500793
6311869,2002,0.000500793
6311870,2002,0.00048028
6311871,2002,0.000164698
6311871,26055,0.000937611
6311872,26055,0.003342419
6311873,26055,0.003400518
6311874,26055,0.003400518
6311875,26055,0.003400518
6311876,26055,0.003400518
6311877,26055,0.003400518
6311878,26055,0.003400518
6311879,26055,0.003400518
6311880,26055,0.002435981
6311881,26055,0.000401946
6311882,26055,0.000315847
6311883,26055,0.003400518
6311884,26055,0.003400518
6311885,26055,0.003326447
6311886,26055,0.001474347
6315017,2002,5.14094E-05
6315018,2002,0.000493216
6315019,2002,0.000500793
6315020,2002,0.000434012
6315021,2002,0.000500646
6315022,2002,0.000500793
6315023,2002,0.000500793
6315024,2002,0.000488356
6315025,2002,0.000379345
6315026,2002,0.000500793
6315027,2002,0.000500793
6315028,2002,0.000500793
6315029,2002,0.000500793
6315030,2002,0.000500793
6315031,2002,0.000500793
6315032,2002,0.000500793
6315033,2002,0.000500793
6315034,2002,0.000496116
6315035,2002,0.000336613
6315036,2002,0.000500793
6315037,2002,0.000500793
6315038,2002,0.000500793
6315039,2002,0.000500793
6315040,2002,0.000500793
6315041,2002,0.000494346
6315042,2002,0.000500793
6315043,2002,0.000500793
6315044,2002,0.000500793
6315045,2002,0.000500793
6315046,2002,0.000500793
6315047,2002,0.000500793
6315048,2002,0.000500793
6315049,2002,0.000478161
6315050,2002,0.000131147
6315050,26055,0.001354257
6315051,26055,0.003360202
6315052,26055,0.003400518
6315053,26055,0.003400518
6315054,26055,0.003400518
6315055,26055,0.003400518
6315056,26055,0.002968808
6315057,26055,0.002540864
6315058,26055,0.003400518
6315059,26055,0.001097692
6315060,26055,0.001146114
6315061,26055,0.001618098
6315062,26055,0.003400518
6315063,26055,0.002239954
6315064,26055,4.39146E-05
6318195,2002,8.30358E-05
6318196,2002,0.000500793
6318197,2002,0.000500793
6318198,2002,0.000500793
6318199,2002,0.000500793
6318200,2002,0.000500793
6318201,2002,0.000500793
