month,iday,Day_type,cday
11,6,7,dom
11,7,1,lun
11,8,2,mar
11,9,3,mie
11,10,4,jue
11,11,5,vie
11,12,6,sab
11,13,7,dom
11,14,1,lun
11,15,2,mar
11,16,3,mie
11,17,4,jue
11,18,5,vie
11,19,6,sab
11,20,7,dom
11,21,1,lun
11,22,2,mar
11,23,3,mie
11,24,4,jue
11,25,5,vie
11,26,6,sab
11,27,7,dom
11,28,1,lun
11,29,2,mar
11,30,3,mie
12,1,4,jue
12,2,5,vie
12,3,6,sab
12,4,7,dom
12,5,1,lun
12,6,2,mar
12,7,3,mie
12,8,4,jue
12,9,5,vie
12,10,6,sab
12,11,7,dom
12,12,1,lun
12,13,2,mar
12,14,3,mie
12,15,4,jue
12,16,5,vie
12,17,6,sab
12,18,7,dom
12,19,1,lun
12,20,2,mar
12,21,3,mie
12,22,4,jue
12,23,5,vie
12,24,6,sab
12,25,7,dom
12,26,1,lun
12,27,2,mar
12,28,3,mie
12,29,4,jue
12,30,5,vie
12,31,6,sab
