month,iday,Day_type,cday
1,1,5,vie
1,2,6,sab
1,3,7,dom
1,4,1,lun
1,5,2,mar
1,6,3,mie
1,7,4,jue
1,8,5,vie
1,9,6,sab
1,10,7,dom
1,11,1,lun
1,12,2,mar
1,13,3,mie
1,14,4,jue
1,15,5,vie
1,16,6,sab
1,17,7,dom
1,18,1,lun
1,19,2,mar
1,20,3,mie
1,21,4,jue
1,22,5,vie
1,23,6,sab
1,24,7,dom
1,25,1,lun
1,26,2,mar
1,27,3,mie
1,28,4,jue
1,29,5,vie
1,30,6,sab
1,31,7,dom
2,1,1,lun
2,2,2,mar
2,3,3,mie
2,4,4,jue
2,5,5,vie
2,6,6,sab
2,7,7,dom
2,8,1,lun
2,9,2,mar
2,10,3,mie
2,11,4,jue
2,12,5,vie
2,13,6,sab
2,14,7,dom
2,15,1,lun
2,16,2,mar
2,17,3,mie
2,18,4,jue
2,19,5,vie
2,20,6,sab
2,21,7,dom
2,22,1,lun
2,23,2,mar
2,24,3,mie
2,25,4,jue
2,26,5,vie
2,27,6,sab
2,28,7,dom
3,1,1,lun
3,2,2,mar
3,3,3,mie
3,4,4,jue
3,5,5,vie
3,6,6,sab
3,7,7,dom
3,8,1,lun
3,9,2,mar
3,10,3,mie
3,11,4,jue
3,12,5,vie
3,13,6,sab
3,14,7,dom
3,15,1,lun
3,16,2,mar
3,17,3,mie
3,18,4,jue
3,19,5,vie
3,20,6,sab
3,21,7,dom
3,22,1,lun
3,23,2,mar
3,24,3,mie
3,25,4,jue
3,26,5,vie
3,27,6,sab
3,28,7,dom
3,29,1,lun
3,30,2,mar
3,31,3,mie
4,1,4,jue
4,2,5,vie
4,3,6,sab
4,4,7,dom
4,5,1,lun
4,6,2,mar
4,7,3,mie
4,8,4,jue
4,9,5,vie
4,10,6,sab
4,11,7,dom
4,12,1,lun
4,13,2,mar
4,14,3,mie
4,15,4,jue
4,16,5,vie
4,17,6,sab
4,18,7,dom
4,19,1,lun
4,20,2,mar
4,21,3,mie
4,22,4,jue
4,23,5,vie
4,24,6,sab
4,25,7,dom
4,26,1,lun
4,27,2,mar
4,28,3,mie
4,29,4,jue
4,30,5,vie
5,1,6,sab
5,2,7,dom
5,3,1,lun
5,4,2,mar
5,5,3,mie
5,6,4,jue
5,7,5,vie
5,8,6,sab
5,9,7,dom
5,10,1,lun
5,11,2,mar
5,12,3,mie
5,13,4,jue
5,14,5,vie
5,15,6,sab
5,16,7,dom
5,17,1,lun
5,18,2,mar
5,19,3,mie
5,20,4,jue
5,21,5,vie
5,22,6,sab
5,23,7,dom
5,24,1,lun
5,25,2,mar
5,26,3,mie
5,27,4,jue
5,28,5,vie
5,29,6,sab
5,30,7,dom
5,31,1,lun
6,1,2,mar
6,2,3,mie
6,3,4,jue
6,4,5,vie
6,5,6,sab
6,6,7,dom
6,7,1,lun
6,8,2,mar
6,9,3,mie
6,10,4,jue
6,11,5,vie
6,12,6,sab
6,13,7,dom
6,14,1,lun
6,15,2,mar
6,16,3,mie
6,17,4,jue
6,18,5,vie
6,19,6,sab
6,20,7,dom
6,21,1,lun
6,22,2,mar
6,23,3,mie
6,24,4,jue
6,25,5,vie
6,26,6,sab
6,27,7,dom
6,28,1,lun
6,29,2,mar
6,30,3,mie
7,1,4,jue
7,2,5,vie
7,3,6,sab
7,4,7,dom
7,5,1,lun
7,6,2,mar
7,7,3,mie
7,8,4,jue
7,9,5,vie
7,10,6,sab
7,11,7,dom
7,12,1,lun
7,13,2,mar
7,14,3,mie
7,15,4,jue
7,16,5,vie
7,17,6,sab
7,18,7,dom
7,19,1,lun
7,20,2,mar
7,21,3,mie
7,22,4,jue
7,23,5,vie
7,24,6,sab
7,25,7,dom
7,26,1,lun
7,27,2,mar
7,28,3,mie
7,29,4,jue
7,30,5,vie
7,31,6,sab
8,1,7,dom
8,2,1,lun
8,3,2,mar
8,4,3,mie
8,5,4,jue
8,6,5,vie
8,7,6,sab
8,8,7,dom
8,9,1,lun
8,10,2,mar
8,11,3,mie
8,12,4,jue
8,13,5,vie
8,14,6,sab
8,15,7,dom
8,16,1,lun
8,17,2,mar
8,18,3,mie
8,19,4,jue
8,20,5,vie
8,21,6,sab
8,22,7,dom
8,23,1,lun
8,24,2,mar
8,25,3,mie
8,26,4,jue
8,27,5,vie
8,28,6,sab
8,29,7,dom
8,30,1,lun
8,31,2,mar
9,1,3,mie
9,2,4,jue
9,3,5,vie
9,4,6,sab
9,5,7,dom
9,6,1,lun
9,7,2,mar
9,8,3,mie
9,9,4,jue
9,10,5,vie
9,11,6,sab
9,12,7,dom
9,13,1,lun
9,14,2,mar
9,15,3,mie
9,16,4,jue
9,17,5,vie
9,18,6,sab
9,19,7,dom
9,20,1,lun
9,21,2,mar
9,22,3,mie
9,23,4,jue
9,24,5,vie
9,25,6,sab
9,26,7,dom
9,27,1,lun
9,28,2,mar
9,29,3,mie
9,30,4,jue
10,1,5,vie
10,2,6,sab
10,3,7,dom
10,4,1,lun
10,5,2,mar
10,6,3,mie
10,7,4,jue
10,8,5,vie
10,9,6,sab
10,10,7,dom
10,11,1,lun
10,12,2,mar
10,13,3,mie
10,14,4,jue
10,15,5,vie
10,16,6,sab
10,17,7,dom
10,18,1,lun
10,19,2,mar
10,20,3,mie
10,21,4,jue
10,22,5,vie
10,23,6,sab
10,24,7,dom
10,25,1,lun
10,26,2,mar
10,27,3,mie
10,28,4,jue
10,29,5,vie
10,30,6,sab
10,31,7,dom
11,1,1,lun
11,2,2,mar
11,3,3,mie
11,4,4,jue
11,5,5,vie
11,6,6,sab
11,7,7,dom
11,8,1,lun
11,9,2,mar
11,10,3,mie
11,11,4,jue
11,12,5,vie
11,13,6,sab
11,14,7,dom
11,15,1,lun
11,16,2,mar
11,17,3,mie
11,18,4,jue
11,19,5,vie
11,20,6,sab
