GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Suma de POB  en CELL (rur+urb),Promedio de POBTOT en MUN Rur,Promedio de POBTOT en MUN URB,Pot Tot
3777246,19031,,0.000268288,0.000268288,3,11182,,11182
3777247,19031,,0.000983724,0.000983724,11,11182,,11182
3777248,19031,,0.000178859,0.000178859,2,11182,,11182
3777252,19009,0,,0,0,,68113,68113
3777253,19009,0.002789482,,0.002789482,190,,68113,68113
3777254,19009,0.005623009,,0.005623009,383,,68113,68113
3777255,19009,0.000220222,,0.000220222,15,,68113,68113
3777256,19009,0.00177646,,0.00177646,121,,68113,68113
3777257,19009,0.046877982,,0.046877982,3193,,68113,68113
3777258,19009,0.048023138,0.000436348,0.037930755,3279,18334,68113,86447
3777259,19009,0.018175679,,0.018175679,1238,,68113,68113
3777260,19009,0.001526874,0.000436348,0.001295592,112,18334,68113,86447
3777263,19009,,0.000599978,0.000599978,11,18334,,18334
3777265,19009,,5.45435E-05,5.45435E-05,1,18334,,18334
3780384,19048,,0.004934211,0.004934211,3,608,,608
3780396,19019,0.000195712,,0.000195712,24,,122629,122629
3780397,19019,0.002642116,,0.002642116,324,,122629,122629
3780398,19019,0.003955019,,0.003955019,485,,122629,122629
3780399,19019,0.00075023,,0.00075023,92,,122629,122629
3780400,19019,0.002813364,,0.002813364,345,,122629,122629
3780401,19019,0.003433119,,0.003433119,421,,122629,122629
3780401,19039,8.80662E-07,,8.80662E-07,1,,1135510,1135510
3780402,19019,0,,0,0,,122629,122629
3780402,19039,3.25845E-05,,3.25845E-05,37,,1135510,1135510
3780403,19039,8.63048E-05,,8.63048E-05,98,,1135510,1135510
3780404,19039,0.001174803,,0.001174803,1334,,1135510,1135510
3780405,19039,0.003928631,,0.003928631,4461,,1135510,1135510
3780406,19039,0.003198563,,0.003198563,3632,,1135510,1135510
3780407,19039,0.002908825,,0.002908825,3303,,1135510,1135510
3780408,19026,0,,0,0,,677548,677548
3780408,19039,0.01243318,,0.01243318,14118,,1135510,1135510
3780409,19039,0.002085407,,0.002085407,2368,,1135510,1135510
3780416,19031,0.008682279,,0.008682279,2134,,245788,245788
3780417,19031,0.051808876,,0.051808876,12734,,245788,245788
3780418,19031,0.014008007,,0.014008007,3443,,245788,245788
3780419,19031,0.003698309,0.035414058,0.005078414,1305,11182,245788,256970
3780420,19031,0.037479454,,0.037479454,9212,,245788,245788
3780421,19031,0.015134994,,0.015134994,3720,,245788,245788
3780422,19031,0.000337689,,0.000337689,83,,245788,245788
3780423,19031,0.000358032,,0.000358032,88,,245788,245788
3780424,19031,,0.000268288,0.000268288,3,11182,,11182
3780425,19031,0.000467883,,0.000467883,115,,245788,245788
3780426,19031,0.000492294,,0.000492294,121,,245788,245788
3780427,19031,,0.000447147,0.000447147,5,11182,,11182
3780430,19009,1.46815E-05,,1.46815E-05,1,,68113,68113
3780431,19009,0.00010277,,0.00010277,7,,68113,68113
3780432,19009,0.00029363,0.00016363,0.000266059,23,18334,68113,86447
3780435,19009,0.006415809,,0.006415809,437,,68113,68113
3780438,19009,,0.060379623,0.060379623,1107,18334,,18334
3780445,19009,,0.000218174,0.000218174,4,18334,,18334
3783568,19048,,0.315789474,0.315789474,192,608,,608
3783573,19019,,0.15625,0.15625,5,32,,32
3783574,19019,0.004974354,,0.004974354,610,,122629,122629
3783575,19019,0.010992506,,0.010992506,1348,,122629,122629
3783576,19019,0.014751812,,0.014751812,1809,,122629,122629
3783577,19019,0.004827569,,0.004827569,592,,122629,122629
3783578,19019,0.00822807,,0.00822807,1009,,122629,122629
3783579,19019,0.009687757,,0.009687757,1188,,122629,122629
3783580,19019,0.003889781,,0.003889781,477,,122629,122629
3783580,19039,5.28397E-05,,5.28397E-05,60,,1135510,1135510
3783581,19039,0.001155428,,0.001155428,1312,,1135510,1135510
3783582,19039,0.003424012,,0.003424012,3888,,1135510,1135510
3783583,19039,0.008085354,,0.008085354,9181,,1135510,1135510
3783584,19039,0.010988014,,0.010988014,12477,,1135510,1135510
3783585,19026,0.000237622,,0.000237622,161,,677548,677548
3783585,19039,0.004169932,,0.004169932,4735,,1135510,1135510
3783586,19026,0.002901639,,0.002901639,1966,,677548,677548
3783586,19039,0.001247017,,0.001247017,1416,,1135510,1135510
3783593,19026,7.37955E-06,,7.37955E-06,5,,677548,677548
3783593,19031,0.000122056,,0.000122056,30,,245788,245788
3783594,19031,0.014691523,,0.014691523,3611,,245788,245788
3783595,19031,0.040144352,,0.040144352,9867,,245788,245788
3783596,19031,0.03051817,,0.03051817,7501,,245788,245788
3783597,19031,0.015696454,0.000357718,0.015028992,3862,11182,245788,256970
3783598,19031,0.001529774,0.000983724,0.001506012,387,11182,245788,256970
3783599,19031,0.001814572,,0.001814572,446,,245788,245788
3783602,19031,0.003437922,0.000715436,0.003319454,853,11182,245788,256970
3783603,19031,0.016188748,0.003577178,0.015639958,4019,11182,245788,256970
3783604,19031,0.001000863,0.001341442,0.001015683,261,11182,245788,256970
3783605,19031,,0.083169379,0.083169379,930,11182,,11182
3783606,19031,,0.026292255,0.026292255,294,11182,,11182
