GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
3685028,-100.6689504,25.34868523,6,446,2633321.774,1478649.062,14
3685029,-100.6589672,25.34860072,6,0,2634321.774,1478649.062,14
3685030,-100.6489841,25.34851557,6,0,2635321.774,1478649.062,14
3685031,-100.6390009,25.3484298,6,0,2636321.774,1478649.062,14
3685032,-100.6290178,25.3483434,6,37,2637321.774,1478649.062,14
3685033,-100.6190347,25.34825636,6,0,2638321.774,1478649.062,14
3685034,-100.6090516,25.34816869,6,0,2639321.774,1478649.062,14
3685035,-100.5990685,25.34808039,6,0,2640321.774,1478649.062,14
3685036,-100.5890855,25.34799146,6,0,2641321.774,1478649.062,14
3685037,-100.5791024,25.3479019,6,0,2642321.774,1478649.062,14
3685038,-100.5691194,25.34781171,6,0,2643321.774,1478649.062,14
3685039,-100.5591364,25.34772088,6,0,2644321.774,1478649.062,14
3685040,-100.5491534,25.34762943,6,0,2645321.774,1478649.062,14
3685041,-100.5391704,25.34753734,6,0,2646321.774,1478649.062,14
3685042,-100.5291874,25.34744462,6,0,2647321.774,1478649.062,14
3685043,-100.5192044,25.34735127,6,0,2648321.774,1478649.062,14
3685044,-100.5092215,25.34725729,6,0,2649321.774,1478649.062,14
3685045,-100.4992385,25.34716267,6,0,2650321.774,1478649.062,14
3685046,-100.4892556,25.34706743,6,0,2651321.774,1478649.062,14
3685047,-100.4792727,25.34697155,6,0,2652321.774,1478649.062,14
3685048,-100.4692898,25.34687504,6,0,2653321.774,1478649.062,14
3685049,-100.4593069,25.3467779,6,0,2654321.774,1478649.062,14
3685050,-100.449324,25.34668013,6,0,2655321.774,1478649.062,14
3685051,-100.4393412,25.34658173,6,0,2656321.774,1478649.062,14
3685052,-100.4293584,25.3464827,6,0,2657321.774,1478649.062,14
3685053,-100.4193755,25.34638303,6,0,2658321.774,1478649.062,14
3685054,-100.4093927,25.34628274,6,0,2659321.774,1478649.062,14
3685055,-100.39941,25.34618181,6,0,2660321.774,1478649.062,14
3685056,-100.3894272,25.34608025,6,0,2661321.774,1478649.062,14
3685057,-100.3794444,25.34597806,6,0,2662321.774,1478649.062,14
3685058,-100.3694617,25.34587524,6,0,2663321.774,1478649.062,14
3685059,-100.359479,25.34577178,6,0,2664321.774,1478649.062,14
3685060,-100.3494962,25.3456677,6,0,2665321.774,1478649.062,14
3685061,-100.3395135,25.34556298,6,0,2666321.774,1478649.062,14
3685062,-100.3295309,25.34545763,6,0,2667321.774,1478649.062,14
3685063,-100.3195482,25.34535165,6,0,2668321.774,1478649.062,14
3685064,-100.3095656,25.34524504,6,0,2669321.774,1478649.062,14
3685065,-100.2995829,25.3451378,6,0,2670321.774,1478649.062,14
3685066,-100.2896003,25.34502993,6,0,2671321.774,1478649.062,14
3685067,-100.2796177,25.34492142,6,381,2672321.774,1478649.062,14
3685068,-100.2696351,25.34481229,6,0,2673321.774,1478649.062,14
3685069,-100.2596526,25.34470252,6,36,2674321.774,1478649.062,14
3685070,-100.24967,25.34459212,6,0,2675321.774,1478649.062,14
3685071,-100.2396875,25.34448109,6,0,2676321.774,1478649.062,14
3685072,-100.229705,25.34436943,6,0,2677321.774,1478649.062,14
3685073,-100.2197225,25.34425713,6,0,2678321.774,1478649.062,14
3685074,-100.20974,25.34414421,6,0,2679321.774,1478649.062,14
3685075,-100.1997576,25.34403065,6,0,2680321.774,1478649.062,14
3685076,-100.1897751,25.34391646,6,0,2681321.774,1478649.062,14
3685077,-100.1797927,25.34380164,6,13,2682321.774,1478649.062,14
3685078,-100.1698103,25.34368619,6,0,2683321.774,1478649.062,14
3685079,-100.1598279,25.34357011,6,0,2684321.774,1478649.062,14
3685080,-100.1498455,25.3434534,6,0,2685321.774,1478649.062,14
3685081,-100.1398632,25.34333605,6,0,2686321.774,1478649.062,14
3685082,-100.1298808,25.34321808,6,0,2687321.774,1478649.062,14
3685083,-100.1198985,25.34309947,6,0,2688321.774,1478649.062,14
3685084,-100.1099162,25.34298023,6,0,2689321.774,1478649.062,14
3685085,-100.0999339,25.34286036,6,0,2690321.774,1478649.062,14
3685086,-100.0899517,25.34273986,6,49,2691321.774,1478649.062,14
3685087,-100.0799694,25.34261873,6,34,2692321.774,1478649.062,14
3685088,-100.0699872,25.34249696,6,0,2693321.774,1478649.062,14
3685089,-100.060005,25.34237457,6,0,2694321.774,1478649.062,14
3685090,-100.0500228,25.34225154,6,0,2695321.774,1478649.062,14
3685091,-100.0400406,25.34212788,6,0,2696321.774,1478649.062,14
3685092,-100.0300585,25.34200359,6,442,2697321.774,1478649.062,14
3685093,-100.0200764,25.34187867,6,0,2698321.774,1478649.062,14
3685094,-100.0100942,25.34175312,6,0,2699321.774,1478649.062,14
3685095,-100.0001122,25.34162693,6,0,2700321.774,1478649.062,14
3685096,-99.99013008,25.34150012,6,42,2701321.774,1478649.062,14
3685097,-99.98014803,25.34137267,6,0,2702321.774,1478649.062,14
3685098,-99.97016599,25.34124459,6,0,2703321.774,1478649.062,14
3685099,-99.96018398,25.34111588,6,0,2704321.774,1478649.062,14
3685100,-99.95020198,25.34098654,6,0,2705321.774,1478649.062,14
3685101,-99.94022001,25.34085657,6,33,2706321.774,1478649.062,14
3685102,-99.93023805,25.34072597,6,318,2707321.774,1478649.062,14
3685103,-99.92025612,25.34059473,6,0,2708321.774,1478649.062,14
3685104,-99.9102742,25.34046286,6,0,2709321.774,1478649.062,14
3685105,-99.90029231,25.34033037,6,0,2710321.774,1478649.062,14
3688206,-100.6688577,25.35775683,6,0,2633321.774,1479649.062,14
3688207,-100.6588739,25.35767232,6,76,2634321.774,1479649.062,14
3688208,-100.64889,25.35758717,6,1,2635321.774,1479649.062,14
3688209,-100.6389062,25.35750139,6,0,2636321.774,1479649.062,14
3688210,-100.6289224,25.35741498,6,0,2637321.774,1479649.062,14
3688211,-100.6189386,25.35732794,6,0,2638321.774,1479649.062,14
3688212,-100.6089548,25.35724027,6,0,2639321.774,1479649.062,14
3688213,-100.598971,25.35715196,6,0,2640321.774,1479649.062,14
3688214,-100.5889873,25.35706303,6,0,2641321.774,1479649.062,14
3688215,-100.5790035,25.35697346,6,0,2642321.774,1479649.062,14
3688216,-100.5690198,25.35688326,6,0,2643321.774,1479649.062,14
3688217,-100.5590361,25.35679243,6,0,2644321.774,1479649.062,14
3688218,-100.5490524,25.35670097,6,4,2645321.774,1479649.062,14
3688219,-100.5390687,25.35660887,6,0,2646321.774,1479649.062,14
3688220,-100.529085,25.35651615,6,0,2647321.774,1479649.062,14
3688221,-100.5191013,25.35642279,6,0,2648321.774,1479649.062,14
3688222,-100.5091177,25.3563288,6,0,2649321.774,1479649.062,14
3688223,-100.499134,25.35623418,6,0,2650321.774,1479649.062,14
3688224,-100.4891504,25.35613893,6,0,2651321.774,1479649.062,14
3688225,-100.4791668,25.35604305,6,0,2652321.774,1479649.062,14
3688226,-100.4691832,25.35594654,6,0,2653321.774,1479649.062,14
3688227,-100.4591997,25.35584939,6,0,2654321.774,1479649.062,14
3688228,-100.4492161,25.35575161,6,8,2655321.774,1479649.062,14
3688229,-100.4392326,25.35565321,6,0,2656321.774,1479649.062,14
3688230,-100.429249,25.35555417,6,13,2657321.774,1479649.062,14
3688231,-100.4192655,25.35545449,6,0,2658321.774,1479649.062,14
3688232,-100.409282,25.35535419,6,11,2659321.774,1479649.062,14
3688233,-100.3992985,25.35525326,6,0,2660321.774,1479649.062,14
3688234,-100.3893151,25.35515169,6,44,2661321.774,1479649.062,14
3688235,-100.3793316,25.35504949,6,0,2662321.774,1479649.062,14
3688236,-100.3693482,25.35494666,6,0,2663321.774,1479649.062,14
3688237,-100.3593648,25.3548432,6,42,2664321.774,1479649.062,14
