GRIDCODE,CVENTMUN,Ffr
3774083,19009,1
3802670,19031,1
3812195,19026,1
3812165,19048,1
3818539,19039,1
3824922,19041,1
3831265,19006,1
3837578,19018,1
3853499,19021,1
3878916,19010,1
3891624,19001,1
3894814,19045,1
3904331,19047,1
3907502,19037,1
