GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
6426081,02004,0.02915807,0,0.02915807,40229,,40229
6426082,02004,0.000348008,0,0.000348008,40229,,40229
6426083,02004,0.00032315,0,0.00032315,40229,,40229
6426084,02004,0.000422581,0,0.000422581,40229,,40229
6426085,02004,9.94308E-05,0.000197764,0.000195224,40229,1516958,1557187
6426086,02004,0,2.90054E-05,2.90054E-05,,1516958,1516958
6426088,02004,0,0.000228088,0.000228088,,1516958,1516958
6426089,02004,0.000348008,0.002222211,0.002173792,40229,1516958,1557187
6426090,02004,0,0.00310292,0.00310292,,1516958,1516958
6426091,02004,0,0.002727168,0.002727168,,1516958,1516958
6426092,02004,0,0.001835911,0.001835911,,1516958,1516958
6426093,02004,0,0.006083227,0.006083227,,1516958,1516958
6426094,02004,0,0.005448404,0.005448404,,1516958,1516958
6426095,02004,0,0.005889418,0.005889418,,1516958,1516958
6426096,02004,0,0.004886094,0.004886094,,1516958,1516958
6426097,02004,0,0.003774,0.003774,,1516958,1516958
6426098,02004,0,0.002797045,0.002797045,,1516958,1516958
6426099,02004,0,0.003164887,0.003164887,,1516958,1516958
6426100,02004,0,0.003368584,0.003368584,,1516958,1516958
6426101,02004,0,0.001113413,0.001113413,,1516958,1516958
6426102,02004,0,0.002804956,0.002804956,,1516958,1516958
6426103,02004,0,0.005718682,0.005718682,,1516958,1516958
6426104,02004,0,0.003638861,0.003638861,,1516958,1516958
6426105,02004,0,0.005155713,0.005155713,,1516958,1516958
6426106,02004,0.001019165,0.006077953,0.005947263,40229,1516958,1557187
6426107,02004,0.000845161,0.003876179,0.003797874,40229,1516958,1557187
6426108,02004,0.059857317,0.005847888,0.007243189,40229,1516958,1557187
6426109,02004,0.001392031,0.000934765,0.000946579,40229,1516958,1557187
6426110,02004,0.001541177,0.000305875,0.000337789,40229,1516958,1557187
6426111,02004,0.02324194,0,0.02324194,40229,,40229
6426114,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6426117,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6426118,02004,0.000422581,0,0.000422581,40229,,40229
6426120,02003,0.001005728,0,0.001005728,22869,,22869
6429260,02004,0.002659773,0,0.002659773,40229,,40229
6429261,02004,0.018245544,0.000250501,0.000715393,40229,1516958,1557187
6429262,02004,0,0.001843162,0.001843162,,1516958,1516958
6429263,02004,0,0.003242674,0.003242674,,1516958,1516958
6429264,02004,0,0.001400171,0.001400171,,1516958,1516958
6429265,02004,0,0.001504326,0.001504326,,1516958,1516958
6429266,02004,0.000198862,0.002597963,0.002535983,40229,1516958,1557187
6429267,02004,0,0.004866318,0.004866318,,1516958,1516958
6429268,02004,0,0.003395611,0.003395611,,1516958,1516958
6429269,02004,0,0.002454913,0.002454913,,1516958,1516958
6429270,02004,0,0.002622353,0.002622353,,1516958,1516958
6429271,02004,0,0.00571209,0.00571209,,1516958,1516958
6429272,02004,0,0.007633698,0.007633698,,1516958,1516958
6429273,02004,0,0.004532096,0.004532096,,1516958,1516958
6429274,02004,0,0.003583487,0.003583487,,1516958,1516958
6429275,02004,0,0.001695498,0.001695498,,1516958,1516958
6429276,02004,0,0.001116709,0.001116709,,1516958,1516958
6429277,02004,0,0.003597331,0.003597331,,1516958,1516958
6429278,02004,0,0.004332355,0.004332355,,1516958,1516958
6429279,02004,0,0.00499025,0.00499025,,1516958,1516958
6429280,02004,0,0.003769386,0.003769386,,1516958,1516958
6429281,02004,0,0.006470845,0.006470845,,1516958,1516958
6429282,02004,0,0.007716759,0.007716759,,1516958,1516958
6429283,02004,0,0.00898311,0.00898311,,1516958,1516958
6429284,02004,0,0.003344852,0.003344852,,1516958,1516958
6429285,02004,0,0.000661192,0.000661192,,1516958,1516958
6429286,02004,0,0.00067899,0.00067899,,1516958,1516958
6429289,02004,0.022794501,0.002176066,0.002708731,40229,1516958,1557187
6429290,02004,0,0.000197105,0.000197105,,1516958,1516958
6429294,02004,0,0.003955284,0.003955284,,1516958,1516958
6429295,02004,7.45731E-05,0.001505645,0.001468674,40229,1516958,1557187
6429298,02003,0.000349819,0,0.000349819,22869,,22869
6432438,02004,0.009247061,0.00038564,0.00061457,40229,1516958,1557187
6432439,02004,7.45731E-05,0.002998105,0.002922578,40229,1516958,1557187
6432440,02004,0,0.002802319,0.002802319,,1516958,1516958
6432441,02004,0,0.002850441,0.002850441,,1516958,1516958
6432442,02004,0,0.002373171,0.002373171,,1516958,1516958
6432443,02004,0,0.004008021,0.004008021,,1516958,1516958
6432444,02004,0,0.004346198,0.004346198,,1516958,1516958
6432445,02004,0,0.004834016,0.004834016,,1516958,1516958
6432446,02004,0,0.003506359,0.003506359,,1516958,1516958
6432447,02004,0,0.002151675,0.002151675,,1516958,1516958
6432448,02004,0,0.003276294,0.003276294,,1516958,1516958
6432449,02004,0,0.004866977,0.004866977,,1516958,1516958
6432450,02004,0,0.004822151,0.004822151,,1516958,1516958
6432451,02004,0,0.001988849,0.001988849,,1516958,1516958
6432452,02004,0,0.001893263,0.001893263,,1516958,1516958
6432453,02004,0,0.000241932,0.000241932,,1516958,1516958
6432454,02004,0,0.000864889,0.000864889,,1516958,1516958
6432455,02004,0,0.001621007,0.001621007,,1516958,1516958
6432456,02004,0,0.003226193,0.003226193,,1516958,1516958
6432457,02004,0,0.005323153,0.005323153,,1516958,1516958
6432458,02004,0,0.005388415,0.005388415,,1516958,1516958
6432459,02004,0,0.00657566,0.00657566,,1516958,1516958
6432460,02004,0,0.007383856,0.007383856,,1516958,1516958
6432461,02004,0,0.010923177,0.010923177,,1516958,1516958
6432462,02004,0,0.007253332,0.007253332,,1516958,1516958
6432463,02004,0,0.001532013,0.001532013,,1516958,1516958
6432464,02004,0,0.000146346,0.000146346,,1516958,1516958
6432466,02004,0.000149146,0,0.000149146,40229,,40229
6432467,02004,0,0.002772654,0.002772654,,1516958,1516958
6432468,02004,0,0.000786442,0.000786442,,1516958,1516958
6432469,02004,0.002013473,0,0.002013473,40229,,40229
6432470,02004,2.48577E-05,0,2.48577E-05,40229,,40229
6432471,02004,0.000273435,0,0.000273435,40229,,40229
6432472,02004,0.000447438,0.002293406,0.002245716,40229,1516958,1557187
6432473,02004,0,0.003781911,0.003781911,,1516958,1516958
6432474,02004,0.000198862,0,0.000198862,40229,,40229
6432476,02004,0.006686719,0,0.006686719,40229,,40229
6435614,02004,0.000298292,0,0.000298292,40229,,40229
6435616,02004,0,5.73516E-05,5.73516E-05,,1516958,1516958
6435617,02004,0,0.002629605,0.002629605,,1516958,1516958
6435618,02004,0,0.001561019,0.001561019,,1516958,1516958
6435619,02004,0,0.002990195,0.002990195,,1516958,1516958
6435620,02004,0,0.004040323,0.004040323,,1516958,1516958
6435621,02004,0,0.004416734,0.004416734,,1516958,1516958
6435622,02004,0,0.004483974,0.004483974,,1516958,1516958
6435623,02004,0,0.003242015,0.003242015,,1516958,1516958
6435624,02004,0,0.002400198,0.002400198,,1516958,1516958
6435625,02004,0,0.002181998,0.002181998,,1516958,1516958
6435626,02004,0,0.001426539,0.001426539,,1516958,1516958
6435627,02004,0,0.003372539,0.003372539,,1516958,1516958
6435628,02004,0,0.005976434,0.005976434,,1516958,1516958
6435629,02004,0,0.002746945,0.002746945,,1516958,1516958
6435630,02004,0,0.001723185,0.001723185,,1516958,1516958
6435631,02004,0,0.00093938,0.00093938,,1516958,1516958
6435632,02004,0,0.002813525,0.002813525,,1516958,1516958
6435633,02004,0,0.004607247,0.004607247,,1516958,1516958
6435634,02004,0,0.005289533,0.005289533,,1516958,1516958
6435635,02004,0,0.00420183,0.00420183,,1516958,1516958
6435636,02004,0,0.003712034,0.003712034,,1516958,1516958
6435637,02004,0,0.004414756,0.004414756,,1516958,1516958
6435638,02004,0,0.006661358,0.006661358,,1516958,1516958
6435639,02004,0,0.005899306,0.005899306,,1516958,1516958
6435640,02004,0,0.002506332,0.002506332,,1516958,1516958
6435641,02004,0,0.002755515,0.002755515,,1516958,1516958
