GRIDCODE	CVENTMUN	Fr
161674	30068	1
161673	30085	1
161681	30021	1
161656	21045	1
161605	17026	1
162552	16055	1
163724	17027	1
164011	04009	1
163717	17020	1
163609	16064	1
163759	21164	1
164786	15094	1
164860	30125	1
164787	15068	1
164594	06007	1
164663	16006	1
165831	17009	1
165873	21015	1
165889	21130	1
166906	15015	1
166923	21140	1
166984	30007	1
166926	21114	1
168058	30105	1
167852	16033	1
167965	15009	1
168047	30148	1
168005	21142	1
169023	15017	1
169021	15089	1
168915	16059	1
169062	21096	1
169043	29027	1
170113	21001	1
170102	29041	1
169907	06004	1
170168	30100	1
170102	29042	1
171234	30193	0.5
171128	09012	1
170969	06002	1
172220	29058	1
172196	15025	1
172215	21074	1
172035	06005	1
173280	29022	1
173293	21104	1
173280	29028	1
173236	15062	1
174355	21128	1
174293	15051	1
174293	15076	1
174289	15106	1
174331	21132	1
174339	29060	1
174411	30193	0.5
175398	29048	1
175409	29016	1
175362	09008	1
175268	16087	1
175464	30016	1
175371	09011	1
176457	29010	1
177332	14103	1
177517	29018	1
177531	29008	1
177535	29007	1
177525	29013	1
177489	15070	1
177507	29015	1
177386	16111	1
177536	21108	0.5
178577	29026	1
178540	09010	1
178549	15031	1
178441	16102	1
178536	15037	1
178595	21108	0.5
178521	15005	1
179687	30017	1
179694	30134	1
179559	16112	1
179606	15058	1
179624	29012	1
179510	16079	1
179599	09016	1
180695	29005	1
180700	29039	1
180660	09015	1
181716	15057	1
181741	29020	1
181624	16090	1
181801	30065	1
181728	15099	1
182779	09005	1
182777	09002	1
182829	21094	0.5
182799	29021	1
182811	29011	1
183079	04004	1
182692	16066	1
182780	15033	1
183875	29031	1
183894	21170	1
183793	16098	1
183689	14108	1
183915	30038	1
183755	16039	1
183758	16048	1
184873	15042	1
184949	21044	1
184949	21094	0.5
184927	29003	1
184894	15104	1
184780	16075	1
184854	16061	1
185964	15028	1
185984	29034	1
185865	16032	1
186972	16005	1
187039	29045	1
187034	29006	1
187092	30087	1
186897	16095	1
187012	15109	1
186864	14121	1
187080	30128	1
188147	30001	1
188029	16007	1
188148	30136	1
188150	30026	1
189141	15002	1
189133	15108	1
189152	13021	1
189131	15024	1
189158	13007	1
189060	16053	1
190266	30093	1
190259	30194	1
190189	15121	1
190164	15074	1
190261	30132	1
190204	15065	1
190145	16041	1
190202	15075	1
191133	16091	1
191274	13008	1
191161	16016	1
191253	15059	1
191267	15016	1
192328	13061	1
192242	16022	1
192282	15048	1
192265	16080	1
192307	15091	1
193216	14079	1
193372	15120	1
193303	16040	1
193383	15061	1
193422	21211	1
194335	16107	1
194392	15064	1
194425	15023	1
194399	15014	1
194397	15085	1
194483	21186	1
195545	21017	1
195493	13069	1
195484	15035	1
195504	13072	1
196606	21054	1
196606	21174	1
196482	16110	1
196390	14082	1
196553	15084	1
197559	16050	1
197615	13066	1
197512	16044	1
198627	16017	1
198662	15096	1
199737	13083	1
199717	13063	1
200689	16063	1
200665	16023	1
200672	16108	1
200779	15010	1
201792	11038	1
201723	16104	1
201837	13013	1
201861	13057	1
202745	14004	1
202844	11002	1
203971	13051	1
203954	13010	1
203951	13076	1
203986	13016	1
203985	13056	1
205051	21008	1
206072	13074	1
206102	13077	1
206076	13005	1
206982	14089	1
207148	13048	1
207047	16004	1
207143	13052	1
208180	15045	1
208086	16030	1
209243	13064	1
209192	11028	1
209166	16113	1
209240	13017	1
210158	14119	1
211347	15071	1
211353	13044	1
211671	04002	1
212457	13035	1
212371	11039	1
213373	16105	1
213370	14018	1
213377	16086	1
214438	16106	1
214447	16069	1
215481	14063	1
215589	13029	1
215476	14066	1
216577	11023	1
217695	22016	1
217569	14002	1
217585	14044	1
219693	14097	1
219815	22017	1
221211	04008	1
220817	11001	1
220878	13059	1
220837	11044	1
221926	22012	1
221902	11007	1
221907	11005	1
222876	14070	1
224007	11027	1
223915	14095	1
224043	22005	1
225094	22014	1
224992	14098	1
225100	22011	1
226508	04005	1
227110	14039	1
228156	14083	1
228238	11017	1
228165	14120	1
228147	14003	1
229317	11009	1
230773	31079	1
231320	14036	1
231322	14007	1
231334	14009	1
231830	31003	1
233946	31056	1
233924	04001	1
234509	14005	1
235565	14094	1
236060	31089	1
236730	11003	1
236619	14055	1
237766	11037	1
239219	31033	1
239919	11032	1
239790	14040	1
240949	11015	1
241355	31018	1
241987	11025	1
242397	31048	1
241900	18006	1
242956	18002	1
243052	11020	1
244005	18013	1
245577	31045	1
245162	14109	1
246667	31069	1
246256	11014	1
248756	31023	1
250898	31037	1
250355	18004	1
250887	31076	1
251565	11033	1
251955	31064	1
251990	31102	1
253005	31002	1
253044	31099	1
254071	31034	1
254067	31067	1
254693	14053	1
255113	31101	1
255160	31091	1
257238	31041	1
257272	31030	1
258328	31060	1
257769	18008	1
258969	11029	1
259383	31097	1
259353	31050	1
259374	31040	1
259359	31095	1
260426	31007	1
259977	14035	1
260419	31093	1
260945	18017	1
261486	31005	1
261489	31078	1
264693	31032	1
265756	31008	1
266377	11030	1
269993	31096	1
271000	31059	1
271772	30121	1
272729	24050	1
273743	01001	1
273647	18015	1
276998	24024	1
278057	24011	1
278075	24023	1
277881	18011	1
279039	01011	1
279128	24005	1
280208	24013	1
283281	01002	1
283392	24040	1
283421	30152	1
284420	24002	1
284333	01006	1
284232	18010	1
285437	24028	1
287510	01007	1
287658	30133	1
288653	24010	1
288578	32024	1
289779	28038	1
289761	24016	1
290827	30123	1
290730	24021	1
292876	24052	1
292819	32035	1
293864	01004	1
293899	24001	1
296049	24008	1
295998	32054	1
296038	24051	1
298099	32025	1
299158	32008	1
299222	24017	1
300112	18001	1
300368	28003	1
301304	32038	1
301273	32012	1
302331	32036	1
302355	24025	1
307674	24022	1
307622	32017	1
308680	32056	1
308802	28021	1
311854	32032	1
311999	28012	1
312806	25009	1
316089	32005	1
316145	24045	1
318099	25014	1
318206	32013	1
318334	28043	1
321440	24015	1
325617	32010	1
328929	28019	1
328671	25012	1
340407	32009	1
341504	32006	1
342691	28008	1
342532	32042	1
343692	24020	1
344662	32040	1
344739	24006	1
347978	28041	1
347866	32051	1
348780	25016	1
349965	32039	1
350043	24007	1
352154	24044	1
356189	25008	1
357508	28013	1
358382	10005	1
360575	32014	1
370214	28016	1
372161	10020	1
374286	10008	1
376462	32026	1
376513	32041	1
377441	10001	1
380798	28042	1
380731	32007	1
381707	10021	1
385983	10027	1
390051	25018	1
391383	19033	1
391120	25006	1
392329	05036	1
394511	05030	1
398656	10004	1
398600	10032	1
401698	25013	1
403023	19038	1
410239	10035	1
415606	10012	1
415612	05035	1
417726	10007	1
417573	25015	1
418871	05027	1
418903	19009	1
422023	05011	1
422075	19031	1
423067	05024	1
423131	19026	1
423150	19042	1
423121	19048	1
424186	19039	1
425254	19041	1
425155	05033	1
425250	19006	1
426295	19018	1
428423	19021	1
430430	10013	1
430539	19010	1
431311	25001	1
431630	19027	1
431328	25017	1
432655	19001	1
432659	19045	1
432752	28022	1
433713	19047	1
433710	19037	1
435909	28033	1
435872	19003	1
436933	19015	1
440138	28032	1
444365	28015	1
444355	28007	1
452775	19051	1
453564	25010	1
454892	19008	1
455780	10017	1
464391	05006	1
464252	08044	1
467423	08060	1
468396	25007	1
469685	05018	1
470744	05010	1
471664	08032	1
472843	05007	1
473916	05021	1
473651	26033	1
474917	05023	1
476070	19032	1
478162	05001	1
480148	08003	1
480155	08039	1
483189	26042	1
483497	19005	1
