GRIDCODE	CVE_ENTCVE_MUN	Fpav
168844	6004	0.065807914
168845	6004	0.110170547
168846	6004	0.091583591
168847	6004	0.016298972
168849	6002	0.018742973
168850	6002	0.029172971
168851	6002	0.023538933
168853	6002	0.029757349
168854	6002	0.018576735
168856	6002	0.013168074
168857	6002	0.023334356
168858	6002	0.044348816
168859	6002	0.010417827
168859	14065	0.143383507
168881	16089	0.034603974
168882	16089	0.0603742
168886	16012	0.004486091
168887	16012	0.029756608
168892	16012	0.044175857
168893	16012	0.019989135
168894	16012	0.02682205
168909	16033	0.075765192
168912	16033	0.000498151
168913	16033	0.081496416
168914	16033	0.033995989
168915	16059	0.297766468
168916	16059	0.101462552
168921	16009	0.081875765
169881	6007	0.016478549
169882	6007	0.017077408
169883	6007	0.006499251
169891	6007	0.004332566
169892	6007	0.013742993
169905	6004	0.038077986
169906	6004	0.126394618
169907	6004	0.142305165
169909	6002	0.046795271
169910	6002	0.032827704
169911	6002	0.041107732
169912	6002	0.007674589
169913	6002	0.015046535
169914	6002	0.022116104
169915	6002	0.010126402
169917	6002	0.023492979
169918	14065	0.047012592
169919	14065	0.083548057
169941	16089	0.012337466
169946	16012	0.03709699
169947	16012	0.02789248
169948	16012	0.032945621
169949	16012	0.032926869
169950	16012	0.055419978
169951	16012	0.005077806
169968	16033	0.051253581
169969	16033	0.02001775
169973	16033	0.069088826
169973	16059	0.049549169
169974	16059	0.363666293
169979	16009	0.052203144
169980	16009	0.094344686
169981	16009	0.082480855
169987	16082	0.074618319
170935	14022	0.027333281
170937	14022	0.015702399
170938	14022	0.07073115
170939	14022	0.011805471
170940	6007	0.022146264
170951	6007	0.01674518
170952	6007	0.015815034
170966	6004	0.186988189
170967	6004	0.063108777
170968	6002	0.040635003
170969	6002	0.044838422
170976	6002	0.006971295
170976	6005	0.034304274
170978	14065	0.059121446
170979	14065	0.115307954
171002	16089	0.002126795
171004	14049	0.021325083
171004	16012	0.020743885
171005	14049	0.002537155
171005	16012	0.046297008
171006	14049	0.001759504
171006	16012	0.008286477
171009	16012	0.036779603
171027	16033	0.036774804
171028	16033	0.03687265
171040	16009	0.013119512
171041	16009	0.071352157
171045	16082	0.143362463
171046	16082	0.587594749
171993	14022	0.025508769
171994	14022	0.142301289
171995	14022	0.067652088
171996	14022	0.058986846
171998	14022	0.073379413
171999	6007	0.010271789
171999	14022	0.030110926
172011	6007	0.006615801
172012	6007	0.015421222
172026	6002	0.027130728
172026	6004	0.035882133
172027	6002	0.019542368
172027	6010	0.079397953
172028	6002	0.041929879
172028	6010	0.011104244
172029	6002	0.020076485
172035	6005	0.046435787
172038	14065	0.035159406
172039	14065	0.126509349
172040	14065	0.10888552
172061	14049	0.009891765
172061	16012	0.010176309
172061	16089	0.044970945
172062	14049	0.069706958
172062	16012	0.029221736
172063	14049	0.000814003
172063	16012	0.011273978
172068	16012	0.036980135
172086	16033	0.076390069
172100	16009	0.078701539
173051	14022	0.046107805
173052	14022	0.146777758
173053	14022	0.009300199
173071	6007	0.010610365
173072	6007	0.000941257
173072	6008	0.020162039
173085	6003	0.017972129
173085	6010	0.048192215
173086	6010	0.161465593
173087	6010	0.026206354
173088	6002	0.004079745
173088	6005	0.003405628
173089	6005	0.053355419
173092	6005	0.030814466
173093	6005	0.034500956
173094	6005	0.016355084
173099	14065	0.10834004
173127	16012	0.004632211
173128	16012	0.035816338
173144	16102	0.00558038
173145	16033	0.018548887
173145	16102	0.01811861
173159	16009	0.085404785
174109	14022	0.028867629
174109	14043	0.023623151
174110	14022	0.020630856
174110	14043	0.004987174
174111	14022	0.06643031
174131	6008	0.085962194
174140	6010	0.057599826
174141	6010	0.085167386
174142	6003	0.003449326
174142	6010	0.024328529
174143	6003	0.049025242
174143	6010	0.054652806
174144	6010	0.020321425
174145	6003	0.161600258
174145	6010	0.031671933
174148	6005	0.001369877
174149	6005	0.088035332
174150	6005	0.082029681
174151	6005	0.003323412
174152	6005	0.041396347
174158	14065	0.104762777
174187	16012	0.030402971
174188	16012	0.015320587
174203	16102	0.003807665
174204	16102	0.031607217
174218	16009	0.041161434
174218	16079	0.041905557
174219	16009	0.003094397
174219	16079	0.030296738
175163	14043	0.030314607
175166	14043	0.007491039
175167	14022	0.001581157
175167	14043	0.029257556
175168	14022	0.03422422
175168	14043	0.007736548
175170	14022	0.067875431
175190	6008	0.026129908
175191	6008	0.104263409
175192	6008	0.002312302
175197	6010	0.02398375
175198	6010	0.104795173
175199	6010	0.034155979
175201	6003	0.016801022
175201	6010	0.044880778
175202	6003	0.03642897
175202	6010	0.021438819
175204	6003	0.152677593
175208	6005	0.009853461
175209	6005	0.062111244
175210	6005	0.089814482
175211	6005	0.042437517
175217	14065	0.067969352
175217	14087	0.022248265
175246	16012	0.00380194
175247	16012	0.045825766
175252	16083	0.060258651
175253	16083	0.026541472
175262	16102	0.013937414
175263	16102	0.015537916
175268	16087	0.617943892
175277	16079	0.097845026
175278	16079	0.008269305
176222	14043	0.004371491
176223	14043	0.02727652
176224	14043	0.034493979
176225	14043	0.023245433
176229	14022	0.054693004
176229	14043	0.024119001
176251	6008	0.096406278
176256	6008	0.018020032
176257	6008	0.035910192
176257	6010	0.024975559
176263	6003	0.023380306
176264	6003	0.100928579
176269	6005	0.07068929
176270	6005	0.060229939
176276	14087	0.040922747
176276	14108	0.007483197
176284	14087	0.058539812
176285	14049	0.101716628
176285	14087	0.039045499
176286	14049	0.186409747
176289	14049	0.023533665
176306	16012	0.024097011
176307	16012	0.015390776
176307	16083	0.126258451
176310	16083	0.071113726
176311	16083	0.124696045
176315	16058	0.080422608
176315	16083	0.034586426
176316	16058	0.123713649
176322	16102	0.056164252
176323	16102	0.00275116
176327	16087	0.382056108
176327	16111	0.055734803
176336	16079	0.079696131
176337	16079	0.020750176
177280	14043	0.016802012
177281	14043	0.031394896
177282	14043	0.049367371
177288	14043	0.005438943
177289	14043	0.024711691
177310	6008	0.029229435
177311	6008	0.100578855
177312	6008	0.010306731
177315	6008	0.082995673
177323	6003	0.069823935
177324	6003	0.046808517
177327	6005	0.030936255
177328	6005	0.068175543
177329	6005	0.058806164
177329	14103	0.020410058
177330	14103	0.036651217
177335	14108	0.052907944
177343	14087	0.053841713
177345	14049	0.096409863
177346	14049	0.284027055
177347	14049	0.178236298
177348	14049	0.023632274
177366	16083	0.083736061
177367	16083	0.088892944
177369	16083	0.148600655
177375	16058	0.130263238
177376	16058	0.253117908
177377	16058	0.173170691
177378	16058	0.096297923
177381	16102	0.024675511
177382	16102	0.041091668
177385	16111	0.021696351
177386	16111	0.122483043
177395	16079	0.077450896
177396	16079	0.03698711
177398	16079	0.029224244
177399	16079	0.110095237
177400	16079	0.036494071
178339	14043	0.03032806
178348	14043	0.035864336
178349	14043	0.011455037
178370	6008	0.03449519
178371	6008	0.098503059
178372	6008	0.095954865
178373	6008	0.056487189
178374	6008	0.047756683
178383	6003	0.109689377
178383	6010	0.012147569
178384	6010	0.113068513
178385	6005	0.037023893
178385	6010	0.016510584
178386	6005	0.023068835
178388	6005	0.011527115
178388	14103	0.198177348
178389	14103	0.208935469
178390	14103	0.031984585
178393	14108	0.006835349
178394	14087	0.022817731
178394	14108	0.046511218
178395	14087	0.053925392
178401	14087	0.009294631
178402	14087	0.064249083
178426	16068	0.065186346
178426	16083	0.038742302
178428	16083	0.144921978
178437	16058	0.105806184
178438	16058	0.037207799
178440	16102	0.032952475
178441	16102	0.080136968
178442	16102	0.033470163
178443	16102	0.020630521
178443	16111	0.018567323
178444	16111	0.121812113
178445	16111	0.224435957
178446	16111	0.080343543
178455	16079	0.080107938
178456	16079	0.192542703
178457	16079	0.077993777
178459	16066	0.004354687
178459	16079	0.026435811
178459	16082	0.095338716
179396	14043	0.020570981
179397	14043	0.033047168
179398	14043	0.014801096
179408	14043	0.030851029
179432	6008	0.054525966
179441	6003	0.070434486
179442	6003	0.140980261
179442	6010	0.00393501
179448	14103	0.184582133
179449	14103	0.272115144
179450	14103	0.047144047
179450	14108	0.02278158
179454	14087	0.043474389
179454	14108	0.020549619
179455	14087	0.011286218
179457	14087	0.002572458
179458	14087	0.079068862
179459	14085	0.011493221
179459	14087	0.062363489
179460	14087	0.06944862
179485	16068	0.145396757
179486	16068	0.108328777
179487	16068	0.038831201
179487	16083	0.051651288
179499	16102	0.036342785
179500	16102	0.001950239
179501	16102	0.040046335
179502	16102	0.02075989
179502	16111	0.019404328
179503	16102	0.010505304
179503	16111	0.010159823
179504	16111	0.00353794
179505	16090	0.00361393
179505	16111	0.052959167
179515	16066	0.028623651
179515	16079	0.033448377
180454	14043	0.005707263
180455	14043	0.023227457
180467	14043	0.034344664
180468	14043	0.015693762
180472	14021	0.009751272
180472	14027	0.08930969
180472	14043	0.000270509
180473	14027	0.171257672
180474	14027	0.168975979
180475	14027	0.162422658
180476	14027	0.162311589
180477	14027	0.181354783
180478	14027	0.064367628
180509	14108	0.055290295
180512	14108	0.003864901
180513	14087	0.01673672
180513	14108	0.064296362
180514	14087	0.038288613
180514	14108	0.00805244
180515	14087	0.059747211
180516	14087	0.086950435
180517	14087	0.020832327
180544	16068	0.022192499
180545	16068	0.069514652
180558	16102	0.025950436
180562	16102	0.004053282
180562	16111	0.094375127
180563	16111	0.104687338
180564	16090	0.151104012
180564	16111	0.069803144
180569	16066	0.014986937
180570	16066	0.011766046
180574	16066	0.048105535
180577	16066	0.005806873
181512	14043	2.94781E-05
181513	14043	0.054698395
181527	14043	0.031734311
181528	14043	0.022408934
181530	14021	0.010776012
181531	14021	0.023869037
181531	14043	0.012326081
181568	14108	0.00529399
181569	14108	0.054073518
181570	14108	0.045850812
181571	14108	0.05360716
181574	14087	0.045923727
181604	16068	0.084082917
181613	16102	0.004202646
181614	16102	0.030883548
181615	16102	0.023331597
181616	16102	0.002252339
181617	16102	0.025709032
181623	16090	0.040677469
181624	16090	0.177713138
181625	16090	0.346502655
181626	16066	0.016792769
181626	16079	0.002245124
181626	16090	0.078413363
181627	16066	0.0573525
181627	16079	0.01821178
181628	16066	0.040796483
181629	16066	0.050282992
181630	16066	0.041632747
181631	16066	0.012402761
181633	16066	0.04187131
181634	16066	0.013607031
181636	16039	1
181636	16066	0.020153261
182571	14043	0.003976537
182572	14043	0.030993725
182587	14043	0.003223259
182588	14043	0.025621146
182589	14021	0.032412672
182589	14043	0.021336587
182590	14021	0.060536989
182628	14108	0.107521887
182629	14108	0.082110876
182632	14087	0.018706773
182633	14087	0.039502344
182663	16068	0.055806373
182664	16068	0.117126267
182671	16102	0.016191076
182672	16102	0.029610566
182674	16102	0.015367513
182675	16102	0.025665677
182676	16102	0.03644665
182686	16066	0.043300224
182689	16032	0.075248438
182689	16066	0.022563903
182690	16066	0.072997477
182691	16066	0.079160552
182692	16066	0.05730775
182693	16066	0.058292296
182694	16066	0.076342546
182695	16066	0.074196988
183630	14043	0.031599845
183649	14021	0.054880165
183650	14021	0.024307925
183687	14108	0.046825574
183688	14108	0.047719278
183689	14108	0.059995962
183691	14087	0.020369955
183692	14087	0.003091961
183692	14121	0.043980972
183695	14085	0.003153057
183721	16068	0.045209601
183722	16068	0.057787105
183723	16068	0.086541773
183724	16068	0.08358539
183725	16068	0.011155703
183725	16102	0.023487765
183726	16102	0.031226908
183727	16075	0.058735053
183727	16102	0.018467477
183728	16075	0.025395124
183728	16102	0.00386183
183729	16102	0.036862224
183730	16102	0.022734011
183734	16102	0.00263712
183735	16102	0.038939803
183744	16066	0.005433648
183744	16090	0.089341963
183745	16066	0.01383649
183747	16032	0.055162322
183748	16032	0.134094011
183750	16066	0.004309323
183751	16066	0.025915712
183751	16100	0.080860147
183752	16066	0.056506979
184689	14043	0.027660314
184709	14021	0.091522911
184710	14021	0.012939062
184746	14108	0.051487937
184748	14108	0.052600606
184751	14108	0.000726636
184751	14121	0.075838096
184754	14085	0.054897973
184755	14085	0.00829753
184779	16075	0.025279293
184780	16068	0.00925464
184780	16075	0.179473119
184787	16075	0.056755405
184787	16102	0.006499338
184788	16102	0.024173949
184793	16065	0.020939895
184793	16102	0.026350078
184802	16056	0.140613155
184802	16090	0.004983476
184803	16090	0.107649994
184806	16032	0.186089585
184810	16100	0.08451463
184811	16066	0.00130053
184811	16100	0.292033036
185747	14043	0.009466588
185748	14043	0.020191007
185768	14021	0.032316016
185769	14021	0.05408155
185788	14099	0.125977806
185789	14099	0.01510034
185793	14099	0.00347776
185794	14099	0.088989427
185804	14108	0.028628849
185805	14108	0.022996181
185807	14108	0.025614567
185808	14108	0.014104495
185808	14121	0.043549
185809	14121	0.070292504
185810	14121	0.023559333
185812	14085	0.040305797
185813	14085	0.067741918
185838	16075	0.052449423
185838	16095	0.011934902
185839	16075	0.054346559
185847	16021	0.03737363
185847	16102	0.035028661
185848	16021	0.171628372
185849	16021	0.10862036
185852	16065	0.091651506
185853	16065	0.0516761
185859	16056	0.072519245
185860	16056	0.194734288
185861	16056	0.134475344
185865	16032	0.036627037
185866	16032	0.18626415
185867	16032	0.141701741
185870	16100	0.204392292
186804	14043	0.00594729
186805	14043	0.028266867
186806	14043	0.025377656
186825	14021	0.020147659
186825	14068	0.001547654
186826	14021	0.063433006
186827	14021	0.041685064
186828	14021	0.052972983
186829	14021	0.096748354
186847	14099	0.150743318
186848	14099	0.105701734
186853	14099	0.073957192
186853	14113	0.027216184
186856	14113	0.017883473
186858	14113	0.025929505
186859	14113	0.002367289
186861	14023	0.077404914
186862	14023	0.015149706
186863	14023	0.001663247
186863	14108	0.012268767
186863	14121	0.056578353
186864	14121	0.078046741
186865	14121	0.075171702
186866	14121	0.0898342
186867	14121	0.067266609
186868	14121	0.099758163
186871	14085	0.066291972
186897	16095	0.119743292
186898	16095	0.007540822
186899	16075	0.002850429
186900	16075	0.009111651
186905	16021	0.024200937
186906	16021	0.193186242
186907	16021	0.015006505
186912	16065	0.099179523
186913	16065	0.057517335
186917	16056	0.071727508
186918	16056	0.226950778
186926	16032	0.169332727
186929	16100	0.144018402
186930	16073	0.013871145
186930	16100	0.194181493
186931	16073	0.011878298
187863	14043	0.031443369
187883	14068	0.042110482
187884	14068	0.247878354
187888	14021	0.057935318
187907	14099	0.215657501
187908	14099	0.16776941
187908	14113	0.010941381
187909	14099	0.052625514
187909	14113	0.027828718
187910	14113	0.013678651
187912	14113	0.059620219
187913	14113	0.042554024
187914	14113	0.037903852
187915	14113	0.023245405
187916	14113	0.049591
187917	14113	0.025342428
187918	14113	0.040006491
187919	14023	0.06155478
187919	14113	0.003815833
187920	14023	0.008310564
187921	14023	0.059771043
187922	14023	0.128331868
187922	14121	0.077807602
187923	14121	0.014145283
187925	14121	0.068897652
187926	14121	0.02762328
187927	14121	0.0800795
187930	14085	0.058246088
187956	16095	0.135751641
187957	16075	0.022696976
187957	16095	0.077915291
187958	16075	0.114601884
187961	16075	0.006682503
187962	16075	0.039771032
187963	16075	0.084877381
187964	16021	0.221795045
187964	16075	0.00939371
187968	16065	0.075454184
187969	16065	0.057023416
187971	16065	0.08623067
187972	16065	0.175871266
187973	16065	0.11261916
187974	16024	0.034857335
187974	16065	0.07544291
187975	16024	0.143275947
187976	16024	0.020695649
187976	16056	0.158979681
187985	16032	0.000637278
187986	16032	0.014842711
187986	16073	0.153785037
187988	16073	0.074915941
187989	16073	0.112290374
187990	16073	0.189070803
188921	14043	0.004758991
188921	14100	0.029161837
188922	14043	0.008146846
188942	14068	0.242517243
188943	14068	0.012389052
188947	14021	0.047746408
188948	14021	0.054290604
188968	14113	0.000277149
188969	14113	0.068336565
188970	14113	0.055906059
188971	14113	0.002132174
188980	14023	0.053248366
188981	14023	0.122228687
188986	14085	0.046387803
188986	14121	0.00757101
188987	14085	0.059854018
188988	14085	0.064681097
188989	14085	0.096654748
189014	16095	0.073311639
189015	16095	0.155084123
189020	16075	0.063263113
189021	16075	0.157642076
189022	16075	0.036675271
189026	16021	0.150283286
189026	16065	0.013765527
189027	16021	0.007935497
189027	16065	0.058079944
189032	16024	0.029552236
189032	16065	0.022286848
189033	16024	0.202815151
189034	16024	0.147120702
189045	16073	0.001412366
189046	16073	0.212943052
189047	16073	0.148783463
189980	14100	0.041751625
190001	14068	0.385990553
190006	14021	0.02328554
190007	14021	0.078998871
190008	14015	0.027694926
190008	14021	0.055362582
190009	14015	0.100858437
190022	14106	0.141358809
190023	14106	0.198194424
190024	14106	0.165024155
190025	14106	0.211009989
190025	14113	0.005713299
190026	14106	0.151442631
190026	14113	0.01894356
190027	14113	0.040526527
190029	14113	0.039893047
190039	14023	0.126449159
190040	14023	0.094618693
190048	14085	0.001036081
190049	14085	0.075362427
190071	16095	0.012618887
190072	16095	0.123800715
190073	16095	0.033381016
190074	16091	0.080352201
190074	16095	0.056149932
190075	16095	0.022638881
190090	16024	0.105928546
190091	16024	0.13129188
190091	16065	0.002261716
190103	16016	0.009087634
190104	16016	0.090586498
190104	16073	0.010623092
190105	16016	0.032356361
190105	16073	0.070426428
191038	14100	0.021952485
191039	14100	0.020827398
191060	14068	0.067566662
191068	14015	0.077123268
191083	14102	0.066990518
191083	14113	0.008133944
191084	14106	0.132969992
191084	14113	0.008747887
191088	14113	0.031182547
191089	14113	0.051422426
191090	14113	0.034039112
191097	14023	0.020937929
191098	14023	0.038384319
191099	14023	0.106571742
191108	14085	0.004996645
191109	14085	0.080502332
191110	14085	0.013254565
191129	16019	0.071262485
191130	16019	0.075086126
191130	16095	0.048396438
191133	16091	0.206109866
191147	16024	0.012675221
191148	16024	0.087758409
191148	16025	0.039716094
191149	16024	0.084028924
191149	16025	0.102529614
191160	16016	0.024110022
191161	16016	0.125621028
191162	16016	0.099083372
191163	16016	0.027005324
192097	14100	0.040546685
192127	14015	0.074864959
192128	14015	0.073781974
192129	14015	0.046797562
192141	14102	0.215736857
192142	14102	0.015999955
192142	14113	0.0216881
192148	14113	0.025805427
192149	14113	0.025626646
192150	14113	0.052394934
192156	14023	0.033694824
192156	14079	0.007323924
192157	14079	0.022394919
192158	14023	0.051680159
192158	14079	0.009173102
192169	14085	0.052661
192170	14085	0.066330451
192171	14085	0.012619403
192187	16019	0.084189064
192188	16019	0.085329279
192191	16091	0.025074075
192192	16091	0.202699006
192208	16025	0.082406144
192217	16107	0.029438646
192218	16107	0.073843985
192219	16016	0.028227964
192219	16107	0.024942568
192220	16016	0.028513734
192221	16016	0.089079444
193155	14100	0.03614477
193156	14100	0.005205792
193186	14015	0.123465435
193188	14015	0.026065693
193189	14015	0.072013414
