GRIDCODE,CVE_ENTCVE_MUN,LTMxC,Lcelda,Frac
160369,06001,1340125.102,6045.606569,0.004511226
160369,06001,1340125.102,764.733843,0.000570644
160370,06001,1340125.102,92.47722214,6.90064E-05
160370,06001,1340125.102,5676.690386,0.004235941
160370,06001,1340125.102,302.6832653,0.000225862
160370,06001,1340125.102,219.8358094,0.000164041
160370,06001,1340125.102,2881.145634,0.002149908
160371,06001,1340125.102,2586.532203,0.001930068
160371,06001,1340125.102,1903.657635,0.001420507
160371,06001,1340125.102,3891.761199,0.002904028
160371,06009,713084.0604,3329.796413,0.004669571
160371,06009,713084.0604,480.0545538,0.000673209
160371,06009,713084.0604,837.1047878,0.001173922
160372,06009,713084.0604,12184.52305,0.017087078
160373,06009,713084.0604,6511.481536,0.009131436
160373,06009,713084.0604,2701.620961,0.003788643
160373,06009,713084.0604,10430.36297,0.014627116
160380,06006,249121.6321,3534.528775,0.014187964
160380,06006,249121.6321,1688.079748,0.006776127
160385,06002,2321767.063,3678.306893,0.00158427
160386,06002,2321767.063,2965.101817,0.001277088
160387,06002,2321767.063,186.6342164,8.03846E-05
160387,16026,143168.9538,242.921228,0.001696745
160387,16026,143168.9538,3594.287308,0.025105215
160388,16026,143168.9538,206.9428416,0.001445445
160400,14087,1917258.727,1068.007939,0.000557049
160400,16015,960253.6797,4024.964761,0.004191564
160401,16015,960253.6797,3823.927226,0.003982205
160414,16002,676399.0071,6182.968983,0.009141008
160416,16002,676399.0071,7020.71962,0.010379553
160417,16002,676399.0071,140.5304,0.000207763
160435,16055,287900.4486,4279.744908,0.014865364
160435,16055,287900.4486,2222.216339,0.007718697
160445,16035,621371.7709,4555.116281,0.007330742
160446,16035,621371.7709,1599.995667,0.002574941
160446,16035,621371.7709,4236.297328,0.006817653
160446,16035,621371.7709,2545.751242,0.004096986
160447,16035,621371.7709,1132.3564,0.001822349
161421,06007,3365013.159,4983.591932,0.001481002
161422,06007,3365013.159,13090.63103,0.003890217
161423,06007,3365013.159,11150.774,0.003313739
161426,06001,1340125.102,6561.012707,0.004895821
161427,06001,1340125.102,1343.902334,0.001002819
161428,06001,1340125.102,146.7268347,0.000109487
161429,06001,1340125.102,3686.74793,0.002751048
161430,06001,1340125.102,6976.857055,0.005206124
161432,06009,713084.0604,1907.114298,0.002674459
161433,06009,713084.0604,10428.74118,0.014624841
161433,06009,713084.0604,5319.961973,0.007460498
161433,06009,713084.0604,3813.911137,0.005348473
161434,06009,713084.0604,871.2926448,0.001221865
161438,06006,249121.6321,1848.551347,0.007420276
161439,06006,249121.6321,3018.68797,0.012117326
161444,06002,2321767.063,3049.886382,0.001313606
161444,06002,2321767.063,1646.90156,0.000709331
161445,06002,2321767.063,106.9347958,4.60575E-05
161445,06002,2321767.063,5600.394649,0.002412126
161445,06002,2321767.063,3351.55368,0.001443536
161445,06002,2321767.063,137.8035874,5.93529E-05
161460,14087,1917258.727,318.4721015,0.000166108
161460,16015,960253.6797,6932.74374,0.0072197
161461,16015,960253.6797,6337.329913,0.006599641
161462,16015,960253.6797,278.0143551,0.000289522
161469,16089,2071585.463,326.9381163,0.00015782
161473,16002,676399.0071,5478.591104,0.008099644
161473,16002,676399.0071,2301.746839,0.003402942
161473,16002,676399.0071,1639.872278,0.002424416
161474,16002,676399.0071,89.65448037,0.000132547
161474,16002,676399.0071,2898.932767,0.004285832
161475,16002,676399.0071,8443.188039,0.012482555
161491,16055,287900.4486,1200.920524,0.004171305
161491,16064,505674.2737,1576.128084,0.003116884
161491,16064,505674.2737,2041.098555,0.00403639
161492,16055,287900.4486,6084.116157,0.021132708
161493,16055,287900.4486,6002.194279,0.020848159
161494,16055,287900.4486,2067.74151,0.007182141
161494,16055,287900.4486,2061.563797,0.007160683
161494,16055,287900.4486,3932.698826,0.013659926
161495,16055,287900.4486,2335.239194,0.008111273
161495,16055,287900.4486,425.0743154,0.001476463
161495,16055,287900.4486,3411.195772,0.011848525
161505,16035,621371.7709,10678.45964,0.017185299
161507,16035,621371.7709,176.2365638,0.000283625
162478,06007,3365013.159,5099.410827,0.001515421
162479,06007,3365013.159,949.735157,0.000282238
162479,06007,3365013.159,242.6800367,7.21186E-05
162479,06007,3365013.159,5280.921568,0.001569361
162479,06007,3365013.159,11155.73654,0.003315213
162480,06007,3365013.159,8026.563499,0.002385299
162484,06007,3365013.159,2421.123118,0.000719499
162485,06001,1340125.102,3630.509721,0.002709083
162485,06007,3365013.159,1523.374222,0.00045271
162487,06001,1340125.102,3131.128821,0.002336445
162489,06001,1340125.102,1283.799811,0.00095797
162490,06001,1340125.102,5173.764426,0.003860658
162491,06009,713084.0604,1505.224762,0.002110866
162491,06009,713084.0604,3090.130052,0.004333472
162492,06009,713084.0604,1797.971983,0.002521403
162493,06009,713084.0604,14037.28156,0.019685311
162495,06006,249121.6321,1177.279551,0.004725722
162496,06006,249121.6321,1607.440672,0.006452433
162496,06006,249121.6321,6088.579391,0.024440187
162496,06006,249121.6321,1800.404656,0.007227011
162496,06006,249121.6321,548.8278885,0.002203052
162497,06006,249121.6321,2053.726703,0.008243871
162502,06002,2321767.063,992.5971938,0.000427518
162503,06002,2321767.063,6780.1936,0.002920273
162504,06002,2321767.063,7542.784352,0.003248726
162509,14065,1038395.646,1508.829946,0.00145304
162509,14065,1038395.646,2194.403449,0.002113263
162521,16015,960253.6797,6575.941811,0.00684813
162521,16089,2071585.463,245.5085418,0.000118512
162522,16089,2071585.463,6266.021453,0.003024747
162533,16002,676399.0071,5667.953864,0.008379601
162533,16002,676399.0071,2457.79683,0.003633649
162533,16002,676399.0071,5810.904297,0.008590941
162534,16002,676399.0071,1452.328983,0.002147148
162547,16006,916516.9126,1539.554203,0.001679788
162547,16064,505674.2737,1805.508831,0.003570498
162548,16064,505674.2737,1568.397508,0.003101596
162548,16064,505674.2737,5100.608636,0.010086747
162548,16064,505674.2737,2674.657199,0.005289289
162549,16064,505674.2737,6517.276099,0.012888289
162550,16064,505674.2737,1125.87571,0.002226484
162550,16064,505674.2737,2438.865602,0.004822997
162550,16064,505674.2737,223.8882971,0.000442752
162550,16064,505674.2737,3938.98268,0.007789565
162550,16064,505674.2737,218.2513003,0.000431605
162550,16064,505674.2737,540.7699902,0.001069404
162550,16064,505674.2737,235.0647522,0.000464854
162550,16064,505674.2737,253.0151304,0.000500352
162554,16055,287900.4486,12725.17674,0.04419992
162563,16035,621371.7709,5577.123578,0.008975502
162564,16035,621371.7709,3081.352193,0.004958951
163535,06007,3365013.159,6968.319104,0.002070815
163536,06007,3365013.159,6279.887527,0.00186623
163537,06007,3365013.159,1675.337834,0.00049787
163537,06007,3365013.159,3594.4852,0.001068194
163538,06007,3365013.159,7459.029804,0.002216642
163538,06007,3365013.159,1129.767719,0.000335739
163538,06007,3365013.159,9886.005266,0.00293788
163538,06007,3365013.159,4509.316434,0.001340059
163539,06007,3365013.159,7748.425547,0.002302643
163540,06007,3365013.159,7852.966369,0.00233371
163541,06007,3365013.159,6305.170626,0.001873743
163542,06007,3365013.159,6027.722282,0.001791292
163543,06007,3365013.159,4384.350117,0.001302922
163546,06001,1340125.102,3919.044994,0.002924387
163546,06001,1340125.102,1119.521816,0.000835386
163549,06001,1340125.102,6327.409835,0.004721507
163550,06009,713084.0604,516.110797,0.000723773
163551,06009,713084.0604,5567.025482,0.007806969
163552,06009,713084.0604,5291.235958,0.007420213
163553,06009,713084.0604,11636.48749,0.016318535
163553,06009,713084.0604,4187.073309,0.005871781
163553,06009,713084.0604,879.8271607,0.001233834
163554,06006,249121.6321,1129.188152,0.004532678
163554,06009,713084.0604,2804.947631,0.003933544
163554,06009,713084.0604,5347.472205,0.007499077
163555,06006,249121.6321,6319.257093,0.025366152
163561,06002,2321767.063,6801.984363,0.002929658
163563,06002,2321767.063,6816.915401,0.002936089
163568,14065,1038395.646,3250.826222,0.003130624
163581,16089,2071585.463,1783.528169,0.000860948
163582,16089,2071585.463,7639.301538,0.003687659
163583,16089,2071585.463,2493.596745,0.001203714
163592,16002,676399.0071,1023.451227,0.001513088
163593,16002,676399.0071,7865.074177,0.011627862
163593,16012,1642052.455,538.3377705,0.000327844
163594,16012,1642052.455,942.6126596,0.000574045
163605,16006,916516.9126,4996.407388,0.005451517
163606,16006,916516.9126,3755.984375,0.004098107
163607,16064,505674.2737,6529.991372,0.012913434
163613,16055,287900.4486,6344.32918,0.022036538
163613,16055,287900.4486,597.9632228,0.002076979
163623,16009,1182044.004,4957.480599,0.00419399
163623,16035,621371.7709,3617.096042,0.005821146
164594,06007,3365013.159,6736.718579,0.002001989
164594,06007,3365013.159,540.8050081,0.000160714
164595,06007,3365013.159,4393.264666,0.001305571
164596,06007,3365013.159,5165.138294,0.001534953
164596,06007,3365013.159,8919.524847,0.002650666
164596,06007,3365013.159,5372.32408,0.001596524
164597,06007,3365013.159,6654.988137,0.0019777
164597,06007,3365013.159,1186.27012,0.000352531
164597,06007,3365013.159,7153.946735,0.002125979
164598,06007,3365013.159,2484.013861,0.000738188
164605,06001,1340125.102,6608.313561,0.004931117
