GRIDCODE	CVE_ENTCVE_MUN	fter
159321	6006	0.092045343
159322	6006	0.214677597
159326	6002	0.044559691
159329	16026	0.206182006
159330	16026	0.150362556
159331	16026	0.17170058
159332	16026	0.162038963
159333	16026	0.135839561
159358	16002	0.221704737
159359	16002	0.01995909
159359	16006	1
159388	16035	0.447271939
159390	16035	0.021353359
159391	16035	0.025968095
160370	6001	0.072936709
160380	6006	0.130365872
160385	6002	0.0442286
160387	16026	0.16441033
160388	16026	0.009466005
160416	16002	0.194263048
160417	16002	0.003888471
160446	16035	0.333815412
160447	16035	0.148481914
161428	6001	0.003714416
161429	6001	0.093330673
161438	6006	0.046143226
161439	6006	0.075351979
161444	6002	0.01980263
161445	6002	0.041956637
161469	16089	0.019158261
161473	16002	0.045375204
161474	16002	0.080213361
161475	16002	0.233622696
161491	16064	0.056343245
161507	16035	0.023109281
162487	6001	0.079265077
162496	6006	0.058641146
162497	6006	0.051264779
162504	6002	0.090695748
162509	14065	0.091869323
162533	16002	0.160787504
162534	16002	0.040185888
162550	16064	0.034425446
163546	6001	0.127552206
163555	6006	0.157740228
163563	6002	0.081967773
163568	14065	0.080646066
164605	6001	0.167290621
164614	6006	0.163876178
164622	6002	0.10716222
164627	14065	0.080033575
165664	6001	0.169443177
165673	6002	0.070534723
165673	6006	0.009893653
165680	6002	0.074956989
165681	6002	0.002521899
165685	14065	0.016060303
165686	14065	0.07336311
165710	16012	0.061372759
165711	16012	0.117752853
165731	16055	0.679286881
165732	16055	0.311388694
165740	16059	0.027306701
166722	6001	0.167444215
166723	6001	0.003254786
166731	6002	0.011896944
166732	6002	0.063673222
166739	6002	0.082702719
166744	14065	0.028950593
166745	14065	0.047264235
166769	16012	0.273273381
166790	16055	0.009324425
166790	16064	0.079434099
167781	6001	0.023772109
167782	6001	0.091996014
167782	6004	0.056218866
167787	6004	0.034189733
167788	6004	0.102930364
167789	6002	0.032618232
167789	6004	0.015364164
167790	6002	0.127928327
167798	6002	0.075981371
167803	14065	0.152058119
167804	14065	0.071841952
167827	16012	0.001306906
167828	16012	0.241539993
167845	16064	0.091202752
168841	6004	0.09305835
168842	6004	0.183207769
168843	6004	0.020583073
168844	6004	0.052263346
168847	6004	0.200566441
168848	6004	0.109801534
168857	6002	0.024442148
168858	6002	0.002370126
168861	14065	0.004816161
168862	14065	0.07836261
168880	16089	0.015486129
168882	16089	0.024376731
168886	16012	0.013605243
168904	16064	0.337598228
168905	16064	0.011738224
168916	16059	0.175464638
168917	16059	0.25562195
168918	16009	0.049935754
168918	16059	0.260484811
168919	16009	0.13736196
168920	16009	0.106125409
168921	16009	0.054257692
169893	6007	0.082441846
169894	6007	0.114179163
169901	6004	0.007315449
169902	6004	0.124500911
169920	14065	0.091548728
169939	14049	0.001156082
169939	16089	0.322154467
169940	14049	0.026020215
169940	16089	0.500580388
169941	16089	0.118244024
169963	16064	0.04750305
169964	16064	0.180485869
169974	16059	0.04017857
169982	16009	0.026908364
169983	16009	0.394576441
169984	16009	0.011817007
170951	6007	0.074597915
170952	6007	0.079559165
170978	14065	0.010901986
170979	14065	0.027513926
170986	14087	0.036970418
170987	14087	0.078956953
170988	14087	0.004767264
170999	14049	0.075573519
171005	14049	0.002927489
171005	16012	0.001147317
171006	14049	0.019620606
171023	16064	0.161269088
171033	16059	0.121744949
171040	16009	0.002615451
171041	16009	0.079851981
171043	16009	0.099033968
171044	16009	0.000854266
171044	16082	0.515381546
171045	16082	0.476918245
172009	6007	0.136744517
