GRIDCODE,CVENTMUN,Furb,Frur,Fpob
1990890,14097,0.000453868,,0.000453868
1990891,14070,1.4869E-05,,1.4869E-05
1990891,14097,0.001060784,,0.001060784
1990892,14070,0.033826984,,0.033826984
1990893,14070,0.00290689,,0.00290689
1990895,14070,0,,0
1990896,14070,0.003464478,,0.003464478
1990897,14070,0.011478871,,0.011478871
1990898,14070,0.023522764,,0.023522764
1990899,14051,0.440271543,,0.440271543
1990899,14070,0.001196955,,0.001196955
1990900,14051,0.071608453,,0.071608453
1994044,14097,2.37489E-05,,2.37489E-05
1994045,14097,0.000253322,,0.000253322
1994046,14097,0.010291188,,0.010291188
1994047,14097,0.006422757,0.000106211,0.005851771
1994049,14097,0.000118744,,0.000118744
1994050,14097,0.003781352,0.000132763,0.003451537
1994051,14097,0.00934651,5.31053E-05,0.00850643
1994052,14097,,0.000265527,0.000265527
1994053,14097,0.001942132,,0.001942132
1994054,14097,0.012866624,,0.012866624
1994055,14097,0.035275025,,0.035275025
1994056,14097,0.031636167,,0.031636167
1994057,14097,0.016151887,0.000955896,0.014778242
1994058,14097,0.002678348,,0.002678348
1994059,14097,,0.000106211,0.000106211
1994060,14097,,0.029287592,0.029287592
1994061,14097,,0.000424843,0.000424843
1994063,14097,2.63877E-05,,2.63877E-05
1994065,14097,,0.003504952,0.003504952
1994069,14070,0.003546257,,0.003546257
1994070,14070,0.044406281,,0.044406281
1994071,14070,0.003442174,,0.003442174
1994073,14070,2.23035E-05,,2.23035E-05
1994074,14070,0.000483243,0.004034427,0.000578762
1994075,14070,0.018311179,,0.018311179
1994076,14070,0.061490766,,0.061490766
1994077,14051,0.057045878,,0.057045878
1994077,14070,0.014571624,,0.014571624
1994078,14051,0.022336582,,0.022336582
1994080,14051,,0.000734394,0.000734394
1997217,14097,,0.000212421,0.000212421
1997218,14097,,0.000212421,0.000212421
1997219,14097,,5.31053E-05,5.31053E-05
1997221,14097,0,,0
1997222,14097,0.000348317,0.000159316,0.000331232
1997223,14097,0.001636035,,0.001636035
1997224,14097,0.013090919,0.000743475,0.011974769
1997225,14097,0.004594092,,0.004594092
1997226,14097,0.003050414,,0.003050414
1997227,14097,0.008130038,0.002655267,0.007635145
1997228,14097,0.021875371,,0.021875371
1997229,14097,0.009000831,,0.009000831
1997230,14097,,0.002442845,0.002442845
1997232,14097,0.005670708,,0.005670708
1997233,14097,0.028408956,,0.028408956
1997234,14097,0.015682187,,0.015682187
1997235,14097,0.016682279,0.04888346,0.019593112
1997236,14097,0.000269154,0.020339343,0.002083403
1997237,14097,,7.9658E-05,7.9658E-05
1997238,14097,,0.000504501,0.000504501
1997242,14097,,0.001115212,0.001115212
1997243,14097,,0.023074268,0.023074268
1997248,14070,0.001918102,0.001613771,0.001909916
1997249,14070,7.4345E-05,,7.4345E-05
1997251,14070,,0.00591716,0.00591716
1997253,14070,0.001219258,0.005379236,0.001331153
1997254,14070,0.016757368,,0.016757368
1997255,14070,0.006259851,,0.006259851
1997257,14051,,0.32753978,0.32753978
2000396,14097,,0.00159316,0.00159316
2000397,14097,,0.001725923,0.001725923
2000398,14097,,0.002416293,0.002416293
2000399,14097,9.23568E-05,,9.23568E-05
2000400,14097,0.000915652,,0.000915652
2000401,14097,0.004892272,,0.004892272
2000402,14097,0.01244706,,0.01244706
2000403,14097,0.004422572,,0.004422572
2000404,14097,0.00671566,,0.00671566
2000404,14098,1.66397E-06,,1.66397E-06
2000405,14097,0.004786722,0.000106211,0.004363626
2000405,14098,0.000139774,,0.000139774
2000406,14097,0.018877733,,0.018877733
2000407,14097,0.008304197,0.000743475,0.007620744
2000408,14097,1.05551E-05,0.008390643,0.000768075
2000409,14097,,0.000451395,0.000451395
2000410,14097,0.002351141,,0.002351141
2000411,14097,0.003206101,,0.003206101
2000412,14097,0.001828665,,0.001828665
2000413,14097,0.003343317,0.016303338,0.004514841
2000414,14097,0.000635943,,0.000635943
2000415,14097,0.001190084,,0.001190084
2000416,14097,0.005557241,,0.005557241
2000417,14097,0.000316652,0.000876238,0.000367236
2000418,14070,8.9214E-05,,8.9214E-05
2000418,14097,,0.00159316,0.00159316
2000419,14070,0.001011092,,0.001011092
2000420,14070,0.014095816,,0.014095816
2000421,14070,0.025039403,,0.025039403
2000422,14070,0.016809409,,0.016809409
2000423,14070,0.003338091,,0.003338091
2000424,14070,4.4607E-05,,4.4607E-05
2000425,14070,,0.514523938,0.514523938
2000429,14101,,0.001658375,0.001658375
2000431,14101,,0.001073066,0.001073066
2000432,14070,,0.001075847,0.001075847
2000432,14101,,0.00468247,0.00468247
2000433,14070,7.4345E-05,,7.4345E-05
2000435,14051,,0.000244798,0.000244798
2003575,14097,,0.000531053,0.000531053
2003576,14097,2.11101E-05,0.00039829,5.52054E-05
2003577,14097,0.000200546,,0.000200546
2003578,14097,0.000329846,,0.000329846
2003579,14097,0.001936854,0.001035554,0.001855381
2003580,14097,0.016048975,,0.016048975
2003581,14097,0.007731585,0.002841135,0.007289511
2003581,14098,5.6575E-05,,5.6575E-05
2003582,14097,0.001401185,,0.001401185
2003582,14098,0.002559187,,0.002559187
2003583,14097,0.000453868,,0.000453868
2003583,14098,0.006354705,,0.006354705
2003584,14098,0.001557477,,0.001557477
2003585,14097,,0.000955896,0.000955896
2003585,14098,,0.003218584,0.003218584
2003586,14097,,0.001672818,0.001672818
2003590,14097,0.008470439,,0.008470439
2003591,14097,0.017331416,,0.017331416
2003592,14097,0.002121568,0.02578264,0.004260416
2003593,14097,0.008539047,,0.008539047
2003593,14098,1.66397E-05,,1.66397E-05
2003594,14097,0.013040782,,0.013040782
2003595,14097,0.004351325,,0.004351325
2003596,14070,0.008148214,,0.008148214
2003596,14097,0.00017152,,0.00017152
2003597,14070,0.016207214,,0.016207214
2003598,14070,0.010921283,,0.010921283
2003599,14070,0.037886222,,0.037886222
2003600,14070,0.035804562,,0.035804562
2003601,14070,0.017084486,,0.017084486
2003602,14070,0.0014869,,0.0014869
2003604,14070,,0.001882733,0.001882733
2003607,14070,,0.001075847,0.001075847
2003608,14101,,0.001073066,0.001073066
2003611,14101,,0.001170618,0.001170618
2003612,14051,,0.00122399,0.00122399
2003613,14051,,0.035250918,0.035250918
2003616,14124,,0.005580226,0.005580226
2006756,14097,6.33304E-05,,6.33304E-05
2006757,14097,0.00141174,0.000185869,0.001300927
2006758,14097,0.002285171,,0.002285171
2006759,14097,0.006446506,,0.006446506
2006759,14098,3.16154E-05,,3.16154E-05
2006760,14097,0.000759965,,0.000759965
2006760,14098,0.00737472,,0.00737472
2006761,14098,0.010687686,,0.010687686
2006762,14098,0.001955166,0.034844668,0.002341651
2006764,14097,,0.020365896,0.020365896
2006766,14097,,5.31053E-05,5.31053E-05
2006767,14097,,0.000238974,0.000238974
2006768,14097,0.000187352,,0.000187352
2006769,14097,0.00476825,,0.00476825
2006769,14098,0.002421078,,0.002421078
2006770,14098,0.004885419,,0.004885419
2006771,14097,0.003309013,,0.003309013
2006771,14098,0.00089688,,0.00089688
2006772,14097,0.011138232,,0.011138232
2006773,14070,0.017515687,,0.017515687
2006773,14097,0.007982267,,0.007982267
2006774,14070,0.056539388,,0.056539388
2006774,14097,2.63877E-06,,2.63877E-06
2006775,14070,0.046294644,,0.046294644
2006776,14070,0.035269278,,0.035269278
2006777,14070,0.027916555,,0.027916555
2006778,14070,0.024147263,,0.024147263
2006779,14070,0.009702025,,0.009702025
2006780,14070,0.001234127,,0.001234127
2006781,14070,,0.001344809,0.001344809
2006783,14070,,0.019096288,0.019096288
2006786,14101,,0.000390206,0.000390206
2006787,14101,0.000979434,0,0.000957871
2006788,14101,0.00173048,0.036191591,0.002489176
2006789,14101,0.00032721,,0.00032721
2006790,14101,0.001980829,0.000975515,0.001958696
2006791,14101,2.85485E-05,,2.85485E-05
2006793,14051,,0.03378213,0.03378213
2009931,14097,,0.000212421,0.000212421
