GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5944018,08037,,0.000261643,0.000261643,,7644,2,7644
5944020,08037,3.70648E-05,,3.70648E-05,1324497,,49.0922007,1324497
5944021,08037,0.000809988,,0.000809988,1324497,,1072.826193,1324497
5944022,08037,0.00374288,,0.00374288,1324497,,4957.432936,1324497
5944023,08037,0.005321726,,0.005321726,1324497,,7048.609554,1324497
5944024,08037,0.005078548,,0.005078548,1324497,,6726.522041,1324497
5944025,08037,0.005186003,,0.005186003,1324497,,6868.845059,1324497
5944026,08037,0.004838492,,0.004838492,1324497,,6408.568108,1324497
5944027,08037,0.002805079,,0.002805079,1324497,,3715.318353,1324497
5944028,08037,0.002405137,,0.002405137,1324497,,3185.596548,1324497
5944029,08037,0.003037806,,0.003037806,1324497,,4023.564927,1324497
5944030,08037,0.003566245,,0.003566245,1324497,,4723.480336,1324497
5944031,08037,0.002442981,,0.002442981,1324497,,3235.720458,1324497
5944032,08037,0.001765349,,0.001765349,1324497,,2338.199973,1324497
5944033,08037,0.000832844,,0.000832844,1324497,,1103.098959,1324497
5944034,08037,0.000919761,,0.000919761,1324497,,1218.220527,1324497
5944035,08037,0.001045341,,0.001045341,1324497,,1384.551481,1324497
5944036,08037,0.00054218,,0.00054218,1324497,,718.1156638,1324497
5947198,08037,0.00027111,,0.00027111,1324497,,359.0840791,1324497
5947199,08037,0.005397094,,0.005397094,1324497,,7148.435023,1324497
5947200,08037,0.005579839,,0.005579839,1324497,,7390.479598,1324497
5947201,08037,0.005566507,,0.005566507,1324497,,7372.821958,1324497
5947202,08037,0.005467206,,0.005467206,1324497,,7241.29852,1324497
5947203,08037,0.006470737,,0.006470737,1324497,,8570.472119,1324497
5947204,08037,0.003940407,,0.003940407,1324497,,5219.056745,1324497
5947205,08037,0.002674185,,0.002674185,1324497,,3541.950585,1324497
5947206,08037,0.00446884,,0.00446884,1324497,,5918.965133,1324497
5947207,08037,0.002808181,,0.002808181,1324497,,3719.427123,1324497
5947208,08037,0.003398291,,0.003398291,1324497,,4501.02574,1324497
5947209,08037,0.002775042,,0.002775042,1324497,,3675.534232,1324497
5947210,08037,0.001060177,,0.001060177,1324497,,1404.201804,1324497
5947211,08037,0.000664148,,0.000664148,1324497,,879.6622769,1324497
5947212,08037,0.001423359,,0.001423359,1324497,,1885.234827,1324497
5947213,08037,0.0019834,,0.0019834,1324497,,2627.007866,1324497
5947214,08037,0.000414646,,0.000414646,1324497,,549.1972645,1324497
5950376,08037,0.000715594,,0.000715594,1324497,,947.8027658,1324497
5950377,08037,0.004610261,,0.004610261,1324497,,6106.277093,1324497
5950378,08037,0.005615783,,0.005615783,1324497,,7438.087911,1324497
5950379,08037,0.005422813,,0.005422813,1324497,,7182.499517,1324497
5950380,08037,0.005802032,,0.005802032,1324497,,7684.774241,1324497
5950381,08037,0.005449126,,0.005449126,1324497,,7217.351588,1324497
5950382,08037,0.002525254,,0.002525254,1324497,,3344.691201,1324497
5950383,08037,0.003231634,,0.003231634,1324497,,4280.289389,1324497
5950384,08037,0.002105602,,0.002105602,1324497,,2788.863936,1324497
5950385,08037,0.001321452,,0.001321452,1324497,,1750.259111,1324497
5950386,08037,0.00202749,,0.00202749,1324497,,2685.404832,1324497
5950387,08037,0.0025116,,0.0025116,1324497,,3326.606882,1324497
5950388,08037,0.003574071,,0.003574071,1324497,,4733.84579,1324497
5950389,08037,0.004081809,,0.004081809,1324497,,5406.34368,1324497
5950390,08037,0.003019892,,0.003019892,1324497,,3999.8381,1324497
5950391,08037,0.000678619,,0.000678619,1324497,,898.8293673,1324497
5953553,08037,,0.003270539,0.003270539,,7644,25,7644
5953554,08037,0.001547473,,0.001547473,1324497,,2049.623703,1324497
5953555,08037,0.004219493,,0.004219493,1324497,,5588.705447,1324497
5953556,08037,0.005347047,,0.005347047,1324497,,7082.148218,1324497
5953557,08037,0.005495034,,0.005495034,1324497,,7278.155997,1324497
5953558,08037,0.006392438,,0.006392438,1324497,,8466.765547,1324497
5953559,08037,0.005298895,,0.005298895,1324497,,7018.370384,1324497
5953560,08037,0.00202095,,0.00202095,1324497,,2676.741773,1324497
5953561,08037,0.004594142,,0.004594142,1324497,,6084.927186,1324497
5953562,08037,0.003050285,,0.003050285,1324497,,4040.092864,1324497
5953563,08037,0.00132169,,0.00132169,1324497,,1750.574716,1324497
5953564,08037,0.001614943,,0.001614943,1324497,,2138.9865,1324497
5953565,08037,0.000578189,,0.000578189,1324497,,765.8096743,1324497
5953566,08037,0.001736899,,0.001736899,1324497,,2300.517905,1324497
5953567,08037,0.002557244,,0.002557244,1324497,,3387.061808,1324497
5953568,08037,0.000264765,,0.000264765,1324497,,350.6801826,1324497
5956732,08037,8.30125E-05,,8.30125E-05,1324497,,109.949768,1324497
5956733,08037,0.002571441,,0.002571441,1324497,,3405.866507,1324497
5956734,08037,0.00485466,,0.00485466,1324497,,6429.982137,1324497
5956735,08037,0.005171851,,0.005171851,1324497,,6850.101364,1324497
5956736,08037,0.004677877,,0.004677877,1324497,,6195.833579,1324497
5956737,08037,0.001449577,,0.001449577,1324497,,1919.959861,1324497
5956738,08037,1.46251E-08,,1.46251E-08,1324497,,0.019370918,1324497
5956739,08037,6.8033E-05,,6.8033E-05,1324497,,90.10948385,1324497
5956740,08037,0.00076416,,0.00076416,1324497,,1012.127162,1324497
5956741,08037,0.001578932,,0.001578932,1324497,,2091.290116,1324497
5956742,08037,0.001529084,,0.001529084,1324497,,2025.267279,1324497
5956743,08037,0.000441626,,0.000441626,1324497,,584.9329303,1324497
5956744,08037,0.000213765,,0.000213765,1324497,,283.1305482,1324497
5956745,08037,4.39531E-07,,4.39531E-07,1324497,,0.582157811,1324497
5959910,08037,,0.000130822,0.000130822,,7644,1,7644
5959911,08037,0.001446238,,0.001446238,1324497,,1915.538268,1324497
5959912,08037,0.00390888,,0.00390888,1324497,,5177.299255,1324497
5959913,08037,0.003715947,,0.003715947,1324497,,4921.760031,1324497
5959914,08037,0.001097904,,0.001097904,1324497,,1454.169911,1324497
5959917,08037,0,,0,1324497,,0,1324497
5959918,08037,0,,0,1324497,,0,1324497
5959919,08037,0,,0,1324497,,0,1324497
5959920,08037,0,,0,1324497,,0,1324497
5963084,08037,,0.036237572,0.036237572,,7644,277,7644
5963085,08037,0.000297685,,0.000297685,1324497,,394.2829925,1324497
5963086,08037,0.00071583,,0.00071583,1324497,,948.1148978,1324497
5963087,08037,0.002589061,,0.002589061,1324497,,3429.203343,1324497
5963088,08037,0.001008891,,0.001008891,1324497,,1336.273636,1324497
5963089,08037,0.001347947,,0.001347947,1324497,,1785.351532,1324497
5963090,08037,0.002636044,,0.002636044,1324497,,3491.432964,1324497
5963091,08037,0.001740086,,0.001740086,1324497,,2304.73876,1324497
5966263,08037,0.000863417,,0.000863417,1324497,,1143.593312,1324497
5966264,08037,0.003527389,,0.003527389,1324497,,4672.015505,1324497
5966265,08037,0.002806969,,0.002806969,1324497,,3717.821984,1324497
5966266,08037,0.001155417,,0.001155417,1324497,,1530.347006,1324497
5966267,08037,0.000214094,,0.000214094,1324497,,283.5673038,1324497
5966268,08037,0.000774508,,0.000774508,1324497,,1025.832963,1324497
5969441,08037,3.50119E-05,,3.50119E-05,1324497,,46.3731696,1324497
5969442,08037,0.000932239,,0.000932239,1324497,,1234.747114,1324497
5969443,08037,0.000460165,,0.000460165,1324497,,609.4871528,1324497
