GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5896345,08037,,0.000523286,0.000523286,,7644,4,7644
5896349,08037,,0.000130822,0.000130822,,7644,1,7644
5896350,08037,7.14115E-06,,7.14115E-06,1324497,,9.458431368,1324497
5896351,08037,7.35181E-06,,7.35181E-06,1324497,,9.737446454,1324497
5896354,08037,5.18229E-05,,5.18229E-05,1324497,,68.63926817,1324497
5896355,08037,8.41137E-05,,8.41137E-05,1324497,,111.4083701,1324497
5896356,08037,5.34919E-05,,5.34919E-05,1324497,,70.8498708,1324497
5896357,08037,3.00692E-05,,3.00692E-05,1324497,,39.82662078,1324497
5896358,08037,7.37121E-06,,7.37121E-06,1324497,,9.763147701,1324497
5896361,08037,8.98806E-05,,8.98806E-05,1324497,,119.046564,1324497
5896362,08037,0.001427776,,0.001427776,1324497,,1891.085218,1324497
5896363,08037,0.004120389,,0.004120389,1324497,,5457.443286,1324497
5896364,08037,0.001061495,,0.001061495,1324497,,1405.94698,1324497
5896365,08037,0.004685771,,0.004685771,1324497,,6206.289575,1324497
5896366,08037,0.006881041,,0.006881041,1324497,,9113.918527,1324497
5896367,08037,0.003272962,,0.003272962,1324497,,4335.027967,1324497
5896368,08037,0.002708485,,0.002708485,1324497,,3587.379852,1324497
5896369,08037,0.000515157,,0.000515157,1324497,,682.3240346,1324497
5896370,08037,0.000576966,,0.000576966,1324497,,764.1891568,1324497
5896371,08037,0.001131096,,0.001131096,1324497,,1498.133484,1324497
5896372,08037,0.000149163,,0.000149163,1324497,,197.5662336,1324497
5899525,08037,,0.000915751,0.000915751,,7644,7,7644
5899526,08037,4.39019E-07,,4.39019E-07,1324497,,0.581479863,1324497
5899528,08037,4.06642E-05,,4.06642E-05,1324497,,53.85967651,1324497
5899529,08037,0.000109198,,0.000109198,1324497,,144.6320378,1324497
5899530,08037,1.05247E-05,,1.05247E-05,1324497,,13.9399942,1324497
5899532,08037,6.15974E-05,,6.15974E-05,1324497,,81.5855426,1324497
5899533,08037,9.23811E-05,,9.23811E-05,1324497,,122.358466,1324497
5899534,08037,8.5126E-05,,8.5126E-05,1324497,,112.7491667,1324497
5899535,08037,6.97891E-05,,6.97891E-05,1324497,,92.43542067,1324497
5899536,08037,4.46035E-05,,4.46035E-05,1324497,,59.07726226,1324497
5899537,08037,4.15727E-05,,4.15727E-05,1324497,,55.06286121,1324497
5899538,08037,0.000245165,,0.000245165,1324497,,324.7203883,1324497
5899539,08037,0.00222498,,0.00222498,1324497,,2946.979517,1324497
5899540,08037,0.003698507,,0.003698507,1324497,,4898.661721,1324497
5899541,08037,0.006275608,,0.006275608,1324497,,8312.023946,1324497
