GRIDCODE,CVENTMUN,F_Ter
5867776,8037,0.002077169
5870954,8037,0.052556813
5874132,8037,0.051201413
5877310,8037,0.051170782
5880487,8037,0.047324339
5880488,8037,0.019596244
5883663,8037,0.009124142
5883664,8037,0.059911886
5883665,8037,0.019661524
5886840,8037,0.026385584
5886841,8037,0.050138369
5890018,8037,0.051098609
5893196,8037,0.051228
5896373,8037,0.006801706
5896374,8037,0.045947958
5899551,8037,0.054437631
5902729,8037,0.053884896
5905906,8037,0.040257682
5905907,8037,0.011152532
5909084,8037,0.053125973
5912262,8037,0.058147403
5915439,8037,0.058163735
5915440,8037,0.001397535
5918616,8037,0.027052041
5918617,8037,0.031480666
5921794,8037,0.058634362
5924972,8037,0.008041006
