DB,Prof ID.,Chem.,Wt.,Chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,in DB,Code,Fract.,Description,Seq,Profile Start,,APIN,BCARY,BENZENE,BIGALD2,BIGALK,BIGENE,BPIN,BZALD,BZOOH,C2H2,C2H4,C2H5OH,C2H6,C3H6,C3H8,CH2O,CH3CHO,CH3COCH3,CH3COCHO,CH3COOH,CH3COOOH,CH3OH,CH4,CO,CRESOL,GLYALD,GLYOXAL,HCOOH,HYAC,ISOP,LIMON,MACR,MBO,MEK,MVK,MYRC,PHENOL,TERPROD1,TERPROD2,TOLUENE,XYLENES,NROG,NVOL
EPA,0,43802,0.0075,DICHLOROMETHANE,19478,,C75-09-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.93,0
EPA,0,43304,0.0073,ISOPROPYL ALCOHOL,19479,,C67-63-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43404,0.0073,ACETIC ACID,19480,,C64-19-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,45807,0.0072,P-DICHLOROBENZENE,19481,,C106-46-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0
EPA,0,43115,0.0071,C7 CYCLOPARAFFINS,19482,,S0-43115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43220,0.0071,N-PENTANE,19483,,C109-66-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43432,0.0071,METHYLACETATE,19484,,C79-20-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.08,0
EPA,0,45801,0.0071,CHLOROBENZENE,19485,,C108-90-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.6,0
EPA,0,43817,0.007,PERCHLOROETHYLENE,19486,,C127-18-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.8,0
EPA,0,45102,0.007,ISOMERS OF XYLENE,19487,,C1330-20-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0
EPA,0,43305,0.0069,N-BUTYL ALCOHOL,19488,,C71-36-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43822,0.0069,TRIMETHYLFLUOROSILANE,19489,,C420-56-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.19,0
EPA,0,43218,0.0067,"1,3-BUTADIENE",19490,,C106-99-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
