GRIDCODE,CVENTMUN,Fa
1775153,15102,0.014678387
1775154,15102,0.014678387
1775155,15102,0.014678387
1775156,15102,0.014678387
1775157,15102,0.014678387
1775158,15102,0.014678387
1775159,15102,0.014678387
1775160,15026,0.612479787
1775160,15102,0.013106895
1778086,16070,0.001844875
1778087,16070,0.005776713
1778088,16070,0.016040977
1778089,16070,0.004270735
1778091,16070,0.002185125
1778092,16070,0.018086479
1778093,16070,0.014280008
1778095,16070,0.006454663
1778096,16070,0.02106886
1778097,16070,0.021452634
1778098,16070,0.000710981
1778099,16070,0.00988886
1778100,16070,0.02218107
1778101,16070,0.017126262
1778102,16070,0.018166106
1778102,16107,0.002774329
1778103,16070,0.013784126
1778103,16107,0.017046408
1778104,16070,0.001574914
1778104,16107,0.018743678
1778105,16070,0.000551766
1778105,16107,0.033378398
1778106,16107,0.062715317
1778107,16107,0.062715317
1778108,16044,0.001370322
1778108,16107,0.04108495
1778109,16044,0.000328652
1778109,16107,0.022887154
1778110,16044,0.006361938
1778110,16107,0.009177505
1778111,16044,0.010097902
1778112,16044,0.008240633
1778113,16044,0.005098193
1778114,16044,0.006752523
1778115,16044,0.010140181
1778116,16044,0.009585795
1778117,16044,0.006767415
1778118,16044,0.001839226
1778119,16044,0.003805322
1778120,16044,0.010140181
1778121,16044,0.010140181
1778122,16044,0.010140181
1778123,16044,0.00958687
1778124,16044,0.006562802
1778125,16044,0.010140111
1778126,16044,0.010140181
1778127,16044,0.010140181
1778128,16044,0.010140181
1778129,16044,0.010140181
1778130,16044,0.000469403
1778131,16044,0.001501671
1778132,16044,0.008166264
1778133,16044,0.010140181
1778134,16044,0.010140181
1778135,16044,0.009714128
1778136,16037,0.00924711
1778136,16044,0.008724796
1778137,16037,0.064731736
1778137,16044,0.000232186
1778138,16037,0.066248674
1778139,16037,0.044170347
1778143,16037,0.005608093
1778144,16037,0.007668333
1778148,16037,0.00453742
1778161,16027,0.022161782
1778162,16027,0.037595125
1778163,16027,0.022343574
1778164,16027,0.011113686
1778165,16027,0.03604405
1778166,16027,0.040280853
1778167,16027,0.030615182
1778168,16018,0.003066939
1778168,16027,0.019096285
1778169,16018,0.043544372
1778169,16027,1.82E-05
1778170,16018,0.067168815
1778171,16018,0.071745459
1778172,16018,0.060061841
1778173,16018,0.081893882
1778174,16018,0.051276689
1778175,16018,0.012132019
1778183,16018,0.021814144
1778184,16018,0.001808097
1778184,16020,0.005663998
1778185,16020,0.014730174
1778186,16020,0.015293069
1778187,16020,0.003828388
1778193,16003,0.001079214
1778193,16020,0.000383374
1778194,16003,0.002627585
1778194,16020,0.002322626
1778195,16003,0.030910931
1778196,16003,0.035468641
1778197,16003,0.035468641
1778198,16003,0.035468641
1778199,16003,0.035468641
1778200,16003,0.035468641
1778201,16003,0.030528272
1778202,16003,0.003939755
1778215,16110,0.003792793
1778216,16110,0.00222498
1778217,16110,0.010180151
1778218,16110,0.015066924
1778219,16110,0.015620502
1778220,16110,0.015739795
1778221,16110,0.015779119
1778222,16110,0.010124215
1778223,16110,0.000890867
1778227,16110,0.001420818
1778228,16110,0.010330822
1778229,16110,0.001581959
1778230,16110,0.000753042
1778231,16110,0.008386707
1778232,16110,0.01171083
1778233,16110,0.015779119
1778234,16110,0.015779119
1778235,16110,0.015779119
1778236,16110,0.015779119
1778237,16110,0.015779119
1778238,16110,0.015779119
1778239,16110,0.015779119
1778240,16050,7.35E-05
1778240,16110,0.015561121
1778241,16050,0.002038843
1778241,16110,0.009097651
1778242,16050,0.002754809
1778242,16110,8.46E-05
1778243,16050,0.003734929
1778244,16050,0.00094337
1778245,16050,0.00114209
1778246,16050,0.002267482
1778247,16050,0.00168911
1778248,16050,0.001594406
1778249,16050,0.00206238
1778250,16050,0.005321733
1778251,16050,0.005321733
1778252,16050,0.005321733
1778253,16050,0.005319541
1778254,16050,0.005321733
1778255,16050,0.005294976
1778256,16050,0.002448293
1778257,16050,0.002204205
1778258,16050,0.004633103
1778259,16050,0.003783357
1778260,16050,0.005321733
1778261,16050,0.004879143
1778262,16050,0.004511605
1778263,16050,0.005146915
1778264,16050,0.004862001
1778265,16050,0.004896536
1778266,16050,0.005321733
1778267,16050,0.005321733
1778268,16050,0.005032307
1778269,16050,0.005270722
1778270,16017,6.74856E-05
1778270,16050,0.005242427
1778271,16017,0.003547079
1778271,16050,0.001153398
1778272,16017,0.004528572
1778273,16017,0.004528572
1778274,16017,0.00452723
1778274,16050,1.58E-06
1778275,16017,0.003776961
1778275,16050,0.000883253
1778276,16017,0.000737089
1778276,16050,0.004455546
1778277,16017,0.002150997
1778277,16050,0.002793997
1778278,16017,0.002606474
1778278,16050,0.002258746
1778279,16017,0.000571363
1778279,16050,0.004650298
1778280,16017,0.003612172
1778280,16050,0.001076904
1778281,16017,0.004528572
1778282,16017,0.004528572
1778283,16017,0.003276057
1778284,16017,0.002396262
1778285,16017,0.003328899
1778286,16017,0.003686343
1778287,16017,0.00445584
1778288,16017,0.00388751
1778289,16017,0.00179963
1778290,16017,0.004213952
