GRIDCODE,LONG,LATITUDE,Pob,UTMX,UTMY,UTMZ,
255,216,"Emisiones Guanajauto EI 2016 V4.0",,,,,
1774984,-101.354854,19.89876996,6,25,2567321.774,877649.0616,14
1774985,-101.3452711,19.89872888,6,184,2568321.774,877649.0616,14
1774986,-101.3356882,19.8986872,6,1028,2569321.774,877649.0616,14
1774987,-101.3261053,19.89864491,6,148,2570321.774,877649.0616,14
1774988,-101.3165224,19.89860201,6,614,2571321.774,877649.0616,14
1774989,-101.3069396,19.89855851,6,0,2572321.774,877649.0616,14
1774990,-101.2973567,19.89851441,6,0,2573321.774,877649.0616,14
1774991,-101.2877739,19.8984697,6,0,2574321.774,877649.0616,14
1774992,-101.278191,19.89842438,6,0,2575321.774,877649.0616,14
1774993,-101.2686082,19.89837845,6,2,2576321.774,877649.0616,14
1774994,-101.2590253,19.89833193,6,0,2577321.774,877649.0616,14
1774995,-101.2494425,19.89828479,6,0,2578321.774,877649.0616,14
1774996,-101.2398597,19.89823705,6,0,2579321.774,877649.0616,14
1774997,-101.2302769,19.89818871,6,0,2580321.774,877649.0616,14
1774998,-101.2206941,19.89813975,6,720,2581321.774,877649.0616,14
1774999,-101.2111113,19.8980902,6,881,2582321.774,877649.0616,14
1775000,-101.2015285,19.89804004,6,0,2583321.774,877649.0616,14
1775001,-101.1919457,19.89798927,6,0,2584321.774,877649.0616,14
1775002,-101.1823629,19.89793789,6,0,2585321.774,877649.0616,14
1775003,-101.1727802,19.89788591,6,0,2586321.774,877649.0616,14
1775004,-101.1631974,19.89783333,6,1728,2587321.774,877649.0616,14
1775005,-101.1536146,19.89778014,6,0,2588321.774,877649.0616,14
1775006,-101.1440319,19.89772634,6,0,2589321.774,877649.0616,14
1775007,-101.1344491,19.89767194,6,0,2590321.774,877649.0616,14
1775008,-101.1248664,19.89761693,6,0,2591321.774,877649.0616,14
1775009,-101.1152837,19.89756132,6,0,2592321.774,877649.0616,14
1775010,-101.105701,19.8975051,6,0,2593321.774,877649.0616,14
1775011,-101.0961183,19.89744827,6,0,2594321.774,877649.0616,14
1775012,-101.0865356,19.89739084,6,0,2595321.774,877649.0616,14
1775013,-101.0769529,19.89733281,6,466,2596321.774,877649.0616,14
1775014,-101.0673702,19.89727417,6,605,2597321.774,877649.0616,14
1775015,-101.0577875,19.89721492,6,0,2598321.774,877649.0616,14
1775016,-101.0482048,19.89715507,6,0,2599321.774,877649.0616,14
1775017,-101.0386222,19.89709461,6,1881,2600321.774,877649.0616,14
1775018,-101.0290395,19.89703354,6,0,2601321.774,877649.0616,14
1775019,-101.0194569,19.89697187,6,0,2602321.774,877649.0616,14
1775020,-101.0098742,19.8969096,6,0,2603321.774,877649.0616,14
1775021,-101.0002916,19.89684672,6,0,2604321.774,877649.0616,14
1775022,-100.990709,19.89678323,6,0,2605321.774,877649.0616,14
1775023,-100.9811264,19.89671914,6,1360,2606321.774,877649.0616,14
1775024,-100.9715438,19.89665444,6,0,2607321.774,877649.0616,14
1775025,-100.9619612,19.89658914,6,0,2608321.774,877649.0616,14
1775026,-100.9523786,19.89652323,6,0,2609321.774,877649.0616,14
1775027,-100.9427961,19.89645671,6,0,2610321.774,877649.0616,14
1775028,-100.9332135,19.89638959,6,0,2611321.774,877649.0616,14
1775029,-100.9236309,19.89632187,6,0,2612321.774,877649.0616,14
1775030,-100.9140484,19.89625353,6,0,2613321.774,877649.0616,14
1775031,-100.9044659,19.8961846,6,0,2614321.774,877649.0616,14
1775032,-100.8948833,19.89611505,6,0,2615321.774,877649.0616,14
1775033,-100.8853008,19.89604491,6,0,2616321.774,877649.0616,14
1775034,-100.8757183,19.89597415,6,512,2617321.774,877649.0616,14
1775035,-100.8661358,19.89590279,6,0,2618321.774,877649.0616,14
1775036,-100.8565534,19.89583083,6,0,2619321.774,877649.0616,14
1775037,-100.8469709,19.89575826,6,0,2620321.774,877649.0616,14
1775038,-100.8373884,19.89568508,6,0,2621321.774,877649.0616,14
1775039,-100.827806,19.8956113,6,335,2622321.774,877649.0616,14
1775040,-100.8182235,19.89553691,6,0,2623321.774,877649.0616,14
1775041,-100.8086411,19.89546191,6,0,2624321.774,877649.0616,14
1775042,-100.7990587,19.89538632,6,161,2625321.774,877649.0616,14
1775043,-100.7894763,19.89531011,6,126,2626321.774,877649.0616,14
1775044,-100.7798939,19.8952333,6,10,2627321.774,877649.0616,14
1775045,-100.7703115,19.89515589,6,223,2628321.774,877649.0616,14
1775046,-100.7607291,19.89507786,6,0,2629321.774,877649.0616,14
1775047,-100.7511467,19.89499924,6,0,2630321.774,877649.0616,14
1775048,-100.7415644,19.89492,6,0,2631321.774,877649.0616,14
1775049,-100.731982,19.89484017,6,8,2632321.774,877649.0616,14
1775050,-100.7223997,19.89475972,6,0,2633321.774,877649.0616,14
1775051,-100.7128174,19.89467867,6,0,2634321.774,877649.0616,14
1775052,-100.7032351,19.89459702,6,0,2635321.774,877649.0616,14
1775053,-100.6936528,19.89451476,6,579,2636321.774,877649.0616,14
1775054,-100.6840705,19.89443189,6,926,2637321.774,877649.0616,14
1775055,-100.6744882,19.89434842,6,28,2638321.774,877649.0616,14
1775056,-100.664906,19.89426434,6,0,2639321.774,877649.0616,14
1775057,-100.6553237,19.89417966,6,2,2640321.774,877649.0616,14
1775058,-100.6457415,19.89409437,6,0,2641321.774,877649.0616,14
1775059,-100.6361593,19.89400847,6,0,2642321.774,877649.0616,14
1775060,-100.626577,19.89392197,6,1,2643321.774,877649.0616,14
1775061,-100.6169948,19.89383487,6,0,2644321.774,877649.0616,14
1775062,-100.6074126,19.89374716,6,0,2645321.774,877649.0616,14
1775063,-100.5978305,19.89365884,6,0,2646321.774,877649.0616,14
1775064,-100.5882483,19.89356992,6,235,2647321.774,877649.0616,14
1775065,-100.5786662,19.89348039,6,119,2648321.774,877649.0616,14
1775066,-100.569084,19.89339026,6,0,2649321.774,877649.0616,14
1775067,-100.5595019,19.89329952,6,0,2650321.774,877649.0616,14
1775068,-100.5499198,19.89320818,6,0,2651321.774,877649.0616,14
1775069,-100.5403377,19.89311623,6,0,2652321.774,877649.0616,14
1775070,-100.5307556,19.89302367,6,0,2653321.774,877649.0616,14
1775071,-100.5211735,19.89293051,6,0,2654321.774,877649.0616,14
1775072,-100.5115915,19.89283674,6,0,2655321.774,877649.0616,14
1775073,-100.5020094,19.89274237,6,0,2656321.774,877649.0616,14
1775074,-100.4924274,19.89264739,6,0,2657321.774,877649.0616,14
1775075,-100.4828454,19.89255181,6,0,2658321.774,877649.0616,14
1775076,-100.4732633,19.89245562,6,253,2659321.774,877649.0616,14
1775077,-100.4636813,19.89235882,6,1343,2660321.774,877649.0616,14
1775078,-100.4540994,19.89226142,6,2376,2661321.774,877649.0616,14
1775079,-100.4445174,19.89216342,6,5454,2662321.774,877649.0616,14
1775080,-100.4349355,19.89206481,6,3582,2663321.774,877649.0616,14
1775081,-100.4253535,19.89196559,6,1523,2664321.774,877649.0616,14
1775082,-100.4157716,19.89186577,6,84,2665321.774,877649.0616,14
1775083,-100.4061897,19.89176534,6,5,2666321.774,877649.0616,14
1775084,-100.3966078,19.89166431,6,0,2667321.774,877649.0616,14
1775085,-100.3870259,19.89156267,6,0,2668321.774,877649.0616,14
1775086,-100.377444,19.89146042,6,0,2669321.774,877649.0616,14
1775087,-100.3678622,19.89135757,6,762,2670321.774,877649.0616,14
1775088,-100.3582803,19.89125412,6,0,2671321.774,877649.0616,14
1775089,-100.3486985,19.89115006,6,0,2672321.774,877649.0616,14
1775090,-100.3391167,19.89104539,6,1897,2673321.774,877649.0616,14
1775091,-100.3295349,19.89094012,6,0,2674321.774,877649.0616,14
1775092,-100.3199531,19.89083424,6,0,2675321.774,877649.0616,14
1775093,-100.3103714,19.89072776,6,0,2676321.774,877649.0616,14
1775094,-100.3007896,19.89062067,6,0,2677321.774,877649.0616,14
1775095,-100.2912079,19.89051297,6,0,2678321.774,877649.0616,14
1775096,-100.2816262,19.89040467,6,0,2679321.774,877649.0616,14
1775097,-100.2720445,19.89029577,6,0,2680321.774,877649.0616,14
1775098,-100.2624628,19.89018626,6,0,2681321.774,877649.0616,14
1775099,-100.2528811,19.89007614,6,0,2682321.774,877649.0616,14
1775100,-100.2432995,19.88996542,6,383,2683321.774,877649.0616,14
1775101,-100.2337178,19.88985409,6,0,2684321.774,877649.0616,14
1775102,-100.2241362,19.88974216,6,637,2685321.774,877649.0616,14
1775103,-100.2145546,19.88962962,6,1156,2686321.774,877649.0616,14
1775104,-100.204973,19.88951647,6,0,2687321.774,877649.0616,14
1775105,-100.1953914,19.88940272,6,0,2688321.774,877649.0616,14
1775106,-100.1858098,19.88928837,6,0,2689321.774,877649.0616,14
1775107,-100.1762283,19.88917341,6,220,2690321.774,877649.0616,14
1775108,-100.1666468,19.88905784,6,0,2691321.774,877649.0616,14
1775109,-100.1570653,19.88894167,6,0,2692321.774,877649.0616,14
1775110,-100.1474838,19.88882489,6,0,2693321.774,877649.0616,14
1775111,-100.1379023,19.88870751,6,0,2694321.774,877649.0616,14
1775112,-100.1283208,19.88858952,6,0,2695321.774,877649.0616,14
1775113,-100.1187394,19.88847093,6,0,2696321.774,877649.0616,14
1775114,-100.1091579,19.88835173,6,0,2697321.774,877649.0616,14
1775115,-100.0995765,19.88823192,6,0,2698321.774,877649.0616,14
1775116,-100.0899951,19.88811151,6,0,2699321.774,877649.0616,14
1775117,-100.0804138,19.8879905,6,0,2700321.774,877649.0616,14
1775118,-100.0708324,19.88786888,6,0,2701321.774,877649.0616,14
1775119,-100.0612511,19.88774665,6,0,2702321.774,877649.0616,14
1775120,-100.0516697,19.88762382,6,0,2703321.774,877649.0616,14
1775121,-100.0420884,19.88750038,6,0,2704321.774,877649.0616,14
1775122,-100.0325071,19.88737634,6,0,2705321.774,877649.0616,14
1775123,-100.0229259,19.88725169,6,0,2706321.774,877649.0616,14
1775124,-100.0133446,19.88712643,6,0,2707321.774,877649.0616,14
1775125,-100.0037634,19.88700057,6,0,2708321.774,877649.0616,14
1775126,-99.99418214,19.88687411,6,0,2709321.774,877649.0616,14
1775127,-99.98460093,19.88674704,6,0,2710321.774,877649.0616,14
1775128,-99.97501975,19.88661936,6,0,2711321.774,877649.0616,14
1775129,-99.96543858,19.88649108,6,0,2712321.774,877649.0616,14
1775130,-99.95585743,19.88636219,6,0,2713321.774,877649.0616,14
1775131,-99.9462763,19.8862327,6,0,2714321.774,877649.0616,14
1775132,-99.93669519,19.8861026,6,0,2715321.774,877649.0616,14
1775133,-99.9271141,19.8859719,6,0,2716321.774,877649.0616,14
1775134,-99.91753302,19.88584059,6,0,2717321.774,877649.0616,14
1775135,-99.90795196,19.88570867,6,0,2718321.774,877649.0616,14
1775136,-99.89837093,19.88557615,6,0,2719321.774,877649.0616,14
1775137,-99.88878991,19.88544303,6,0,2720321.774,877649.0616,14
1775138,-99.87920891,19.8853093,6,0,2721321.774,877649.0616,14
1775139,-99.86962792,19.88517496,6,458,2722321.774,877649.0616,14
1775140,-99.86004696,19.88504002,6,0,2723321.774,877649.0616,14
1775141,-99.85046602,19.88490447,6,0,2724321.774,877649.0616,14
1775142,-99.84088509,19.88476832,6,0,2725321.774,877649.0616,14
1775143,-99.83130419,19.88463156,6,0,2726321.774,877649.0616,14
1775144,-99.8217233,19.8844942,6,0,2727321.774,877649.0616,14
1775145,-99.81214244,19.88435623,6,0,2728321.774,877649.0616,14
1775146,-99.80256159,19.88421766,6,0,2729321.774,877649.0616,14
1775147,-99.79298076,19.88407848,6,0,2730321.774,877649.0616,14
1775148,-99.78339996,19.88393869,6,0,2731321.774,877649.0616,14
1775149,-99.77381917,19.8837983,6,0,2732321.774,877649.0616,14
1775150,-99.7642384,19.8836573,6,0,2733321.774,877649.0616,14
1775151,-99.75465765,19.8835157,6,358,2734321.774,877649.0616,14
1775152,-99.74507693,19.8833735,6,370,2735321.774,877649.0616,14
