GRIDCODE,CVENTMUN,Fterraceria
1841715,16071,0.003398475
1841718,11046,0.012678736
1841751,11046,0.000893974
1841751,16078,0.028068161
1841752,16078,0.026254638
1841753,11046,0.006081794
1841753,16078,0.009909458
1841754,11046,0.001061586
1841781,11002,0.001139724
1841782,11002,0.008088421
1841814,11019,0.000898819
1841815,11019,0.004914468
1841816,11019,0.005688295
1841842,16031,0.015019533
1841842,22001,0.002143392
1841843,22001,0.003278559
1841846,22001,0.003428651
1841847,22001,0.004276553
1841848,22001,0.003244798
1841849,22001,0.00424592
1841893,15003,0.001622396
1841894,15003,0.018052367
1844839,16067,0.007202874
1844852,16063,0.014472364
1844876,16071,0.007369313
1844885,16071,0.007190289
1844886,16071,0.001113089
1844893,16071,0.000673022
1844894,16071,0.004078309
1844895,11046,0.004159407
1844895,16071,0.000574647
1844896,11046,0.0126351
1844932,11046,0.009906375
1844939,11028,0.000910208
1844960,11002,0.006862594
1844961,11002,0.001713375
1844990,11019,0.001328121
1844991,11019,0.004881197
1844992,11019,0.004815196
1845021,22001,0.001239366
1845022,22001,0.004574989
1845023,22001,0.004489445
1845024,22001,0.001524105
1845027,22001,0.004270868
1845071,15003,0.015259955
1845072,15003,0.008167727
1848017,16067,0.007560486
1848030,16004,0.011580291
1848030,16063,0.007364488
1848031,16004,0.008490176
1848064,16071,0.008297528
1848074,11046,0.002948468
1848108,11046,0.005521733
1848109,11046,0.009583108
1848110,11046,0.007347698
1848117,11028,0.001612024
1848118,11028,0.012449936
1848139,11002,0.007766553
1848168,11019,0.005426864
1848205,22001,0.004475093
1848248,15003,0.006803917
1848249,15003,0.006287667
1851195,16067,0.007216422
1851209,16004,0.035247554
1851242,16071,0.007486584
1851243,16071,0.003912638
1851286,11046,0.009578261
1851288,11046,0.003003981
1851289,11046,0.000791528
1851296,11028,0.006673929
1851297,11028,0.005028607
1851309,11002,0.001207468
1851317,11002,0.007244175
1851346,11019,0.004721373
1851383,22001,0.001740448
1851384,22001,0.005001288
1851385,22001,0.000711437
1851426,15003,0.011233826
1851429,15045,0.003728788
1854373,16067,0.007046248
1854386,16004,0.017778054
1854387,16004,0.026769098
1854421,16071,0.006594177
1854422,16071,0.005000575
1854464,11046,0.009567478
1854467,11036,0.063521138
1854467,11046,0.001013761
1854468,11036,0.020057398
1854475,11028,0.00957171
1854476,11028,0.011218645
1854477,11028,0.003649215
1854477,11036,0.009422617
1854486,11002,0.001529617
1854487,11002,0.002687418
1854495,11002,0.004087855
1854496,11002,0.003189876
1854524,11019,0.004973408
1854563,22001,0.004298822
1854604,15003,0.001968797
1854607,15045,0.00034757
1854608,15045,0.007909015
1854609,15045,0.006146234
1857550,16067,0.001850024
1857551,16067,0.005295101
1857565,16004,0.044819635
1857565,16067,0.000581519
1857600,16071,0.005511658
1857601,16071,0.006725101
1857603,16071,0.005673899
1857604,16071,0.009185891
1857605,16071,0.008932428
1857606,16071,0.001417497
1857611,11046,0.000288357
1857612,11046,0.003750923
1857641,11046,0.000306313
1857642,11046,0.010913323
1857655,11028,0.00712485
1857656,11028,0.010846004
1857674,11002,0.007284256
1857702,11019,0.006163356
1857741,22001,0.002153545
1857787,15045,0.001586578
1857788,15045,0.000240744
1860728,16067,0.007476067
1860741,16067,0.0117874
1860743,16004,0.004639412
1860743,16067,0.003256242
1860779,16071,0.005394811
1860780,16071,0.00861607
1860781,16071,0.00500078
1860784,16071,0.009188379
1860790,11046,0.002655613
1860791,11046,0.003332701
1860819,11046,0.01157445
1860834,11028,0.002596202
1860835,11028,0.011658019
1860836,11028,0.008879902
1860852,11002,0.003145386
1860878,11019,0.000948386
1860879,11019,0.005951036
1860880,11019,0.000745769
1863906,16067,0.007801963
1863919,16067,0.013890589
1863930,16004,0.00219347
1863961,16071,0.006320798
1863962,16071,0.004436827
1863969,11046,0.00510968
1863996,11046,0.00234079
1863997,11046,0.012990213
1864014,11028,0.002807858
1864015,11028,0.011335214
1864016,11028,0.009483839
1864056,11019,0.005033726
1864121,15003,7.67855E-05
1867083,16067,0.007329018
1867084,16067,3.68921E-05
1867096,16067,0.009172988
1867097,16067,0.004836154
1867108,16004,0.019946232
1867139,11046,0.003794625
1867139,16071,0.005278189
1867147,11046,0.000215224
1867173,11046,0.001110566
1867174,11046,0.010906529
1867194,11028,0.005939803
1867297,15003,0.003467127
1867299,15003,0.011113361
1870256,16109,0.030635079
1870261,16067,0.003513225
1870274,16067,0.019172029
1870286,16004,0.000415773
1870287,16004,0.019760825
1870316,16071,0.007241565
1870317,11046,0.003739454
1870317,16071,0.005346621
1870330,11046,0.001925906
1870331,11046,0.004531995
1870332,11046,0.000464823
1870351,11046,0.012630307
1870474,15003,0.00402757
1870475,15003,0.003055428
1870476,15003,0.007878027
1870477,15003,0.004517196
1873433,16109,0.037386492
1873434,16109,0.002174965
1873452,16067,0.014544477
1873465,16004,0.017539819
1873466,16004,0.000910299
1873494,16071,0.005970174
1873495,11046,0.000957002
1873495,16071,0.004418391
1873507,11046,0.002971324
1873508,11046,0.00384233
1873510,11046,0.004800502
1873511,11046,0.004922395
1873512,11046,0.001054705
1873527,11046,0.001828689
1873528,11046,0.012098292
1873529,11046,8.5433E-06
1873540,11036,0.038699548
1873652,15003,0.005755048
1873654,15003,0.006191673
1876603,16028,0.005479544
1876610,16109,0.021227865
1876611,16109,0.044087877
1876630,16067,0.01412819
1876631,16067,0.000320233
1876644,16004,0.038890394
1876645,16004,0.036744265
1876646,16004,0.021901116
1876673,11046,0.008889042
1876673,16071,0.000211635
1876685,11046,0.004578243
1876690,11046,0.00377587
1876691,11046,0.000218531
1876705,11046,0.011149944
1876718,11036,0.034812559
1876719,11036,0.001087137
1876771,11019,0.010338324
1876812,22001,0.001394623
1876813,22001,0.004890899
1876829,15003,0.006448924
1876830,15003,0.00015523
1879780,16028,0.011804145
1879780,16069,0.001909723
1879781,16028,0.001981155
1879788,16109,0.04049681
1879796,16060,0.047764483
1879808,16067,0.001882407
1879809,16067,0.015405195
1879824,16004,0.023841022
1879825,16004,0.036596823
1879826,16004,0.017584267
1879851,11046,0.006521442
1879852,11046,0.006081837
1879863,11046,0.004810832
1879883,11046,0.009871807
1879897,11036,0.040673496
1879898,11036,0.009260666
1879948,11019,0.009053243
1879949,11019,0.00257303
1879991,22001,0.000121776
1879992,22001,0.00442458
1879993,22001,0.004736982
1879994,22001,0.001715706
1880006,15003,0.006036972
1880007,15003,0.001913779
1882958,16069,0.016553246
1882965,16109,0.037636046
1882966,16109,0.027709164
1882974,16060,0.05848604
1882986,16067,0.011055701
1882987,16067,0.003378843
1883004,16004,0.018701237
1883005,16004,0.021311096
1883005,16113,0.010198669
1883006,16113,0.023863284
1883007,16113,0.01721737
1883030,11046,0.000679709
1883030,16071,0.007085301
1883031,16071,0.003926895
1883041,11046,0.004544662
1883060,11046,0.001634691
1883061,11046,0.007809536
1883076,11028,0.002989737
1883076,11036,0.010466867
1883077,11028,0.003608944
1883126,11019,0.009837066
1883172,22001,0.002667343
1883173,22001,0.004382275
1883174,22001,0.00464582
1883175,22001,0.004445809
1883176,22001,0.000895371
1883180,22001,0.002525639
1883181,22001,0.005188282
1883182,15003,0.003746643
1883183,15003,0.00596726
1883184,15003,0.000609258
1883212,13044,0.013609635
1886136,16069,0.016553088
1886139,16109,0.022436664
1886140,16109,0.044990016
1886141,16109,0.041161108
1886142,16109,0.040064889
1886143,16109,0.011299332
1886152,16060,0.006356435
1886153,16060,0.050388189
1886164,16067,0.014515474
1886185,16113,0.005758431
1886186,16113,0.023454173
1886187,16113,0.007394141
1886207,16071,0.005081596
1886208,16071,0.009484781
1886209,16071,0.00363912
1886219,11046,0.004558753
1886255,11028,0.005691725
1886267,11028,0.001509124
1886304,11019,0.011771127
1886354,22001,0.003640925
1886355,22001,0.00836242
1886356,22001,0.010296271
1886357,22001,0.009556693
1886358,22001,0.008199933
1886359,15003,0.015688004
1886359,22001,0.000611667
1886360,15003,0.002396321
1886390,13044,0.017092691
1889314,16069,0.014133911
1889316,16069,0.004708714
1889317,16069,0.002649735
1889317,16109,0.032428964
1889331,16060,0.052196547
1889342,11023,0.001565031
1889342,16067,6.64097E-05
1889343,11023,0.003202036
1889384,16071,0.004889388
1889385,16071,0.005896092
1889396,11046,0.001870409
1889397,11046,0.005510953
1889433,11028,0.005332863
1889445,11028,0.003666516
1889446,11028,0.00289831
1889448,11028,0.007269535
1889449,11028,0.006510372
1889482,11019,0.006579502
1889483,11019,0.00420388
1889563,13044,0.006201239
1889564,13044,0.00664786
1889565,13044,0.006531955
1889566,13044,0.006775993
1889567,13044,0.006750398
1889568,13044,0.000504137
1892493,16069,0.002761515
1892494,16069,0.017543418
1892509,16060,0.052177899
1892552,16071,0.000913808
1892562,16071,0.005412509
1892563,16071,0.008644532
1892564,16071,0.004506109
1892575,11046,0.00306841
1892576,11046,0.002633506
1892578,11046,0.003892958
1892579,11046,0.004945694
1892580,11046,0.002620438
1892583,11046,0.002042916
1892611,11028,0.001869756
1892624,11028,0.003517736
1892625,11028,0.009514826
1892626,11028,0.005148966
1892627,11028,0.005201418
1892627,11039,0.0092801
1892661,11019,0.009832431
1892740,13044,0.007951812
1892741,13044,0.001854589
1895687,16060,0.05338654
1895729,16071,0.007525145
1895730,16071,0.006438536
1895731,16071,0.004154222
1895732,16071,0.004026493
1895733,16071,0.002194871
1895742,16071,0.005076499
1895743,16071,0.007962216
1895744,16071,0.007983151
1895745,16071,0.008798476
1895746,16071,0.003653942
1895752,11046,0.000589605
1895753,11046,0.006198701
1895754,11046,0.004450685
1895755,11046,0.004568089
1895756,11046,0.000846801
1895758,11046,0.004273973
1895759,11046,0.001308797
1895760,11046,0.005223288
1895761,11046,0.003367437
1895762,11046,0.00506813
1895763,11046,0.003588142
1895805,11039,0.005397276
1895806,11039,0.011286446
1895839,11019,0.009788577
1895915,13044,0.001593223
1895916,13044,0.005183766
1895917,13044,0.007587283
1895918,13044,0.001948811
1898865,11023,0.004125144
1898865,16060,0.028994555
1898897,16113,0.000121455
1898903,16113,0.003621154
1898904,16113,0.023962979
1898905,16113,0.000881592
1898906,16113,0.001983963
1898907,16071,0.00442519
1898907,16113,0.008917087
1898911,16071,0.002717908
1898911,16113,0.004056311
1898924,11042,0.007436904
1898924,16071,0.00189648
1898925,11042,0.009356113
1898930,11046,0.005302593
1898931,11046,0.003886209
1898937,11046,0.004982297
1898938,11046,0.001137594
1898983,11039,0.005211623
1898984,11039,0.008658923
1899011,11019,0.00579861
1899012,11019,0.000740265
1899017,11019,0.014738295
1899088,13044,0.000298183
1899088,15071,0.002598625
1899089,13044,0.006487153
1899089,15071,0.001221923
1899090,13044,0.008146384
1899091,13044,0.009866177
1899092,13044,0.006516578
1899093,13044,0.005274838
1899094,13044,0.003829009
1899095,13044,0.016479826
1899096,13044,0.016041015
1899097,13044,0.012137495
1899098,13044,0.006500439
1899099,13044,0.00649616
1899100,13044,0.0055091
1902043,11023,0.007380631
1902044,11023,0.003642104
1902075,16113,0.006330253
1902076,16113,0.005521572
1902084,16113,0.023618663
1902089,16071,0.00380507
1902089,16113,0.000497962
1902103,11042,0.006443955
1902104,11042,0.009450874
1902107,11042,0.004487988
1902107,11046,0.004638008
1902108,11046,0.010876298
1902161,11039,0.007831266
1902190,11019,0.005230922
1902191,11019,0.002210156
1902194,11019,0.014038312
1902195,11019,0.001321429
1902266,13044,0.001659135
1902268,13044,0.006801413
1902278,13044,0.001193223
1902279,13044,0.00702623
1902280,13044,0.00852064
1905214,16069,9.80532E-05
1905221,11023,0.00486888
1905222,11023,0.003541459
1905223,11023,0.003466194
1905262,16113,0.023618664
1905267,16071,0.002510399
1905267,16113,0.00107027
1905268,16071,0.002825882
1905268,16113,0.004165245
1905269,16071,0.001073373
1905269,16113,0.005575454
1905282,11042,0.019705644
1905283,11042,0.013093346
1905284,11042,0.005685363
1905284,11046,0.005541963
1905285,11042,0.001894798
1905285,11046,0.000864733
1905339,11039,0.008587531
1905369,11019,0.003761032
1905370,11019,0.003680047
1905371,11019,0.011835764
1905372,11019,0.000500103
1905446,13044,0.00682139
1908399,11023,0.005009077
1908401,11023,0.002587501
1908402,11023,0.005376351
1908408,11023,0.001861636
1908409,11023,0.000949456
1908435,16113,0.003794443
1908436,16113,0.015689053
1908437,16113,0.014087772
1908438,16113,0.023040498
1908439,16113,0.023112789
1908440,16113,0.033843306
1908441,16113,0.023371474
1908442,16113,0.011442868
1908447,16071,0.000733151
1908447,16113,0.012396465
1908448,16113,0.006663755
1908459,11042,0.006991873
1908460,11042,0.011143591
1908482,11042,0.002475883
1908483,11042,0.013700077
1908483,11046,0.001762982
1908484,11046,0.009414639
1908485,11046,0.008542531
1908486,11046,0.0046331
1908487,11046,0.003244654
1908490,11046,0.001606819
1908491,11018,0.000848863
1908491,11046,0.004921548
1908492,11018,0.002107683
1908492,11028,0.00075273
1908492,11046,0.003230799
1908493,11028,0.00535915
1908494,11028,0.003882596
1908495,11028,0.00490709
1908496,11028,0.004839853
1908517,11039,0.007519125
1908548,11019,0.00229114
1908549,11019,0.009125784
1908608,22016,0.001845685
1908623,13044,0.001972612
1908624,13044,0.006228026
1911577,11023,0.004875803
1911578,11023,0.000587843
1911580,11023,0.000736562
1911581,11023,0.005890958
1911583,11023,0.001666501
1911584,11023,0.005122975
1911585,11023,0.005141685
1911586,11023,0.003209365
1911612,16113,0.004618838
1911613,16113,0.01101493
1911620,16113,0.014531066
1911621,16113,0.025419378
1911624,16113,0.010935022
1911625,16071,0.000397731
1911625,16113,0.009003905
1911638,11042,0.006941352
1911659,11042,0.006953717
1911660,11042,0.013040785
1911665,11046,0.004761279
1911666,11046,0.004844348
1911667,11018,0.004409736
1911667,11046,0.006271
1911668,11018,0.009963398
1911668,11046,0.003879116
1911672,11028,0.001824849
1911673,11018,0.006543222
1911673,11028,0.004357451
1911686,11028,0.004701376
1911687,11028,0.01179952
1911688,11028,0.011028322
1911691,11028,0.006395343
1911691,11039,0.000433381
1911692,11039,0.015906883
1911693,11039,0.008006608
1911695,11039,0.001669968
1911700,11039,0.012296626
1911701,11039,0.016588751
1911702,11039,0.013755737
1911726,11019,0.002186663
1911727,11019,0.002656516
1911739,11010,0.017311226
1911740,11010,0.013447667
1911740,11019,0.006987815
1911741,11010,0.019594277
1911741,11019,0.005320432
1911742,11010,0.002812509
1911801,13044,0.006766559
1914755,11023,0.00498059
1914756,11023,0.002894884
1914759,11023,0.000877091
1914760,11023,0.005366312
1914761,11023,0.003264167
1914790,16113,0.001651501
1914799,16113,0.00273116
1914800,16113,0.026203654
1914801,16113,0.020691875
1914802,16113,0.001334724
1914809,11042,0.001348852
1914810,11042,0.007258381
1914816,11042,0.001468056
1914817,11042,0.005209034
1914836,11042,0.007173514
1914837,11042,0.012467744
1914845,11018,0.012000345
1914846,11018,0.006364408
1914847,11018,0.00645128
1914851,11018,0.01297869
1914866,11028,0.000103074
1914867,11028,0.012160224
1914868,11028,0.008383644
1914869,11028,0.012301958
1914878,11039,0.012003091
1914879,11039,0.005862682
1914880,11039,0.002188445
1914881,11039,0.017493081
1914882,11039,0.015064586
1914883,11039,0.015795162
1914884,11039,0.015393195
1914885,11039,0.019437318
1914904,11019,0.004762172
1914920,11010,0.029629139
1914920,22008,0.008812277
1914979,13044,0.006515
1917932,11023,0.002528115
1917933,11023,0.002466407
1917978,16113,0.005117926
1917979,16113,0.003043291
1917988,11042,0.000302427
1917989,11042,0.006690577
1917990,11042,0.006560954
1917991,11042,0.003344578
1917995,11042,0.006284048
1918012,11042,0.005110386
