GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Pob total,Suma de POB  RURAL EN CELL,Suma de POB URBANA en CELL
1778276,16050,,0.018394471,0.008622193,692,692,
1778282,16017,,0.011261731,0.009831887,324,324,
1778285,16017,,0.037573862,0.032803302,1081,1081,
1778294,15085,,0.002759255,0.001531223,96,96,
1778303,15085,0.000645092,,0.000287104,18,,18
1778313,15001,,0.011350846,0.009767228,595,595,
1778318,15001,,0.039069803,0.033618963,2048,2048,
1778319,15001,,0.005818501,0.00500673,305,305,
1778324,15001,,0.001755089,0.001510227,92,92,
1778329,15102,,0.133351835,0.124878176,1922,1922,
1778332,15102,,0.031776868,0.029757651,458,458,
1778338,15102,,0.031985014,0.02995257,461,461,
1781270,16070,0.007866628,,0.00712139,109,,109
1781271,16070,0.018836605,0.002068966,0.017248138,264,3,261
1781272,16070,0.080181871,,0.072585914,1111,,1111
1781273,16070,0.063871247,,0.057820463,885,,885
1781274,16070,0.003247691,,0.002940024,45,,45
1781286,16044,,0.000553955,0.000376648,5,5,
1781288,16044,,0.055617106,0.037815443,502,502,
1781298,16044,0.021181454,,0.006779661,90,,90
1781299,16044,0.328547894,,0.105160075,1396,,1396
1781300,16044,0.033184279,,0.010621469,141,,141
1781306,16044,,0.025149568,0.017099812,227,227,
1781311,16044,,0.017061821,0.011600753,154,154,
1781317,16037,,0.065349825,0.044344231,354,354,
1781318,16037,,0.038397637,0.026055368,208,208,
1781319,16037,,0.0321211,0.021796317,174,174,
1781325,16037,,0.034151745,0.023174245,185,185,
1781364,16020,,0.247748175,0.092570943,2613,2613,
1781378,16003,,0.036428217,0.036428217,441,441,
1781395,16110,,0.060458416,0.030579008,1427,1427,
1781417,16110,,0.009066644,0.00458578,214,214,
1781419,16110,,0.022581875,0.011421592,533,533,
1781422,16050,,0.000903775,0.000423634,34,34,
1781426,16050,,0.010366826,0.004859329,390,390,
1781431,16050,,0.007841574,0.003675646,295,295,
1781432,16050,0.000117266,0.002498671,0.001233522,99,94,5
1781433,16050,0.010577419,,0.005619378,451,,451
1781434,16050,0.015361884,,0.00816118,655,,655
1781435,16050,0.021201745,0.000584795,0.011537791,926,22,904
1781441,16050,9.3813E-05,0.000611377,0.000336415,27,23,4
1781442,16050,0.007434683,,0.003949762,317,,317
1781443,16050,0.035860031,,0.01905106,1529,,1529
1781444,16050,0.011327923,0.013795853,0.012484737,1002,519,483
1781448,16050,,0.003694843,0.001731915,139,139,
1781450,16017,,0.015119917,0.013200218,435,435,
1781452,16017,,0.035245047,0.030770164,1014,1014,
1781455,16017,,0.000417101,0.000364144,12,12,
1781461,16017,,0.004101495,0.003580749,118,118,
1781467,16017,,0.04956552,0.04327244,1426,1426,
1781468,16017,,0.018387209,0.016052679,529,529,
1781479,15085,0.024047593,,0.010702608,671,,671
1781480,15085,0.043543705,,0.019379536,1215,,1215
1781481,15085,0.047915995,,0.021325465,1337,,1337
1781482,15085,0.00437229,0.014601058,0.010048648,630,508,122
1781484,15085,,0.002759255,0.001531223,96,96,
1781491,15085,,0.015951943,0.008852381,555,555,
1781498,15001,,0.002308323,0.001986277,121,121,
1781506,15102,,0.015055852,0.014099149,217,217,
1781509,15102,,0.035107195,0.032876356,506,506,
1784445,16070,,0.026896552,0.00254802,39,39,
1784450,16070,0.001732102,0.010344828,0.00254802,39,15,24
1784451,16070,0.002309469,,0.002090683,32,,32
1784465,16044,,0.210170618,0.142900188,1897,1897,
1784475,16044,,0.095612674,0.065009416,863,863,
1784476,16044,0.006825135,,0.002184557,29,,29
1784477,16044,0.44669334,,0.142975518,1898,,1898
1784478,16044,0.130618969,,0.04180791,555,,555
1784479,16044,0.031772182,0.000664746,0.010621469,141,6,135
1784480,16044,,0.000886328,0.000602637,8,8,
1784485,16044,,0.011411478,0.007758945,103,103,
1784490,16044,,0.024706404,0.016798493,223,223,
1784495,16037,,0.018645006,0.012651885,101,101,
1784504,16037,,0.000184604,0.000125266,1,1,
1784540,16020,,0.016782023,0.006270592,177,177,
1784579,11002,,0.000609073,0.000229295,25,25,
1784589,16110,,0.014320214,0.007242961,338,338,
1784591,16110,,0.010295301,0.005207217,243,243,
1784592,16110,,0.032877177,0.016628809,776,776,
1784594,16110,,0.012879719,0.006514379,304,304,
1784600,16050,,0.004332802,0.00203095,163,163,
1784601,16050,,0.010287081,0.004821949,387,387,
1784603,16050,,0.007602339,0.003563508,286,286,
1784605,11038,,0.006269031,0.003006615,35,35,
1784607,16050,,0.00297714,0.0013955,112,112,
1784610,16050,0,,0,0,,0
1784611,16050,0.000281439,0.000239234,0.000261656,21,9,12
1784612,16050,4.69065E-05,,2.49196E-05,2,,2
1784615,16050,,0.017729931,0.008310698,667,667,
1784620,16050,0.000164173,,8.72187E-05,7,,7
1784621,16050,0.01749613,,0.009295024,746,,746
1784622,16050,0.010811952,,0.005743976,461,,461
1784623,16050,0,,0,0,,0
1784633,16017,,0.014633299,0.012775384,421,421,
1784635,16017,,0.088147376,0.076955757,2536,2536,
1784639,16017,,0.003197775,0.00279177,92,92,
1784642,16017,,0.02057699,0.017964435,592,592,
1784652,15085,,0.013882502,0.007703964,483,483,
1784656,15085,,0.015578294,0.008645028,542,542,
1784658,15085,0.053327599,,0.02373395,1488,,1488
1784659,15085,0.069239867,,0.030815855,1932,,1932
1784660,15085,0.028993298,0.015980685,0.021772071,1365,556,809
1784663,15085,,0.060214992,0.033415743,2095,2095,
1784669,15085,,0.039865486,0.022122976,1387,1387,
1784670,15001,,0.007821591,0.006730359,410,410,
1784671,15001,,0.003243099,0.002790637,170,170,
1784678,15001,,0.003853565,0.003315933,202,202,
1784682,15001,,0.006848662,0.005893168,359,359,
1784683,15001,,0.009290524,0.007994353,487,487,
1787629,16070,,0.660689655,0.062589834,958,958,
1787654,16044,,0.047086195,0.032015066,425,425,
1787655,16044,0.000235349,0.039995568,0.027269303,362,361,1
1787656,16044,0.001176747,,0.000376648,5,,5
1787682,16037,,0.000184604,0.000125266,1,1,
1787693,16027,,0.137756536,0.094850949,490,490,
1787738,11002,,0.001632315,0.00061451,67,67,
1787771,16110,,0.007541414,0.00381434,178,178,
1787773,16110,,0.028132017,0.014228775,664,664,
1787779,16050,,0.00927698,0.004348476,349,349,
1787782,11038,,0.010567795,0.005068293,59,59,
1787788,16050,,0.000186071,8.72187E-05,7,7,
1787791,16050,,0.003216374,0.001507638,121,121,
1787793,16050,,0.013104732,0.00614269,493,493,
1787794,16050,,0.001355662,0.000635451,51,51,
1787798,16050,,0.011695906,0.00548232,440,440,
1787799,16050,0.007481589,,0.003974682,319,,319
1787800,16050,0.00834936,,0.004435695,356,,356
1787801,16050,0.000164173,,8.72187E-05,7,,7
1787808,16017,,0.002467848,0.002154518,71,71,
1787809,16017,,0.038303789,0.033440553,1102,1102,
1787814,16017,,0.002155023,0.00188141,62,62,
1787815,16017,,0.00375391,0.003277296,108,108,
1787834,15085,,0.006696942,0.003716405,233,233,
1787836,15085,0.013726123,,0.00610894,383,,383
1787837,15085,0.056803928,,0.025281123,1585,,1585
1787838,15085,0.030964412,,0.013781003,864,,864
1787846,15001,0.008706907,,0.001214748,74,,74
1787847,15001,0.009412872,0.018943513,0.017613842,1073,993,80
1787854,15001,,0.021995841,0.018927082,1153,1153,
1787871,15102,,0.09054326,0.084789812,1305,1305,
1790831,16063,,0.029431374,0.019235558,309,309,
1790850,16044,,0.052736539,0.035856874,476,476,
1790873,16027,,0.013494518,0.009291521,48,48,
1790877,16027,,0.062693281,0.04316686,223,223,
1790913,16003,,0.000660829,0.000660829,8,8,
1790958,16050,,0.000398724,0.000186897,15,15,
1790959,16050,,0.021291866,0.009980313,801,801,
1790961,11038,,0.034390113,0.016493428,192,192,
1790962,16050,,0.001249335,0.000585611,47,47,
1790965,16050,,0.012785752,0.005993172,481,481,
1790969,16050,,0.003508772,0.001644696,132,132,
1790982,16050,,0.006060606,0.002840838,228,228,
1790988,16017,,0.006604101,0.005765613,190,190,
1790991,16017,,0.002989225,0.002609698,86,86,
1790994,16017,,0.002641641,0.002306245,76,76,
1790996,16017,,0.008932916,0.00779875,257,257,
1790997,16017,,0.000556135,0.000485525,16,16,
1790998,16017,,0.006326034,0.00552285,182,182,
1791000,16017,,0.002050747,0.001790374,59,59,
1791011,15085,,0.031616464,0.017545259,1100,1100,
1791014,15085,0.000179192,,7.97512E-05,5,,5
1791015,15085,0.054402752,,0.024212457,1518,,1518
1791016,15085,3.58384E-05,0.0033341,0.001866178,117,116,1
1791023,15001,0.008942228,,0.001247579,76,,76
1791024,15001,0.091187198,,0.01272202,775,,775
1791025,15001,0.043769855,,0.006106569,372,,372
1791026,15001,0.001058948,,0.00014774,9,,9
1791027,15001,,1.90771E-05,1.64155E-05,1,1,
1791032,15001,,0.021251836,0.018286877,1114,1114,
1791034,15001,,0.006886816,0.005925999,361,361,
1791035,15001,,0.000114462,9.84931E-05,6,6,
1791036,15001,,5.72312E-05,4.92465E-05,3,3,
1791039,15001,,0.012152082,0.010456679,637,637,
1791044,15102,,0.004926108,0.004613086,71,71,
1791049,15045,,0.000715224,0.000715224,49,49,
1794009,16063,,0.061815411,0.040400896,649,649,
1794022,16044,,0.030135165,0.020489642,272,272,
1794034,16054,,0.010628875,0.007415647,60,60,
1794075,16020,0.000113122,,7.08541E-05,2,,2
1794096,11002,0.000588374,,0.000366872,40,,40
1794130,16050,,0.001196172,0.000560692,45,45,
1794131,16050,,0.001036683,0.000485933,39,39,
1794141,16050,,0.007655502,0.003588427,288,288,
1794152,16050,,0.002498671,0.001171223,94,94,
1794164,16017,,0.011157456,0.009740851,321,321,
1794170,16017,,0.048696559,0.042513807,1401,1401,
1794173,16017,,0.000139034,0.000121381,4,4,
1794175,16017,0.047801147,,0.006069066,200,,200
1794176,16017,0.186185468,,0.023639012,779,,779
1794177,16017,0.020793499,,0.002640044,87,,87
1794185,15085,,0.01629685,0.009043783,567,567,
1794192,15085,0.010536501,,0.004689369,294,,294
1794193,15085,0.046518296,,0.020703405,1298,,1298
1794194,15085,0.022112318,,0.009841295,617,,617
1794195,15085,0.00114683,,0.000510408,32,,32
1794200,15001,,0.005322498,0.004579927,279,279,
1794201,15001,0.012236734,,0.001707213,104,,104
1794202,15001,0.065184139,,0.009094192,554,,554
1794203,15001,0.07577362,,0.010571588,644,,644
1794204,15001,0.032121426,,0.004481434,273,,273
1794207,15001,,0.002193861,0.001887784,115,115,
1794210,15001,,0.014708407,0.012656358,771,771,
1794216,15001,,0.010339762,0.008897206,542,542,
1794218,15001,,0.020603216,0.01772875,1080,1080,
1794225,15045,,0.013063786,0.013063786,895,895,
1797156,16094,0.066294919,0.050791917,0.058055152,400,186,214
1797157,16094,0.149938042,,0.070246734,484,,484
1797158,16094,0.00960347,,0.004499274,31,,31
1797165,16070,,0.271724138,0.025741539,394,394,
1797180,16063,,0.007143537,0.004668825,75,75,
1797189,16063,,0.045528146,0.029755976,478,478,
1797201,16044,,0.022712165,0.015442561,205,205,
1797208,16044,,0.00952803,0.006478343,86,86,
1797210,16054,,0.049247121,0.034359165,278,278,
1797213,16054,,0.018423384,0.012853788,104,104,
1797234,16036,,0.005560132,0.002329193,27,27,
1797243,16036,,0.380766063,0.159506556,1849,1849,
1797249,16020,,0.096141083,0.035923052,1014,1014,
1797251,16020,0,,0,0,,0
1797252,16020,0.051809955,,0.032451199,916,,916
1797253,16020,0.032975113,,0.020653984,583,,583
1797254,16020,,0.000379255,0.000141708,4,4,
1797258,16020,0.001979638,,0.001239948,35,,35
1797259,16020,0.088291855,,0.055301662,1561,,1561
1797260,16020,0.121662896,,0.076203635,2151,,2151
1797261,16020,0.051074661,,0.031990647,903,,903
1797267,11002,,0.03030746,0.011409704,1244,1244,
1797273,11002,0.003103671,,0.001935247,211,,211
1797274,11002,0.015180042,,0.009465285,1032,,1032
1797275,11002,0.033860908,,0.021113455,2302,,2302
1797276,11002,0.014473994,,0.009025039,984,,984
1797277,11002,0.000867851,0.000389807,0.000687884,75,16,59
1797278,11002,,0.000292355,0.000110061,12,12,
1797279,11002,,4.87258E-05,1.83436E-05,2,2,
1797281,11002,,0.019051796,0.007172338,782,782,
1797291,11002,,0.007381962,0.002779052,303,303,
1797294,11002,,0.024752716,0.009318536,1016,1016,
1797295,11002,,0.003532622,0.001329909,145,145,
1797303,16110,,0.001991272,0.001007157,47,47,
1797314,16050,,0.011057948,0.005183284,416,416,
1797315,16050,,0.04502924,0.02110693,1694,1694,
1797316,16050,,0.005369484,0.002516883,202,202,
1797323,16050,,0.039659755,0.018590047,1492,1492,
1797326,16050,,0.004997342,0.002342446,188,188,
1797335,16050,,0.000903775,0.000423634,34,34,
1797349,16017,,0.015502259,0.013534017,446,446,
1797352,16017,,0.012686827,0.011076045,365,365,
1797353,16017,0.109464627,,0.013898161,458,,458
1797354,16017,0.392686424,,0.049857377,1643,,1643
1797355,16017,0.114722753,0.008446298,0.021939673,723,243,480
1797360,15085,,0.001235916,0.00068586,43,43,
1797367,15085,,0.007587951,0.004210862,264,264,
1797370,15085,0.005626635,,0.002504187,157,,157
1797371,15085,0.040533276,,0.018039716,1131,,1131
1797372,15085,0.036340178,0.021240515,0.027960762,1753,739,1014
1797373,15085,0.006988496,,0.003110296,195,,195
1797377,15001,,0.004673878,0.0040218,245,245,
1797378,15001,,0.008432057,0.007255655,442,442,
1797379,15001,0.001882574,,0.000262648,16,,16
1797380,15001,0.041063655,,0.005729013,349,,349
1797381,15001,0.062360278,,0.00870022,530,,530
1797382,15001,0.053653371,,0.007485472,456,,456
1797383,15001,0.002117896,,0.000295479,18,,18
1797387,15001,0.092952112,,0.012968252,790,,790
1797388,15001,0.052123779,0.02556325,0.029268853,1783,1340,443
1800331,16094,,0.027307482,0.014513788,100,100,
1800333,16094,0.000929368,,0.000435414,3,,3
1800334,16094,0.218401487,,0.102322206,705,,705
1800335,16094,0.464993804,0.001365374,0.218577649,1506,5,1501
1800336,16094,0.00929368,,0.004354136,30,,30
1800358,16063,,0.071530622,0.046750498,751,751,
1800365,16063,0.0131177,9.52472E-05,0.004606574,74,1,73
1800366,16063,0.058939802,,0.020418327,328,,328
1800367,16063,0.003773585,,0.001307271,21,,21
1800379,16071,,0.002176925,0.00097292,66,66,
1800390,16054,,0.040566873,0.028303053,229,229,
1800393,16054,,0.028343667,0.019775059,160,160,
1800395,16054,,0.018777679,0.013100976,106,106,
1800403,16054,,0.066253322,0.0462242,374,374,
1800413,16036,,0.002265239,0.00094893,11,11,
1800419,16036,,0.001647446,0.000690131,8,8,
1800426,16020,,0.001422205,0.000531406,15,15,
1800427,16020,,0.07860055,0.029369044,829,829,
1800428,16020,0.004864253,,0.003046728,86,,86
1800429,16020,0.116742081,9.48137E-05,0.073156907,2065,1,2064
1800430,16020,0.218438914,,0.136819357,3862,,3862
1800431,16020,0.108597285,,0.068019981,1920,,1920
1800437,16020,0.024321267,0.003318479,0.016473589,465,35,430
1800438,16020,0.072285068,,0.0452758,1278,,1278
1800439,16020,0.061199095,,0.038332093,1082,,1082
1800440,16020,,0.000853323,0.000318844,9,9,
1800445,11002,,0.003654436,0.001375768,150,150,
1800448,11002,,0.002192662,0.000825461,90,90,
1800451,11002,0.001088491,0.024801442,0.010015592,1092,1018,74
1800452,11002,0.00044128,,0.000275154,30,,30
1800453,11002,0.013723817,,0.008557278,933,,933
1800454,11002,0.003736173,0.00133996,0.002834082,309,55,254
1800455,11002,0.000500118,,0.000311841,34,,34
1800474,11002,,0.038712664,0.01457397,1589,1589,
1800475,11002,,0.003191541,0.001201504,131,131,
1800484,11002,,0.017541295,0.006603687,720,720,
1800489,11038,,0.018090632,0.008676231,101,101,
1800494,16050,,0.010021265,0.004697351,377,377,
1800495,11038,,0.034390113,0.016493428,192,192,
1800499,16050,,0.010313663,0.004834409,388,388,
1800503,16050,,0.006166932,0.002890678,232,232,
1800507,16050,,0.001754386,0.000822348,66,66,
1800508,16050,,0.003455609,0.001619776,130,130,
1800511,16050,,0.001568315,0.000735129,59,59,
1800512,16050,,0.000318979,0.000149518,12,12,
1800519,16050,,0.005741627,0.00269132,216,216,
1800527,16017,,0.004171011,0.00364144,120,120,
1800531,16017,0.020793499,0.005074731,0.007070462,233,146,87
1800532,16017,0.08126195,,0.010317412,340,,340
1800533,16017,0.026051625,,0.003307641,109,,109
1800539,15085,,0.002558059,0.001419571,89,89,
1800542,15085,,0.027362612,0.015184624,952,952,
1800549,15085,0.012543454,,0.005582582,350,,350
1800550,15085,0.006128373,0.009484939,0.007991068,501,330,171
1800551,15085,,0.036473902,0.020240849,1269,1269,
1800554,15001,,0.019458593,0.01674382,1020,1020,
1800559,15001,0.009648194,,0.001346072,82,,82
1800560,15001,0.001058948,,0.00014774,9,,9
1800564,15001,0,,0,0,,0
1800565,15001,0.13836922,0.009958221,0.027873535,1698,522,1176
1800566,15001,0.187904459,0.018771819,0.04236843,2581,984,1597
1800567,15001,0.000235322,,3.2831E-05,2,,2
1800569,15001,,0.003376638,0.002905545,177,177,
1800573,15001,,0.004654801,0.004005384,244,244,
1803511,16094,0.006505576,0.02266521,0.01509434,104,83,21
1803512,16094,0.046778191,,0.02191582,151,,151
1803513,16094,0.026641884,,0.012481858,86,,86
1803514,16094,,0.018296013,0.009724238,67,67,
1803542,16063,0.012398922,,0.004295319,69,,69
1803543,16063,0.251931716,,0.087275896,1402,,1402
1803544,16063,0.249595687,,0.086466633,1389,,1389
1803545,16063,0.025336927,,0.00877739,141,,141
1803546,16063,,0.025050005,0.016372012,263,263,
1803547,16063,,0.035812935,0.023406375,376,376,
1803548,16063,,0.048099819,0.031436753,505,505,
1803551,16063,,0.067530241,0.044135956,709,709,
1803555,16063,,0.088675112,0.057955677,931,931,
1803570,16054,,0.085031001,0.059325176,480,480,
1803574,16054,,0.016829052,0.011741441,95,95,
1803575,16054,,0.038441098,0.026819923,217,217,
1803591,16036,,0.175247117,0.073412698,851,851,
1803593,16036,0.001336105,0.004736409,0.002760524,32,23,9
1803594,16036,0.005047506,,0.002933057,34,,34
1803595,16036,0.00415677,,0.002415459,28,,28
1803596,16036,0,,0,0,,0
1803607,16020,0.002714932,,0.0017005,48,,48
1803608,16020,0.00678733,,0.004251249,120,,120
1803609,16020,0.036085973,,0.022602473,638,,638
1803641,11002,,0.005335477,0.002008621,219,219,
1803649,11002,,0.004044243,0.001522517,166,166,
1803652,11002,,0.000560347,0.000210951,23,23,
1803669,11038,,0.01522479,0.007301778,85,85,
1803672,11038,,0.056958624,0.027317241,318,318,
1803680,16050,,0.018979266,0.008896309,714,714,
1803682,16050,,0.010473153,0.004909168,394,394,
1803683,16050,,0.004864434,0.002280147,183,183,
1803710,16017,,0.033472367,0.029222553,963,963,
1803718,15085,,0.004857438,0.00269559,169,169,
1803725,15085,,0.031587721,0.017529309,1099,1099,
1803727,15085,,0.000344907,0.000191403,12,12,
1803730,15001,,0.000782159,0.000673036,41,41,
1803734,15001,,0.005780347,0.004973899,303,303,
1803735,15001,,0.015833953,0.013624873,830,830,
1803736,15001,,0.026269101,0.022604156,1377,1377,
1803739,15001,,0.046796009,0.040267244,2453,2453,
1803741,15001,,0.012400084,0.010670081,650,650,
1803742,15001,,0.007745283,0.006664697,406,406,
1803744,15001,0.008236263,0.011732387,0.011244624,685,615,70
1803754,15001,,0.006467121,0.005564858,339,339,
1803756,15001,,0.005532345,0.004760498,290,290,
1806689,16094,,0.124249044,0.066037736,455,455,
1806690,16094,,0.005461496,0.002902758,20,20,
1806691,16094,,0.00737302,0.003918723,27,27,
1806700,16094,,0.162752594,0.086502177,596,596,
1806717,16063,,0.020954377,0.013695219,220,220,
1806720,16063,0.000359389,,0.000124502,2,,2
1806721,16063,0.18328841,,0.063496016,1020,,1020
1806722,16063,0.194249775,,0.067293327,1081,,1081
1806723,16063,0.005929919,,0.002054283,33,,33
1806728,16063,,0.016287265,0.01064492,171,171,
1806733,16071,,0.001583218,0.000707578,48,48,
1806734,16071,,0.052707962,0.023556466,1598,1598,
1806746,16054,,0.046944198,0.032752441,265,265,
1806747,16054,,0.00425155,0.002966259,24,24,
1806749,16054,,0.051195748,0.0357187,289,289,
1806752,16054,,0.006554473,0.004572982,37,37,
1806754,16054,,0.005491585,0.003831418,31,31,
1806756,16054,,0.031532329,0.021999753,178,178,
1806771,16036,0.092933492,,0.054002761,626,,626
1806772,16036,0.368022565,,0.213854382,2479,,2479
1806773,16036,0.223574822,,0.129917184,1506,,1506
1806774,16036,0.007868171,,0.004572119,53,,53
1806775,16036,,0.301276771,0.126207729,1463,1463,
1806785,16020,,0.023987864,0.00896305,253,253,
1806802,16078,,0.059844513,0.026232366,331,331,
1806803,11002,,0.005871461,0.002210401,241,241,
1806822,11002,,0.011913463,0.004485004,489,489,
1806828,11002,,0.000609073,0.000229295,25,25,
1806829,11002,,0.000243629,9.17179E-05,10,10,
1806834,11002,,4.87258E-05,1.83436E-05,2,2,
1806842,11002,,7.30887E-05,2.75154E-05,3,3,
1806850,11038,,0.003582303,0.001718065,20,20,
1806869,16050,,0.000292398,0.000137058,11,11,
1806872,16050,,0.001568315,0.000735129,59,59,
1806881,16017,,0.010462287,0.009133944,301,301,
1806883,16017,,0.004518596,0.003944893,130,130,
1806884,16017,,0.007125478,0.006220793,205,205,
1806886,16017,,0.008098714,0.007070462,233,233,
1806897,15085,,0.016613014,0.009219236,578,578,
1806898,15085,,0.008105312,0.004497966,282,282,
1806899,15085,,0.051506093,0.028582822,1792,1792,
1806900,15085,,0.00192573,0.001068666,67,67,
1806908,15001,,0.002480017,0.002134016,130,130,
1806910,15001,,0.030962056,0.026642372,1623,1623,
1806911,15001,,0.021976764,0.018910667,1152,1152,
1806919,15001,,0.01352563,0.011638596,709,709,
1806921,15001,,0.00129724,0.001116255,68,68,
1806928,15001,,0.001736012,0.001493811,91,91,
1806930,15001,,0.009347756,0.0080436,490,490,
1806932,15001,,0.0023274,0.002002692,122,122,
1806938,15102,,0.035037813,0.032811383,505,505,
1809865,16094,,0.003276898,0.001741655,12,12,
1809873,16094,,0.157291098,0.083599419,576,576,
1809875,16094,,0.004369197,0.002322206,16,16,
