GRIDCODE,CVENTMUN,Fpav
1787787,16050,0.004908306
1787788,16050,0.007733186
1787818,16017,0.005535203
1787819,16017,0.005959133
1787837,15085,0.01117021
1787853,15001,0.000894903
1787854,15001,0.010568892
1787856,15001,0.005552509
1787859,15001,0.009474857
1787860,15001,0.00617272
1790802,16070,0.135798855
1790832,16044,0.02756314
1790843,16044,0.013118821
1790844,16044,0.055319777
1790845,16044,0.058039728
1790846,16044,0.036279921
1790877,16027,0.015317333
1790878,16027,0.011140891
1790896,16018,0.003188813
1790897,16018,0.012581845
1790935,11002,0.007064591
1790964,16050,0.008899315
1790965,16050,0.006043365
1790996,16017,0.019714423
1790997,16017,0.005285104
1791015,15085,0.02652362
1791032,15001,0.019100704
1791033,15001,0.011228263
1791034,15001,0.005332777
1791035,15001,0.010977309
1791036,15001,0.0108433
1791037,15001,0.004157905
1793979,16070,0.002294522
1793979,16094,0.028942435
1793980,16070,0.075214644
1794010,16044,0.003314693
1794010,16063,0.011626514
1794019,16044,0.003068588
1794020,16044,0.06446542
1794021,16044,0.044873505
1794056,16027,0.010295167
1794056,16036,0.026674596
1794075,16018,0.015770657
1794113,11002,0.00711321
1794141,16050,0.010184568
1794142,16050,0.001415043
1794172,16017,0.000991111
1794173,16017,0.014718254
1794174,16017,0.000544456
1794175,16017,0.010353086
1794176,16017,0.006241182
1794192,15085,0.00893068
1794193,15085,0.008954941
1794194,15085,0.006905267
1794202,15001,0.005537834
1794203,15001,0.010896867
1794204,15001,0.010927634
1794210,15001,0.010787906
1797157,16094,0.066110906
1797188,16063,0.013107141
1797193,16063,0.010340927
1797194,16044,0.024501232
1797194,16063,0.015831129
1797195,16063,0.027206741
1797196,16044,0.00312432
1797196,16063,0.024567329
1797197,16044,0.054979934
1797234,16036,0.05235459
1797242,16036,0.03444212
1797243,16036,0.048544513
1797244,16036,0.047836112
1797245,16020,0.002168426
1797245,16036,0.04402555
1797246,16020,0.027659482
1797247,16020,0.027872731
1797248,16020,0.016292377
1797252,16020,0.01005883
1797253,16018,0.002916921
1797253,16020,0.015879182
1797275,11002,0.001896322
1797276,11002,0.003631864
1797277,11002,0.007150019
1797278,11002,0.00715798
1797279,11002,0.007167027
1797280,11002,0.007989208
1797281,11002,0.008403678
1797282,11002,0.003149386
1797283,11002,0.001698606
1797291,11002,0.007209433
1797319,11038,0.019221902
1797319,16050,0.006090568
1797349,16017,0.001592915
1797350,16017,0.014054223
1797354,16017,0.008367991
1797369,15085,0.001324823
1797370,15085,0.012030607
1797372,15085,0.01266911
1797382,15001,0.003895023
1797383,15001,0.008830376
1797388,15001,0.0109041
1800334,16094,0.039619172
1800335,16094,0.038265077
1800364,16063,0.011015186
1800365,16063,0.028152931
1800366,16063,0.039589374
1800367,16063,0.026757719
1800368,16063,0.026152891
1800369,16063,0.026149337
1800370,16063,0.027238388
1800371,16063,0.016755458
1800412,16036,0.020174213
1800413,16036,0.049032719
1800419,16036,0.051398013
1800420,16036,0.017692616
1800426,16020,0.011511139
1800427,16020,0.0278058
1800428,16020,0.027643839
1800429,16020,0.027428884
1800430,16020,0.050906514
1800452,11002,0.004511676
1800453,11002,0.010881213
1800454,11002,0.003694152
1800459,11002,0.000228662
1800460,11002,0.004233296
1800461,11002,0.008013356
1800469,11002,0.005238161
1800470,11002,0.002852822
1800496,11038,0.056756137
1800497,11038,0.006728787
1800527,16017,0.011553693
1800547,15085,0.014468471
1800550,15085,0.005747427
1800551,15085,0.008840791
1800553,15001,0.001777484
1800554,15001,0.011018231
1800555,15001,0.003528209
1800558,15001,0.00400105
1800559,15001,0.011037767
1800560,15001,0.010833854
1800561,15001,0.014566006
1800562,15001,0.011394592
1800563,15001,0.010979124
1800564,15001,0.010764964
1800565,15001,0.01866186
1800566,15001,0.002885993
1803512,16094,0.046105823
1803513,16094,0.015602725
1803540,16063,0.012113017
1803541,16063,0.028769772
1803542,16063,0.017647575
1803544,16063,0.015850159
1803545,16063,0.014411979
1803546,16063,0.013255292
1803547,16063,0.002159477
1803590,16036,0.025192882
1803591,16036,0.037430843
1803592,16036,0.032214305
1803596,16036,0.050538033
1803597,16036,0.03318487
1803608,16020,0.030229001
1803627,11002,0.002726688
1803628,11002,0.007331042
1803629,11002,0.007418951
1803630,11002,0.003481513
1803639,11002,0.002812334
1803640,11002,0.007712544
1803641,11002,0.005771979
1803648,11002,0.007342138
1803649,11002,0.006517202
1803673,11038,0.04008127
1803674,11038,0.031056692
1803705,16017,0.010981725
1803723,15085,0.004876771
1803724,15085,0.013494627
1803725,15085,0.001777398
1803729,15085,0.006158021
1803730,15001,0.010190443
1803730,15085,0.001650919
1803731,15001,0.017082252
1803733,15001,0.008176561
1803734,15001,0.011076821
1803735,15001,0.010942617
1803736,15001,0.007339889
1803741,15001,0.004703181
1803742,15001,0.011925489
1803743,15001,0.006847859
1806690,16094,0.020810108
1806691,16094,0.043142972
1806710,16063,0.004100567
1806711,16063,0.022288068
1806716,16063,0.005653719
1806717,16063,0.030114577
1806718,16063,0.018042279
1806767,16036,0.011939375
1806768,16036,0.059808032
1806769,16036,0.062819505
1806770,16036,0.063414
1806771,16036,0.047887834
1806772,16036,0.05120613
1806773,16036,0.053280071
1806774,16036,0.01912585
1806785,16020,0.029372319
1806786,16020,0.001417638
1806803,11002,0.00323851
1806803,16078,0.006870597
1806804,11002,0.008089138
1806805,11002,0.004533863
1806819,11002,0.001733869
