GRIDCODE	CVENTMUN	Ft
53775	07097	0.010394946
53775	07097	0.103206466
53776	07097	0.131679045
53823	07020	0.044764293
53824	07020	0.076349311
53825	07030	0.023778754
53825	07020	1.04271E-05
54684	20414	0.08855308
54685	20414	0.087417196
54698	20334	0.073689343
54699	20334	0.102952703
54711	20526	0.018772685
54711	20433	0.144166159
54711	20526	0.025621062
54713	20202	0.005346889
54714	20202	0.143976419
54714	20202	0.035709976
54715	20202	0.04245155
54715	20202	0.075755851
54715	20202	0.043738372
54718	20159	0.049954764
54721	20159	0.018627094
54722	20159	0.035739256
54727	20291	0.236604219
54737	20254	0.203434385
54738	20254	0.031502488
54740	20424	0.013871965
54740	20424	0.217590375
54741	20424	0.108846906
54741	20424	0.053095312
54741	20424	0.005187959
54742	20512	0.32119421
54743	20512	0.084618524
54834	07097	0.030703689
54880	07020	0.024061756
54881	07020	0.075381825
54882	07020	0.035948887
54898	07099	0.031747316
54899	07099	0.031254537
54900	07099	0.018029732
55744	20414	0.159347684
55749	20467	0.01041704
55750	20467	0.068976955
55751	20467	0.031432987
55758	20334	0.11796309
55766	20364	0.02782742
55772	20202	0.070491874
55773	20202	0.136259545
55777	20159	0.011116608
55778	20159	0.065610335
55779	20159	0.053679823
55779	20159	0.00177574
55779	20159	0.004580254
55780	20159	0.012445934
55781	20159	0.068401645
55782	20159	0.01029563
55782	20344	0.159384882
55783	20344	0.019888592
55783	20344	0.08799872
55783	20344	0.082027014
55784	20291	0.058337007
55784	20344	0.000779964
55785	20291	0.191422033
55786	20291	0.056299776
55791	20391	0.081162595
55795	20254	0.166468148
55796	20347	0.010347359
55796	20347	0.008727841
55799	20347	0.04928061
55799	20424	0.147960746
55799	20512	0.594187266
55800	20424	0.007699073
55909	07107	0.004027499
55924	07020	0.002759948
55939	07020	0.041429109
55956	07099	0.003681592
55957	07099	0.005539941
55959	07099	0.015553677
55960	07099	0.030990861
56803	20414	0.166828396
56810	20467	0.037822816
56811	20467	0.086732796
56812	20467	0.068923195
56813	20467	0.06620342
56814	20467	0.078999138
56817	20334	0.112212515
56825	20364	0.103798181
56825	20364	0.03193829
56825	20364	0.011077012
56826	20364	0.006697842
56830	20202	0.057540164
56831	20202	0.064427105
56836	20159	0.020787384
56837	20159	0.060287479
56838	20159	0.008409727
56838	20159	0.045915095
56838	20159	0.009038295
56839	20159	0.055406489
56840	20159	0.027252951
56841	20344	0.009054162
56841	20159	0.028285046
56841	20344	0.238455046
56842	20344	0.137851083
56842	20344	0.105940762
56842	20344	0.158619775
56843	20291	0.136718167
56844	20291	0.125261819
56850	20391	0.631588845
56854	20254	0.008051994
56854	20347	0.051340865
56854	20095	0.353065087
