GRIDCODE	CVENTMUN	Fpv
1943	07087	0.023645599
3002	07087	0.047785499
3002	07087	0.072718629
3002	07087	0.024839158
3003	07087	0.003144961
4061	07087	0.002416392
4062	07087	0.118197719
5117	07087	0.122021275
5121	07087	0.119981424
6176	07087	0.102026027
6176	07089	0.009756978
6176	07087	0.016763222
6180	07087	0.070322049
6181	07087	0.04174819
6181	07087	0.043128259
7230	07089	0.02472572
7234	07089	0.023583073
7235	07089	0.003419273
7239	07087	0.065052369
7240	07087	0.058411295
8289	07089	0.014466733
8290	07089	0.03308291
8292	07089	0.022386857
8293	07089	0.004611464
8298	07035	0.162162142
8298	07087	0.067797934
9349	07089	0.035766459
9350	07089	0.0178393
9350	07089	0.003346537
9350	07089	0.011572198
9351	07089	0.005809443
9357	07035	0.332290222
10409	07089	0.001324586
10409	07089	0.002326884
10409	07089	0.04542743
10415	07035	0.288932952
10416	07035	0.101188732
11468	07089	0.012033055
11469	07089	0.005490261
11469	07089	0.00332097
11469	07089	0.023884346
11469	07089	0.006228536
11474	07055	0.42306096
11474	07035	0.115425951
12523	07054	0.001146434
12524	07054	0.063329601
12528	07089	0.018345776
12529	07089	0.034983096
12533	07055	0.300121418
12533	07102	0.016734943
12533	07055	0.276817622
13581	07054	0.04905305
13582	07054	0.230129973
13582	07054	0.158601258
13582	07054	0.057369865
13583	07054	0.055280276
13587	07089	0.004624394
13588	07089	0.011496792
13588	07089	0.031785549
13588	07089	0.009066982
13588	07089	0.001218091
13589	07089	0.012644416
13592	07102	0.117910801
14642	07054	0.049293258
14642	07054	0.201419861
14643	07089	0.009540315
14643	07054	0.134376423
14644	07089	0.00921503
14644	07089	0.001528982
14645	07089	0.018612925
14646	07089	0.040525345
14647	07089	0.039927111
14647	07089	0.006444676
14648	07089	0.007733157
14648	07089	0.007436538
14648	07089	0.027995919
14648	07089	0.015886588
14648	07089	0.005107658
14648	07089	0.012406602
14648	07089	0.005041867
14648	07089	0.002959919
14649	07102	0.0742857
14649	07089	0.013291951
14649	07102	0.01237539
14650	07102	0.116651053
14651	07102	0.070661787
14651	07102	0.04672916
15703	07089	0.015192844
15703	07089	0.030325748
15703	07037	0.012102383
15703	07089	0.00171436
15703	07089	0.014758509
15704	07089	0.024091121
15707	07089	0.024814389
15709	07102	0.027918727
15710	07102	0.028386038
15710	07102	0.033643428
15710	07102	0.086019394
15710	07102	0.035810175
16761	07037	0.16730114
16762	07089	0.000390775
16762	07037	0.033209891
16766	07089	0.015190206
16766	07089	0.005043827
16769	07102	0.036268574
16770	07102	0.024362236
16770	07102	0.095775404
16770	07102	0.032796818
17820	07037	0.01985027
17820	07037	0.164629882
17825	07089	0.006513995
17826	07089	0.010069333
17826	07089	0.004873063
17829	07102	0.028320212
17829	07102	0.0943022
17829	07015	0.031198045
17829	07102	0.02104796
18879	07037	0.05350322
18879	07037	0.131108928
18879	07037	0.016432295
18879	07037	0.004028768
18879	07037	0.06325359
18880	07037	0.013823566
18885	07089	0.019849306
18887	07015	0.012691173
18887	07015	0.078797927
18887	07015	0.188651781
18888	07015	0.03254871
18888	07015	0.237076806
19938	07037	0.185529063
19942	07089	0.002035006
19943	07089	0.005694426
19943	07089	0.006641326
19944	07089	0.015858897
19947	07015	0.419035557
19947	07105	0.056560227
19948	07105	0.30858354
19949	07105	0.189150904
20996	07037	0.070333496
20996	07103	0.095899909
20997	07037	0.06489351
21000	07089	0.037297561
21000	07089	0.002381097
21001	07089	0.027557113
21002	07089	0.001044851
21002	07089	0.022163596
21003	07089	0.003487452
21003	07089	0.000229181
21006	07105	0.0617787
21007	07105	0.034938783
21008	07105	0.323202331
22054	07103	0.014262874
22055	07103	0.205505123
22055	07103	0.00574703
22059	07089	0.024748672
22067	07105	0.025785515
23112	07040	0.035011931
23113	07040	0.025941848
23113	07103	0.022767505
23113	07103	0.080075575
23113	07103	0.124337635
23113	07103	0.030963281
23114	07103	0.053433581
23118	07089	0.019810654
24168	07040	0.023490615
24169	07040	0.361702229
24170	07040	0.04945041
24170	07040	0.209342974
24171	07040	0.041947653
24171	07040	0.003764209
24171	07040	0.011643709
24171	07040	0.118465523
24172	07040	0.045340643
24172	07103	0.118816209
24173	07103	0.02934012
25227	07040	0.013043019
25227	07071	0.391786128
25231	07103	0.002542886
25232	07040	0.059803705
25232	07103	0.084237387
26285	07071	0.024123839
26285	07071	0.093668492
26285	07071	0.06985337
26286	07071	0.039807372
26286	07071	0.079941134
26291	07040	0.001051531
26291	07103	0.109686166
27343	07032	0.017624792
27343	07032	0.023144675
27343	07032	0.062503262
27343	07071	0.141866591
27344	07071	0.027010708
27344	07071	0.131942366
27350	07103	0.02238472
27350	07057	0.059060225
28398	07003	0.060625946
28399	07003	0.084142329
28399	07003	0.019698918
28399	07003	0.012087893
28400	07032	0.025443669
28401	07032	0.087830919
28401	07032	0.002943829
28401	07032	0.076190986
28402	07032	0.011108577
28402	07032	0.003481242
28402	07032	0.006226984
28409	07057	0.064027416
28410	07057	0.008743866
29458	07003	0.04780277
29458	07032	0.013573385
29458	07032	0.055684913
29459	07032	0.00882849
29459	07032	0.041698955
29459	07032	0.057894982
29459	07032	0.052498106
29459	07032	0.007178754
29460	07032	0.03758399
29469	07057	0.059387491
29469	07057	0.006491122
30516	07001	0.085316074
30516	07001	0.086649481
30517	07032	0.002388014
30517	07001	0.064433199
30517	07001	0.073505203
30518	07032	0.011027547
30518	07032	0.016578938
30518	07032	0.037986446
30518	07032	0.019059066
30518	07032	0.019071001
30518	07001	0.083035487
30519	07032	0.092407307
30520	07032	0.001838178
30528	07057	0.060870362
30529	07057	0.081245639
30530	07057	0.023749367
31573	07003	0.007343023
31573	07001	0.016504739
31573	07003	0.008046071
31573	07001	0.020737108
31573	07003	0.065565495
31574	07001	0.085513095
31574	07001	0.10374704
31574	07001	0.090967687
31574	07001	0.036117787
31574	07001	0.010810906
31574	07001	0.002235417
31575	07001	0.006871584
31575	07001	0.151133958
31576	07001	0.082421234
31579	07032	0.092033379
31580	07032	0.079845571
31581	07032	0.036324044
31589	07057	0.055402895
31590	07057	0.061318264
31590	07057	0.04581403
31591	07057	0.012378025
31591	07057	0.052808575
31591	07057	0.0144367
32630	07003	0.131692259
32630	07051	0.077945548
32631	07003	0.324132005
32631	07051	0.009928364
32632	07003	0.23886329
32647	07057	0.024750937
32648	07057	0.0627377
32649	07057	0.049157437
32650	07057	0.033145129
32651	07057	0.035552413
32651	07057	0.012572147
33686	07051	0.002572183
33687	07051	0.009967676
33688	07051	0.081390735
33688	07051	0.032398483
33689	07051	0.021816858
33689	07051	0.012227249
33706	07057	0.022007593
33707	07057	0.049559836
33710	07057	0.042035878
33710	07053	0.012229451
33711	07053	0.332689985
33712	07053	0.155443842
34744	07051	0.009625544
34745	07051	0.058121545
34745	07051	0.149230655
34745	07051	0.014835183
34746	07051	0.060845366
34746	07051	0.048709829
34765	07070	0.057592828
34765	07057	0.030588643
34766	07057	0.03215831
34771	07053	0.329477271
34772	07006	0.048186752
34772	07053	0.170159451
35672	20439	0.018254541
35673	20439	0.065481675
35674	20324	0.050178061
35674	20439	0.013413505
35675	20324	0.012070671
35675	20324	0.02101119
35803	07051	0.205652079
35824	07080	0.059014916
35824	07070	0.007760425
35824	07080	0.076671876
35825	07080	0.18249614
35825	07070	0.121435216
35826	07070	0.092106795
35826	07070	0.062352583
35827	07070	0.225595299
35828	07070	0.108551198
35831	07006	0.011487214
35832	07006	0.09459869
35832	07006	0.039385628
36731	20439	0.084402183
36734	20324	0.064162628
36860	07069	0.019990977
36860	07051	0.015074304
36861	07051	0.122874661
36861	07051	0.059416971
36862	07051	0.007366764
36885	07070	0.073585674
36885	07080	0.189382059
36885	07070	0.070100189
36885	07070	0.019607241
36887	07070	0.124896632
36887	07070	0.036415922
36887	07036	1
36891	07006	0.148938304
37783	20439	0.021352968
37783	20439	0.000437828
37784	20439	0.060895612
37785	20439	0.060030645
37786	20439	0.050232394
37787	20439	0.060085825
37788	20439	0.060464289
37788	20439	0.001048101
37789	20439	0.06249467
37789	20439	0.001653407
37790	20439	0.005796189
37790	20439	0.057548487
37790	20439	0.041259244
37791	20439	0.016198856
37793	20324	0.048325791
37793	20324	0.013735031
37794	20324	0.040112528
37795	20324	0.052942014
37796	20324	0.019754511
37918	07069	0.056816966
37919	07069	0.035307954
37943	07080	0.190007914
37944	07080	0.115584552
37950	07006	0.107256829
38839	20439	0.012923511
38840	20439	0.081011256
38841	20439	0.05954729
38842	20439	0.039435023
38845	20439	0.0152075
38850	20439	0.014882907
38850	20439	0.032817964
38851	20324	0.018128572
38851	20439	0.040659242
38852	20324	0.050307837
38852	20324	0.01380893
38852	20324	0.008385543
38852	20324	0.020457362
38853	20324	0.019660247
38853	20324	0.027015994
38854	20324	0.008060462
38855	20324	0.053765196
38856	20324	0.061644198
38857	20413	0.000733158
38857	20324	0.064660341
38858	20413	0.031773754
38975	07069	0.033845122
38976	07069	0.059411068
38977	07069	0.003055947
39002	07080	0.186842542
39009	07010	0.624778194
39009	07006	0.075338352
39895	20401	0.068092897
39896	20401	0.083472944
39897	20401	0.075924579
39898	20401	0.014606092
39898	20439	0.022464888
39898	20401	0.017412467
39912	20324	0.060531944
39917	20413	0.013650112
39918	20413	0.045880202
39918	20413	0.00033918
39918	20413	0.017279505
39919	20413	0.028375288
39923	20413	0.001774456
39924	20413	0.010248181
39924	20413	0.028337847
40032	07069	0.008506283
40033	07069	0.058696951
40034	07069	0.031169114
40067	07006	0.030419001
40068	07010	0.375221806
40068	07006	0.081494045
40951	20401	0.074274723
40952	20401	0.075969132
40953	20401	0.07590679
40954	20401	0.008674111
40971	20324	0.059773836
40976	20413	0.013639363
40977	20413	0.046957523
40978	20413	0.015267443
40979	20413	0.041939258
40980	20413	0.004882247
40980	20413	0.040502541
