GRIDCODE,CVENTMUN,Fr
167852,16033,1
154085,16035,1
183755,16039,1
193303,16040,1
190145,16041,1
197512,16044,1
183758,16048,1
197559,16050,1
120191,16052,1
189060,16053,1
162552,16055,1
165762,16057,1
168915,16059,1
184854,16061,1
200689,16063,1
163609,16064,1
182692,16066,1
214447,16069,1
184780,16075,1
179510,16079,1
192265,16080,1
213377,16086,1
175268,16087,1
181624,16090,1
191133,16091,1
186897,16095,1
183793,16098,1
178441,16102,1
201723,16104,1
213373,16105,1
214438,16106,1
194335,16107,1
200672,16108,1
196482,16110,1
177386,16111,1
179559,16112,1
209166,16113,1
146765,17001,1
160548,17002,1
144669,17003,1
154192,17004,1
156310,17006,1
160538,17007,1
156302,17008,1
165831,17009,1
158420,17011,1
148902,17013,1
147825,17017,1
149958,17019,1
163717,17020,1
152066,17024,1
143598,17025,1
161605,17026,1
163724,17027,1
159485,17029,1
149947,17031,1
300112,18001,1
242956,18002,1
250355,18004,1
241900,18006,1
257769,18008,1
284232,18010,1
277881,18011,1
244005,18013,1
273647,18015,1
260945,18017,1
278932,18018,1
432655,19001,1
435872,19003,1
483497,19005,1
425250,19006,1
454892,19008,1
418903,19009,1
430539,19010,1
436933,19015,1
426295,19018,1
422065,19019,1
428423,19021,1
423131,19026,1
431630,19027,1
422075,19031,1
476070,19032,1
391383,19033,1
433710,19037,1
403023,19038,1
424186,19039,1
458098,19040,1
425254,19041,1
423150,19042,1
432659,19045,1
433713,19047,1
423121,19048,1
452775,19051,1
146864,20002,1
71731,20005,1
82320,20010,1
72788,20014,1
150037,20021,1
70673,20030,1
94966,20033,1
68556,20043,1
132061,20044,1
96087,20057,1
90732,20067,1
79086,20068,1
68575,20075,1
59018,20079,1
132018,20109,1
68567,20130,1
69631,20143,1
100256,20150,1
104489,20161,1
118257,20177,1
128875,20184,0.5
134172,20184,0.5
86503,20197,1
90792,20198,1
86491,20292,1
92849,20293,1
99198,20294,1
70669,20305,1
114020,20311,1
64347,20327,1
94966,20338,1
88614,20385,1
90734,20390,1
120368,20416,1
86557,20427,1
124609,20431,1
80143,20452,1
106606,20463,1
97081,20483,1
62194,20515,1
66460,20525,1
129900,20545,1
86505,20551,1
89676,20553,1
85437,20565,1
170113,21001,1
205051,21008,1
140484,21013,1
165873,21015,1
195545,21017,1
160565,21019,1
135193,21035,1
160585,21038,1
184949,21044,1
161656,21045,1
150010,21046,1
143613,21051,1
196606,21054,1
159542,21063,1
155268,21069,1
172215,21074,1
148914,21085,1
182829,21094,0.5
184949,21094,0.5
169062,21096,1
155305,21099,1
173293,21104,1
177536,21108,0.5
178595,21108,0.5
166926,21114,1
175436,21116,1
174355,21128,1
165889,21130,1
174331,21132,1
166923,21140,1
168005,21142,1
147891,21149,1
159530,21154,1
144716,21156,1
148946,21161,1
163759,21164,1
153151,21166,1
183894,21170,1
196606,21174,1
152121,21177,1
194483,21186,1
155295,21205,1
193422,21211,1
139426,21214,1
224043,22005,1
225100,22011,1
221926,22012,1
225094,22014,1
217695,22016,1
219815,22017,1
293899,24001,1
284420,24002,1
279128,24005,1
344739,24006,1
350043,24007,1
296049,24008,1
288653,24010,1
278057,24011,1
280208,24013,1
321440,24015,1
289761,24016,1
299222,24017,1
343692,24020,1
290730,24021,1
307674,24022,1
278075,24023,1
276998,24024,1
302355,24025,1
285437,24028,1
285454,24030,1
283392,24040,1
352154,24044,1
316145,24045,1
326746,24047,1
272729,24050,1
296038,24051,1
292876,24052,1
431311,25001,1
391120,25006,1
468396,25007,1
356189,25008,1
312806,25009,1
453564,25010,1
328671,25012,1
401698,25013,1
318099,25014,1
417573,25015,1
348780,25016,1
431328,25017,1
390051,25018,1
648397,26002,1
607044,26016,1
630310,26017,1
500118,26018,1
636724,26019,1
587986,26020,1
549867,26021,1
520212,26025,1
625097,26027,1
506460,26029,1
564688,26030,1
600762,26031,1
473651,26033,1
630352,26035,1
625053,26036,1
649444,26039,1
612386,26041,1
483189,26042,1
650472,26043,1
537199,26044,1
599634,26045,1
630314,26047,1
657802,26048,1
695883,26055,1
575280,26056,1
620812,26058,1
646246,26059,1
616563,26064,1
122694,27001,1
135405,27001,1
116328,27007,1
119439,27008,1
120532,27012,1
117345,27015,1
117340,27016,1
117394,27017,1
300368,28003,1
444355,28007,1
342691,28008,1
290839,28009,1
311999,28012,1
357508,28013,1
444365,28015,1
370214,28016,1
328929,28019,1
308802,28021,1
432752,28022,1
491988,28027,1
440138,28032,1
435909,28033,1
289779,28038,1
347978,28041,1
380798,28042,1
318334,28043,1
184927,29003,1
180695,29005,1
187034,29006,1
177535,29007,1
177531,29008,1
176457,29010,1
182811,29011,1
179624,29012,1
177525,29013,1
185982,29014,1
177507,29015,1
175409,29016,1
177517,29018,1
181741,29020,1
182799,29021,1
173280,29022,1
178577,29026,1
169043,29027,1
173280,29028,1
183875,29031,1
185984,29034,1
179639,29038,1
180700,29039,1
170102,29041,1
170102,29042,1
187039,29045,1
175398,29048,1
172220,29058,1
174339,29060,1
188147,30001,1
155310,30006,1
166984,30007,1
160654,30011,1
158499,30014,1
175464,30016,1
179687,30017,1
161681,30021,1
188150,30026,1
171234,30028,1
157431,30030,1
183915,30038,1
135290,30039,1
160617,30044,1
138412,30045,1
131049,30048,1
132106,30048,1
160637,30049,1
156384,30052,1
134182,30054,1
242119,30058,1
131045,30059,1
126829,30061,1
181801,30065,1
161674,30068,1
158492,30074,1
129958,30077,1
133175,30082,1
161673,30085,1
187092,30087,1
128925,30089,1
107736,30091,1
190266,30093,1
128902,30094,1
157428,30099,1
170168,30100,1
168058,30105,1
130001,30111,1
157431,30115,1
158491,30115,1
125744,30116,1
155326,30117,1
159552,30118,1
134174,30119,1
271772,30121,1
290827,30123,1
219907,30124,1
164860,30125,1
187080,30128,1
190261,30132,1
287658,30133,1
179694,30134,1
188148,30136,1
158492,30138,1
121496,30142,1
117267,30144,1
121506,30144,1
168047,30148,1
283421,30152,1
131009,30169,1
126805,30172,1
152152,30173,1
144752,30174,1
149014,30178,1
157467,30181,1
174411,30193,1
190259,30194,1
168036,30200,1
231520,30202,1
133174,30206,1
137348,30207,1
253005,31002,1
231830,31003,1
261486,31005,1
260426,31007,1
265756,31008,1
241355,31018,1
248756,31023,1
257272,31030,1
265733,31031,1
264693,31032,1
239219,31033,1
254071,31034,1
250898,31037,1
259374,31040,1
257238,31041,1
