GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
12528,7089,3.00E-05,0.006451539,0.001778743,7,563,570
12529,7089,,0.007551624,0.002056477,,659,659
12530,7089,,0.051440424,0.014008382,,4489,4489
12531,7102,,0.042199863,0.034342953,,1296,1296
12533,7055,1,0.208006603,0.618716471,2610,504,3114
13577,7054,,0.000516963,0.000301057,,8,8
13579,7054,,0.000840065,0.000489218,,13,13
13580,7054,,0.000969305,0.000564483,,15,15
13581,7054,0.318345648,0.001357027,0.133744779,3533,21,3554
13582,7054,0.084429627,0.053117932,0.06619501,937,822,1759
13583,7054,0.021985943,0.032827141,0.028299402,244,508,752
13584,7054,,0.02720517,0.015843149,,421,421
13585,7054,,0.002972536,0.00173108,,46,46
13585,7089,,0.000114592,3.12E-05,,10,10
13586,7089,,0.008800678,0.002396622,,768,768
13587,7089,0.0149881,0.00043545,0.011025087,3495,38,3533
13588,7089,0.108802024,0.035122499,0.088737436,25371,3065,28436
13589,7089,0.120359371,0.027421905,0.095050413,28066,2393,30459
13590,7089,0.042121063,0.007826645,0.032781923,9822,683,10505
13590,7102,,0.034873498,0.028380634,,1071,1071
13591,7102,,0.026700531,0.021729337,,820,820
13592,7102,,0.001921136,0.001563452,,59,59
14635,7054,,0.048852989,0.02844993,,756,756
14638,7054,,0.007754443,0.004515862,,120,120
14639,7054,,0.001550889,0.000903172,,24,24
14640,7054,,0.015121163,0.008805931,,234,234
14641,7054,,0.007431341,0.004327701,,115,115
14642,7054,,0.055831987,0.032514206,,864,864
14643,7089,,0.001420943,0.000386955,,124,124
14644,7054,,0.012342488,0.007187747,,191,191
14644,7089,0.009413127,0.000343776,0.006943339,2195,30,2225
14645,7089,,0.001982444,0.000539864,,173,173
14646,7089,0.00054892,0.03584443,0.01016068,128,3128,3256
14647,7089,0.076793104,0.001203218,0.056208281,17907,105,18012
14648,7089,0.232098977,,0.168893216,54122,,54122
14649,7089,0.091738319,,0.066755916,21392,,21392
14649,7102,,0.048679626,0.039616292,,1495,1495
14650,7102,,0.087525642,0.071229827,,2688,2688
14651,7102,,0.136400638,0.111005114,,4189,4189
14652,7102,,0.059978509,0.048811511,,1842,1842
15693,7040,,0.004294732,0.001616075,,83,83
15697,7054,,0.000129241,7.53E-05,,2,2
15698,7054,,0.118966074,0.069280849,,1841,1841
15699,7054,,0.004846527,0.002822414,,75,75
15701,7054,,0.083295638,0.048507884,,1289,1289
15701,7089,,9.17E-05,2.50E-05,,8,8
15702,7037,,0.000825806,0.000478412,,16,16
15702,7089,,0.000813604,0.000221563,,71,71
