GRIDCODE,CVENTMUN,fb
1193632,12034,0.001442872
1193633,12034,0.001442872
1193634,12034,0.000568961
1193635,12034,4.11693E-05
1193636,12034,0.000448163
1193637,12034,0.000196546
1193639,12008,7.98799E-05
1193640,12008,0.004775018
1193641,12008,0.011644678
1193642,12008,0.013670842
1193643,12008,0.013536188
1193643,12008,0.000134654
1193644,12008,0.005722565
1193644,12008,0.006638144
1193645,12008,0.012525048
1193646,12008,0.013670842
1193647,12008,0.013670842
1193648,12008,0.013670842
1193649,12008,0.00464382
1193649,12008,0.009027022
1193650,12008,0.013423162
1193650,12008,0.00024768
1193651,12008,0.013670842
1193652,12008,0.004201201
1193652,12008,0.009469641
1193653,12008,0.013670842
1193654,12008,0.013670842
1193655,12008,0.013670842
1193656,12008,0.013667753
1193656,12008,3.08901E-06
1193657,12008,0.010548826
1193657,12008,0.003122016
1193658,12008,0.000716301
1193658,12008,0.012954542
1193659,12008,0.013670842
1193660,12008,0.009262177
1193660,21087,0.000696076
1193661,21087,0.001655906
1193661,21087,0.000502558
1193662,21087,0.000826393
1193662,21087,0.001278524
1193663,21087,0.00213471
1193664,21087,0.002158464
1193665,21087,0.002158464
1193666,21087,0.002158464
1193667,21087,0.002158464
1193668,21087,0.002158464
1193669,21087,0.00117215
1193669,21087,0.000986314
1193670,21087,4.40779E-06
1193670,21087,0.002154056
1193671,21087,0.002158464
1193672,21087,0.002158464
1193673,21087,0.000846608
1193673,21087,0.001311856
1193674,21087,0.002158464
1193675,21032,0.000444095
1193675,21087,0.002090214
1193676,21032,0.009967785
1193676,21087,0.000156305
1193678,21032,0.000426305
1193679,21032,0.011371681
1193680,21032,0.014044837
1193681,21032,0.014044837
1193682,21032,0.013682894
1193682,21032,0.000361943
1193683,21032,0.006178341
1193683,21032,0.007866496
1193684,21032,0.000747411
1193684,21032,0.013297426
1193685,21047,0.000157066
1193685,21032,0.012842584
1193686,21047,0.001253383
1193686,21047,0.000267681
1193686,21032,0.00108673
1193686,21032,0.001315198
1193687,21047,0.001834859
1193688,21047,0.001834859
1193689,21047,0.001730863
1193690,21047,0.000454184
1193693,21047,0.000867845
1193694,21047,0.001834859
1193695,21047,0.001834859
1193696,21047,0.001834859
1193697,21047,0.001834859
1193698,21047,0.001834859
1193699,21047,0.001834859
1193700,21047,0.001834859
1193701,21047,0.001834859
1193702,21047,0.001834859
1193703,21047,0.001834859
1193704,21047,0.001834859
1193705,21047,0.001834859
1193706,21047,0.001834859
1193707,21047,0.001834859
1193708,21047,0.001834859
1193709,21047,0.001834859
1193710,21047,0.001834859
1193711,21047,0.001834859
1193712,21047,0.000586731
1193712,21047,0.001248128
1193713,21047,0.001834397
1193713,21056,1.69221E-05
1193714,21047,0.000562262
1193714,21056,0.046672413
1193715,21047,0.000762091
1193715,21056,0.039343673
1193716,21047,0.000123216
1193716,21056,0.062774387
1193717,21056,0.067293319
1193718,21024,0.000906245
1193718,21056,0.062016977
1193719,21024,0.009687191
1193719,21056,0.01089252
1193720,21024,0.002829013
1193720,21024,0.008729038
1193721,21024,0.01155805
1193722,21024,0.01155805
1193723,21024,0.01155805
1193724,21024,0.01155805
1193725,21024,0.01155805
1193726,21024,0.01155805
1193727,21024,0.01155805
1193728,21024,0.01155805
1193729,21024,0.008550584
1193729,21113,0.02180025
1193730,21024,0.000584295
1193730,21113,0.079545559
1193731,21059,7.01597E-05
1193731,21113,0.083339116
1193732,21059,0.004602075
1193732,21113,0.054799576
1193733,21059,0.012043417
1193733,21113,0.007938053
1193734,21059,0.013303934
1193735,21059,0.013296267
1193735,21059,7.6674E-06
1193736,21059,0.012235149
1193736,21059,0.001068785
1193737,21059,0.007228862
1193737,21113,0.038257503
1193738,21059,0.002337392
1193738,21059,0.000526822
1193738,21113,0.059347796
1193738,21113,0.006395883
1193739,21113,0.002802914
1193739,21113,0.08097803
1193740,21113,0.083780944
1193741,21113,0.045123001
1193741,21113,0.038657943
1193742,21009,0.006855948
1193742,21113,0.045738451
1193743,21009,0.015010593
1193743,21113,0.000489709
1193744,21009,0.004480741
1193744,21009,0.010618106
1193745,21009,0.015098847
1193746,21009,0.015098847
1193747,21009,0.015098847
1193748,21009,0.014131846
1193748,21003,0.000203671
1193749,21009,8.34564E-05
1193749,21003,0.003162555
1193750,21139,0.944859785
1193750,21003,0.002403573
1193750,21003,0.000651986
1193751,21139,0.055140215
1193751,21003,0.000584419
1193751,21003,0.002588444
1193752,21003,0.003180132
1193753,21003,0.003180132
1193754,21003,0.003180132
1193755,21003,0.003180132
1193756,21003,0.003180132
1193757,21003,0.000411183
1193757,21003,0.001017163
1193759,21003,0.000833291
1193760,21003,0.002221978
1193761,21003,0.000305575
1193761,21003,0.002855312
1193762,21003,0.002659343
1193762,21003,0.000520789
1193763,21003,0.003180132
1193764,21003,0.001236399
1193764,21003,0.001943734
1193765,21003,0.003180132
1193766,21003,0.003180132
1193767,21127,0.000351561
1193767,21127,0.001853798
1193767,21003,0.002578162
1193768,21127,0.009640455
1193768,21127,0.000701521
1193768,21003,0.000204612
1193768,21003,0.000152594
1193769,21127,0.011650623
1193770,21127,0.011650623
1193771,21127,0.011650623
1193772,21127,0.011650623
1193773,21127,0.011650623
1193774,21127,0.011650623
1193775,21127,0.011650623
1193776,21127,0.011650623
1193777,21127,0.011650623
1193778,21127,0.005836077
1193778,21127,0.005814546
1193779,21127,0.011398924
1193779,21190,0.000139379
1193780,21127,0.007913579
1193780,21190,0.0020694
1193781,20459,0.001679008
1193781,21127,0.005732711
1193781,21190,0.000931626
1193782,20459,0.003048732
1193782,20459,0.001569698
1193783,20459,0.00461843
1193784,20459,0.00461843
1193785,20459,0.001704305
1193785,20459,0.002914126
1193786,20459,0.00461843
1193787,20459,0.00461843
1193788,20022,0.002819348
1193788,20022,0.048596688
1193788,20459,0.000341078
1193788,20459,0.001858513
1193789,20022,0.015436683
1193789,20022,0.08149822
1193789,20459,5.81813E-05
1193790,20022,0.058346317
1193790,20022,0.039825315
1193791,20022,0.098171633
1193792,20022,0.050604841
1193792,20459,0.002237754
1193793,20022,0.000137193
1193793,20459,0.004611976
1193794,20459,0.00461843
1193795,20459,0.00461843
1193796,20459,0.00461843
1193797,20459,0.00461843
1193798,20459,0.002348862
1193798,20459,0.002269569
1193799,20459,0.00461843
1193800,20459,0.00461843
1193801,20459,0.00461843
1193802,20459,0.003208019
1193802,20340,1
1193802,21027,1
1196677,12067,0.001610823
1196678,12067,0.004979701
1196679,12067,0.004979701
1196680,12003,0.006751571
1196680,12067,0.002931748
1196680,12067,0.001756569
1196681,12067,0.004979701
1196682,12067,0.004979701
1196683,12067,0.004979701
1196684,12067,0.004979701
1196685,12067,0.004979701
1196686,12003,0.014960438
1196686,12067,0.004334039
1196687,12067,0.0019329
1196689,12067,0.004149463
1196690,12067,0.004979701
1196691,12067,0.004979701
1196692,12067,0.004979701
1196693,12003,0.00166223
1196693,12067,0.004907962
1196694,12003,0.016040033
1196694,12067,0.004287446
1196695,12003,0.020541801
1196695,12067,0.004093159
1196696,12003,0.014353322
1196696,12067,0.004360241
1196697,12003,0.074596266
1196697,12067,0.001760281
1196698,12003,0.019450254
1196698,12007,0.000486724
1196698,12007,0.000304231
1196698,12067,0.002087038
1196698,12067,0.000345584
1196699,12007,4.08589E-06
1196699,12007,0.002302434
1196700,12007,0.000294675
1196700,12007,0.002011845
1196701,12007,0.000373976
1196701,12007,0.001932544
1196702,12007,0.00230652
1196703,12007,0.00230652
1196704,12007,0.000700809
1196704,12007,0.00160571
1196705,12007,0.00230652
1196706,12007,0.00230652
1196707,12007,0.00230652
1196708,12007,0.000648733
1196708,12007,0.001657787
1196709,12007,0.00230652
1196710,12007,0.00230652
1196711,12007,0.00230652
1196712,12007,0.00230652
1196713,12007,0.00230652
1196714,12007,0.00230652
1196715,12007,2.1631E-06
1196715,12007,0.002304357
1196716,12007,0.001985561
1196716,12007,0.000320959
1196717,12007,0.00230652
1196718,12007,0.00230652
1196719,12007,0.00230652
1196720,12007,0.00230652
1196721,12007,0.00230652
1196722,12007,0.00230652
1196723,12058,0.000175114
1196723,12007,0.001932914
1196724,12058,0.000999805
1196724,12058,4.37891E-05
1196724,12007,8.0014E-05
1196725,12058,0.001081098
1196726,12058,0.001081098
1196727,12058,0.001081098
1196728,12058,0.000109289
1196728,12058,0.000971809
1196729,12006,0.006599835
1196729,12058,4.37806E-05
1196729,12058,0.000924214
1196730,12006,0.013900143
1196730,12058,0.000100585
1196730,12058,0.000742302
1196731,12006,0.000502373
1196731,12058,0.001033443
1196731,12058,3.90455E-05
1196732,12006,0.027365087
1196732,12058,0.000612135
1196733,12006,0.032295761
1196733,12058,0.000527636
1196734,12006,0.007449409
1196734,12058,0.000953435
1196735,12006,0.003063686
1196735,12006,0.013196761
1196735,12058,0.000717307
1196735,12058,8.51309E-05
1196736,12006,0.063084594
1196737,12006,0.000414316
1196737,12006,0.039652749
1196737,12058,0.000394458
1196738,12006,0.007764558
1196738,12006,0.009498254
1196738,12058,3.05511E-07
1196738,12058,0.000784955
1196739,12006,0.008264357
1196739,12058,0.000459331
1196739,12058,0.000480138
1196740,12006,4.71036E-05
1196740,12058,0.001068781
1196740,12058,1.15097E-05
1196741,12058,0.001081098
1196742,12058,0.001081098
1196743,12058,0.001081098
1196744,12058,0.000615445
1196744,12058,0.000465653
1196745,12026,0.005156971
1196745,12058,0.000617079
1196746,12026,0.009986213
1196746,12026,0.002028797
1196747,12026,0.005652956
1196747,12026,0.005035752
1196747,12058,0.000119339
1196748,12026,0.000197749
1196748,12058,3.19019E-05
1196748,12058,0.001031402
1196749,12058,0.001081098
1196750,12058,0.001081098
1196751,12058,0.001081098
1196752,12026,7.61448E-06
1196752,12058,0.000831959
1196752,12058,0.000248454
1196753,12026,0.000689512
1196753,12026,0.007593787
1196753,12058,0.00025571
1196753,12058,8.00655E-05
1196754,12026,0.01201501
1196755,12026,0.01201501
1196756,12026,0.005888388
1196756,12026,0.006126622
1196757,12026,0.01201501
1196758,12026,0.01201501
1196759,12026,0.00544597
1196759,12026,0.00656904
1196760,12026,0.01201501
1196761,12017,0.000163638
1196761,12026,0.011868312
1196762,12017,0.010046906
1196762,12026,0.00300817
1196763,12017,0.011188587
1196769,12017,6.69523E-08
1196769,12035,4.8839E-05
1196770,12017,0.002785758
1196770,12035,0.000953395
1196771,12017,0.004351156
1196771,12017,0.003389123
1196772,12017,0.013402445
1196773,12017,0.013402445
1196774,12017,0.013402445
1196775,12017,0.013402445
1196776,12017,0.010474668
1196776,12035,0.001162386
1196777,12035,0.005321038
1196778,12035,0.000908134
1196778,12035,0.001321769
1196779,12035,0.004047775
1196780,12035,0.005108097
1196781,12035,0.000174171
1196784,12035,0.000256326
1196785,12035,0.005263105
1196786,12059,0.004966752
1196786,12035,0.002965895
1196787,12059,0.006516607
1196787,12059,0.00470491
1196788,12059,0.001548298
1196788,12059,0.009673218
1196789,12059,0.011221517
1196790,12059,0.011221517
1196791,12059,0.007869338
1196792,12059,0.004130647
1196793,12059,0.000368524
1196794,12059,0.000418761
1196795,12059,0.010427658
1196796,12059,0.011221517
1196797,12059,0.003874584
1196797,12059,0.007346932
