GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
1603627,15031,,0.009151276,0.009151276,,3134,3134
1603628,15070,,0.004880477,0.004880477,,2339,2339
1603629,15070,,0.004473932,0.004473932,,2714,2714
1603630,15070,,0.000834445,0.000834445,,511,511
1603631,15005,0.009372071,,0.009372071,20,,20
1603634,16112,0.041804832,0.000215727,0.000967139,353,99,452
1603635,15070,,0.004859298,0.004859298,,2230,2230
1603636,15031,,0.000858549,0.000858549,,394,394
1603637,15111,0.000710564,,0.000710564,6,,6
1603638,29015,0.034343913,,0.034343913,290,,290
1603658,29008,0.105031799,,0.105031799,1123,,1123
1603666,29036,0.120276842,,0.120276842,1286,,1286
1603668,15070,,0.002953586,0.002953586,,42,42
1603669,21134,0.097249509,0.00021097,0.025789746,495,3,498
1603672,15037,0.027701375,,0.027701375,141,,141
1603674,15037,0.283986833,0.00475155,0.052262622,1446,118,1564
1603675,15039,,0.04832085,0.04832085,,1200,1200
1603676,29013,0.000581114,0.009583635,0.006939902,6,238,244
1603678,29018,0.093075061,,0.093075061,961,,961
1603679,29052,0.000193705,,0.000193705,2,,2
1603701,21134,0.230769231,,0.230769231,6,,6
1603703,21134,,0.000320023,0.000320023,,9,9
1603704,15106,0.097645697,0.01164205,0.025284243,253,160,413
1603705,29015,,0.083145979,0.083145979,,868,868
1603706,29002,,0.053395672,0.053395672,,488,488
1603707,29001,,0.04273217,0.04273217,,504,504
1603708,29043,,0.055089906,0.055089906,,769,769
1603709,29007,0.034173111,0.063901426,0.057268477,137,892,1029
1603710,29043,,0.093774626,0.093774626,,1309,1309
1603711,29026,,0.086164015,0.086164015,,763,763
1603712,29026,,0.097141429,0.097141429,,270,270
1603713,29026,,0.139683517,0.139683517,,401,401
1603714,29009,,0.118578119,0.118578119,,473,473
1603715,29038,,0.024086058,0.024086058,,91,91
1603718,15039,0.004185693,,0.004185693,11,,11
1603719,15106,0.001902588,0.001858391,0.001872893,5,10,15
1603720,29009,,0.002230069,0.002230069,,12,12
1603724,29036,0.003150315,,0.003150315,49,,49
1603725,15111,0.079850842,,0.079850842,1242,,1242
1603728,29036,0.000128584,,0.000128584,2,,2
1603729,16112,0.02250225,,0.02250225,350,,350
1603730,16112,0.000257169,,0.000257169,4,,4
1603734,21180,0.000514337,,0.000514337,8,,8
1603737,21134,0.045647422,,0.045647422,710,,710
1603740,29013,0.003921821,,0.003921821,61,,61
1603741,15106,0.000964382,0.03664386,0.030113322,15,2544,2559
1603742,29036,0.024464252,0.032193014,0.031647434,129,2235,2364
1603743,15005,0.000257169,0.00603529,0.0049777,4,419,423
1603749,9004,0.061445098,,0.061445098,324,,324
1603752,15114,0.000379291,,0.000379291,2,,2
1606629,15111,0.000888428,,0.000888428,12,,12
1606637,16112,0.005029169,,0.005029169,75,,75
1606645,15111,0.004537484,,0.004537484,295,,295
1606646,15005,0.000184576,,0.000184576,12,,12
1606651,29013,0.028609223,,0.028609223,1860,,1860
1606653,29052,,0.000265135,0.000265135,,24,24
1606654,21134,0.007152306,0.000596553,0.003336891,465,54,519
1606656,15037,0.013074107,2.21E-05,0.005477902,850,2,852
1606657,29013,,0.006352187,0.006352187,,575,575
1606658,29013,,0.006573133,0.006573133,,595,595
1606659,21180,0.001784231,0.004131684,0.003150437,116,374,490
1606660,16099,0.003460793,0.004220062,0.003902684,225,382,607
1606661,16112,,0.006650464,0.006650464,,602,602
1606662,16112,,0.00113787,0.00113787,,103,103
1606663,29008,0.00944412,,0.00944412,614,,614
1606677,15039,0.000192423,,0.000192423,8,,8
1606683,29026,0.046374023,,0.046374023,1928,,1928
1606687,29013,0.002790138,,0.002790138,116,,116
1606694,16112,0.007775397,,0.007775397,704,,704
1606696,29026,0.020134302,,0.020134302,1823,,1823
1606707,15005,0.034890551,,0.034890551,3089,,3089
1606710,21180,0.01117085,,0.01117085,989,,989
1606721,15114,6.54E-05,,6.54E-05,4,,4
1606722,16112,,0.000382402,0.000382402,,290,290
1606723,16112,,0.00149005,0.00149005,,1130,1130
1606724,16112,,0.000654039,0.000654039,,496,496
1606729,15051,0.027275253,,0.027275253,1669,,1669
1606730,15005,0.053348059,,0.053348059,2077,,2077
1606731,16112,,0.013413919,0.013413919,,526,526
1606732,15106,0.047870745,0.010455716,0.032020742,2554,410,2964
1606733,15106,,0.001045572,0.001045572,,41,41
1606735,9004,0.041404464,,0.041404464,1612,,1612
1606736,15106,,0.021769969,0.021769969,,798,798
1606737,15106,,0.019260148,0.019260148,,706,706
1606738,15067,,0.019015994,0.019015994,,744,744
1606739,15087,,0.014791013,0.014791013,,580,580
1606740,21180,0.003867956,0.005680368,0.005093782,58,178,236
1606741,15087,,0.109841716,0.109841716,,3442,3442
1606742,15067,,0.062962727,0.062962727,,1973,1973
1606743,15087,,0.019594077,0.019594077,,614,614
1606744,29013,0.006654164,,0.006654164,369,,369
1606745,29008,0.036228225,,0.036228225,2009,,2009
1606748,29015,0.012659141,,0.012659141,702,,702
1606749,29015,0.074061384,,0.074061384,4107,,4107
1606750,15005,0.028708479,,0.028708479,1592,,1592
1606752,29015,1.80E-05,,1.80E-05,1,,1
1606756,15067,,8.50E-05,8.50E-05,,18,18
1606757,29013,0.00326819,0.000339823,0.000706124,99,72,171
1606758,15115,,2.83E-05,2.83E-05,,6,6
1606761,15115,,0.000221829,0.000221829,,47,47
1606762,15115,,0.004851917,0.004851917,,1028,1028
1606763,29015,0.086920639,0.004092035,0.014452836,2633,867,3500
1606764,15037,,0.012082596,0.012082596,,2560,2560
1606765,15037,0.003565298,0.006305605,0.005962827,108,1336,1444
1606766,15037,,0.01100177,0.01100177,,2331,2331
1606767,15037,,0.032269027,0.032269027,,6837,6837
1606768,15037,,0.028837758,0.028837758,,6110,6110
1606769,15037,,0.018080075,0.018080075,,3513,3513
1606770,15037,,0.018754746,0.018754746,,4025,4025
1606771,9004,,0.013816811,0.013816811,,3979,3979
1606772,9004,,0.006113245,0.006113245,,2615,2615
1606773,15037,,0.003402003,0.003402003,,2030,2030
1606774,9016,,0.008800491,0.008800491,,6395,6395
1606775,9016,,0.031279931,0.031279931,,22730,22730
1606776,9010,,0.023634032,0.023634032,,17174,17174
1606777,9016,,0.030400945,0.030400945,,16348,16348
1606778,9010,,0.039581423,0.039581423,,15191,15191
1606779,9010,,0.033558962,0.033558962,,12935,12935
1606780,9014,,0.040374532,0.040374532,,15562,15562
1606781,9016,,0.044429627,0.044429627,,17125,17125
1606782,9014,,0.04421429,0.04421429,,17042,17042
1606783,9016,,0.038433143,0.038433143,,14797,14797
1606784,9014,,0.049899956,0.049899956,,19178,19178
1606785,9014,,0.064483815,0.064483815,,24783,24783
1606786,9014,,0.068019848,0.068019848,,26142,26142
1606787,9006,,0.06623911,0.06623911,,25553,25553
1606788,9006,,0.030134285,0.030134285,,15941,15941
1606789,9006,,0.044683321,0.044683321,,18045,18045
1606790,9007,,0.058928678,0.058928678,,22648,22648
1606791,9006,,0.01624714,0.01624714,,17579,17579
1606792,9006,,0.010189338,0.010189338,,17720,17720
1606793,9006,,0.015071718,0.015071718,,20215,20215
1606794,9007,,0.020149768,0.020149768,,23243,23243
1606795,15058,,0.021700438,0.021700438,,23970,23970
1606796,9007,,0.018310933,0.018310933,,20226,20226
1606797,15058,,0.020519905,0.020519905,,22666,22666
1606798,9007,,0.024103148,0.024103148,,26624,26624
1606799,15058,,0.014466316,0.014466316,,15960,15960
1606800,15058,,0.018263519,0.018263519,,14467,14467
1606801,15058,,0.020929712,0.020929712,,12817,12817
1606802,29008,0.120772947,0.021886425,0.02254339,250,6774,7024
1606803,15031,,0.022109708,0.022109708,,9886,9886
1606804,15031,,0.014204745,0.014204745,,4866,4866
1606805,15031,,0.006138315,0.006138315,,3759,3759
1606806,15070,,0.007607984,0.007607984,,4659,4659
1606807,15029,,0.006941734,0.006941734,,4251,4251
1606808,21180,0.002811621,0.002269821,0.002271703,6,1390,1396
1606811,29026,0.003079109,,0.003079109,26,,26
1606812,15111,0.028584817,0.001231167,0.001357776,61,565,626
1606813,15031,,0.007511211,0.007511211,,3447,3447
1606814,15039,0.024396021,0.004495396,0.004854951,206,2063,2269
1606815,29015,0.000355282,,0.000355282,3,,3
1606817,21180,0.001184273,,0.001184273,10,,10
1606818,29015,0.000947418,,0.000947418,8,,8
1606841,16112,0.0171156,,0.0171156,183,,183
1606845,16112,0.000280584,0.019399055,0.013801413,3,501,504
1606846,15031,,0.072214048,0.072214048,,1865,1865
1606847,15039,,0.001587547,0.001587547,,41,41
1606851,15039,,0.000201337,0.000201337,,5,5
1606852,15039,,0.017596843,0.017596843,,437,437
1606853,21180,,0.064669405,0.064669405,,1606,1606
1606854,21180,,0.011435935,0.011435935,,284,284
1606855,16112,0.000871671,,0.000871671,9,,9
1606856,21134,0.000871671,,0.000871671,9,,9
1606857,15039,0.004455206,,0.004455206,46,,46
1606863,29013,0.053559322,,0.053559322,553,,553
1606865,15111,0.032348668,,0.032348668,334,,334
1606872,16112,0.159701635,,0.159701635,1670,,1670
1606873,9004,0.000860667,0.014245791,0.008675581,9,209,218
1606874,29015,,0.014313953,0.014313953,,210,210
1606879,15114,1.527949055,,1.527949055,767,,767
1606881,29015,,0.001031184,0.001031184,,29,29
1606882,29015,,0.008960637,0.008960637,,252,252
1606883,29015,,0.024215055,0.024215055,,681,681
1606884,15106,0.011294877,0.022200323,0.019434972,56,324,380
1606885,29043,,0.0203727,0.0203727,,253,253
1606886,29001,,0.028756827,0.028756827,,415,415
1606887,29005,,0.043197937,0.043197937,,603,603
1606888,29026,,0.055653902,0.055653902,,765,765
1606889,29005,,0.032379204,0.032379204,,388,388
1606890,29026,,0.055114558,0.055114558,,570,570
1606891,29038,,0.037699051,0.037699051,,435,435
1606892,29038,,0.043812067,0.043812067,,525,525
1606893,15114,0.336377473,0.01393641,0.071932106,884,167,1051
1606896,21180,0.097412481,,0.097412481,256,,256
1606909,15114,0.000321461,,0.000321461,5,,5
1606911,29038,,0.002376665,0.002376665,,165,165
1606912,29009,,0.001166727,0.001166727,,81,81
1606919,29013,0.001517163,,0.001517163,8,,8
1606920,29038,,0.00260713,0.00260713,,181,181
1606922,21180,0.005037575,,0.005037575,61,,61
1606924,29008,0.3210696,,0.3210696,1693,,1693
1606933,16099,0.112270055,,0.112270055,592,,592
1606934,29015,0.490616622,,0.490616622,549,,549
1609806,9004,0.000121592,,0.000121592,5,,5
1609810,15037,0.000737611,,0.000737611,11,,11
1609814,15114,0.006772614,,0.006772614,101,,101
1609815,15106,0.002548112,,0.002548112,38,,38
1609819,15051,0.054985583,,0.054985583,820,,820
