GRIDCODE,CVENTMUN,Suma de Fc
191157,16056,0.011630107
191157,16107,0.006805544
191186,16040,0.013013885
191187,16040,0.05168268
191193,16034,0.00494054
191194,16034,0.001828081
191194,16110,0.00902076
191205,16080,0.009156658
191219,15048,0.002910377
191219,15064,0.022801701
191219,15074,0.001091068
191220,15074,0.026115206
191223,15074,0.005812868
191225,15042,0.00125604
191225,15048,0.010421507
191226,15048,0.008154165
191227,15014,0.009751469
191227,15048,0.007911978
191228,15014,0.000452571
191228,15048,0.016785462
191234,15056,0.014849437
191249,15024,0.054924205
191249,15091,0.085257272
191250,15024,0.053558706
191250,15053,0.111765513
191251,15053,0.150273951
191251,15059,0.046822214
192236,16088,0.024270963
192245,16040,0.051776531
192253,16110,0.026421021
192278,15064,0.060791792
192278,15074,0.012748039
192280,15048,0.013887343
192281,15048,0.020948665
192282,15048,0.000710438
192284,15014,0.019497544
192286,15014,0.002768705
192287,15014,0.014748959
192287,15048,0.000164248
192293,15026,0.024509079
192293,15056,0.006810681
192307,15091,0.004868236
192308,15091,0.067111618
193293,16053,0.00562075
193294,16053,0.022772447
193295,16053,0.002802092
193295,16088,0.014994579
193296,16088,0.007260427
193297,16088,0.028850789
193303,16040,0.027388152
193304,16040,0.10721605
193312,16110,0.003303615
193313,16034,0.000950242
193313,16110,0.015827722
193333,15064,0.001419954
193336,15064,0.020659219
193337,15064,0.088272184
193339,15048,0.001965368
193344,15014,0.018135456
193352,15026,0.023781448
193353,15026,0.002415051
193360,13063,0.01621863
193360,15095,0.019175901
194355,16088,0.055286217
194361,16003,0.069683243
194362,16003,0.012302782
194362,16040,0.0660641
194365,16072,0.054472985
194366,16072,0.04390046
194371,16110,0.002084081
194372,16110,0.019542266
194392,15064,0.03089925
194392,16093,0.012629509
194396,15085,0.02099115
194412,15026,0.028402628
194413,15026,0.031005538
194414,15026,0.049594998
194415,15026,0.049567282
194419,13063,0.029101625
194426,15120,0.008690224
195416,16088,0.016738875
195417,16088,0.030086604
195419,16003,0.052416991
195420,16003,0.006311447
195422,16040,0.055175201
195422,16110,0.00035004
195423,16040,0.102097477
195423,16072,0.016276027
195424,16072,0.051559597
195430,16110,0.009654549
195440,16050,0.000802186
195441,16050,0.00251964
195442,16050,0.007473736
195455,15085,0.018461429
195456,15085,0.051349049
195457,15085,0.002477046
195470,15026,0.001664121
195474,15026,0.002304292
195475,15026,0.017691682
195475,15112,0.049709493
195476,15026,0.019892892
195476,15112,0.036804559
195477,15112,0.05209691
195478,13063,0.032252756
195479,13063,0.002821405
195484,15035,0.070598902
195484,15120,0.006268927
195485,15120,0.00112407
196478,16003,0.064273528
196481,16110,0.002958384
196503,16050,0.000249072
196504,16050,0.001010865
196505,16017,0.000668097
196505,16050,0.00459382
196518,15014,0.011467763
196527,15026,0.023697579
196528,15026,0.046881678
196529,15026,0.062913694
196530,15026,0.052314934
196531,15026,0.016360298
196536,15112,0.000364679
196537,13063,0.000785755
196537,15112,0.000727691
196538,13063,0.027561181
197521,16037,0.069153868
197522,16037,0.023195982
197536,16003,0.012430434
197537,16003,0.003468741
197561,16050,0.005424023
197562,16050,0.019578551
197563,16050,0.001927474
197564,16017,0.004918887
197564,16050,0.007767621
197565,16017,0.006732391
197565,16050,0.006357778
197574,15085,0.027203449
197577,15001,0.010834493
197577,15014,0.004191973
197577,15085,0.003438734
197583,15102,0.069439067
197586,15026,0.005909324
198581,16037,0.074373116
198581,16054,0.008441988
198620,16050,0.000909399
198624,16017,0.004817717
198625,16017,0.019283947
198626,16017,0.007362108
198633,15085,0.016137029
198634,15085,0.036906559
198635,15085,0.036075053
198636,15001,0.042575067
198636,15085,0.029908409
198637,15001,0.022488209
198642,15102,0.012686747
198643,15045,0.002760533
198643,15102,0.075417783
198664,15036,0.001776661
198664,15096,0.011552986
198665,15036,0.023158816
199639,16054,0.026384478
199640,16054,0.090213397
199652,16020,0.010430015
199653,16020,0.041460948
199654,16020,0.042607258
199655,16020,0.009200244
199673,11038,0.043167755
199673,16050,0.006940262
199685,16017,0.003246174
199686,16017,0.015847033
199695,15001,0.000825641
199696,15001,0.007804605
199697,15001,0.012522267
199702,15045,0.018409618
199703,15045,0.010024942
199704,15045,0.010769058
199705,15045,0.000973255
199716,13013,0.001674329
199716,13063,0.00203273
199717,13063,0.004710495
199723,15096,0.033642283
200691,16063,0.019638648
200698,16054,0.035255192
200699,16054,0.075988845
200700,16054,0.076922808
200701,16054,0.06947032
200702,16054,0.007057011
200732,11038,0.060186836
200732,16050,0.001706667
200733,11038,0.015760779
200743,16017,0.007603615
200745,16017,0.034285018
200751,15001,0.000482815
200752,15001,0.007946466
200764,15045,0.010790195
200773,13063,0.000962156
200775,13013,0.042445321
200776,13013,0.065075328
200776,13063,0.002997625
200777,13013,0.02383284
201750,16063,0.02091696
201751,16063,0.048592747
201752,16063,0.011570506
201752,16071,0.014247118
201761,16054,0.002332413
201762,16054,0.085617904
201763,16054,0.020412275
201774,16078,0.018147901
201775,16078,0.094503919
201776,16078,0.014134654
201790,11038,0.007275293
201792,11038,0.065292479
201793,11019,0.008837053
201793,11038,0.051348806
201794,11019,0.00429918
201795,11019,0.053262824
201797,11019,0.004244704
201797,16031,0.056012162
201798,16017,0.003911965
201798,16031,0.047413528
201802,16017,0.013781004
201803,16017,0.068742607
201804,16017,0.041072968
201806,15085,0.009876404
201807,15085,0.002302623
201811,15001,0.041589691
201815,15003,0.006077946
201816,15001,0.026427272
201816,15003,0.000585121
201817,15001,0.008116929
201818,15001,0.040401917
201819,15001,0.034455977
201835,13013,0.013848131
201836,13013,0.030433438
202805,16063,0.011885192
202806,16063,0.03587106
202808,16063,0.038853395
202809,16063,0.047487127
202811,16071,0.018778663
202812,16071,0.025528966
202813,16071,0.041696739
