GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMy,UTMZ
100,100,"EI 2014 Estado de Qro",,,,,
177387,-101.8919069,19.39262178,6,947,2511321.774,821649.0616,14
177388,-101.8632649,19.39259858,6,0,2514321.774,821649.0616,14
177389,-101.8346228,19.39256995,6,0,2517321.774,821649.0616,14
177390,-101.8059808,19.3925359,6,148,2520321.774,821649.0616,14
177391,-101.7773388,19.39249642,6,2194,2523321.774,821649.0616,14
177392,-101.7486968,19.39245151,6,15,2526321.774,821649.0616,14
177393,-101.7200548,19.39240117,6,26,2529321.774,821649.0616,14
177394,-101.6914128,19.3923454,6,158,2532321.774,821649.0616,14
177395,-101.6627709,19.39228421,6,11556,2535321.774,821649.0616,14
177396,-101.634129,19.39221759,6,12126,2538321.774,821649.0616,14
177397,-101.6054871,19.39214554,6,4687,2541321.774,821649.0616,14
177398,-101.5768452,19.39206806,6,81,2544321.774,821649.0616,14
177399,-101.5482034,19.39198516,6,1284,2547321.774,821649.0616,14
177400,-101.5195616,19.39189683,6,0,2550321.774,821649.0616,14
177401,-101.4909199,19.39180307,6,36,2553321.774,821649.0616,14
177402,-101.4622782,19.39170388,6,0,2556321.774,821649.0616,14
177403,-101.4336365,19.39159926,6,0,2559321.774,821649.0616,14
177404,-101.4049949,19.39148922,6,0,2562321.774,821649.0616,14
177405,-101.3763533,19.39137375,6,785,2565321.774,821649.0616,14
177406,-101.3477118,19.39125285,6,0,2568321.774,821649.0616,14
177407,-101.3190703,19.39112652,6,2536,2571321.774,821649.0616,14
177408,-101.2904289,19.39099477,6,6316,2574321.774,821649.0616,14
177409,-101.2617876,19.39085758,6,28490,2577321.774,821649.0616,14
177410,-101.2331463,19.39071497,6,1293,2580321.774,821649.0616,14
177411,-101.204505,19.39056694,6,667,2583321.774,821649.0616,14
177412,-101.1758639,19.39041347,6,1806,2586321.774,821649.0616,14
177413,-101.1472228,19.39025458,6,1277,2589321.774,821649.0616,14
177414,-101.1185817,19.39009026,6,28,2592321.774,821649.0616,14
177415,-101.0899408,19.38992051,6,2195,2595321.774,821649.0616,14
177416,-101.0612999,19.38974534,6,1088,2598321.774,821649.0616,14
177417,-101.032659,19.38956473,6,1510,2601321.774,821649.0616,14
177418,-101.0040183,19.3893787,6,274,2604321.774,821649.0616,14
177419,-100.9753776,19.38918725,6,1259,2607321.774,821649.0616,14
177420,-100.9467371,19.38899036,6,0,2610321.774,821649.0616,14
177421,-100.9180966,19.38878805,6,226,2613321.774,821649.0616,14
177422,-100.8894561,19.38858031,6,494,2616321.774,821649.0616,14
177423,-100.8608158,19.38836714,6,337,2619321.774,821649.0616,14
177424,-100.8321756,19.38814855,6,1717,2622321.774,821649.0616,14
177425,-100.8035354,19.38792453,6,153,2625321.774,821649.0616,14
177426,-100.7748954,19.38769508,6,0,2628321.774,821649.0616,14
177427,-100.7462555,19.3874602,6,1083,2631321.774,821649.0616,14
177428,-100.7176156,19.3872199,6,1513,2634321.774,821649.0616,14
177429,-100.6889759,19.38697417,6,2,2637321.774,821649.0616,14
177430,-100.6603362,19.38672301,6,1335,2640321.774,821649.0616,14
177431,-100.6316967,19.38646643,6,206,2643321.774,821649.0616,14
177432,-100.6030573,19.38620441,6,2165,2646321.774,821649.0616,14
177433,-100.574418,19.38593698,6,452,2649321.774,821649.0616,14
177434,-100.5457788,19.38566411,6,218,2652321.774,821649.0616,14
177435,-100.5171397,19.38538582,6,0,2655321.774,821649.0616,14
177436,-100.4885007,19.3851021,6,34,2658321.774,821649.0616,14
177437,-100.4598619,19.38481295,6,535,2661321.774,821649.0616,14
177438,-100.4312232,19.38451838,6,556,2664321.774,821649.0616,14
177439,-100.4025846,19.38421838,6,408,2667321.774,821649.0616,14
177440,-100.3739461,19.38391295,6,252,2670321.774,821649.0616,14
