GRIDCODE,CVE_ENTCVE_MUN,Fb
178479,16101,0.003373798
178480,16101,0.000196046
178480,16101,0.014148989
178481,16101,0.004352774
178481,16101,0.002009351
178481,16101,0.00197411
178481,16101,0.0060088
178482,16101,0.00152969
178482,16101,0.012815346
178483,16101,0.012379302
178483,16101,0.00094223
178483,16101,0.001023503
178484,16034,0.000683319
178484,16101,0.000786249
178484,16101,0.012484143
178485,16034,0.002248425
178485,16034,0.005664906
178485,16101,0.001899874
178486,16034,0.001333518
178486,16034,0.007785747
178486,16099,2.04E-05
178487,16034,0.00067065
178487,16034,0.00524573
178487,16034,5.41E-05
178487,16099,0.008300581
178487,16099,0.003121864
178487,16099,0.019064452
178488,16034,0.000375347
178488,16034,7.88E-05
178488,16099,0.012796885
178488,16099,0.071063377
178489,16034,0.000611614
178489,16034,0.001023559
178489,16034,6.43E-06
178489,16099,0.002160359
178489,16099,0.039776402
178489,16099,0.030434587
178490,16034,0.003618872
178490,16034,0.000433654
178490,16099,0.04904419
178491,16034,2.94E-05
178491,16034,0.001560758
178491,16047,0.00015051
178491,16099,0.011786366
178491,16099,0.060797422
178492,16047,0.008647677
178492,16047,0.022034438
178492,16099,0.000306546
178492,16099,0.029717851
178493,16047,0.046502235
178494,16047,2.04E-05
178494,16047,0.029916287
178495,16047,0.006950531
178495,16047,0.029315291
178495,16112,0.000491254
178495,16112,0.00542738
178496,16047,0.002647841
178496,16112,0.026825879
178496,16112,0.004791166
178497,16112,0.03239309
178498,16112,0.001200318
178499,16112,0.015447129
178500,16112,0.013501437
178501,16112,0.011066009
178502,15032,0.012103701
178502,15032,0.000852644
178502,16112,0.003065247
178502,16112,0.012214337
178502,16112,0.006076597
178503,15032,0.116227766
178503,15032,0.003413163
178503,16112,0.005383509
178503,16112,0.01993859
178504,15032,0.020536487
178504,15032,0.010285194
178504,15111,0.028470213
178504,15111,0.044846394
178504,16112,0.001292056
178504,16112,0.018146091
178505,15111,0.092295037
178505,15111,0.017263309
178505,16112,0.001675296
178506,15111,0.003310136
178513,15114,0.00104311
178513,15114,0.021923741
178514,15114,0.017337031
178514,15114,0.017642317
178515,15005,0.00679289
178515,15114,0.044104553
178516,15005,0.036143939
178516,15114,0.023775769
178517,15005,0.057333859
178517,15114,0.002958803
178518,15005,0.009805068
178519,15005,0.008644915
178525,15087,0.00206475
178526,15067,0.056773371
178526,15087,0.021212094
178527,15067,0.015664501
178527,15087,0.002287412
178527,15106,0.000458461
178529,15051,0.00843128
178529,15115,0.025637702
178530,15051,0.033632943
178530,15051,0.028536919
178530,15115,0.040924817
178531,15051,0.082657431
178531,15051,0.005565174
178532,15051,0.194482616
178532,15051,0.00068697
178533,15037,0.032842887
178533,15037,0.001895632
178533,15051,3.65E-05
178533,15051,0.022692843
178533,15051,0.032434965
178534,15037,0.114095664
178535,15037,0.064793522
178535,15037,0.065604196
178536,15037,0.000198191
178536,15037,0.130199527
178537,15037,0.017732988
179505,16090,0.00045282
179505,16111,0.027465662
179506,16090,0.04812947
179507,16079,0.014360529
179507,16090,0.069733978
179508,16079,0.074427197
179508,16090,0.007832899
179509,16079,0.037073939
179509,16079,0.00537133
179510,16079,0.000285735
179510,16079,5.12E-05
179510,16079,0.013030916
179511,16066,3.30E-06
179511,16066,0.002173693
179511,16079,3.51E-05
179511,16079,0.055990415
179512,16066,0.007639875
179512,16079,0.067064268
179513,16066,0.025048001
179513,16079,0.032968156
179514,16066,0.017129996
179514,16079,0.045553085
179515,16066,0.000210099
179515,16079,0.000852166
179516,16066,0.035504047
179517,16066,0.035031933
179518,16066,0.037720171
179519,16066,0.002353358
179519,16066,0.007527671
179520,16066,0.041880238
179521,16001,0.010584635
179521,16053,1.01E-06
179521,16066,0.02471556
179522,16001,0.023668352
179522,16053,6.07E-05
179523,16001,0.08099368
179524,16001,0.030654255
179525,16001,0.065763238
179526,16001,0.113982452
179526,16049,0.003438916
179527,16001,0.003281379
179527,16049,0.025777641
179527,16049,8.69E-05
179528,16049,0.012692035
179528,16049,0.013828185
179529,16049,0.000933331
179529,16049,0.02504299
179529,16053,0.000320822
179530,16049,0.024700972
179530,16053,0.001073094
179531,16049,0.02652022
179532,16049,0.010934356
179532,16049,0.015585865
179533,16049,0.024431325
179533,16049,0.002064976
179533,16101,1.29E-05
179534,16049,0.009978015
179534,16101,0.008947834
179535,16049,0.00465884
179535,16101,0.011825025
179536,16101,0.006364362
179536,16101,0.007980673
179537,16101,0.013761227
179537,16101,0.000583808
179538,16101,0.007256309
179538,16101,0.00556658
179538,16101,0.001522147
179539,16101,0.000427225
179539,16101,0.01391781
179540,16101,0.001248195
179540,16101,0.01309684
179541,16101,0.011458625
179541,16101,0.000742268
179541,16101,0.002144143
179542,16101,0.008490391
179542,16101,0.005854644
179543,16034,0.001250522
179543,16034,0.002444355
179543,16101,0.008534166
179544,16034,0.009067013
179544,16034,5.44E-05
179545,16034,0.004965887
179545,16034,0.003526253
179545,16034,0.000629238
179546,16034,0.005935526
179546,16034,0.003185852
179547,16034,0.008804458
179547,16099,0.003049646
179547,16099,1.67E-05
179548,16034,0.006865975
179548,16034,0.000559582
179548,16034,0.001563082
179548,16034,0.000106733
179548,16099,7.28E-05
179548,16099,0.000178813
179549,16034,0.004270415
179549,16034,0.00482118
179549,16047,0.000151837
179550,16034,0.002205954
179550,16047,0.006548397
179550,16047,0.018032089
179550,16099,0.020260516
179551,16047,0.033395127
179551,16047,0.013107108
179552,16047,0.046502235
179553,16047,0.029999233
179554,16047,0.020819373
179554,16047,0.009597732
179555,16047,0.041257102
179555,16112,0.003781505
179556,16047,0.017603871
179556,16112,0.02083442
179557,16112,0.016392244
179561,16112,0.01906426
179562,16112,0.017276717
179563,16112,0.020158034
179563,16112,0.009296363
179564,15111,0.046118191
179564,16112,0.016535755
179565,15111,1.71E-05
179572,15114,0.020519595
179572,15114,0.005078561
179573,15114,0.044307566
179573,15114,0.008062148
179574,15114,0.045654924
179575,15005,0.000395647
179575,15114,0.012785874
179576,15005,0.016220936
179576,15114,0.003864198
179577,15005,0.055615543
179578,15005,0.055878368
179579,15005,0.047650219
179580,15005,0.014889745
179585,15087,0.000101517
179587,15067,0.002911466
179588,15067,0.063907783
179588,15115,0.074968993
179589,15067,0.007731896
179589,15115,0.113665476
179590,15051,0.072456564
179590,15051,0.009046942
179590,15115,0.013160434
179590,15115,0.00395513
179590,15115,0.047672046
179591,15051,0.050730359
179591,15051,0.090452917
179591,15057,5.70E-05
179591,15115,0.049667687
