GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
177483,09003,1624696.004,44753.48405
177483,09014,678065.2243,132707.5945
177483,09006,495534.5527,5515.356166
177483,09007,2297318.564,51860.29322
177484,09003,1624696.004,20488.28733
177484,09007,2297318.564,179360.8069
177484,09006,495534.5527,5551.416321
177485,09007,2297318.564,132412.6923
177486,09007,2297318.564,137017.2012
177487,09007,2297318.564,171457.2799
177488,09007,2297318.564,138498.9697
177488,15058,2687328.596,1899.321442
177488,15070,1201249.578,2431.073284
177489,15070,1201249.578,111.2464637
177489,09007,2297318.564,117.3173463
178537,09004,457613.1443,4391.785807
178537,15037,1316166.458,1524.11535
178538,09004,457613.1443,50873.90827
178538,15037,1316166.458,4442.183038
178538,09010,1149935.71,7742.939059
178538,09016,734068.7744,52523.50758
178539,09010,1149935.71,72238.88628
178539,09016,734068.7744,50376.0729
178540,09010,1149935.71,130450.9136
178540,09016,734068.7744,42907.64714
178540,09014,678065.2243,24767.82109
178541,09014,678065.2243,160499.6569
178541,09015,624055.0568,30645.71023
178541,09016,734068.7744,29129.75393
178542,09006,495534.5527,45646.66533
178542,09014,678065.2243,181927.484
178542,09015,624055.0568,24554.12477
178543,09006,495534.5527,184723.9365
178543,09007,2297318.564,24089.53449
178543,09015,624055.0568,1351.389498
178543,09017,605819.7727,4190.899708
178544,09006,495534.5527,118169.3804
178544,09007,2297318.564,58170.11464
178545,09006,495534.5527,62655.98303
178545,15058,2687328.596,2346.370447
178545,09007,2297318.564,84587.25479
178546,09007,2297318.564,55439.21718
178546,15058,2687328.596,3316.697061
178547,09007,2297318.564,2637.628637
178547,15058,2687328.596,746.2932918
179597,15037,1316166.458,789.064699
179597,09016,734068.7744,2735.405927
179598,09016,734068.7744,86592.30138
179598,15057,3297956.521,2649.54408
179598,15037,1316166.458,260.8395426
179599,09016,734068.7744,125471.1818
179600,09015,624055.0568,135655.5933
179600,09016,734068.7744,42425.48456
179601,09015,624055.0568,163285.1413
179601,09017,605819.7727,2524.076047
179602,09006,495534.5527,4517.358145
179602,09015,624055.0568,9384.47019
179602,09017,605819.7727,174466.7333
179603,09017,605819.7727,121729.9828
179603,09006,495534.5527,19780.07363
179604,09006,495534.5527,44219.34174
179604,15058,2687328.596,2819.665512
179604,09017,605819.7727,55304.0648
180657,09016,734068.7744,22624.90508
180657,15057,3297956.521,4064.449332
180658,09002,567389.6923,2386.153637
180658,09016,734068.7744,150804.9302
180659,09002,567389.6923,21148.87213
180659,09015,624055.0568,56643.88249
180659,09016,734068.7744,87929.78115
180660,09015,624055.0568,153472.9963
180661,09005,1689332.363,47598.1847
180661,09015,624055.0568,18963.03828
180661,09017,605819.7727,153381.5128
180662,09005,1689332.363,68993.87208
180662,09017,605819.7727,80296.05284
180663,09005,1689332.363,72091.5666
180663,15058,2687328.596,3338.266399
180663,09017,605819.7727,8862.155328
181716,09002,567389.6923,24993.33799
181716,15057,3297956.521,3267.71212
181716,09016,734068.7744,864.9131419
181717,09002,567389.6923,118010.0066
181717,15057,3297956.521,1460.553793
181717,09016,734068.7744,16270.67404
181718,09002,567389.6923,141179.3101
181718,09015,624055.0568,2712.631384
181719,09002,567389.6923,53452.9235
181719,09005,1689332.363,118331.262
181719,09015,624055.0568,26888.56091
181720,09005,1689332.363,187183.4661
181720,09015,624055.0568,497.51862
181721,09005,1689332.363,156148.1888
181722,09005,1689332.363,51200.79295
181722,15058,2687328.596,3424.683681
182775,09002,567389.6923,7764.857197
182775,15104,2636617.537,1144.137924
182775,15057,3297956.521,913.6049682
182776,09002,567389.6923,122753.5688
182776,15104,2636617.537,2807.172272
182777,09002,567389.6923,49306.27471
182777,15104,2636617.537,4387.439905
182777,09005,1689332.363,13080.36152
182778,09005,1689332.363,107199.9456
182778,09002,567389.6923,2769.815379
182779,09005,1689332.363,143783.9681
182779,15104,2636617.537,2952.079738
182780,09005,1689332.363,167045.7921
182780,15104,2636617.537,714.4773714
182780,15033,5835403.7,2535.6326
182781,09005,1689332.363,10546.19343
182781,15058,2687328.596,1462.115153
182781,15033,5835403.7,481.7623862
183836,09005,1689332.363,64987.88768
183836,15104,2636617.537,7277.660332
183837,09005,1689332.363,160382.413
183837,15104,2636617.537,3089.156969
183838,09005,1689332.363,1416.973629
183838,15104,2636617.537,893.2128165
184895,09005,1689332.363,13977.53049
184895,15104,2636617.537,2759.274227
184896,09005,1689332.363,202423.8034
184896,15104,2636617.537,2219.672734
184897,09005,1689332.363,18158.68185
184897,15104,2636617.537,3627.139627
185955,09005,1689332.363,35523.23233
185955,15109,2166634.735,3273.048215
185955,15104,2636617.537,367.0004274
185955,15020,949831.4493,19.27321128
185956,09005,1689332.363,3243.891955
185956,15104,2636617.537,485.5357836
185956,15033,5835403.7,2100.041121
185956,15020,949831.4493,658.3150503
141468,12015,57525.0066,28259.23716
142527,12015,57525.0066,23850.59685
141469,12015,57525.0066,2586.512573
142528,12015,57525.0066,2372.466222
141467,12015,57525.0066,456.1933359
132988,12017,107659.1442,38349.12955
134047,12017,107659.1442,5366.405746
134047,12035,678328.946,1908.884822
134046,12017,107659.1442,10250.50749
132988,12035,678328.946,3866.873386
132987,12017,107659.1442,10226.01342
140386,12031,15861.5861,14020.14533
139327,12031,15861.5861,1841.440519
136176,12034,185175.7704,90541.73714
136177,12034,185175.7704,5551.811488
135117,12034,185175.7704,29798.46799
135118,12034,185175.7704,258.6757424
138291,12034,185175.7704,26919.58368
138292,12034,185175.7704,1816.701583
136170,12035,678328.946,38887.18135
136171,12035,678328.946,11114.8169
138287,12035,678328.946,136655.9516
137228,12035,678328.946,168177.3411
137229,12035,678328.946,55515.86705
137230,12035,678328.946,1933.561713
138286,12035,678328.946,76539.25249
137227,12035,678328.946,75319.2244
138288,12035,678328.946,30049.68366
136169,12035,678328.946,8100.867601
138285,12035,678328.946,28.04258546
132993,12035,678328.946,35548.38521
143573,12037,20148.8982,20087.55103
142514,12037,20148.8982,61.34660699
143569,12047,10642.1699,6477.031286
143570,12047,10642.1699,4165.138679
153108,12049,28609.3623,27531.86129
152049,12049,28609.3623,1077.50139
146756,12055,326159.3284,6017.039695
145697,12055,326159.3284,126538.4013
146757,12055,326159.3284,5852.595184
145698,12055,326159.3284,42688.96748
144638,12055,326159.3284,35888.39239
144639,12055,326159.3284,1278.553184
145699,12055,326159.3284,27830.87437
146758,12055,326159.3284,403.1072599
146759,12055,326159.3284,1382.01436
147818,12055,326159.3284,7566.098767
147817,12055,326159.3284,5787.439839
143583,12055,326159.3284,28929.83519
142524,12055,326159.3284,140.7552581
142521,12055,326159.3284,35224.54731
143580,12055,326159.3284,630.7071504
137216,12058,145683.2735,31561.30638
138275,12058,145683.2735,84922.18048
137217,12058,145683.2735,6102.571752
138276,12058,145683.2735,23097.21541
135113,12059,97605.1658,29155.84957
135112,12059,97605.1658,29942.88084
134053,12059,97605.1658,2745.166418
134054,12059,97605.1658,149.7274346
136172,12059,97605.1658,181.5866855
148873,12060,15819.7035,15819.70361
208218,13001,6633.3725,4016.882524
209285,13002,185781.8088,20391.23306
209287,13002,185781.8088,18659.71372
209286,13002,185781.8088,18776.8936
208227,13002,185781.8088,45705.60785
208228,13002,185781.8088,11567.01808
210344,13002,185781.8088,35262.02148
211403,13002,185781.8088,6645.164959
207168,13002,185781.8088,23367.51932
207169,13002,185781.8088,571.29229
207167,13002,185781.8088,190.3001478
213495,13003,313309.9978,51805.09122
212437,13003,313309.9978,8546.796756
212436,13003,313309.9978,95155.50118
213496,13003,313309.9978,18546.29215
212435,13003,313309.9978,72948.25949
211376,13003,313309.9978,18212.87771
212435,13054,125736.8446,13542.25769
