GRIDCODE	CVEENTMUN	Fv
132979	12058	0.04190432
132987	12017	0.132285141
132987	12017	0.035187677
132987	12017	0.075401613
132988	12017	0.070989326
132988	12017	0.04392568
132992	12035	0.024250595
132992	12035	0.025414257
132992	12035	0.025372562
132993	12035	0.037444253
132994	12059	0.04597448
133003	12034	0.013348986
133003	12034	0.014917945
133003	12034	0.048358448
133003	12034	0.024910451
133004	12034	0.017483929
133013	21087	0.094870736
133033	21024	0.353598407
133034	21024	0.587777072
133034	21059	0.008986954
133037	21059	0.060228732
133037	21113	1
133037	21009	0.003438136
133037	21059	0.170893173
133038	21009	0.067910514
133042	21003	0.080886216
133043	21003	0.110215289
133044	21003	0.056374786
133044	21003	0.033511374
133044	21003	0.03350885
133044	21003	0.044437275
133045	21003	0.01943077
133057	20459	0.223395159
133057	20459	0.221240357
133058	20459	0.201894295
134038	12058	0.048441061
134046	12017	0.029948645
134047	12017	0.281768582
134047	12035	0.008327807
134051	12035	0.045071613
134052	12059	0.010618131
134052	12035	0.006326782
134060	12034	0.037492925
134061	12034	0.036579691
134062	12034	0.024354177
134062	12034	0.064726758
134063	12034	0.014001758
134071	21087	0.046388038
134072	21087	0.081198099
134093	21024	0.058624521
134093	21059	0.156930007
134094	21059	0.085015075
134096	21009	0.020936782
134096	21059	0.024061622
134097	21009	0.033175637
134097	21059	0.191863579
134097	21009	0.078974878
134097	21009	0.027533742
134098	21009	0.268702074
134098	21009	0.115987055
134098	21009	0.064490307
134099	21009	0.163103004
134099	21009	0.070689058
134099	21003	0.03176346
134100	21003	0.150444606
134101	21003	0.067786289
134103	21003	0.018989837
134104	21003	0.144240255
134106	21127	0.065490538
134106	21196	0.490386599
134107	21127	0.318678846
134108	21127	0.179982413
134108	21127	0.135061356
134109	21127	0.282231145
134110	21127	0.018555702
134110	21190	0.08526858
134110	21190	0.059188197
134117	20459	0.313755734
134117	20459	0.039714456
135097	12058	0.045623122
135106	12017	0.311262474
135107	12017	0.019230862
135107	12058	0.005057142
135111	12059	0.014999868
135111	12035	0.037297495
135111	12059	0.010429731
135111	12035	0.006780864
135111	12059	0.07630439
135111	12035	0.008213755
135112	12059	0.159859413
135112	12059	0.012441411
135113	12059	0.024441
135113	12059	0.046042514
135113	12059	0.121088362
135118	12034	0.046144095
135119	12034	0.002331656
135121	12034	0.049250841
135122	12034	0.026784796
135130	21087	0.092135335
135153	21059	0.115024377
135153	21157	0.022587298
135154	21157	0.048105235
135156	21009	0.037723583
135156	21059	0.008932693
135156	21009	0.0397212
135156	21009	0.007614031
135156	21059	0.169621758
135163	21003	0.050920906
135163	21003	0.025360769
135164	21196	0.154120242
135164	21003	0.132129317
135165	21196	0.336510471
