GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),SUM_LONG VIALIDAD x SENTIDO x CELDA
199659,11002,564688.8,14429.3
199660,11002,564688.8,38518.2
200725,11002,564688.8,8818.1
200726,11002,564688.8,44.5
200732,11038,65767,4425.5
200733,11038,65767,7565.8
201784,11002,564688.8,60203.5
201785,11002,564688.8,102677.3
201786,11002,564688.8,28646.1
201791,11038,65767,11199.9
201792,11038,65767,42575.7
202843,11002,564688.8,57463
202844,11002,564688.8,139695.6
202845,11002,564688.8,39839.1
203902,11002,564688.8,6386.2
203903,11002,564688.8,6006.3
203912,11019,127695.9,13425
204938,11046,327882.8,46528.7
204938,16071,204806.5,416.1
204939,11046,327882.8,18147.7
204945,11021,251896,5925.9
204946,11041,286001.1,5124
204971,11019,127695.9,40006.6
205997,11046,327882.8,10275.9
205998,11046,327882.8,14766.3
206003,11021,251896,2293.9
206004,11021,251896,194369.1
206005,11021,251896,34394.7
206005,11041,286001.1,110526.4
206019,11002,564688.8,475.9
207058,11046,327882.8,14683.1
207063,11021,251896,14332.8
207063,11041,286001.1,56369.9
207064,11021,251896,579.5
207064,11041,286001.1,113980.8
207064,11046,327882.8,1025.4
207078,11002,564688.8,60264.8
207079,11002,564688.8,1220.8
207087,11019,127695.9,61176.3
208128,11046,327882.8,5870.4
208129,11036,47753,47492.6
208130,11036,47753,14.5
208133,11028,525057.3,1129.9
208146,11019,127695.9,13088
209183,11046,327882.8,84577.8
209184,11046,327882.8,67444.5
209186,11046,327882.8,39472.8
209187,11046,327882.8,15630
209189,11028,525057.3,33620.6
209189,11036,47753,245.8
209191,11028,525057.3,6901.4
209192,11028,525057.3,156742.7
209193,11028,525057.3,42806.5
209194,11028,525057.3,25528.3
209209,11010,66005,66.9
209210,11010,66005,65938.1
210242,11046,327882.8,5728
210243,11046,327882.8,3732.1
210246,11028,525057.3,30547.8
210248,11028,525057.3,26173.5
210249,11028,525057.3,37821.5
210251,11028,525057.3,47206.5
210252,11028,525057.3,25090.5
210253,11028,525057.3,7202.9
211293,11042,368598,6243.2
211294,11042,368598,1738.6
211307,11028,525057.3,35035
211314,11039,168629.5,633
212352,11042,368598,8417
212353,11042,368598,6982.6
212364,11018,138537.8,3608.6
212365,11018,138537.8,354.1
212365,11028,525057.3,49250.2
212371,11039,168629.5,11955.3
212372,11039,168629.5,39294.9
212373,11039,168629.5,66152.3
212374,11039,168629.5,47244.6
213389,11023,345324.3,937.1
213417,11042,368598,5806
213418,11042,368598,25808.7
213423,11018,138537.8,33491.7
213424,11018,138537.8,771.9
213432,11039,168629.5,3349.4
214447,11023,345324.3,7715.1
214448,11023,345324.3,41885.2
214448,16069,342374.2,3.3
214482,11018,138537.8,21544.1
215506,11023,345324.3,705
215507,11023,345324.3,14790.1
215524,11016,62473,16110.2
215525,11016,62473,46362.8
215535,11042,368598,55513.7
215536,11042,368598,13045.4
215539,11018,138537.8,32305.1
215540,11018,138537.8,46226.5
215544,11011,249996,22750.6
216568,11023,345324.3,31852.2
216569,11023,345324.3,0.8
216576,11023,345324.3,8363.9
216577,11023,345324.3,19368.1
216593,11042,368598,8107.6
216594,11042,368598,157130
216595,11042,368598,45553.2
216599,11018,138537.8,235.7
216603,11011,249996,1341.9
217634,11023,345324.3,30111
217635,11023,345324.3,160676.4
217636,11023,345324.3,4958.4
217641,11001,192888.9,2811.7
217651,11042,368598,25551
217652,11042,368598,1133.5
217653,11042,368598,7567.6
217667,11007,2029716.9,1027.3
217668,11007,2029716.9,49581.1
217669,11007,2029716.9,13118.2
218693,11023,345324.3,3978.2
218694,11023,345324.3,19982.8
218700,11001,192888.9,86807.5
218701,11001,192888.9,68212
218717,11011,249996,5976.7
218717,11027,865210.8,1101.6
218718,11011,249996,6394.5
218721,11011,249996,77.7
218726,11007,2029716.9,23786.4
218727,11007,2029716.9,2579.5
218728,11007,2029716.9,59.1
218731,11004,274604.7,27819.7
218732,11004,274604.7,124335.2
218733,11004,274604.7,6592.6
219759,11001,192888.9,44.7
219760,11001,192888.9,5140
219776,11011,249996,2581.3
219776,11027,865210.8,218.7
219777,11011,249996,4154.1
219778,11011,249996,263.8
219779,11011,249996,141796.7
219780,11011,249996,54774.5
219784,11007,2029716.9,14770.8
219785,11007,2029716.9,8389
219786,11007,2029716.9,8790.9
219787,11007,2029716.9,36446.8
219789,11005,362743.8,1440.5
219790,11004,274604.7,9072.8
219790,11005,362743.8,22539
219791,11004,274604.7,40823.9
220824,11024,29756.3,471.2
220835,11044,193384.3,2959.9
220836,11044,193384.3,1074.6
220837,11044,193384.3,77849
220838,11011,249996,4771.9
220839,11011,249996,5112.3
220841,11007,2029716.9,23012.5
220842,11007,2029716.9,72225.4
220843,11007,2029716.9,250991.5
220844,11007,2029716.9,179297.4
220845,11007,2029716.9,2542.9
220848,11005,362743.8,476.9
220849,11005,362743.8,17430.4
220850,11005,362743.8,24576.4
220852,11004,274604.7,19587.6
220853,11004,274604.7,20597.3
221883,11024,29756.3,27229.8
221888,11027,865210.8,3043.9
221889,11027,865210.8,55286.9
221891,11027,865210.8,25570.3
221892,11027,865210.8,16249.2
221893,11044,193384.3,23675.5
221894,11044,193384.3,23838.2
221895,11044,193384.3,138
221896,11044,193384.3,43374.4
221900,11007,2029716.9,6874.4
221901,11007,2029716.9,182864.2
221902,11007,2029716.9,241903.1
221903,11007,2029716.9,203581.6
221904,11007,2029716.9,8731.3
221906,11005,362743.8,8158.7
221907,11005,362743.8,42568.3
221908,11005,362743.8,2243.7
221909,11005,362743.8,81.9
221912,11004,274604.7,25775.5
221912,11005,362743.8,18883.2
222944,11024,29756.3,1862.6
222944,11027,865210.8,8668.1
222945,11027,865210.8,13545.6
222946,11027,865210.8,2015.8
222947,11027,865210.8,58480.9
222948,11027,865210.8,266837.8
222949,11027,865210.8,40297.1
222957,11044,193384.3,11866.6
222958,11007,2029716.9,4523
222958,11044,193384.3,8608
222959,11007,2029716.9,18355.8
222960,11007,2029716.9,148704.5
222961,11007,2029716.9,166512.6
222962,11007,2029716.9,154424.6
222963,11007,2029716.9,35167.1
222964,11007,2029716.9,8101.7
222965,11005,362743.8,23974.6
222966,11005,362743.8,108063.2
222967,11005,362743.8,1762.6
222969,11005,362743.8,20314.2
222970,11005,362743.8,4170.8
222971,11005,362743.8,7955.3
224001,11017,1698922.1,15491.1
224002,11017,1698922.1,21529.1
224003,11024,29756.3,192.7
224003,11027,865210.8,1619
224004,11027,865210.8,1953.5
224005,11027,865210.8,16699
224006,11027,865210.8,49552
224007,11027,865210.8,155660.2
224008,11027,865210.8,70270.5
224009,11027,865210.8,14185.5
224010,11027,865210.8,8875.7
224014,11035,199788.6,15428.1
224019,11007,2029716.9,18013
224020,11007,2029716.9,26037.1
224021,11007,2029716.9,7093.9
224022,11007,2029716.9,12964.7
224023,11007,2029716.9,23916.5
224024,11005,362743.8,13730.6
224025,11005,362743.8,713.4
224029,11005,362743.8,14826
224031,11005,362743.8,23538.1
224032,11005,362743.8,1372.8
225049,11012,136731.2,56110.4
225050,11012,136731.2,58311.3
225061,11017,1698922.1,1344.3
225063,11017,1698922.1,11686.9
225065,11027,865210.8,7274.3
225066,11027,865210.8,1421.5
225067,11027,865210.8,9126
225068,11027,865210.8,1481.7
225073,11035,199788.6,13013.2
225076,11035,199788.6,18623.9
225077,11035,199788.6,182.3
225080,11007,2029716.9,16340.8
225081,11007,2029716.9,23577.1
225088,11005,362743.8,3923.2
226108,11012,136731.2,7605.3
226109,11012,136731.2,14704.2
226114,11001,192888.9,29782.5
226115,11017,1698922.1,3599.7
226118,11017,1698922.1,25446.6
226119,11017,1698922.1,104150.6
226120,11017,1698922.1,122388.6
226121,11017,1698922.1,11969.3
226122,11017,1698922.1,2083.7
226124,11027,865210.8,8694.7
226131,11035,199788.6,291.5
226132,11035,199788.6,108553
226133,11035,199788.6,11733.9
226140,11007,2029716.9,35313.8
227173,11001,192888.9,90.4
227174,11017,1698922.1,19748.5
227175,11017,1698922.1,21439.8
227176,11017,1698922.1,8663.6
227177,11017,1698922.1,37916
227178,11017,1698922.1,292920.7
227179,11017,1698922.1,252130.9
227180,11017,1698922.1,68967.3
227181,11017,1698922.1,1128.2
227182,11027,865210.8,9222.3
227191,11035,199788.6,7916
227195,11035,199788.6,24046.8
227199,11009,253711.3,27724.2
227200,11007,2029716.9,97.5
227200,11009,253711.3,55011.4
228234,11017,1698922.1,594.9
228235,11017,1698922.1,7291.4
228236,11017,1698922.1,50530.4
228237,11017,1698922.1,203562.7
228238,11017,1698922.1,139773.5
228239,11017,1698922.1,59669.6
228241,11027,865210.8,17859
228255,11009,253711.3,10005
228256,11009,253711.3,2000.1
228258,11009,253711.3,26074.3
228259,11009,253711.3,12912.9
229275,11008,138241.4,13035.3
229276,11008,138241.4,120482.3
229277,11008,138241.4,324.6
229293,11017,1698922.1,1249.6
229294,11017,1698922.1,8383.6
229296,11017,1698922.1,64448.2
229297,11017,1698922.1,10800.4
229298,11017,1698922.1,5528.6
229314,11009,253711.3,13956.5
229315,11009,253711.3,3557.6
229317,11009,253711.3,72707.3
229318,11009,253711.3,1820.4
230335,11008,138241.4,4399.2
230356,11017,1698922.1,14335.9
230357,11017,1698922.1,38243.2
230358,11017,1698922.1,5833.9
230376,11009,253711.3,27941.5
231415,11017,1698922.1,10268.8
232474,11017,1698922.1,26986.7
232475,11017,1698922.1,24507
233534,11015,716087.4,135.4
233534,11017,1698922.1,4308.8
234585,11026,92987.3,351.6
234586,11026,92987.3,67886.3
234586,11037,380337.2,802.7
234593,11015,716087.4,14445.1
235645,11026,92987.3,24749.4
235646,11037,380337.2,7756.6
235656,11015,716087.4,10945.3
235670,11003,635478.3,5157.5
235671,11003,635478.3,62220.4
235672,11003,635478.3,11511.1
235673,11003,635478.3,4065.7
236705,11037,380337.2,11855.7
236707,11037,380337.2,801.8
236712,11015,716087.4,3824.5
236715,11015,716087.4,3507.5
236729,11003,635478.3,356.1
236730,11003,635478.3,209650.3
236731,11003,635478.3,171933.4
236732,11003,635478.3,9615.9
237761,11020,4145853.5,12894.2
237763,11037,380337.2,6991.7
237764,11037,380337.2,11016.1
237765,11037,380337.2,63561.4
237766,11037,380337.2,163265.2
237767,11037,380337.2,6979.9
237768,11037,380337.2,13979.4
237770,11015,716087.4,8072.5
237771,11015,716087.4,37486.5
237788,11003,635478.3,1003.8
237789,11003,635478.3,95691.4
237790,11003,635478.3,35551.1
238819,11020,4145853.5,2843.5
238820,11020,4145853.5,15238.9
238823,11037,380337.2,6586.7
238824,11037,380337.2,11341.4
238825,11037,380337.2,45692.4
238826,11037,380337.2,420.4
238828,11015,716087.4,277.2
238829,11015,716087.4,37459.7
238830,11015,716087.4,129121.2
239868,11025,220932.8,3053
239869,11025,220932.8,7483.5
239869,11031,330919.1,82277.8
239870,11031,330919.1,9934.9
239882,11037,380337.2,12693.1
239883,11037,380337.2,1560.4
239888,11015,716087.4,17242.3
239889,11015,716087.4,103407.4
239890,11015,716087.4,48394.4
239891,11015,716087.4,1502.7
239919,11032,226706.1,5987.2
239920,11032,226706.1,99208.2
240927,11025,220932.8,53131.9
240928,11025,220932.8,36031.4
240928,11031,330919.1,163313
240929,11031,330919.1,62256.3
240938,11020,4145853.5,3545.8
240948,11015,716087.4,71043.2
240949,11015,716087.4,202957.1
240950,11015,716087.4,1232.5
240979,11032,226706.1,76190.6
240981,11032,226706.1,372.1
241986,11025,220932.8,9242.3
241987,11025,220932.8,96413.6
241987,11031,330919.1,1692.3
241988,11025,220932.8,15577
241988,11031,330919.1,11444.8
241993,11020,4145853.5,10151.5
241994,11020,4145853.5,203.8
241995,11020,4145853.5,71561.8
241996,11020,4145853.5,32650.8
241997,11020,4145853.5,53774.8
