GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Ptot,PobT_urb,Ptot_rur,
1479123,06007,0.001067328,,0.001067328,149.7353798,140290,,140290
1479128,06007,,0.00023663,0.00023663,5,,21130,21130
1479130,06007,,0.001230478,0.001230478,26,,21130,21130
1479160,06001,0.032876503,,0.032876503,818.0002745,24881,,24881
1479161,06001,,0.123230205,0.123230205,470,,3814,3814
1479163,06009,,0.000502008,0.000502008,5,,9960,9960
1479183,06006,,0.054974835,0.054974835,142,,2583,2583
1482296,06007,0.003021794,,0.003021794,423.9274494,140290,,140290
1482297,06007,0.028733992,,0.028733992,4031.091668,140290,,140290
1482298,06007,0.042351378,,0.042351378,5941.474847,140290,,140290
1482299,06007,0.032653171,,0.032653171,4580.913389,140290,,140290
1482300,06007,0.014584999,,0.014584999,2046.129547,140290,,140290
1482301,06007,0.007544827,,0.007544827,1058.463826,140290,,140290
1482302,06007,0.002155163,0.002271652,0.002170411,350.3477966,140290,21130,161420
1482303,06007,0.001158598,9.46522E-05,0.001019327,164.5397558,140290,21130,161420
1482304,06007,0.000236227,,0.000236227,33.14021876,140290,,140290
1482305,06007,0.0006756,,0.0006756,94.77989358,140290,,140290
1482306,06007,0.000174931,0.000331283,0.000195398,31.54109763,140290,21130,161420
1482307,06007,,0.000993848,0.000993848,21,,21130,21130
1482337,06001,0.022742929,,0.022742929,565.8668277,24881,,24881
1482338,06001,0.055147815,0.001835343,0.04806178,1379.132787,24881,3814,28695
1482344,06009,,0.000702811,0.000702811,7,,9960,9960
1482353,06009,,0.006626506,0.006626506,66,,9960,9960
1482356,06006,,0.015485869,0.015485869,40,,2583,2583
1482373,06002,,0.018800546,0.018800546,179,,9521,9521
1482384,14065,,0.009657262,0.009657262,51,,5281,5281
1485474,06007,8.64808E-07,,8.64808E-07,0.121323911,140290,,140290
1485475,06007,0.007412925,,0.007412925,1039.9592,140290,,140290
1485476,06007,0.008098132,,0.008098132,1136.086897,140290,,140290
1485477,06007,0.012351752,,0.012351752,1732.827229,140290,,140290
1485478,06007,0.019582534,,0.019582534,2747.233738,140290,,140290
1485479,06007,0.025580691,,0.025580691,3588.715093,140290,,140290
1485480,06007,0.004459112,,0.004459112,625.5688347,140290,,140290
1485481,06007,0.027454659,,0.027454659,3851.614055,140290,,140290
1485482,06007,0.01830207,,0.01830207,2567.597397,140290,,140290
1485483,06007,0.006910371,0.001467108,0.006197844,1000.455985,140290,21130,161420
1485484,06007,9.94633E-05,0.036961666,0.004924754,794.9537115,140290,21130,161420
1485485,06007,,0.056034075,0.056034075,1184,,21130,21130
1485515,06001,,0.004457263,0.004457263,17,,3814,3814
1485517,06001,,0.000786576,0.000786576,3,,3814,3814
1485535,06002,,0.000315093,0.000315093,3,,9521,9521
1485544,06006,,0.00116144,0.00116144,3,,2583,2583
1488655,06007,0.008596344,,0.008596344,1205.981046,140290,,140290
1488656,06007,0.002958757,,0.002958757,415.083988,140290,,140290
1488657,06007,0.02751751,0.000520587,0.023983592,3871.43141,140290,21130,161420
1488658,06007,6.13314E-05,9.46522E-05,6.56931E-05,10.60418693,140290,21130,161420
1488659,06007,0.010304514,,0.010304514,1445.620277,140290,,140290
1488660,06007,0.006500612,,0.006500612,911.9709197,140290,,140290
1488661,06007,4.32587E-05,,4.32587E-05,6.068756865,140290,,140290
1488698,06009,,0.000100402,0.000100402,1,,9960,9960
1488699,06009,,0.000702811,0.000702811,7,,9960,9960
1488700,06009,7.8658E-09,,7.8658E-09,0.000808337,102766,,102766
1488709,06009,,0.00060241,0.00060241,6,,9960,9960
1488710,06009,,0.000401606,0.000401606,4,,9960,9960
1491832,06007,0.000139891,,0.000139891,19.62528144,140290,,140290
1491833,06007,0.010626342,,0.010626342,1490.769506,140290,,140290
1491834,06007,1.20575E-05,,1.20575E-05,1.691549846,140290,,140290
1491835,06007,0.004905396,,0.004905396,688.1780481,140290,,140290
1491836,06007,2.63592E-05,,2.63592E-05,3.697935933,140290,,140290
1491843,06007,,0.000189304,0.000189304,4,,21130,21130
1491850,06007,,0.000757217,0.000757217,16,,21130,21130
1491878,06009,0.023665388,,0.023665388,2431.997217,102766,,102766
1491879,06009,0.007263932,,0.007263932,746.4852476,102766,,102766
1491888,06002,,0.000420124,0.000420124,4,,9521,9521
1491913,06002,,0.000630186,0.000630186,6,,9521,9521
1495010,06007,0.006674235,,0.006674235,936.3284684,140290,,140290
1495011,06007,0.008783577,,0.008783577,1232.248009,140290,,140290
1495012,06007,0.011015118,,0.011015118,1545.310917,140290,,140290
1495013,06007,0.00016753,,0.00016753,23.50280606,140290,,140290
1495014,06007,6.93964E-05,,6.93964E-05,9.735617353,140290,,140290
1495021,06007,,4.73261E-05,4.73261E-05,1,,21130,21130
1495031,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1495034,06007,,4.73261E-05,4.73261E-05,1,,21130,21130
1495055,06009,2.40549E-06,0.000100402,1.1064E-05,1.247202537,102766,9960,112726
