GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
133112,30045,,0.045493353,0.013004219,,746,746
133113,20184,,0.021414721,0.006522604,,1016,1016
133114,20184,,0.05480145,0.016691704,,2600,2600
133115,20184,,0.008599612,0.002619314,,408,408
133115,30119,,0.047377327,0.005333333,,28,28
133116,20184,0.002058677,,0.001431635,223,,223
133116,30119,,0.027072758,0.003047619,,16,16
133117,20044,,0.048955224,0.011845432,,492,492
133117,20184,0.010911911,0.000042155,0.007601145,1182,2,1184
133118,20044,,0.000597015,0.000144456,,6,6
133119,20044,,0.039800995,0.009630432,,400,400
133120,20044,0.007273305,0.013731343,0.008835922,229,138,367
133121,20044,0.262410672,0.006865672,0.200577826,8262,69,8331
133122,20044,3.18E-05,0.000497512,0.000144456,1,5,6
133123,30054,,0.189271523,0.122314474,,1429,1429
133125,30169,,0.089634664,0.052752198,,1266,1266
133126,30169,,0.011399037,0.006708613,,161,161
133127,30169,,0.019612008,0.011542148,,277,277
133128,30169,,0.009062589,0.005333556,,128,128
133130,30077,,0.034740545,0.013102713,,553,553
133131,30077,,0.001821837,0.000687122,,29,29
133132,30077,,0.001696193,0.000639735,,27,27
133133,30077,,0.008355321,0.003151285,,133,133
133134,30077,,0.000062822,2.37E-05,,1,1
133134,30094,,0.000783699,0.000403302,,15,15
133135,30094,,0.043887147,0.022584895,,840,840
133137,30094,,0.000365726,0.000188207,,7,7
133138,30094,,0.001097179,0.000564622,,21,21
133139,30094,,0.016405434,0.008442449,,314,314
133140,30094,,0.108516196,0.055843842,,2077,2077
133144,30073,,0.013161943,0.009243919,,385,385
133145,30073,,0.000170934,0.000120051,,5,5
133146,30073,,0.001230727,0.000864366,,36,36
133147,30003,,0.000230645,7.16E-05,,6,6
133148,30003,0.001608913,0.000345968,0.001216937,93,9,102
133149,30003,,0.000269086,8.35E-05,,7,7
133150,30003,,0.001230107,0.000381784,,32,32
133152,30003,,0.011801338,0.003662741,,307,307
133153,30003,,0.009725532,0.003018481,,253,253
133154,30003,,0.020450527,0.006347161,,532,532
133155,30003,,0.058353194,0.018110884,,1518,1518
133156,30003,,7.69E-05,2.39E-05,,2,2
133157,30104,,0.08032079,0.037558415,,651,651
133159,30059,,0.010825616,0.005455502,,83,83
133159,30104,,0.003331277,0.001557722,,27,27
133159,30149,,0.047087166,0.019787704,,645,645
133160,30059,,0.000391287,0.000197187,,3,3
133161,30059,,0.001304291,0.000657289,,10,10
133162,30059,,0.325551063,0.164059419,,2496,2496
133163,30059,,0.075388027,0.037991324,,578,578
133164,30059,,0.070823008,0.035690811,,543,543
133165,30059,,0.259032216,0.130537663,,1986,1986
133166,30048,,0.122502733,0.020938095,,2465,2465
133167,30048,,0.003329689,0.000569108,,67,67
133167,30108,,0.00134599,0.000361118,,57,57
133172,30048,,4.97E-05,8.49E-06,,1,1
133172,30206,3.95E-05,,3.69E-05,1,,1
133173,30206,0.875677172,0.100831025,0.824056987,22145,182,22327
133174,30082,,0.016617585,0.005300946,,79,79
133174,30206,0.000474515,0.143490305,0.010002215,12,259,271
133175,30082,,0.203197308,0.064819164,,966,966
133176,30082,,0.003786285,0.001207811,,18,18
133176,30111,,0.000616808,0.000248139,,4,4
133179,30204,,0.026672763,0.003803521,,175,175
133180,30204,,0.01051669,0.001499674,,69,69
133181,30204,,0.005029721,0.000717235,,33,33
133183,30204,,0.003962811,0.000565095,,26,26
133184,30204,,0.002286237,0.000326016,,15,15
133185,27008,,0.002435348,0.001595252,,286,286
133187,27008,,0.000178819,0.000117134,,21,21
133193,27008,,0.001089946,0.000713959,,128,128
133194,27008,,0.007672199,0.005025602,,901,901
133195,27008,,0.016553556,0.010843253,,1944,1944
