GRIDCODE	CVENTMUN	Fpav
139371	21087	0.059734262
139371	21160	0.092038243
139376	21073	0.460594612
139377	21073	0.146046871
139389	21157	0.070571343
139390	21157	0.010410232
139406	21037	0.018789405
139406	21190	0.17089115
140367	12027	0.037262757
140367	16077	0.215370459
140368	12027	0.02004774
140377	15105	0.042900849
140379	15105	0.024500091
140380	15105	0.056498008
140381	15105	0.007010296
140386	12031	0.087895872
140388	12058	0.001785063
140389	12058	0.038033505
140390	12058	0.02521616
140391	12047	0.305415492
140391	12058	0.04942906
140392	12058	0.013121037
140396	12037	0.048636984
140397	12037	0.146334804
140398	12037	0.136774165
140399	12037	0.039062115
140399	12055	0.018095583
140399	12058	0.010533974
140404	12055	0.035453639
140405	12035	0.021221622
140405	12055	0.003285828
140407	12015	0.092648762
140417	12034	0.012340639
140418	12034	0.06124894
140430	21087	0.038613376
140430	21160	0.146644922
140431	21160	0.011943445
140435	21047	0.106392015
140435	21073	0.164587985
140447	21157	0.085189144
140448	21157	0.081948102
140465	21037	0.181971167
140469	21018	0.04811086
140470	21018	0.134549734
141427	12027	0.067287799
141436	15105	0.038840389
141439	15105	0.001574587
141440	15105	0.066671539
141450	12058	0.021859342
141451	12047	0.134601375
141451	12058	0.010632234
141462	12055	0.038214907
141463	12055	0.012870022
141466	12015	0.047290584
141467	12015	0.101583441
141468	12015	0.01010769
141476	12034	0.019483495
141477	12034	0.05099256
141477	17025	0.005410602
141490	21160	0.266769188
141493	17003	0.004111004
141493	21047	0.2327772
141494	21047	0.073043624
141505	21157	0.000816488
141506	21157	0.090279275
141517	21147	0.274278271
141518	21147	0.011857125
141524	21037	0.278173274
141524	21082	0.014494076
141525	21037	0.193017753
141526	21037	0.184805357
141527	21018	0.153807789
141527	21037	0.143243044
141528	21018	0.13955545
141529	21018	0.193304254
142486	12027	0.055995684
142494	15105	0.003765322
142495	15105	0.0343271
142498	15105	0.005607669
142499	15105	0.04316889
142510	12047	0.258604762
142510	12058	0.018790836
142521	12055	0.042099116
142527	12015	0.140575625
142535	17025	0.030398694
142536	17025	0.116850645
142549	21160	0.256387755
142550	17003	0.049569778
142550	21073	0.110727639
142550	21160	0.226216447
142551	17003	0.06050226
142552	17003	0.045270133
142564	21085	0.011474951
142564	21157	0.085028538
142577	21147	0.453631088
142583	21082	0.243142718
142588	21018	0.086149363
142589	21018	0.202188515
143545	12027	0.055273208
143553	15105	0.004888272
143554	15105	0.035359962
143558	15105	0.037054697
143569	12047	0.301378371
143573	12037	0.087519858
143574	12037	0.180806326
143575	12037	0.004003669
143579	12055	0.009692761
143580	12055	0.029030828
143585	12015	0.020886496
143586	12015	0.091783903
143591	17017	0.033099413
143594	17017	0.006605325
143594	17025	0.145623131
143609	17003	0.100580603
143610	17003	0.123153813
143611	17003	0.042774509
143611	21051	0.083066594
143612	21051	0.150655987
143613	21051	0.16041317
143614	21051	0.060007611
143622	21085	0.055654645
143623	21085	0.020134421
143636	21147	0.260233516
143636	21169	0.071068477
143641	21082	0.16497092
143642	21082	0.148789888
143648	21018	0.042334034
144604	12027	0.054252603
144613	15105	0.041662697
144616	15105	0.038802918
144617	15105	0.001366354
144633	12037	0.02814328
144634	12037	0.141062371
144634	12055	0.025012965
144635	12055	0.016257942
144636	12055	0.019539166
144638	12055	0.041754323
144644	12015	0.160175516
144645	12015	0.03207583
144650	17017	0.037753656
144652	17012	0.010568525
144653	17012	0.013449048
144653	17025	0.094617405
144656	17025	0.002428739
144657	17025	0.053460048
144666	17019	0.03868502
144668	17003	0.044405112
144669	17003	0.14227037
144670	17003	0.036749376
144673	21051	0.124412688
144674	21051	0.100014244
144680	21085	0.041919597
144681	21085	0.023835791
144695	21169	0.014237172
144696	21169	0.105809848
144697	21169	0.092396572
144699	21082	0.116422499
144700	21082	0.198673162
145663	12027	0.058175472
145672	15105	0.032363207
145673	15105	0.007006183
145675	15105	0.005938542
145676	15105	0.030810271
145694	12055	0.050037787
145695	12055	0.033555788
145696	12055	0.039971789
145697	12055	0.095778418
145698	12055	0.049406075
145699	12055	0.010677982
145700	12055	0.01165569
145701	12055	0.040742865
145702	12015	0.0284544
145702	12055	0.023285687
145703	12015	0.095289415
145703	12055	0.000383487
145704	12015	0.083691122
145704	17001	0.056919932
145709	17012	0.05180371
145709	17017	0.001889539
145711	17012	0.077913757
145715	17025	0.084660658
145716	17025	0.065433639
145717	17025	0.008948675
145725	17003	0.016501115
145725	17019	0.085203513
145726	17003	0.039277979
145728	17003	0.115369338
145733	21051	0.169881361
145736	21085	0.048579455
145739	21085	0.067439772
145756	21169	0.104152801
145757	21169	0.012292347
145758	21082	0.113506736
145758	21169	0.064455742
146722	12027	0.054413195
146732	15105	0.045450855
146735	15105	0.056603863
146736	15105	0.004284906
146755	12055	0.010363618
146756	12055	0.031185667
146756	12060	0.181902039
146757	12055	0.007913264
146758	12055	0.066551291
146759	12055	0.032503396
146763	17001	0.011852008
146764	17001	0.144843345
146767	17012	0.007531703
146767	17017	0.030589855
146768	17012	0.072738493
146769	17012	0.076970377
146770	17012	0.033324339
146771	17012	0.021461647
146772	17012	0.001174383
146773	17025	0.062069389
146774	17025	0.041439134
146776	17004	0.03191158
146776	17025	0.058084148
146783	17019	0.000291289
146784	17003	0.030638248
146784	17019	0.143078378
146785	17003	0.045079178
146786	17003	0.024761778
146787	17003	0.068527952
146792	21051	0.046128824
146793	21051	0.10541952
146793	21085	0.039422928
146794	21085	0.030030285
146794	21176	0.068666299
146795	21085	0.027470724
146796	21085	0.044136426
146797	21085	0.047805242
146798	21085	0.007081522
146815	21169	0.037727418
146816	21169	0.201539357
147781	12027	0.053482511
147791	15105	0.017403209
147792	15105	0.028615297
147794	15105	0.032506584
147795	15105	0.025313225
147814	12060	0.413122512
147815	12060	0.035924312
147817	12055	0.018537318
147818	12055	0.045098395
147819	12055	0.057184044
147820	12055	0.043399985
147821	12055	0.002934904
147821	17001	0.098484651
147822	17001	0.10067123
147823	17001	0.15677584
147824	17001	0.294949284
147825	17001	0.070359305
147825	17017	0.040027264
147826	17012	0.045301271
147826	17017	0.023325328
147827	17012	0.102275702
147828	17012	0.090373441
147828	17031	0.026358979
147829	17012	0.028649273
147830	17012	0.103426876
