GRIDCODE	CVE_ENTCVE_MUN	fbosque
133031	21024	0.048732086
133031	21056	0.005780535
133032	21024	0.053578086
133033	21024	0.053578086
133034	21024	0.043864247
133034	21059	0.0127689
133034	21113	0.00754083
133035	21024	0.000487754
133035	21059	0.106230056
133035	21113	0.011180925
133036	21059	0.134342921
133037	21009	0.002246731
133037	21059	0.077656247
133037	21113	0.019849102
133038	21009	0.053023781
133038	21113	0.027527851
133039	21009	0.124817501
133039	21113	3.62789E-05
133040	21003	0.011563489
133040	21009	0.289164621
133041	21003	0.021824199
133041	21009	0.000196762
133041	21139	0.000747679
133042	21003	0.021938734
133043	21003	0.015184655
133044	21003	0.026429784
133045	21003	0.020586254
133046	21003	0.024434144
133047	21003	0.067312848
133047	21127	0.063789168
133047	21196	0.000194506
133048	21127	0.156300528
133049	21127	0.084842486
133050	21127	0.06692149
133050	21190	0.003099945
133051	20459	0.013728362
133051	21127	0.065711131
133051	21190	0.078073703
133052	20459	0.033404665
133053	20459	0.033404665
133054	20022	0.043439439
133054	20459	0.027494128
133055	20022	0.052016411
133055	20459	0.04243469
133056	20459	0.076185395
133057	20459	0.035706864
133058	20340	0.003962714
133058	20459	0.06492417
133058	21027	0.001755886
134013	12050	0.00389803
134014	12050	0.029392906
134014	12067	0.001720375
134015	12067	0.004597273
134016	12067	0.036653185
134017	12067	0.051797292
134018	12067	0.051797292
134019	12067	0.043585634
134020	12067	0.003281167
134021	12067	0.055346896
134022	12067	0.025468834
134023	12067	0.002335545
134025	12007	0.014497389
134026	12007	0.018292595
134027	12007	0.018292595
134028	12007	0.027607725
134029	12007	0.027607725
134030	12007	0.041358822
134031	12007	0.041358822
134032	12007	0.029158729
134032	12058	0.01552935
134033	12007	1.55495E-06
134033	12058	0.052643162
134034	12058	0.019166372
134035	12058	0.014655456
134036	12058	0.010841771
134037	12058	0.003145753
134038	12058	0.015020487
134039	12058	0.012036318
134040	12058	0.007168561
134041	12026	0.003344894
134041	12058	0.023265038
134042	12026	0.02251608
134042	12058	0.002964332
134043	12026	0.029781318
134044	12026	0.004948351
134045	12017	0.020423278
134046	12017	0.001587978
134048	12017	0.002282583
134048	12035	0.030895525
134049	12017	0.010077018
134049	12035	0.014547454
134050	12035	0.010714337
134052	12035	0.004249641
134052	12059	0.002844388
134053	12035	4.87139E-05
134053	12059	0.014558524
134054	12059	0.015575761
134055	12059	0.0144422
134056	12034	0.001160493
134056	12059	0.01237098
134057	12034	0.006210442
134057	12059	0.000654195
134058	12034	0.006628894
134059	12034	0.007023169
134060	12034	0.009766686
134061	12034	0.009752088
134062	12034	0.002045746
134063	12034	0.008221604
134064	12008	0.004762337
134064	12034	0.00785167
134065	12008	0.000672591
134065	12034	0.009496226
134066	12008	0.000977733
134066	12034	0.009373523
134067	12008	0.001980899
134067	12034	0.008970133
134068	12008	0.011340231
134068	12034	0.002629015
134068	21087	0.004309838
134069	12008	0.017056283
134069	21087	0.004390188
134070	12008	0.003275706
134070	21087	0.004504643
134071	21087	0.006573444
134072	21087	0.010469153
134073	21087	0.018490689
134074	21087	0.018490689
134075	21032	0.012630812
134075	21087	0.013106616
134076	21032	0.023639174
134076	21087	0.000468462
134077	21032	0.048453199
134077	21047	0.000789709
134077	21087	2.18113E-05
134078	21032	0.047000431
134078	21047	0.00127138
134079	21032	0.013438904
134079	21047	0.003168771
134080	21032	0.002307071
134080	21047	0.011865491
134081	21047	0.016308905
134082	21047	0.016308905
134083	21047	0.016308905
134084	21047	0.016308905
134085	21047	0.016308905
134086	21047	0.016308905
134087	21047	0.016308905
134088	21047	0.016306005
134088	21056	1.13632E-05
134089	21024	0.020205685
134089	21047	0.005019168
134089	21056	0.020139316
134090	21024	0.053578086
134091	21024	0.048042204
134091	21047	0.000239831
134092	21024	0.048759235
134093	21024	0.026975874
134093	21059	0.059022877
134094	21059	0.134342921
134095	21059	0.227579615
134096	21009	0.00290593
134096	21059	0.18181399
134097	21009	0.061175644
134097	21059	0.059163868
134098	21009	0.124898617
134099	21003	0.005756595
134099	21009	0.09212595
134100	21003	0.021938734
134101	21003	0.118676692
134102	21003	0.104514607
134103	21003	3.39608E-05
134104	21003	0.021090373
134105	21003	0.020543799
134105	21196	0.033198414
134106	21003	0.02445522
134106	21127	0.012647482
134106	21196	0.107414198
134107	21127	0.077328535
134107	21196	0.006905037
134108	21127	0.009762192
134109	21127	0.00248517
134110	20459	0.000255278
134110	21127	0.009983992
134110	21190	0.053560636
134111	20459	0.020114401
134111	21190	0.282791593
134112	20459	0.058326581
134113	20022	0.153868464
134113	20459	0.060720497
134114	20022	0.006398353
134114	20459	0.033761098
134115	20459	0.035706864
134116	20459	0.035706864
134117	20459	0.035706864
135072	12050	0.047624906
135073	12050	0.235775252
135073	12067	0.011203569
135074	12050	0.02752115
135074	12067	0.046020224
135075	12067	0.068196783
135076	12067	0.068196783
135077	12067	0.068196783
135078	12064	0.001611944
135078	12067	0.066874437
135079	12067	0.046936201
135080	12064	0.018197962
135080	12067	0.051572184
135081	12064	0.002776755
135081	12067	0.005934901
135084	12007	0.021488266
135085	12007	0.032799478
135086	12007	0.018292595
135087	12007	0.018292595
135088	12007	0.041358822
135089	12007	0.041358822
135090	12007	0.037140073
135090	12058	0.011462197
135091	12007	0.005406861
135091	12058	0.097680248
135092	12058	0.052645142
135093	12058	0.043411336
135094	12058	0.021873315
135095	12058	0.013707849
135096	12058	0.014641954
135097	12058	0.015781087
135098	12058	0.013475093
135099	12058	0.000219328
135100	12026	0.00180702
135100	12058	0.021929574
135101	12026	0.025248583
135101	12058	0.005089397
135102	12026	0.031573233
135103	12017	0.00367996
135103	12026	0.015099296
135104	12017	0.011643496
135105	12017	0.02266696
135106	12017	0.01465081
135106	12035	4.22972E-05
135106	12058	0.000122221
135107	12017	0.006372679
135107	12035	0.03037068
135107	12058	0.000571261
135108	12035	0.004504027
135109	12035	0.078395408
135112	12035	0.000385337
135112	12059	0.106266215
135113	12035	3.68816E-05
135113	12059	0.01394892
135114	12034	4.68295E-06
135114	12059	0.003478469
135115	12034	0.007594313
135115	12059	0.000129645
135116	12034	0.005722273
135117	12034	0.004249778
135118	12034	0.007543852
135119	12034	0.009766686
135120	12034	0.009733959
135121	12034	0.008051804
135122	12034	0.009766686
135123	12034	0.009718539
135124	12034	0.008361036
135125	12034	0.007617431
135126	12034	0.009599459
135126	21087	0.000361135
135127	12008	0.000341945
135127	12034	0.002499092
135127	21087	0.015397779
135128	12008	0.004140433
135128	21087	0.015067972
135129	21087	0.000754151
135130	21087	0.0164138
135131	21087	0.019222681
135132	21087	0.019222681
135133	21087	0.019222681
135134	21032	0.001347791
135134	21087	0.020533955
135135	21032	0.00332406
135135	21087	0.019716233
135136	21032	0.000875981
135136	21047	0.004470943
135136	21073	0.002547643
135136	21087	0.007850775
135137	21032	0.007163687
135137	21047	0.001093371
135137	21073	0.0672765
135138	21032	0.029112918
135138	21073	0.031900332
135139	21032	0.009657114
135139	21047	0.012760646
135140	21047	0.016308905
135141	21047	0.016308905
135142	21047	0.013660107
135143	21047	0.007704869
135144	21047	0.013693837
135145	21047	0.016254364
135146	21047	0.016308905
135147	21047	0.016308905
135148	21024	0.006956069
135148	21047	0.014191512
135149	21024	0.01049152
135149	21047	0.013115338
135150	21024	0.025744943
135150	21047	0.007005251
135151	21024	0.477294368
135151	21047	0.000481732
135151	21059	0.004331122
135151	21157	0.029702827
135152	21024	0.033429615
135152	21059	0.066309364
135152	21157	0.173142546
135153	21059	0.087048094
135153	21157	0.010339124
135154	21059	0.022213448
135154	21157	0.003471511
135155	21059	0.053047583
135155	21157	0.009625379
135156	21009	0.011457487
135156	21059	0.191239265
135156	21157	0.000415781
135157	21009	0.10245413
135157	21059	0.04955041
135158	21003	0.004134775
135158	21009	0.101359079
135159	21003	0.021641201
135159	21009	0.002776128
135160	21003	0.118676692
135161	21003	0.111115571
135162	21003	0.001440293
135163	21003	0.011724001
135164	21003	0.019696023
135164	21196	0.028948568
135165	21003	0.003937175
135165	21196	0.128570937
135166	21127	0.029291408
135166	21196	0.124765639
135167	21127	0.034631711
135167	21196	0.005947729
135168	21127	0.010925397
135168	21190	0.014922099
135169	21190	0.010071521
135170	20459	0.003439858
135170	21190	0.001343491
135171	20459	0.022360493
135172	20459	0.035706864
135173	20459	0.035706864
135174	20459	0.035706864
135175	20459	0.035706864
135176	20459	0.035706864
136131	12050	0.098281323
136132	12050	0.237547148
136132	12067	0.009853288
136133	12050	0.018510476
136133	12067	0.045249305
136134	12050	0.354958707
136134	12064	0.015111642
136134	12067	0.048504314
136135	12064	0.010599487
136135	12067	0.0479842
136136	12067	0.013685051
136137	12064	0.011032724
136137	12067	0.004356346
136139	12064	0.065086281
136140	12064	0.012925436
136142	12007	0.001313588
136142	12064	0.001565527
136143	12007	0.026449575
136144	12007	0.032799478
136145	12007	0.018292595
136146	12007	0.018292595
136147	12007	0.036626183
136148	12007	0.036626183
136149	12007	0.039708747
136149	12058	0.004483197
136150	12007	0.010405801
136150	12058	0.084098299
136151	12058	0.052645142
136152	12058	0.07752021
136154	12058	0.003611527
136155	12058	0.011214538
136156	12058	0.024908321
136157	12058	0.025584764
136158	12058	0.002293834
136159	12058	0.020038244
136160	12026	0.006541366
136160	12058	0.024715646
136161	12026	0.012509708
136161	12058	0.015340269
136162	12017	0.002207529
136162	12026	0.001875804
136162	12058	0.005190595
136164	12017	0.014941503
136164	12058	0.007881263
136165	12017	6.77998E-05
136165	12058	0.006190349
136166	12035	0.003871975
136166	12058	0.001312288
136167	12035	0.094838965
136168	12035	0.194539752
136171	12035	0.01906444
136171	12059	0.01601029
136172	12035	0.003182844
136172	12059	0.001011502
136173	12034	0.000505457
136173	12059	0.011667174
136174	12034	0.005283419
136174	12059	0.0058718
136175	12034	0.001567412
136175	12059	1.01347E-06
136176	12034	0.003597686
136177	12034	0.009044749
136178	12034	0.008404008
136179	12034	0.008404008
136180	12034	0.009258715
136181	12034	0.009766686
136182	12034	0.009341906
136183	12034	5.7409E-05
136184	12034	0.003976728
136185	12034	0.009766686
136186	12034	0.001558881
136186	21087	0.017725152
136187	21087	0.01995421
136188	21087	0.007155209
136189	21087	0.014243431
136190	21087	0.019222681
136191	21087	0.019222681
136192	21087	0.019222681
136193	21087	0.021091632
136194	21087	0.021091632
136195	21073	0.004566539
136195	21087	0.014474336
136196	21032	0.020960003
136196	21047	2.85295E-05
136196	21073	0.040245347
136196	21087	0.001885063
136197	21032	0.044150265
136197	21047	0.001350506
136197	21073	0.008100518
136198	21032	0.00512201
136198	21047	0.014670146
136199	21047	0.016308905
136200	21047	0.011254311
136201	21047	0.000594207
136202	21047	0.001239986
136203	21047	0.004274253
136204	21047	0.015305203
136205	21047	0.016308905
136206	21047	0.016308905
136207	21047	0.016308905
136208	21047	0.006405928
136208	21157	0.027419062
136209	21047	0.003528638
136209	21157	0.031091648
136210	21024	0.083700201
136210	21047	2.019E-05
136210	21157	0.216261219
136211	21157	0.038380052
136212	21157	0.019540434
136213	21059	0.00584297
136213	21157	0.01557928
136214	21157	0.014367383
136215	21059	0.011376541
136215	21157	0.042366089
136216	21009	0.072486967
136216	21059	0.0075712
136216	21157	0.027925465
136217	21003	0.002673377
136217	21009	0.14489671
136217	21157	0.008706827
136218	21003	0.021391747
136218	21009	0.005103659
136219	21003	0.020552856
136220	21003	0.016452701
136221	21003	0.00607218
136222	21003	0.009370576
136223	21003	0.025187239
136224	21003	0.015220328
136224	21196	0.066676321
136225	21127	0.025092119
136225	21196	0.110601455
136226	21127	0.064364074
136226	21190	0.02094467
136226	21196	0.025643628
136227	21127	0.016781669
136227	21190	0.165456636
136228	21190	0.147875711
136229	21190	0.013773372
136230	20459	0.00176005
136231	20459	0.04976849
136231	21018	0.004111196
136232	20459	0.021528542
136232	21018	0.014449745
136233	20459	0.056425987
136233	21018	0.013377715
136234	20459	0.034493417
136235	20459	0.035504802
136235	21209	0.000171796
137190	12050	0.038119834
137191	12050	0.157246814
137192	12050	0.092171203
137192	12064	0.011458899
137192	12067	0.031843895
137193	12050	0.033495838
137193	12064	0.034620408
137193	12067	0.021022105
137194	12064	0.020621438
137194	12067	0.021562214
137195	12064	0.065740813
137195	12067	0.009258834
137196	12064	0.009548012
137196	12067	0.001066243
137198	12064	0.052898609
137199	12064	0.024076124
137201	12007	0.017058991
137201	12064	0.014565962
137202	12007	0.032627685
137202	12064	0.000520559
137203	12007	0.032799478
137204	12007	0.015042925
137205	12007	0.034004657
137206	12007	0.036626183
137207	12007	0.036626183
137208	12007	0.020493797
137208	12031	0.038529699
137209	12007	0.024696392
137209	12031	0.006291674
137209	12058	0.016872502
137210	12007	0.000612063
137210	12058	0.051477999
137211	12058	0.051140173
137212	12058	0.010652168
137213	12058	0.016357192
137214	12058	0.020246969
137215	12058	0.006602003
137216	12058	0.015072735
137217	12058	0.012599363
137218	12058	0.012854933
137219	12058	0.025623186
137220	12058	0.022491498
137221	12058	0.002596879
137223	12058	0.004887795
137224	12035	0.017045546
137224	12058	0.005233934
137225	12035	0.03249822
137225	12058	0.001011477
137226	12035	0.004259616
137227	12035	0.032971447
137229	12035	0.004916327
137230	12035	0.027866987
137231	12034	1.1052E-08
137231	12035	0.010886823
137232	12034	0.000484936
137232	12059	0.002091346
137233	12034	0.00403051
137233	12059	0.000748432
137234	12034	0.003271184
137235	12034	0.008285243
137236	12034	0.008404008
137237	12034	0.008404008
137238	12034	0.008404008
137239	12034	0.004257576
137240	12034	0.008160401
137241	12034	0.00969253
137242	12034	0.006250797
137243	12034	0.009692252
137244	12034	0.007645767
137244	17025	0.002899156
137244	21087	0.001477842
137245	12034	5.19867E-05
137245	17025	0.001711335
137245	21087	0.019148067
137246	21087	0.021091632
137247	21087	0.012067547
137248	21087	0.014558536
137249	21087	0.021091632
137250	21087	0.021091632
137251	21087	0.014277666
137252	21087	0.013536282
137253	21087	0.021091632
137254	21087	0.006316461
137255	21032	0.009435179
137255	21047	0.003119274
137255	21087	0.003732616
137256	21032	0.002522963
137256	21047	0.015501697
137257	21047	0.011849367
137257	21073	0.039473758
137258	21047	0.001372114
137258	21073	0.010981816
137259	21047	0.001452065
137261	21047	0.008368072
137262	21047	0.014747093
137263	21047	0.013537001
137264	21047	0.014841677
137265	21047	0.016308905
137266	21047	0.015877827
137266	21085	0.000509381
137266	21157	0.000365768
137267	21047	0.00659426
137267	21085	0.00010429
137267	21157	0.026728133
137268	21157	0.04078941
137269	21157	0.04078941
137270	21157	0.022594267
137271	21157	0.003397915
137272	21157	0.011272013
137273	21157	0.039294386
137274	21157	0.035715466
137275	21157	0.017624902
137276	21003	0.002841763
137276	21157	0.02443054
137277	21003	0.008279771
137278	21003	0.023789597
137279	21003	0.020525454
137280	21003	0.024275277
137281	21003	0.021406181
137281	21147	0.023661213
137282	21003	0.026779948
137282	21147	0.00057635
137283	21003	0.025610918
137283	21196	0.011104643
137284	21003	0.005071303
137284	21196	0.124544637
137285	21190	0.019984177
137285	21196	0.136401712
137286	21190	0.175334781
137286	21196	0.005667236
137287	21190	0.056112368
137288	21190	0.024732134
137289	21190	0.052898001
137290	21018	0.044737567
137290	21190	0.03272819
137291	21018	0.038443955
137292	20459	0.012685667
137292	21018	0.037963476
137293	20459	0.010269041
137293	21018	0.032180665
137294	20459	0.014756766
137294	21018	0.021898086
137294	21209	0.016525964
138251	12050	0.003249627
138251	12064	0.00408498
138252	12050	0.000391191
138252	12064	0.066623899
138253	12064	0.006262728
138254	12064	0.056831294
138255	12064	0.083629522
138256	12064	0.054271217
138257	12064	0.028657653
138258	12064	0.045306099
138259	12064	0.019770478
138260	12007	0.001196266
138260	12064	0.01058334
138260	15105	0.006113768
138261	12007	0.016459924
138261	12064	0.000850533
138261	15105	0.009362385
138262	12007	0.022559355
138263	12007	0.006667103
138264	12007	0.009057877
138265	12007	0.021830058
138265	12031	0.154726393
138266	12007	0.01872623
138266	12031	0.031119965
138267	12007	0.000427959
138267	12031	0.063017566
138268	12007	0.00702536
138268	12031	0.055724366
138268	12058	0.011294404
138269	12007	5.11169E-05
138269	12031	0.004185459
138269	12058	0.015831242
138270	12058	3.04414E-09
138271	12058	0.004700259
138272	12058	0.004484019
138273	12058	0.015936295
138274	12058	0.00266354
138275	12058	0.013065922
138276	12058	0.024050981
138277	12058	0.006810371
138278	12037	0.029418752
138278	12058	0.01500738
138279	12037	0.067049815
138279	12058	0.020543596
138280	12037	0.009772011
138280	12058	0.012572263
138282	12055	0.001438046
138282	12058	0.009353911
138283	12035	0.007503023
138283	12055	0.024327024
138283	12058	0.008590448
138284	12035	0.008580243
138284	12055	0.030532594
138285	12035	0.001204669
138285	12055	0.000824832
138286	12035	0.015593025
138286	12055	1.51325E-07
138287	12035	0.005404751
138288	12035	0.025432963
138289	12015	3.66827E-05
138289	12035	0.036331123
138290	12035	0.015300814
138291	12015	0.009865957
138291	12034	0.001613075
138292	12034	0.008404008
138293	12034	0.008404008
138294	12034	0.060233831
138295	12034	0.060233831
138296	12034	0.060233831
138297	12034	0.008404008
138298	12034	0.008668409
138299	12034	0.006459492
138300	12034	0.007005313
138301	12034	0.007241156
138302	12034	0.009766686
138303	12034	0.007956527
138303	17025	0.003653051
138304	17025	0.014210507
138304	21087	0.005884982
138305	17025	0.001103263
138305	21087	0.019013911
138306	21087	0.020132682
138307	21087	0.016310033
138308	21087	0.00880342
138309	21087	0.019536897
138310	21087	0.017660295
138311	21087	0.019407136
138312	21087	0.021091632
138313	21087	0.013039542
138314	21047	0.00456216
138314	21073	0.004069509
138315	21047	0.010964689
138315	21073	0.03624216
138316	21047	0.000295354
138316	21073	0.150194318
138317	21073	0.132894693
138318	21047	0.015106267
138318	21073	0.424792708
138319	21047	0.121638876
138320	21047	0.003519173
138321	21047	0.012630115
138322	21047	0.079646926
138323	21047	0.013000365
138323	21085	0.000891794
138324	21047	0.008182381
138324	21085	0.013845717
138325	21047	0.001238842
138325	21085	0.025299151
138325	21157	0.000612248
138326	21047	7.6289E-05
138326	21085	0.002335503
138326	21157	0.041148984
138327	21157	0.04078941
138328	21157	0.032308218
138329	21157	0.001204553
138331	21157	0.002407804
138332	21157	0.019740668
138333	21157	0.006351665
138334	21157	0.023841176
138335	21147	0.006021763
138335	21157	0.025633803
138336	21003	0.004220409
138336	21147	0.004016122
138336	21157	0.013092111
138337	21003	0.008999304
138337	21147	0.019349671
138338	21003	0.018107214
138338	21147	0.037635996
138339	21003	0.014427228
138339	21147	0.02099465
138340	21003	0.013276423
138340	21147	0.022935278
138341	21003	0.00926812
138341	21147	0.029672894
138342	21003	0.00868148
138342	21147	0.062221736
138342	21169	0.023620929
138343	21003	0.009183151
138343	21169	0.040211871
138343	21196	0.06397789
138344	21169	0.013638418
138344	21190	0.035735776
138344	21196	0.130079887
138345	21169	0.004355864
138345	21190	0.099057315
138346	21190	0.099806259
138347	21190	0.245584155
138348	21037	0.041069929
138348	21190	0.162126965
138349	21018	0.014854268
138349	21037	0.027470525
138349	21190	0.004960575
138350	21018	0.034312047
138351	21018	0.085643635
138352	21018	0.061956838
138353	21018	0.033911343
138353	21209	0.001975579
139312	12064	0.001339618
139313	12064	0.004002851
139314	12064	0.033499114
139315	12064	0.084643004
139316	12064	0.045573958
139317	12064	0.036822057
139317	15105	0.023239497
139318	12064	0.002808163
139318	15105	0.021055923
139319	15105	0.013017732
139320	12007	0.000127916
139320	15105	0.014689182
139323	12007	0.002060407
139323	12031	0.000702705
139324	12007	0.008309124
139324	12031	0.254900283
139325	12031	0.063676455
139326	12031	0.062583851
139327	12031	0.07637388
139328	12031	0.042443311
139330	12058	0.025998938
139331	12058	0.048183473
139333	12058	5.32739E-06
139334	12058	0.006479505
139335	12058	0.01670493
139336	12037	0.007521887
139336	12058	0.01712718
139337	12037	0.044347359
139337	12058	0.001654739
139338	12037	0.336310389
139338	12058	1.8026E-05
139339	12037	0.125740591
139339	12058	0.000567141
139341	12055	0.022858231
139341	12058	0.007084478
139342	12055	0.050594
139343	12055	0.050594
139344	12035	0.002432139
139344	12055	0.043124665
139345	12035	0.020151775
139345	12055	0.018425479
139346	12015	0.002893689
139346	12035	0.030865785
139347	12015	0.018103565
139347	12035	0.020770038
139348	12015	0.011076272
139348	12035	0.009640836
139349	12015	0.051935552
139349	12035	1.85406E-05
139350	12015	0.07525208
139350	12034	0.000116782
139351	12015	0.007039411
139351	12034	0.006819419
139352	12015	0.002001344
139352	12034	0.058492031
139353	12034	0.060233831
139354	12034	0.060233831
139355	12034	0.060233831
139356	12034	0.008404008
139357	12034	0.009766686
139358	12034	0.009221429
139359	12034	0.005606453
139360	12034	0.007221263
139361	12034	0.009766686
139362	12034	0.003575114
139362	17025	0.012495105
139363	17025	0.019709982
139364	17025	0.01404699
139364	21087	0.005683476
139365	17025	0.002694493
139365	21087	0.385472431
139366	21087	0.020141318
139367	21087	0.01339155
139368	21087	0.018849155
139369	21087	0.021091632
139370	21087	0.020920069
139371	21087	0.014144972
139371	21160	0.030055841
139372	21073	0.022203562
139372	21087	0.015257151
139372	21160	0.012302062
139373	21047	0.001350755
139373	21073	0.133313464
139373	21087	1.87434E-05
139374	21047	0.000752827
139374	21073	0.001107146
139375	21073	0.013315405
139376	21073	0.011731196
139377	21047	0.010588932
139377	21073	0.171696665
139378	21047	0.014747093
139379	21047	0.007991155
139380	21047	0.07898895
139381	21047	0.061120752
139381	21085	0.02742664
139382	21047	0.003941198
139382	21085	0.015946537
139383	21085	0.022496115
139384	21085	0.027642005
139384	21157	0.000234981
139385	21085	0.011878748
139385	21157	0.02585162
139386	21085	0.000198684
139386	21157	0.029185375
139387	21157	0.009121691
139388	21157	0.010820174
139389	21157	0.015527422
139390	21157	0.019301339
139391	21157	0.031839565
139392	21157	0.040129405
139393	21042	0.005592644
139393	21157	0.027216701
139394	21042	0.033260456
139394	21147	0.012940493
139394	21157	0.010419293
139395	21003	0.002008661
139395	21147	0.094253309
139395	21157	4.07111E-07
139396	21003	0.005168603
139396	21147	0.021083661
139397	21147	0.042690394
139398	21147	0.036349707
139399	21003	4.31503E-05
139399	21147	0.041541553
139400	21147	0.045262992
139401	21147	0.039629625
139401	21169	0.021108092
139402	21147	0.000404488
139402	21169	0.096191841
139403	21169	0.051456889
139404	21037	0.052921778
139404	21169	0.030729792
139404	21190	0.001394225
139405	21037	0.044558178
139405	21169	0.027300779
139405	21190	0.113239865
139406	21037	0.017876369
139406	21190	0.224943817
139407	21037	0.114451185
139407	21190	0.011943651
139408	21018	0.007557385
139408	21037	0.041019478
139409	21018	0.00806363
139410	21018	0.002666269
139411	21018	0.022456284
139412	21018	0.012155988
140369	12027	0.008118007
140370	12027	0.016023034
140370	12064	0.025379478
140371	12064	0.057643993
140372	12064	0.026826662
140373	12064	0.042686815
140374	12064	0.04329157
140375	12064	0.018991631
140375	15105	0.010258959
140376	12064	0.002960967
140376	15105	0.015377906
140377	15105	0.016442983
140378	15105	0.016203741
140379	12007	0.00165287
140379	15105	0.025491415
140380	12007	0.001608176
140380	15105	0.009745624
140381	12031	0.017453236
140381	15105	0.000797524
140382	12031	0.00048097
140383	12031	0.026747035
140384	12031	0.050809156
140385	12031	0.010283391
140386	12031	0.068112207
140387	12031	0.061570842
140387	12058	0.000872428
140388	12031	0.015148837
140388	12058	0.030002632
140389	12058	0.011643104
140390	12058	0.008463143
140393	12058	0.000333141
140394	12037	0.002156813
140394	12047	0.002268388
140394	12058	0.017958666
140395	12037	0.023085546
140395	12058	0.057578545
140396	12037	0.047409021
140397	12037	0.024570078
140398	12037	0.017299655
140399	12037	0.000125287
140399	12055	0.004131589
140400	12055	0.027923021
140400	12058	0.001008514
140401	12055	0.03522676
140402	12055	0.047653871
140403	12055	0.0444106
140404	12035	0.000286219
140404	12055	0.044041529
140405	12015	0.001925855
140405	12035	0.015404414
140405	12055	0.012658899
140406	12015	0.037334139
140407	12015	0.03625472
140408	12015	0.019811962
140409	12015	0.037334139
140410	12015	0.037334139
140411	12015	0.041173453
140411	12034	0.024399945
140412	12015	0.057225079
140412	12034	0.010429969
140413	12015	0.025605953
140413	12034	0.037948578
140414	12034	0.008404008
140415	12034	0.008404008
140416	12034	0.009621415
140417	12034	0.009304714
140417	17025	0.000166331
140418	12034	0.009766686
140419	12034	0.009369041
140419	17025	0.00080248
140420	12034	0.003415314
140420	17025	0.012817595
140421	12034	9.24563E-06
140421	17025	0.019691323
140422	17025	0.019709982
140423	17025	0.019709982
140424	17025	0.014530673
140424	21087	0.005185646
140425	17025	0.004338141
140425	21087	0.015708241
140426	17025	0.000862489
140426	21087	0.013885876
140426	21160	0.027183576
140427	21087	0.00565604
140427	21160	0.066784572
140428	21087	0.013955141
140428	21160	0.030877174
140429	21087	0.009899431
140429	21160	3.88039E-06
140430	21087	0.009231842
140430	21160	0.032403044
140431	21073	0.095305312
140431	21160	0.036432813
140432	21073	0.15471887
140434	21047	4.08243E-05
140434	21073	0.004334048
140435	21047	0.008201775
140435	21073	0.000863208
140436	21047	0.016209894
140437	21047	0.010735835
140437	21051	0.018025663
140438	21047	0.013632889
140438	21051	0.003985472
140439	21047	0.013033712
140439	21051	0.000690478
140439	21085	0.013708476
