GRIDCODE	CVE_ENTCVE_MUN	fbosque
132957	12067	0.011178703
132958	12003	0.004870835
132958	12067	0.045034412
132959	12067	0.051797292
132960	12003	0.016952649
132960	12067	0.181591261
132961	12003	0.002245704
132961	12067	0.012877504
132962	12003	0.00118197
132962	12067	0.062074886
132963	12003	0.011993696
132963	12067	0.040996024
132964	12003	0.009713707
132964	12007	0.002476085
132964	12067	0.028368659
132965	12007	0.006308975
132966	12007	0.00357273
132967	12007	0.032799478
132968	12007	0.014990248
132969	12007	0.027607725
132970	12007	0.027607725
132971	12007	0.041358822
132972	12007	0.041358822
132973	12007	0.014137835
132973	12058	0.034649263
132974	12058	0.052645142
132975	12006	0.00561753
132975	12058	0.012038552
132976	12006	0.010336044
132976	12058	0.014105384
132977	12006	0.003422111
132977	12058	0.003989789
132978	12006	0.008111426
132978	12058	0.005122965
132979	12006	0.000759838
132979	12026	0.00155458
132979	12058	0.02329856
132980	12026	0.025078933
132980	12058	0.003948082
132981	12026	0.042968324
132981	12058	0.009947214
132982	12058	0.020569554
132983	12026	0.001352481
132983	12058	0.002739144
132984	12026	0.027852693
132985	12017	0.000103455
132985	12026	0.005219866
132986	12017	0.002626738
132987	12017	0.000726536
132988	12017	0.166097275
132988	12035	0.00853006
132989	12017	0.02759332
132989	12035	0.003187243
132990	12017	0.026737221
132990	12035	0.010636072
132991	12035	0.014907233
132993	12035	0.017573638
132994	12035	0.005757943
132994	12059	0.012971759
132995	12059	0.013751456
132996	12059	0.004814829
132997	12059	0.011759218
132998	12034	8.76398E-05
132999	12034	0.001345511
133000	12034	0.007748509
133001	12034	0.009766686
133002	12034	0.008800426
133003	12034	0.000722291
133004	12008	0.000958379
133004	12034	0.000311104
133005	12008	0.016081986
133005	12034	0.00101696
133006	12008	0.022540133
133006	12034	0.00050797
133007	12008	0.023255142
133007	12034	0.000415404
133008	12008	0.02427841
133008	12034	3.93031E-06
133009	12008	0.021502274
133009	12034	1.69905E-05
133010	12008	0.021539745
133011	12008	0.103190456
133011	21087	0.068657896
133012	21087	0.011247042
133013	21087	0.018539583
133014	21087	0.020213634
133015	21087	0.018490689
133016	21032	0.013304055
133016	21087	0.014397287
133017	21032	0.009840294
133018	21032	0.050974183
133019	21032	0.044825067
133019	21047	0.001967375
133020	21032	0.000968615
133020	21047	0.014555917
133021	21047	0.005545846
133022	21047	0.012351204
133023	21047	0.016308905
133024	21047	0.016308905
133025	21047	0.016308905
133026	21047	0.016308905
133027	21047	0.016308905
133028	21047	0.016308905
133029	21047	0.011952771
133029	21056	0.017070579
133030	21024	0.000544982
133030	21047	0.000187986
133030	21056	0.062523695
