GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMZ
133036,-98.286348,18.205999,6,0,2892321.7742,695649.0616,14
133037,-98.257964,18.205294,6,2826,2895321.7742,695649.0616,14
133038,-98.229579,18.204583,6,857,2898321.7742,695649.0616,14
133039,-98.201195,18.203867,6,131,2901321.7742,695649.0616,14
133040,-98.172812,18.203146,6,131,2904321.7742,695649.0616,14
133041,-98.144428,18.202419,6,261,2907321.7742,695649.0616,14
133042,-98.116045,18.201687,6,795,2910321.7742,695649.0616,14
133043,-98.087662,18.200949,6,52,2913321.7742,695649.0616,14
133044,-98.059280,18.200207,6,10804,2916321.7742,695649.0616,14
133045,-98.030897,18.199458,6,4369,2919321.7742,695649.0616,14
133046,-98.002515,18.198705,6,4369,2922321.7742,695649.0616,14
133047,-97.974134,18.197946,6,4369,2925321.7742,695649.0616,14
133048,-97.945752,18.197182,6,4369,2928321.7742,695649.0616,14
133049,-97.917371,18.196412,6,210,2931321.7742,695649.0616,14
133050,-97.888991,18.195637,6,773,2934321.7742,695649.0616,14
133051,-97.860610,18.194856,6,773,2937321.7742,695649.0616,14
133052,-97.832230,18.194071,6,773,2940321.7742,695649.0616,14
133053,-97.803851,18.193279,6,208,2943321.7742,695649.0616,14
133054,-97.775471,18.192483,6,208,2946321.7742,695649.0616,14
133055,-97.747092,18.191681,6,120,2949321.7742,695649.0616,14
133056,-97.718714,18.190874,6,107,2952321.7742,695649.0616,14
133057,-97.690335,18.190061,6,1776,2955321.7742,695649.0616,14
133058,-97.661957,18.189243,6,172,2958321.7742,695649.0616,14
134013,-100.614402,18.272694,6,3805,2646321.7742,698649.0616,14
134014,-100.585995,18.272429,6,3094,2649321.7742,698649.0616,14
134015,-100.557588,18.272159,6,2188,2652321.7742,698649.0616,14
134016,-100.529182,18.271883,6,1817,2655321.7742,698649.0616,14
134017,-100.500776,18.271602,6,882,2658321.7742,698649.0616,14
134018,-100.472369,18.271316,6,936,2661321.7742,698649.0616,14
134019,-100.443963,18.271024,6,936,2664321.7742,698649.0616,14
134020,-100.415557,18.270727,6,936,2667321.7742,698649.0616,14
134021,-100.387151,18.270424,6,3093,2670321.7742,698649.0616,14
134022,-100.358745,18.270116,6,3093,2673321.7742,698649.0616,14
134023,-100.330340,18.269803,6,3093,2676321.7742,698649.0616,14
134024,-100.301934,18.269485,6,193,2679321.7742,698649.0616,14
134025,-100.273529,18.269161,6,175,2682321.7742,698649.0616,14
134026,-100.245123,18.268831,6,5,2685321.7742,698649.0616,14
134027,-100.216718,18.268496,6,5,2688321.7742,698649.0616,14
134028,-100.188313,18.268156,6,114,2691321.7742,698649.0616,14
134029,-100.159908,18.267811,6,36,2694321.7742,698649.0616,14
134030,-100.131504,18.267460,6,265,2697321.7742,698649.0616,14
134031,-100.103099,18.267104,6,343,2700321.7742,698649.0616,14
134032,-100.074695,18.266742,6,2,2703321.7742,698649.0616,14
134033,-100.046290,18.266375,6,560,2706321.7742,698649.0616,14
134034,-100.017886,18.266003,6,277,2709321.7742,698649.0616,14
134035,-99.989482,18.265625,6,56,2712321.7742,698649.0616,14
134036,-99.961078,18.265242,6,302,2715321.7742,698649.0616,14
134037,-99.932675,18.264853,6,357,2718321.7742,698649.0616,14
134038,-99.904271,18.264459,6,405,2721321.7742,698649.0616,14
134039,-99.875868,18.264060,6,405,2724321.7742,698649.0616,14
134040,-99.847465,18.263656,6,1141,2727321.7742,698649.0616,14
134041,-99.819062,18.263246,6,94,2730321.7742,698649.0616,14
134042,-99.790659,18.262830,6,94,2733321.7742,698649.0616,14
134043,-99.762256,18.262409,6,1982,2736321.7742,698649.0616,14
134044,-99.733854,18.261983,6,1982,2739321.7742,698649.0616,14
134045,-99.705452,18.261552,6,1982,2742321.7742,698649.0616,14
134046,-99.677050,18.261115,6,376,2745321.7742,698649.0616,14
134047,-99.648648,18.260673,6,405,2748321.7742,698649.0616,14
134048,-99.620246,18.260225,6,21,2751321.7742,698649.0616,14
134049,-99.591844,18.259772,6,256,2754321.7742,698649.0616,14
134050,-99.563443,18.259314,6,332,2757321.7742,698649.0616,14
134051,-99.535042,18.258850,6,1883,2760321.7742,698649.0616,14
134052,-99.506641,18.258381,6,20,2763321.7742,698649.0616,14
134053,-99.478240,18.257906,6,1251,2766321.7742,698649.0616,14
134054,-99.449839,18.257427,6,3,2769321.7742,698649.0616,14
134055,-99.421439,18.256941,6,3,2772321.7742,698649.0616,14
134056,-99.393039,18.256451,6,405,2775321.7742,698649.0616,14
134057,-99.364639,18.255955,6,336,2778321.7742,698649.0616,14
134058,-99.336239,18.255453,6,336,2781321.7742,698649.0616,14
134059,-99.307840,18.254947,6,25,2784321.7742,698649.0616,14
134060,-99.279440,18.254435,6,216,2787321.7742,698649.0616,14
134061,-99.251041,18.253917,6,2,2790321.7742,698649.0616,14
134062,-99.222642,18.253394,6,2,2793321.7742,698649.0616,14
134063,-99.194243,18.252866,6,1194,2796321.7742,698649.0616,14
134064,-99.165845,18.252333,6,7,2799321.7742,698649.0616,14
134065,-99.137447,18.251794,6,7,2802321.7742,698649.0616,14
134066,-99.109049,18.251249,6,7,2805321.7742,698649.0616,14
134067,-99.080651,18.250700,6,7,2808321.7742,698649.0616,14
134068,-99.052253,18.250145,6,84,2811321.7742,698649.0616,14
134069,-99.023856,18.249584,6,84,2814321.7742,698649.0616,14
134070,-98.995459,18.249018,6,135,2817321.7742,698649.0616,14
134071,-98.967062,18.248447,6,5,2820321.7742,698649.0616,14
134072,-98.938665,18.247871,6,1335,2823321.7742,698649.0616,14
134073,-98.910269,18.247289,6,1335,2826321.7742,698649.0616,14
134074,-98.881873,18.246701,6,1335,2829321.7742,698649.0616,14
134075,-98.853477,18.246109,6,1335,2832321.7742,698649.0616,14
134076,-98.825081,18.245511,6,1335,2835321.7742,698649.0616,14
134077,-98.796686,18.244907,6,142,2838321.7742,698649.0616,14
134078,-98.768290,18.244298,6,142,2841321.7742,698649.0616,14
134079,-98.739896,18.243684,6,142,2844321.7742,698649.0616,14
134080,-98.711501,18.243065,6,965,2847321.7742,698649.0616,14
134081,-98.683107,18.242440,6,965,2850321.7742,698649.0616,14
134082,-98.654712,18.241810,6,2,2853321.7742,698649.0616,14
134083,-98.626318,18.241174,6,2,2856321.7742,698649.0616,14
134084,-98.597925,18.240533,6,2,2859321.7742,698649.0616,14
134085,-98.569532,18.239887,6,4,2862321.7742,698649.0616,14
134086,-98.541138,18.239235,6,4,2865321.7742,698649.0616,14
134087,-98.512746,18.238578,6,4,2868321.7742,698649.0616,14
134088,-98.484353,18.237915,6,4,2871321.7742,698649.0616,14
134089,-98.455961,18.237247,6,4,2874321.7742,698649.0616,14
