GRIDCODE	CVE_ENTMUN	Fpav
419960	19009	0.036950005
419961	19009	0.042321862
419962	19009	0.019734591
419963	19009	0.049161145
419964	19009	0.035002888
419965	19009	0.035271403
419966	19009	0.03525409
419967	19009	0.034784484
419968	19009	0.034096736
419969	19009	0.034095305
419970	19009	0.001138749
419970	19042	0.066906335
419971	19042	0.077296119
419972	19042	0.03813551
419973	19042	0.068628104
420983	5027	0.025760681
420994	5027	0.007059696
420994	19018	0.01612701
420995	19018	0.028075175
420996	19018	0.020755404
421006	19019	0.037671023
421010	19039	0.064984585
421011	19039	0.005790027
421013	19026	0.00249288
421014	19026	0.041137499
421014	19031	0.005711984
421016	19031	0.050978108
421017	19031	0.135433075
421018	19031	0.117770254
421019	19009	0.016246048
421019	19031	0.001138165
421022	19009	0.017481326
421028	19042	0.021659425
421029	19042	0.025506105
421031	19042	0.076511547
421032	19042	0.075163683
422042	5027	0.014298736
422055	19018	0.022309849
422056	19018	0.02668229
422057	19018	0.031460255
422062	19048	0.01409341
422063	19048	0.096555208
422064	19048	0.107230456
422065	19019	0.534877237
422065	19048	0.016890937
422066	19019	0.387083389
422066	19039	0.002088091
422067	19019	0.040368352
422067	19039	0.02946266
422068	19039	0.02996857
422069	19039	0.106521349
422070	19026	0.096798872
422070	19039	0.020523646
422071	19026	0.049478439
422072	19026	0.049838751
422073	19026	0.075203627
422074	19026	0.022771263
422074	19031	0.027927203
422075	19026	0.012976028
422075	19031	0.085482031
422076	19031	0.249133654
422077	19031	0.014842675
422081	19009	0.01750622
422087	19042	0.044272438
422091	19042	0.102312671
423101	5027	0.012284234
423116	19018	0.013313804
423116	19048	0.019968184
423117	19018	0.003660249
423117	19048	0.085222903
423118	19048	0.08683187
423119	19018	0.025353873
423119	19048	0.13059717
423120	19048	0.097313459
423121	19048	0.110065116
423122	19048	0.053463545
423123	19048	0.021764336
423127	19039	0.043895666
423128	19039	0.058253874
423128	19046	0.008305449
423129	19026	0.031695661
423129	19046	0.019963093
423130	19026	0.197592152
423131	19026	0.164396958
423132	19006	0.017354602
423132	19026	0.13262304
423133	19006	0.021235596
423133	19026	0.10738211
423134	19006	0.009015615
423134	19026	0.013855707
423134	19031	0.015735417
423134	19041	0.036038419
423135	19031	0.061383643
423140	19009	0.008019842
423140	19041	0.023590706
423145	19041	0.036732153
423145	19042	0.003628847
423146	19042	0.011158465
423150	19042	0.033845686
424160	5027	0.027109
424178	19018	0.006710708
424179	19018	0.081704749
424179	19048	0.071393679
424180	19048	0.071520724
424181	19048	0.001685226
424184	19039	0.030319402
424185	19039	0.096330661
424186	19039	0.026245366
424187	19039	0.000742073
424187	19046	0.167541978
424188	19046	0.127653653
424189	19026	0.001757013
424189	19046	0.055984893
424190	19006	0.010632134
424190	19046	0.186015704
424191	19006	0.025899292
424192	19041	0.010776754
424193	19006	0.01787466
424193	19041	0.111755009
424194	19041	0.035879251
424199	19041	0.01674248
424200	19041	0.02679104
424203	19041	0.045590866
424204	19041	0.024225771
424209	19042	0.033858809
425219	5027	0.025431984
425237	19018	0.007411633
425238	19018	0.039892402
425239	19018	0.099376371
425239	19048	0.015403778
425240	19018	0.00972614
425242	19039	0.039058358
425243	19039	0.05657632
425244	19039	0.031593654
425245	19021	0.003593078
425245	19046	0.022149225
425246	19021	0.012087658
425246	19046	0.341641274
425248	19006	0.030744863
425248	19046	0.065880514
425249	19006	0.070540266
425250	19006	0.026659757
425251	19006	0.047548356
425251	19041	0.018564941
425253	19041	0.025259424
425254	19041	0.033615117
425256	19041	0.023326478
425257	19041	0.04439027
425258	19041	0.044178361
425259	19041	0.062880776
425260	19041	0.043401377
425261	19016	0.047537299
425261	19041	0.049327912
425262	19041	0.014183052
425268	19042	0.017607452
426278	5027	0.026792266
426295	19018	0.012869279
426296	19018	0.02321878
426299	19018	0.106259329
426300	19018	0.084413741
426301	19018	0.020396433
426301	19039	0.013941074
426302	19039	0.032520996
426304	19021	0.051558371
426305	19021	0.069187737
426305	19046	0.004864216
426307	19006	0.024891835
426308	19006	0.034944255
426309	19006	0.126120757
426310	19006	0.067816447
426311	19006	0.012446534
426312	19041	0.008393606
426313	19041	0.08594331
426314	19041	0.04958547
426315	19041	0.022767373
426320	19016	0.065974236
426327	19042	0.006995411
427337	5027	0.008899091
427353	19018	0.008380209
427354	19018	0.061771933
427355	19018	0.001528527
427359	19018	0.059137126
427360	19018	0.004678851
427360	19021	0.094080519
427361	19021	0.132354614
427361	19039	0.001252726
427362	19021	0.055920775
427363	19021	0.044284153
427364	19021	0.098685953
427366	19006	0.024547709
427367	19006	0.04195722
427368	19006	0.044819936
427369	19006	0.032435285
427370	19006	0.019639441
427370	19041	0.018662363
427371	19041	0.08325893
427372	19034	0.021711011
427372	19041	0.004138791
427378	19016	0.068935007
427379	19016	0.008289227
427386	19042	0.034507477
428410	19018	6.38673E-05
428411	19018	0.031971208
428412	19018	0.018719938
428414	19018	0.026347341
428415	19018	0.005560912
428419	19021	0.039007828
428420	19021	0.002184742
428421	19021	0.066347298
428422	19010	0.001634468
428422	19021	0.106203612
428423	19021	0.132725387
428424	19006	0.075526612
428424	19021	0.033871917
428425	19006	0.084856678
428426	19006	0.053585171
428428	19006	0.024694617
428428	19025	0.003329862
428431	19034	0.123575702
428432	19034	0.018609763
428435	19016	0.022499986
428436	19016	0.064404726
428437	19016	0.009566527
428444	19042	0.008531984
428445	19042	0.049873429
429469	19018	0.026328382
429476	19018	0.00880122
429477	19018	0.004612053
429477	19021	0.031445972
429478	19021	0.026460386
429480	19010	0.008668737
429481	19010	0.148412941
429483	19006	0.010817453
429484	19006	0.039753746
429484	19025	0.116286606
429487	19025	0.052287902
429488	19025	0.056427229
429489	19034	0.006297213
429491	19034	0.248963759
429492	19034	0.1150186
429493	19016	0.047996886
429493	19034	0.01876941
429494	19016	0.12026778
429495	19016	0.005447076
429503	19042	0.043246304
430528	19018	0.026034917
430539	19010	0.181307415
430542	19006	0.003641162
430542	19045	0.024895343
430543	19025	0.099686258
430544	19025	0.059821267
430546	19025	0.067915726
430547	19025	0.234226684
430548	19025	0.080253102
430548	19034	0.031429551
430549	19034	0.109367707
430550	19034	0.201303877
430551	19034	0.020791281
430554	19016	0.080796068
430555	19016	0.056310222
430556	19016	0.057173844
430557	19016	0.057819226
430558	19016	0.008023166
430561	19016	0.009011939
430561	19042	0.037458599
430562	19042	0.003554149
431573	5027	0.037402361
431574	5027	0.025713001
431575	5027	0.012387923
431586	19018	0.013882368
431587	19018	0.022463671
431597	19001	0.100108538
431597	19010	0.080708678
431598	19010	0.25537306
431601	19045	0.029180725
431603	19012	0.145888603
431603	19025	0.080805408
431604	19025	0.108492376
431605	19025	0.040467581
431610	19028	0.15026504
431610	19034	0.084162126
431617	19016	0.047910794
431618	19016	0.063242173
431619	19016	0.074626524
431619	19042	0.002782004
431620	19016	0.009668243
431620	19042	0.001023311
432634	5027	0.013834036
432635	5027	0.025896075
432636	5027	0.025750211
432637	5027	0.02580077
432638	5027	0.003714322
432654	19047	0.006855574
432655	19001	0.540702857
432655	19047	0.039197604
432656	19001	0.27593601
432656	19010	0.057532333
432657	19010	0.179047213
432658	19010	0.087315155
432658	19045	0.013569264
432659	19045	0.028002769
432660	19045	0.005791709
432662	19012	0.027849868
432663	19012	0.218192134
432668	19028	0.292283952
432669	19028	0.26412512
432678	19016	0.070697851
432679	19011	0.00123481
432679	19016	0.003801198
433713	19047	0.537780421
433714	19001	0.083252595
433717	19045	0.000699535
433718	19045	0.042088754
433722	19012	0.080777249
433723	19012	0.161688339
433727	19028	0.116984116
433738	19011	0.098640528
434768	19037	0.013543404
434769	19037	0.036969555
434770	19037	0.035761673
434771	19037	0.00297958
434771	19047	0.365028547
434772	19047	0.051137854
