GRIDCODE,LONG,LATITUDE,Huso,POB,UTMX,UTMY,UTMZ
401951,-100.212353,25.153634,6,8,2679321.77420,1457649.06160,14
401952,-100.182449,25.153292,6,0,2682321.77420,1457649.06160,14
401953,-100.152546,25.152944,6,89,2685321.77420,1457649.06160,14
401954,-100.122643,25.15259,6,0,2688321.77420,1457649.06160,14
401955,-100.09274,25.152231,6,0,2691321.77420,1457649.06160,14
401956,-100.062837,25.151867,6,0,2694321.77420,1457649.06160,14
401957,-100.032934,25.151496,6,0,2697321.77420,1457649.06160,14
401958,-100.003031,25.15112,6,0,2700321.77420,1457649.06160,14
401959,-99.973129,25.150738,6,0,2703321.77420,1457649.06160,14
401960,-99.943226,25.150351,6,136,2706321.77420,1457649.06160,14
401961,-99.913324,25.149957,6,22,2709321.77420,1457649.06160,14
401962,-99.883422,25.149559,6,14,2712321.77420,1457649.06160,14
401963,-99.853521,25.149154,6,21,2715321.77420,1457649.06160,14
401964,-99.823619,25.148744,6,126,2718321.77420,1457649.06160,14
401965,-99.793718,25.148328,6,19,2721321.77420,1457649.06160,14
401966,-99.763816,25.147906,6,0,2724321.77420,1457649.06160,14
401967,-99.733916,25.147479,6,0,2727321.77420,1457649.06160,14
401968,-99.704015,25.147046,6,0,2730321.77420,1457649.06160,14
401969,-99.674114,25.146608,6,0,2733321.77420,1457649.06160,14
401970,-99.644214,25.146163,6,0,2736321.77420,1457649.06160,14
402980,-101.109337,25.188477,6,0,2589321.77420,1460649.06160,14
402981,-101.079423,25.188305,6,1481,2592321.77420,1460649.06160,14
402982,-101.04951,25.188127,6,35,2595321.77420,1460649.06160,14
402983,-101.019597,25.187944,6,0,2598321.77420,1460649.06160,14
402984,-100.989684,25.187755,6,17,2601321.77420,1460649.06160,14
402985,-100.959771,25.18756,6,0,2604321.77420,1460649.06160,14
402986,-100.929858,25.18736,6,0,2607321.77420,1460649.06160,14
402987,-100.899945,25.187154,6,0,2610321.77420,1460649.06160,14
402988,-100.870032,25.186943,6,4,2613321.77420,1460649.06160,14
402989,-100.840119,25.186725,6,9,2616321.77420,1460649.06160,14
402990,-100.810207,25.186502,6,41,2619321.77420,1460649.06160,14
402991,-100.780294,25.186274,6,4,2622321.77420,1460649.06160,14
402992,-100.750382,25.186039,6,1,2625321.77420,1460649.06160,14
402993,-100.72047,25.185799,6,774,2628321.77420,1460649.06160,14
402994,-100.690557,25.185554,6,2,2631321.77420,1460649.06160,14
402995,-100.660645,25.185302,6,0,2634321.77420,1460649.06160,14
402996,-100.630733,25.185045,6,0,2637321.77420,1460649.06160,14
402997,-100.600822,25.184783,6,0,2640321.77420,1460649.06160,14
402998,-100.57091,25.184514,6,0,2643321.77420,1460649.06160,14
402999,-100.540998,25.18424,6,0,2646321.77420,1460649.06160,14
403000,-100.511087,25.183961,6,0,2649321.77420,1460649.06160,14
403001,-100.481176,25.183675,6,91,2652321.77420,1460649.06160,14
403002,-100.451265,25.183384,6,47,2655321.77420,1460649.06160,14
403003,-100.421354,25.183087,6,8,2658321.77420,1460649.06160,14
403004,-100.391443,25.182785,6,208,2661321.77420,1460649.06160,14
403005,-100.361532,25.182477,6,0,2664321.77420,1460649.06160,14
403006,-100.331621,25.182163,6,0,2667321.77420,1460649.06160,14
403007,-100.301711,25.181844,6,0,2670321.77420,1460649.06160,14
403008,-100.2718,25.181518,6,0,2673321.77420,1460649.06160,14
403009,-100.24189,25.181188,6,35,2676321.77420,1460649.06160,14
403010,-100.21198,25.180851,6,224,2679321.77420,1460649.06160,14
403011,-100.18207,25.180509,6,69,2682321.77420,1460649.06160,14
403012,-100.152161,25.180161,6,0,2685321.77420,1460649.06160,14
403013,-100.122251,25.179808,6,0,2688321.77420,1460649.06160,14
