GRIDCODE,ID,furb,frural,FpoT, PobUrb, PobR,PobU+R, PobT
0,frac,,,,,,,
405118,5004,0,0.0114443,0.011444287,0,258,258,22544
405119,5004,0,0.0013751,0.001375089,0,31,31,22544
405120,5004,0,0.004835,0.004834989,0,109,109,22544
405121,5004,0,0.00967,0.009669979,0,218,218,22544
405122,5004,0,0.0004436,0.000443577,0,10,10,22544
405126,5004,0,0.003105,0.003105039,0,70,70,22544
405127,5004,0,0.0015082,0.001508162,0,34,34,22544
405127,19043,0,0.0092633,0.009263344,0,21,21,2267
405128,19043,0,0.0088222,0.008822232,0,20,20,2267
405129,19043,0,0.0352889,0.035288928,0,80,80,2267
405130,19038,0,0.0018947,0.001894676,0,112,112,59113
405133,19038,0,0.0000677,6.77E-05,0,4,4,59113
405134,19038,0,0.0007613,0.000761254,0,45,45,59113
405135,19038,0,0.0055149,0.005514861,0,326,326,59113
405136,19038,0,0.0018101,0.001810093,0,107,107,59113
405137,19038,0,0.0329708,0.032970751,0,1949,1949,59113
405138,19038,0,0.0011165,0.001116506,0,66,66,59113
405139,19038,0,0.0039078,0.00390777,0,231,231,59113
405140,19038,0,0.0060224,0.006022364,0,356,356,59113
405141,19038,0,0.0030112,0.003011182,0,178,178,59113
405142,19038,0,0.003248,0.003248017,0,192,192,59113
405143,19022,0,0.0004849,0.000484865,0,7,7,14437
405143,19038,0,0.0021315,0.002131511,0,126,126,59113
405144,19022,0,0.0288841,0.028884117,0,417,417,14437
405144,19038,0,0.0021653,0.002165344,0,128,128,59113
405145,19022,0,0.004156,0.004155988,0,60,60,14437
405146,19022,0,0.0013853,0.001385329,0,20,20,14437
405147,19022,0,0.0003463,0.000346332,0,5,5,14437
406160,5030,0,0.0000648,6.48E-05,0,47,47,725123
406167,5004,0,0.0065206,0.006520582,0,147,147,22544
406168,5004,0,0.0189407,0.018940738,0,427,427,22544
406169,5004,0,0.0002218,0.000221789,0,5,5,22544
406173,5004,0,0.0001774,0.000177431,0,4,4,22544
406174,5004,0,0.0088272,0.008827182,0,199,199,22544
406175,5004,0,0.1082771,0.108277147,0,2441,2441,22544
406176,5004,0,0.0068754,0.006875444,0,155,155,22544
406180,5004,0,0.0022179,0.002217885,0,50,50,22544
406184,5004,0,0.0045245,0.004524485,0,102,102,22544
406185,5004,0,0.0002218,0.000221789,0,5,5,22544
406186,19049,0,0.0004201,0.000420075,0,17,17,40469
406187,19043,0,0.0035289,0.003528893,0,8,8,2267
406187,19049,0,0.0007166,0.000716598,0,29,29,40469
406189,19049,0,0.0025699,0.002569868,0,104,104,40469
406193,19004,0.0123646,0.0084681,0.020832694,403,276,679,32593
406193,19038,0,0.0027574,0.002757431,0,163,163,59113
406194,19038,0,0.0094903,0.009490298,0,561,561,59113
406194,19004,0.1249348,0,0.124934802,4072,0,4072,32593
406195,19004,0,0.0001534,0.000153407,0,5,5,32593
406195,19038,0,0.0011165,0.001116506,0,66,66,59113
406196,19038,0,0.0050581,0.005058109,0,299,299,59113
406198,19038,0,0.0001184,0.000118417,0,7,7,59113
406199,19038,0,0.0018101,0.001810093,0,107,107,59113
406200,19038,0,0.0057009,0.005700946,0,337,337,59113
406201,19038,0,0.0002368,0.000236835,0,14,14,59113
406202,19022,0,0.0008312,0.000831198,0,12,12,14437
406202,19038,0,0.0007105,0.000710504,0,42,42,59113
406203,19022,0,0.032763,0.032763039,0,473,473,14437
406204,19022,0.1640923,0.0165547,0.180646949,2369,239,2608,14437
406205,19022,0.2706241,0.0064418,0.277065872,3907,93,4000,14437
406206,19022,0,0.0311006,0.031100644,0,449,449,14437
407216,5030,0,0.0000041,4.14E-06,0,3,3,725123
407217,5030,0,0.0003448,0.000344769,0,250,250,725123
407220,5030,0,0.0000083,8.27E-06,0,6,6,725123
407221,5030,0,0.0002331,0.000233064,0,169,169,725123
407225,5004,0,0.0000887,8.87E-05,0,2,2,22544
407226,5004,0,0.0137952,0.013795245,0,311,311,22544
407227,5004,0,0.0002661,0.000266146,0,6,6,22544
407229,5004,0,0.0000444,4.44E-05,0,1,1,22544
407230,5004,0,0.0000887,8.87E-05,0,2,2,22544
407231,5004,0,0.0023953,0.002395316,0,54,54,22544
407232,5004,0,0.0026171,0.002617104,0,59,59,22544
407234,5004,0,0.0001331,0.000133073,0,3,3,22544
407239,5004,0,0.0003105,0.000310504,0,7,7,22544
407240,5004,0,0.0003992,0.000399219,0,9,9,22544
407241,5004,0,0.0021292,0.00212917,0,48,48,22544
407242,5004,0,0.0050124,0.00501242,0,113,113,22544
407243,5004,0,0.0007097,0.000709723,0,16,16,22544
407244,5004,0,0.0000887,8.87E-05,0,2,2,22544
407245,19049,0,0.0004695,0.000469495,0,19,19,40469
407248,19049,0,0.0000247,2.47E-05,0,1,1,40469
407251,19004,0.0032216,0.0085908,0.011812352,105,280,385,32593
407252,19004,0.5032983,0.0042954,0.507593655,16404,140,16544,32593
407253,19004,0.1056669,0.0134385,0.119105329,3444,438,3882,32593
407254,19004,0,0.0254042,0.025404228,0,828,828,32593
407255,19004,0,0.0134691,0.01346915,0,439,439,32593
407255,19038,0,0.0006259,0.00062592,0,37,37,59113
407256,19038,0,0.0002368,0.000236835,0,14,14,59113
407257,19038,0,0.0034003,0.003400267,0,201,201,59113
407258,19038,0,0.0001692,0.000169168,0,10,10,59113
407259,19038,0,0.0001523,0.000152251,0,9,9,59113
407260,19038,0,0.0001692,0.000169168,0,10,10,59113
407261,19022,0,0.0013161,0.001316063,0,19,19,14437
407262,19022,0,0.0016624,0.001662395,0,24,24,14437
407263,19022,0,0.0411443,0.041144282,0,594,594,14437
407264,19022,0.0039482,0.0011083,0.005056452,57,16,73,14437
407265,19022,0,0.0357415,0.035741498,0,516,516,14437
408275,5030,0,0.0000152,1.52E-05,0,11,11,725123
408276,5030,0,0.0000041,4.14E-06,0,3,3,725123
408282,5004,0,0.0151703,0.015170334,0,342,342,22544
408285,5004,0,0.0000444,4.44E-05,0,1,1,22544
408286,5004,0,0.0003992,0.000399219,0,9,9,22544
408287,5004,0,0.0011533,0.0011533,0,26,26,22544
408288,5004,0,0.0016856,0.001685593,0,38,38,22544
408289,5004,0,0.0033712,0.003371185,0,76,76,22544
408290,5004,0,0.0020405,0.002040454,0,46,46,22544
408291,5004,0,0.0062988,0.006298793,0,142,142,22544
408294,5004,0,0.0006654,0.000665366,0,15,15,22544
408295,5004,0,0.0008872,0.000887154,0,20,20,22544
408296,5004,0,0.001242,0.001242016,0,28,28,22544
408297,5004,0,0.0005323,0.000532292,0,12,12,22544
408304,19049,0,0.0012602,0.001260224,0,51,51,40469
408305,19049,0,0.0002224,0.000222392,0,9,9,40469
408307,19049,0,0.0001236,0.000123551,0,5,5,40469
408309,19004,0,0.0009204,0.000920443,0,30,30,32593
408310,19004,0,0.0219986,0.021998589,0,717,717,32593
408311,19004,0.0489369,0.0083454,0.057282239,1595,272,1867,32593
408312,19004,0.0012886,0.0379836,0.039272236,42,1238,1280,32593
408314,19004,0,0.0151873,0.01518731,0,495,495,32593
408314,19038,0,0.000812,0.000812004,0,48,48,59113
408315,19038,0,0.0017932,0.001793176,0,106,106,59113
408316,19038,0,0.0002368,0.000236835,0,14,14,59113
408317,19038,0,0.0024022,0.002402179,0,142,142,59113
408318,19038,0,0.0023853,0.002385262,0,141,141,59113
408319,19022,0,0.0007619,0.000761931,0,11,11,14437
408320,19022,0,0.0004156,0.000415599,0,6,6,14437
408321,19022,0,0.0351181,0.035118099,0,507,507,14437
408322,19022,0,0.0004156,0.000415599,0,6,6,14437
408323,19022,0,0.0004156,0.000415599,0,6,6,14437
409336,5030,0.0021072,0.0000303,0.002137568,1528,22,1550,725123
409337,5030,0.0291344,0.0000124,0.029146779,21126,9,21135,725123
409338,5030,0.0046847,0.0000041,0.00468886,3397,3,3400,725123
409339,5030,0.0000455,0,4.55E-05,33,0,33,725123
409342,5004,0,0.0045688,0.004568843,0,103,103,22544
409343,5004,0,0.0001331,0.000133073,0,3,3,22544
409344,5004,0,0.0003549,0.000354862,0,8,8,22544
409345,5004,0,0.0000444,4.44E-05,0,1,1,22544
409346,5004,0,0.0025284,0.002528389,0,57,57,22544
409347,5004,0,0.0092264,0.009226402,0,208,208,22544
409348,5004,0,0.0198279,0.019827892,0,447,447,22544
409349,5004,0,0.0233322,0.02333215,0,526,526,22544
409350,5004,0,0.0016412,0.001641235,0,37,37,22544
409352,5004,0,0.0001774,0.000177431,0,4,4,22544
409353,5004,0,0.0081618,0.008161817,0,184,184,22544
