GRIDCODE,CVE_ENTMUN,LON_Munic,Long_celda,CARRILES
400862,5030,864119.53,4121.17,1
400862,5030,864119.53,1996.4,1
400876,19017,1003527.78,6537.98,1
400877,19017,1003527.78,1504.27,1
400886,19017,1003527.78,4267.12,1
400887,19017,1003527.78,4553.69,1
400894,19043,130438.72,8203.13,1
400895,19043,130438.72,440.3,1
400900,19038,268632,1606.76,1
400901,19038,268632,12892.69,1
400905,19038,268632,676.41,1
400905,19038,268632,7911.14,1
400905,19038,268632,2007.65,1
400905,19038,268632,3912.09,1
400906,19038,268632,1486.16,1
400906,19038,268632,5976.59,1
401921,5030,864119.53,6576.14,1
401934,19017,1003527.78,5519.12,1
401935,19017,1003527.78,4457,1
401945,19017,1003527.78,7267.82,1
401952,19043,130438.72,2540.04,1
401953,19043,130438.72,5789.57,1
401960,19038,268632,3687.6,1
401961,19038,268632,2631.74,1
401963,19038,268632,11534.67,1
401964,19038,268632,863.21,1
401964,19038,268632,5201.09,1
401964,19038,268632,4517.11,1
401965,19038,268632,819.57,1
402980,5030,864119.53,1120.96,1
402981,5030,864119.53,4949.47,1
402992,19017,1003527.78,2430.4,1
402993,19017,1003527.78,172.1,1
402993,19017,1003527.78,10352.8,1
403002,19017,1003527.78,6215.24,1
403003,19017,1003527.78,6570.4,1
403004,19017,1003527.78,2061.48,1
403010,19043,130438.72,2154.6,1
403011,19043,130438.72,6487.14,1
403020,19038,268632,6039,1
403021,19038,268632,8933.74,1
403022,19038,268632,7947.11,1
403023,19038,268632,6317.79,1
403023,19038,268632,2428.33,1
404040,5030,864119.53,6000.15,1
404041,5030,864119.53,654.25,1
404042,5030,864119.53,1955.25,1
404049,5004,381838.5,359.76,1
404049,5004,381838.5,17.1,1
404049,5004,381838.5,201.17,1
404050,5004,381838.5,4058.67,1
404051,5004,381838.5,10624.65,1
404051,19017,1003527.78,5295.37,1
404061,19017,1003527.78,1716.39,1
404063,5004,381838.5,1045.68,1
404068,5004,381838.5,1922.19,1
404068,19043,130438.72,759.7,1
404069,19043,130438.72,8286.43,1
404078,19038,268632,818.22,1
404079,19038,268632,883.21,1
404079,19038,268632,7687.97,1
404079,19038,268632,6559.54,1
404079,19038,268632,2933,1
404079,19038,268632,1324.21,1
404079,19038,268632,1628.04,1
404080,19038,268632,6682.09,1
404082,19038,268632,49.7,1
404082,19038,268632,2789.12,1
404083,19038,268632,5849.33,1
405098,5030,864119.53,964.2,1
405099,5030,864119.53,6000.42,1
405099,5030,864119.53,5419.7,1
405100,5030,864119.53,6497.4,1
405101,5030,864119.53,4342.42,1
405102,5030,864119.53,6369.08,1
405103,5030,864119.53,6118.07,1
405104,5030,864119.53,6064.06,1
405105,5004,381838.5,1122.81,1
405105,5030,864119.53,5224.3,1
405106,5004,381838.5,6316.41,1
405107,5004,381838.5,7852.88,1
405108,5004,381838.5,630.22,1
405108,5004,381838.5,6054.02,1
405108,5004,381838.5,564.36,1
405108,5004,381838.5,2540.64,1
405108,5004,381838.5,2208.07,1
405109,5004,381838.5,11493.69,1
405118,5004,381838.5,5301.08,1
405119,5004,381838.5,6170.85,1
405120,5004,381838.5,990.75,1
405120,5004,381838.5,1257.63,1
405120,5004,381838.5,2058.22,1
405121,5004,381838.5,1090.95,1
405121,5004,381838.5,3169.95,1
405122,5004,381838.5,3877.47,1
405126,5004,381838.5,7172.62,1
405127,5004,381838.5,3428.99,1
405127,19043,130438.72,1533.41,1
405136,19038,268632,363.95,1
405137,19038,268632,17056.04,1
405142,19038,268632,2713.12,1
405143,19022,318027.32,27.36,1
405143,19038,268632,6489.98,1
405144,19022,318027.32,3266.45,1
405147,19022,318027.32,637.6,1
406157,5030,864119.53,5297.77,1
406158,5030,864119.53,327.5,1
406158,5030,864119.53,1299.99,1
406158,5030,864119.53,689.38,1
406158,5030,864119.53,3427.6,1
406158,5030,864119.53,1064.7,1
406158,5030,864119.53,2123.68,1
406158,5030,864119.53,31.22,1
406158,5030,864119.53,494.76,1
406167,5004,381838.5,2231.51,1
406168,5004,381838.5,10056.28,1
406174,5004,381838.5,4112.34,1
406175,5004,381838.5,6424.41,1
406176,5004,381838.5,6437.41,1
406177,5004,381838.5,778.39,1
406180,5004,381838.5,5524.64,1
406184,5004,381838.5,11119.21,1
406184,5004,381838.5,848,1
406185,5004,381838.5,1042.61,1
406193,19004,80000,213.42,1
406194,19004,80000,9609.16,1
406194,19038,268632,5632,1
406195,19038,268632,11977.18,1
406203,19022,318027.32,3274.17,1
406204,19022,318027.32,6304.18,1
406204,19022,318027.32,3509.35,1
406205,19022,318027.32,1538.14,1
406205,19022,318027.32,1531.85,1
406205,19022,318027.32,5843.65,1
406206,19022,318027.32,2457.38,1
406206,19022,318027.32,4336.55,1
406206,19022,318027.32,4841.19,1
407217,5030,864119.53,790.83,1
407217,5030,864119.53,2166.31,1
407217,5030,864119.53,4434.43,1
407217,5030,864119.53,613.22,1
407217,5030,864119.53,3139.79,1
407226,5004,381838.5,6404.89,1
407227,5004,381838.5,7627.5,1
407230,5004,381838.5,1493.55,1
407231,5004,381838.5,6445.16,1
407232,5004,381838.5,6418.69,1
407233,5004,381838.5,2328.61,1
407239,5004,381838.5,829.01,1
407240,5004,381838.5,3421.42,1
407241,5004,381838.5,3199.43,1
407242,5004,381838.5,3355.81,1
407243,5004,381838.5,59.74,1
407251,19004,80000,5312.75,1
407252,19004,80000,1609.16,1
407252,19004,80000,6379.07,1
407252,19004,80000,9468.21,1
407253,19004,80000,3506.54,1
407262,19022,318027.32,2717.24,1
407263,19022,318027.32,5356.1,1
407265,19022,318027.32,923.32,1
408276,5030,864119.53,1481.19,1
408277,5030,864119.53,6000.91,1
408285,5004,381838.5,12751.5,1
408286,5004,381838.5,581.95,1
408287,5004,381838.5,6407.6,1
408288,5004,381838.5,6297.72,1
408289,5004,381838.5,1813.04,1
408289,5004,381838.5,3063.13,1
408289,5004,381838.5,5863,1
408297,5004,381838.5,1522.05,1
408298,5004,381838.5,2515.19,1
408310,19004,80000,13487.18,1
408311,19004,80000,4293.03,1
408312,19004,80000,5782.99,1
408312,19004,80000,1262.86,1
408312,19004,80000,1959.81,1
408320,19022,318027.32,1982.43,1
408321,19022,318027.32,6156.01,1
409336,5030,864119.53,3376.37,1
409337,5030,864119.53,6049,1
409344,5004,381838.5,147.4,1
409344,5004,381838.5,5558.93,1
409344,5004,381838.5,7180.34,1
409345,5004,381838.5,6217.61,1
409348,5004,381838.5,2756.75,1
409349,5004,381838.5,5199.76,1
409359,19049,208043.87,2991.66,1
409360,19049,208043.87,2282.26,1
409360,19049,208043.87,2036.54,1
409361,19049,208043.87,1430.35,1
409365,19049,208043.87,9878.92,1
409366,19049,208043.87,1473.67,1
409368,19049,208043.87,11743.27,1
409369,19004,80000,5498.49,1
409369,19049,208043.87,23.96,1
409371,19004,80000,6177.15,1
409371,19004,80000,5084.39,1
409378,19022,318027.32,1869.08,1
409379,19022,318027.32,6602.79,1
410396,5030,864119.53,6386.44,1
410403,5004,381838.5,13679.84,1
410404,5004,381838.5,3673.46,1
410408,5004,381838.5,7141.05,1
410409,5004,381838.5,5686.66,1
410412,5004,381838.5,2575.93,1
410413,5004,381838.5,3185.18,1
410414,5004,381838.5,3337.98,1
410415,5004,381838.5,57.74,1
410415,19049,208043.87,3160.88,1
410416,19049,208043.87,3192.85,1
410417,19049,208043.87,3034.88,1
410418,19049,208043.87,288.28,1
410420,19049,208043.87,6875.17,1
410422,19049,208043.87,4505.29,1
410423,19049,208043.87,7105.31,1
410424,19049,208043.87,1570.08,1
410425,19049,208043.87,7145.98,1
410426,19049,208043.87,7817.75,1
410427,19049,208043.87,7226.25,1
410430,19004,80000,356.65,1
410430,19009,368849.61,5676.73,1
410434,19009,368849.61,1665.1,1
410434,19038,268632,601.84,1
410435,19009,368849.61,6845.6,1
410436,19009,368849.61,3270.4,1
410437,19009,368849.61,1280.88,1
410437,19009,368849.61,84.13,1
410437,19009,368849.61,86.82,1
410437,19022,318027.32,6096.8,1
411455,5030,864119.53,4747.41,1
411456,5030,864119.53,1291.82,1
411462,5004,381838.5,12492.44,1
411468,5004,381838.5,3920.56,1
411469,5004,381838.5,5322.43,1
411469,5004,381838.5,413.08,1
411470,5004,381838.5,3477.41,1
411471,5004,381838.5,586.36,1
411479,19049,208043.87,5490.61,1
411480,19049,208043.87,6147.42,1
411481,19049,208043.87,2831.43,1
411484,19049,208043.87,3763.72,1
411484,19049,208043.87,4022.48,1
