GRIDCODE,CID,Fracc,Fracv
405135,19038,0.0001931,4.39E-05
405136,19038,0.019507483,0.004438269
405137,19038,0.009899357,0.002252264
405137,19038,0.011347264,0.002581687
405138,19038,0.006383795,0.001452417
405139,19038,0.007701868,0.0017523
405139,19038,0.004952348,0.00112674
405140,19038,0.011538702,0.002625242
405140,19038,0.008117651,0.001846897
405141,19038,0.001182231,0.000268977
405141,19038,0.020269231,0.004611579
405142,19038,0.021451463,0.004880556
405143,19022,0.004350785,0.000487257
405143,19038,0.018615804,0.004235397
405144,19022,0.030485851,0.003414197
405144,19038,0.001582069,0.000359946
405145,19022,0.019648745,0.002200519
405146,19022,0.009686905,0.001084864
405147,19022,0.032830941,0.003676831
406157,5030,0.012662607,0.000563879
406158,5030,0.014272404,0.000635565
406160,5030,0.000642852,2.86E-05
406160,5030,0.018401389,0.000819433
406161,5030,0.028703381,0.001278191
406162,5030,0.016870889,0.000751278
406167,5004,0.016660623,0.003978573
406167,5004,0.001479266,0.00035325
406168,5004,0.020865446,0.004982689
406168,5004,0.000160436,3.83E-05
406169,5004,0.01885398,0.004502349
406170,5004,0.010018285,0.002392376
406171,5004,0.00210149,0.000501838
406172,5004,0.003342805,0.000798265
406173,5004,0.023262526,0.005555114
406174,5004,0.022316872,0.005329291
406174,19017,0.001293868,3.52E-05
406175,5004,0.02026042,0.004838208
406176,5004,0.008306124,0.001983511
406177,5004,0.001118714,0.00026715
406178,5004,4.49E-05,1.07E-05
406180,5004,0.011215164,0.002678192
406181,5004,0.000571393,0.000136449
406194,19004,0.002004231,0.000658048
406194,19038,0.000934889,0.000212702
406195,19004,0.02179355,0.007155462
406195,19038,0.017070396,0.003883792
406196,19038,0.004854946,0.001104579
406196,19038,0.010444848,0.002376372
406197,19038,0.000318584,7.25E-05
406197,19038,0.008881782,0.00202075
406198,19038,0.012837633,0.00292077
406199,19038,0.011102522,0.002526004
406200,19038,0.01793719,0.004081002
406200,19038,0.002170681,0.000493865
406201,19022,0.000503203,5.64E-05
406201,19038,0.003472847,0.000790129
406201,19038,0.017650649,0.004015809
406202,19022,0.002528776,0.000283205
406202,19038,0.019803313,0.004505575
406203,19022,0.032040322,0.003588287
406203,19038,0.00056893,0.000129441
406204,19022,0.031423173,0.003519171
406205,19022,0.026077968,0.002920546
406206,19022,0.032913239,0.003686048
407216,5030,0.021891713,0.00097486
407217,5030,0.017610868,0.00078423
407219,5030,9.00E-06,4.01E-07
407220,5030,0.004599075,0.000204801
407221,5030,0.011488595,0.000511599
407222,5030,2.75498E-05,1.23E-06
407223,5004,4.53E-05,1.08E-05
407224,5004,0.001179978,0.00028178
407225,5004,0.001099734,0.000262618
407226,5004,0.002828609,0.000675475
407227,5004,0.011955817,0.002855061
407228,5004,0.000366158,8.74E-05
407229,5004,0.015103528,0.003606737
407230,5004,0.01478073,0.003529653
407231,5004,0.02084287,0.004977298
407232,5004,0.023050817,0.005504558
407233,5004,0.019312675,0.004611885
407234,5004,0.012243464,0.002923751
407235,5004,0.001443356,0.000344675
407253,19004,0.022166245,0.007277828
407254,19004,0.139474828,0.045793678
407254,19038,0.001376573,0.000313193
407255,19004,0.040998746,0.013461091
407255,19004,0.000277855,9.12E-05
407255,19038,0.005309415,0.001207978
407255,19038,0.006380135,0.001451584
407256,19038,0.000616503,0.000140264
407256,19038,0.000306451,6.97E-05
407256,19038,0.015274791,0.003475263
407257,19038,0.015817745,0.003598794
407257,19038,0.000690688,0.000157143
407258,19038,0.010935394,0.00248798
407259,19038,0.011276212,0.002565521
407260,19022,0.009002915,0.001008262
407260,19022,0.007622242,0.000853637
407260,19038,0.008650801,0.001968198
407260,19038,0.001965085,0.000447089
407261,19022,0.005074362,0.000568292
407261,19022,0.023770777,0.002662157
407261,19038,0.002651417,0.00060324
407262,19022,0.032913239,0.003686048
407263,19022,0.001062,0.000118936
407263,19022,0.031851239,0.003567111
407264,19022,0.00132231,0.000148089
407264,19022,0.030580741,0.003424824
407265,19022,0.032913239,0.003686048
408275,5030,1.36E-05,6.06E-07
408276,5030,0.008616545,0.000383703
408277,5030,0.001374981,6.12E-05
408282,5004,0.001559779,0.000372477
408282,5030,0.001902225,8.47E-05
408283,5004,0.011309611,0.002700746
408283,5030,0.012035925,0.000535972
408284,5004,0.003402585,0.000812541
408285,5004,0.013484065,0.003220008
408286,5004,0.020552995,0.004908075
408287,5004,0.012189563,0.002910879
408288,5004,0.022601788,0.005397329
408289,5004,0.023313146,0.005567202
408290,5004,0.017930357,0.004281787
408291,5004,0.003322985,0.000793532
408294,5004,0.001818472,0.000434253
408295,5004,0.003397668,0.000811366
408303,19049,0.029728955,0.002899855
408304,19049,0.000183741,1.79E-05
408312,19004,0.102518846,0.033659945
408313,19004,0.149038879,0.048933837
408314,19004,0.085830356,0.028180624
408314,19004,0.000116704,3.83E-05
408314,19038,0.008443603,0.001921057
408314,19038,0.000637328,0.000145002
408315,19038,0.001045866,0.000237951
408315,19038,0.020405597,0.004642604
408316,19038,0.00617985,0.001406016
408316,19038,0.006941311,0.001579261
408317,19038,0.016825842,0.003828152
408318,19038,0.01893085,0.004307075
408319,19022,0.002217924,0.000248392
408319,19022,0.011868063,0.001329138
408319,19038,0.007441671,0.001693101
408319,19038,0.000757604,0.000172367
408320,19022,0.010851338,0.001215272
408320,19022,0.021762064,0.002437196
408321,19022,0.032913239,0.003686048
408322,19022,0.016925365,0.00189552
408322,19022,0.012483089,0.001398017
408323,19022,0.009167328,0.001026675
408323,19022,0.004608388,0.000516106
408324,19022,0.01761116,0.001972324
408324,19022,0.015302079,0.001713724
409334,5030,0.003480633,0.000154996
409335,5030,0.011727663,0.000522245
409336,5030,0.013821331,0.000615478
409337,5030,0.003986251,0.000177512
409342,5004,0.007275528,0.001737403
409342,5030,2.04E-05,9.07E-07
409343,5004,0.002682066,0.00064048
409343,5030,0.003061865,0.000136348
409344,5004,0.00398103,0.000950674
409345,5004,0.011909803,0.002844073
409346,5004,0.013872949,0.003312874
409347,5004,0.017748024,0.004238245
409348,5004,0.022324444,0.005331099
409349,5004,0.005000529,0.001194131
409349,5004,0.006255332,0.001493779
409350,5004,0.000425713,0.000101661
409351,5004,0.00189049,0.000451451
409352,5004,0.004152385,0.000991594
409353,5004,0.006224277,0.001486363
409354,5004,3.49E-05,8.34E-06
409355,5004,0.002284912,0.000545639
409355,19049,0.000458705,4.47E-05
409356,19049,0.053688281,0.005236923
409357,19049,0.072355315,0.007057764
409358,19049,0.045884832,0.00447575
409359,19049,0.037699997,0.003677376
409360,19049,0.003176458,0.000309842
409362,19049,0.01694236,0.001652611
409367,19049,8.39E-06,8.18E-07
409368,19049,0.002448157,0.000238801
409370,19004,0.00433972,0.001424858
409370,19009,0.001488977,0.000739426
409371,19004,0.119378219,0.039195372
409371,19004,0.003143288,0.001032034
409371,19009,0.001090936,0.000541759
409371,19009,0.000405125,0.000201185
409372,19004,0.149038879,0.048933837
409373,19004,0.079707529,0.02617032
409373,19004,7.08E-05,2.32E-05
409373,19038,0.006952068,0.001581708
409373,19038,0.003016742,0.000686358
409374,19038,0.000849287,0.000193226
409374,19038,0.020602176,0.004687329
409375,19038,0.003508926,0.000798338
409375,19038,0.004771725,0.001085645
409376,19009,0.000680579,0.000337975
409376,19038,0.019802769,0.004505451
409377,19009,0.004007539,0.001990143
409377,19038,0.005842748,0.00132932
409378,19022,0.003052155,0.00034182
409378,19022,0.006185902,0.000692777
409378,19038,0.000329228,7.49E-05
409378,19038,0.000735761,0.000167397
