GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
32619,7051,,0.000115465,6.83E-05,,3,3
32619,7069,,0.000030155,2.00E-05,,1,1
32620,7051,,0.00296359,0.001753467,,77,77
32620,7069,,0.000331705,0.000219653,,11,11
32621,7051,,0.004734047,0.002800993,,123,123
32622,7051,,0.003579401,0.002117824,,93,93
32623,7051,,0.002424756,0.001434655,,63,63
32624,7051,,0.002386267,0.001411883,,62,62
32625,7051,,0.001385575,0.000819803,,36,36
32626,7051,,0.0042337,0.002504953,,110,110
32627,7051,,0.001654992,0.000979209,,43,43
32628,7051,,0.023477792,0.013891103,,610,610
32629,7051,,0.012239243,0.007241591,,318,318
32630,7051,,0.098722192,0.058410949,,2565,2565
32631,7003,,0.103897479,0.071138506,,1962,1962
32631,7051,,0.004541606,0.002687131,,118,118
32632,7003,,0.000423639,0.000290065,,8,8
32633,7001,,0.065813528,0.03639824,,612,612
32634,7001,,0.009463383,0.005233734,,88,88
32635,7001,,0.021185074,0.011716427,,197,197
32636,7001,,0.093665986,0.05180207,,871,871
32637,7001,,0.012689537,0.007017961,,118,118
32638,7032,,0.021598515,0.012771052,,384,384
32639,7032,,0.007649474,0.004523081,,136,136
32640,7032,,0.022723438,0.013436211,,404,404
32641,7032,,0.018223747,0.010775575,,324,324
32642,7032,,0.037909894,0.022415857,,674,674
32643,7032,,0.048709151,0.028801384,,866,866
32643,7057,,0.000132263,8.68E-05,,6,6
32644,7057,,0.027665109,0.018157091,,1255,1255
32645,7057,,0.004166299,0.002734415,,189,189
32646,7057,,0.011528966,0.00756666,,523,523
32647,7057,,0.005643241,0.003703757,,256,256
32648,7057,,0.026739265,0.017549444,,1213,1213
32649,7057,,0.015695265,0.010301075,,712,712
32650,7057,0.370827194,0.013116127,0.136055209,8809,595,9404
32651,7057,0.409303305,0.007252447,0.145430345,9723,329,10052
32652,7053,,0.107355545,0.085589632,,667,667
32652,7057,,0.000462922,0.000303824,,21,21
32653,7053,,0.069209722,0.055177724,,430,430
32654,7053,,0.025913407,0.020659566,,161,161
33676,7069,,0.031089802,0.020587472,,1031,1031
33677,7069,,0.009589289,0.006349967,,318,318
33678,7069,,0.011669984,0.00772779,,387,387
33679,7051,,0.000461858,0.000273268,,12,12
33679,7069,,0.010192389,0.006749336,,338,338
33680,7051,,0.003617889,0.002140596,,94,94
33680,7069,,0.001176045,0.00077877,,39,39
33681,7051,,0.001885921,0.001115843,,49,49
33682,7051,,0.001501039,0.00088812,,39,39
33683,7051,,0.015010392,0.008881197,,390,390
33684,7051,,0.001193134,0.000705941,,31,31
33685,7051,0.000278847,0.003617889,0.002254458,5,94,99
33686,7051,0.433718142,0.003579401,0.179217999,7777,93,7870
33687,7051,0.001282695,0.017204218,0.010702981,23,447,470
33688,7051,,0.023978139,0.014187143,,623,623
33689,7051,,0.000153953,9.11E-05,,4,4
33691,7001,,0.001075384,0.000594742,,10,10
33691,7051,,0.001116157,0.000660397,,29,29
33692,7001,,0.051725992,0.028607113,,481,481
33693,7001,,0.088826756,0.049125729,,826,826
33694,7001,,0.001075384,0.000594742,,10,10
33695,7001,,0.015377998,0.008504817,,143,143
33700,7032,,0.027673097,0.016362911,,492,492
33701,7032,,0.004837167,0.002860184,,86,86
33702,7032,,0.007818212,0.004622855,,139,139
33703,7057,,0.009567058,0.006279026,,434,434
33704,7057,,0.008861652,0.005816056,,402,402
33705,7057,,0.019530906,0.012818472,,886,886
33706,7057,,0.000837669,0.000549776,,38,38
33707,7057,,0.01651089,0.010836384,,749,749
33708,7057,,0.01296182,0.008507068,,588,588
