GRIDCODE,CVENTMUN,Fpv
51518,20334,0.01163323
51519,20334,0.01822172
51519,20334,0.019204849
51519,20334,0.02115252
51520,20334,0.011599046
51538,20153,0.282390632
51559,20254,0.02920115
51559,20279,0.128624645
51559,20306,0.35342228
51559,20279,0.031951324
51560,20279,0.000711721
51589,20307,0.027824872
51597,20515,0.042335431
51598,20515,0.014052078
51655,7097,0.005808368
51656,7097,0.005190336
51656,7097,0.006578071
51656,7097,0.014725723
51657,7097,0.008960994
52574,20334,0.023410656
52575,20334,0.014041399
52578,20334,0.022151551
52579,20334,0.00102895
52618,20279,0.078756831
52618,20306,0.0510143
52618,20279,0.01592248
52619,20279,0.53268747
52619,20279,0.095865577
52657,20515,0.048238978
52715,7097,0.018802308
52721,7097,0.007660909
52721,7097,0.023992994
53632,20467,0.082107062
53633,20334,0.036076612
53633,20467,0.00383588
53677,20254,0.084176397
53677,20254,0.01735736
53677,20254,0.027916304
53678,20254,0.072291292
53678,20279,0.115479951
53716,20515,0.045225533
53773,7097,0.007956136
53774,7097,0.000153357
53775,7097,0.014870079
53775,7097,0.002200771
53779,7097,0.043565998
53780,7097,0.006311363
54683,20482,0.040398998
54691,20467,0.150787505
54736,20254,0.319296673
54775,20515,0.029282814
54776,20515,0.01642
54776,20515,0.024318997
54777,20515,0.038540601
54778,20515,0.03190549
54831,7097,0.011755069
54832,7097,0.009418678
54834,7097,0.004935898
54834,7097,0.015298297
54836,7097,0.000656577
54837,7097,0.044446082
54838,7097,0.00200887
54838,7097,0.003768708
55741,20482,0.0297707
55742,20482,0.032024765
55749,20467,0.026489352
55749,20467,0.064164812
55750,20467,0.063858858
55794,20254,0.117589961
55795,20254,0.100130757
55795,20254,0.042553971
55837,20515,0.047506066
55838,20515,0.01611413
55889,7097,0.00848342
55890,7097,0.014420682
55890,7097,0.003941598
55890,7097,0.013401537
55891,7097,0.000629291
55893,7097,0.002574811
55894,7097,0.00437515
55894,7097,0.01209076
55894,7097,0.032700725
55895,7097,0.038465794
56799,20482,0.005228225
56800,20482,0.056190897
56807,20467,0.114216105
56808,20467,0.097812745
56825,20364,0.0163287
56826,20364,0.011350537
56826,20364,0.215130613
56827,20497,1
56827,20364,0.079138699
56829,20202,0.072483635
56852,20095,0.072583718
56853,20254,0.009838953
56853,20095,0.446252141
56897,20079,0.049056332
56897,20515,0.024589325
56898,20079,0.025252266
56950,7097,0.017838105
56951,7097,0.017905037
56952,7097,0.001924097
56952,7097,0.010417939
56952,7097,0.006113298
56953,7097,0.000130628
56953,7097,0.006338419
56953,7097,0.000571113
57858,20482,0.053857887
57865,20467,0.056385041
57865,20467,0.026771099
57866,20467,0.147240299
57885,20364,0.025093988
57886,20364,0.25217568
57887,20364,0.247190525
57887,20202,0.127367173
57888,20364,0.061127485
57888,20202,0.800149192
57912,20095,0.177998111
57912,20059,0.000200593
57912,20095,0.094473498
57957,20079,0.112109214
57958,20079,0.110820413
57959,20079,0.075253222
58010,7097,0.008304195
58010,7097,0.017512952
58011,7097,0.005700697
58011,7097,0.008648292
58011,7097,4.98E-06
58011,7097,0.001824185
58898,12023,0.002474062
58909,20482,0.008177414
58916,20482,0.030732559
58917,20482,0.044247959
58922,20090,0.024960755
58923,20467,0.062885677
58923,20367,0.298258108
58923,20090,0.105737179
58923,20367,0.701741892
58924,20467,0.103445564
58948,20364,0.044251742
58949,20314,0.07555874
58949,20364,0.048212029
58969,20533,0.388379882
58970,20059,0.011270731
58970,20095,0.152438873
58970,20533,0.278622043
58971,20059,0.052358036
58971,20095,0.05625366
59018,20079,0.066366422
59018,20079,0.040306715
59018,20079,0.040216784
59018,20079,0.012408624
59018,20079,0.031778945
59018,20079,0.05177923
59019,20079,0.103195154
59068,7097,0.031610045
59069,7097,0.010533444
59957,12023,0.070692046
59968,20482,0.041593851
59968,20168,0.06566863
59969,20482,0.041694634
59969,20168,0.00624768
59975,20482,0.023043011
59975,20482,0.008003812
59975,20482,0.043369693
59976,20482,0.054943799
59977,20482,0.066626996
59978,20482,0.008885351
59978,20090,0.198652093
59979,20090,0.175283095
59980,20090,0.063787208
59980,20090,0.035410502
59980,20090,0.027431683
59980,20090,0.097487831
59981,20090,0.217715328
60008,20314,0.38199221
60009,20314,0.018096592
60027,20533,0.006887341
60028,20059,0.001736833
60028,20533,0.158760889
60028,20059,0.060019277
60028,20059,0.00250442
60028,20533,0.167349844
60077,20079,0.038721247
60077,20079,0.074314919
60077,20079,0.04341941
60078,20079,0.094969006
60078,20308,0.465001604
60079,20308,0.098412613
60118,7009,0.02428554
60126,7097,0.02550824
60127,7097,0.01925673
61016,12023,0.024121158
61017,12023,0.092561756
61018,12023,0.032303015
61027,20168,0.300393594
61027,20168,0.090555127
61027,20168,0.051035817
61028,20482,0.009991041
61028,20168,0.052934591
61029,20482,0.081787679
61030,20482,0.024993479
61033,20482,0.051943546
61034,20482,0.007019128
61034,20482,0.021311801
61034,20482,0.004485269
61037,20090,0.007006445
61038,20090,0.046527881
61067,20314,0.018578991
61068,20314,0.286346395
61086,20059,0.051593994
61086,20059,0.011735111
61087,20059,0.045139763
61135,20079,0.015430482
61135,20515,0.029045515
61136,20079,0.014601614
61138,20308,0.08424888
61138,20308,0.352336903
61177,7009,0.060601529
61184,7097,0.013969254
61184,7009,0.001318068
61185,7097,0.030632716
62077,12023,0.036081382
62077,12023,0.012621266
62078,12023,0.062142068
62079,12023,0.013627923
62079,20485,0.596891702
62079,12023,0.057587663
62079,20485,0.403108298
62085,20402,0.040776012
62085,20168,0.242459651
62086,20168,0.190704911
62089,20482,0.031641546
62090,20482,0.053242364
62091,20482,0.055027473
62092,20482,0.004497503
62092,20482,0.014630785
62092,20482,0.029931409
62092,20482,0.013848825
62092,20482,0.003004502
62092,20285,0.038696573
62127,20314,0.219427073
62145,20059,0.013920977
62145,20059,0.103527934
62145,20059,0.021479153
62194,20515,0.03966525
62235,20327,0.019597502
62235,20327,0.0314095
62236,7009,0.003349229
62236,20327,0.048588422
62236,7009,0.016354219
62236,7009,0.011262378
62237,7009,0.077110653
62238,7009,0.016315272
62239,7009,0.06440418
62240,7009,0.05939024
62241,7009,0.04020951
62242,7009,0.003309927
62243,7009,0.148457865
63138,12023,0.011393121
63139,12023,0.06851102
63143,20402,0.169358207
63143,20402,0.061946106
63143,20402,0.120597708
63144,20402,0.087615117
63150,20285,0.13780455
63151,20482,0.0038531
63151,20285,0.074876391
63151,20285,0.123119803
63152,20285,0.037085515
63152,20285,0.054886849
63187,20277,0.052762346
63202,20059,0.034422078
63202,20061,0.35442185
63203,20059,0.020596225
63203,20061,0.64557815
63204,20059,0.018431633
63252,20515,0.004078057
63252,20515,0.002835813
63252,20515,0.003096856
63253,20515,0.029514374
63253,20515,0.005454814
63253,20515,0.000699385
63257,20043,0.016877704
63257,20124,0.053668165
63258,20043,0.000177566
63258,20124,0.059211198
63292,20327,0.042373122
63293,20327,0.07063018
63294,20327,0.027014283
63297,7009,0.056679495
63300,7009,0.020865866
63301,7009,0.00555461
63301,7009,0.007097847
63301,7009,0.010281219
63301,7009,0.058773489
63301,7009,0.090706854
64198,12023,0.050863525
64199,12023,0.028132631
64200,12023,0.05830452
64200,20402,0.016490389
64201,20402,0.238126591
64202,20402,0.062687405
64202,20402,0.146058458
64203,20402,0.056344007
64209,20285,0.164662862
64211,20285,0.091916188
64211,20312,0.286064234
64212,20312,0.707208956
64246,20277,0.064165651
64261,20059,0.063437736
64261,20059,0.081508527
64307,20515,0.019768788
64308,20515,0.041428917
64309,20515,0.03800827
64310,20515,0.038025016
64311,20515,0.033474985
64312,20515,0.010164289
64312,20124,0.012070838
64312,20515,0.008958871
64312,20124,0.015200476
64312,20515,0.029997431
64313,20515,0.005435924
64317,20124,0.176000216
64317,20441,0.089351715
64349,20025,0.298985287
64349,20025,0.004238986
64349,20327,0.010404726
64350,20327,0.077832878
64351,20327,0.028296313
64360,7009,0.067039394
65256,12023,0.0172926
65256,12023,0.035806866
65257,12023,0.000365919
65257,12023,0.036804193
65257,12023,0.004093855
65257,12023,0.024552193
65258,12023,0.034839057
65268,20285,0.181261411
65271,20312,0.00672681
65305,20277,0.06313963
65306,20277,0.095083157
65318,20059,0.034417848
65319,20059,0.131347705
65319,20351,0.738680087
65320,20059,0.007217827
65351,20410,0.062627555
65351,20410,0.134233737
65352,20052,0.005985741
65352,20410,0.207739988
65365,20515,0.038454968
65366,20515,0.008800789
65366,20515,0.009191101
65367,20515,0.003113178
65370,20421,1
65370,20515,0.012185052
65371,20515,0.030505913
65372,20124,0.087166449
65372,20515,0.020222999
65373,20124,0.176728334
65376,20043,0.002049998
65376,20441,0.320011819
65378,20441,0.113269355
65408,20025,0.262418826
65408,20327,0.000377329
65408,20025,0.4343569
65408,20327,0.000312171
65408,20327,0.041822487
65419,7009,0.065572388
66314,12023,0.044760051
66315,12023,0.025760223
66326,20345,0.074276421
66327,20285,0.089786735
66327,20345,0.091545552
66327,20285,0.005903124
66327,20345,0.04693759
66365,20277,0.098905904
66366,20277,0.117738309
66367,20277,0.083045067
66376,20059,0.029922928
66376,20289,1
66377,20059,0.078498558
66377,20351,0.038126849
66377,20059,0.038311948
66377,20059,0.016897326
66377,20351,0.223193064
66408,20122,0.155239269
66408,20125,0.016813824
66408,20410,0.190830131
66409,20125,0.05486852
66409,20410,0.26411698
66410,20410,0.115336889
66410,20410,0.02511472
66411,20052,0.023992279
66412,20052,0.130396907
66413,20052,0.107544955
66414,20052,0.109777061
66415,20052,0.103012144
66416,20052,0.10796851
66416,20052,0.000418772
66417,20052,0.002756374
66417,20052,0.013175437
66417,20052,0.117668747
66417,20052,0.072163631
66418,20052,0.072361015
66423,20418,0.142057775
66424,20418,0.031930046
66424,20515,0.036100427
66432,20124,0.03455458
66433,20124,0.21210811
66434,20124,0.119272314
66435,20043,0.047658906
66436,20043,0.008711412
66437,20441,0.332584215
66456,20143,0.150094912
66457,20143,0.358820387
66467,20327,0.063959801
66478,7009,0.067753453
67373,12023,0.064217991
67385,20345,0.420895279
67425,20277,0.020300778
67426,20277,0.149983646
67435,20028,0.095310834
67435,20059,0.069502837
67466,20122,0.25167102
67466,20125,0.133691747
67467,20122,0.348904036
67467,20122,0.244185675
67477,20052,0.042386736
67478,20052,0.090391691
67478,20418,0.068205934
67479,20418,0.184622241
67480,20418,0.159037276
67480,20418,0.025470288
67481,20418,0.192276056
67482,20418,0.156710242
67482,20418,0.028475074
67493,20124,0.054019318
67493,20030,0.046498396
67494,20030,0.158127641
67494,20030,0.098216302
67494,20030,0.08590328
67495,20030,0.023209319
67495,20030,0.051496494
67495,20043,0.032815704
67495,20030,0.002678185
67496,20043,0.0241563
67496,20441,0.144782896
67516,20075,0.185079267
67516,20143,0.491084701
67525,20327,0.002635483
67526,20327,0.023453779
67526,20327,0.041693941
67526,20327,0.053924324
67527,20327,0.070302135
67528,20327,0.0163198
67537,7009,0.023306776
67537,7046,0.037143122
68417,12018,0.08646012
68418,12018,0.116871158
68419,12018,0.039128966
68432,12023,0.061881798
68432,12023,0.007408248
68443,20345,0.20393488
68443,20185,0.048667658
68444,20345,0.136133143
68444,20345,0.026277134
68485,20277,0.03607835
68485,20277,0.002587149
68485,20155,0.107450794
68485,20277,0.011938333
68485,20277,0.027957229
68485,20155,0.012445318
68494,20028,0.010929204
68494,20028,0.17491973
68524,20125,0.03395265
68524,20204,0.170888969
68525,20125,0.075565165
68540,20418,0.011215069
68552,20005,0.001435875
68553,20005,0.043694422
68553,20030,0.133124134
68553,20005,0.008258646
68553,20005,0.012105672
68554,20043,0.004577985
68554,20030,0.152562738
68555,20043,0.005561351
68555,20043,0.021424289
68555,20043,0.021723162
68555,20043,0.003495739
68555,20043,0.015144834
68555,20043,0.019011963
68555,20043,0.019598399
68555,20043,0.002818858
68555,20043,0.011640265
68556,20043,0.038538748
68557,20043,0.033972739
68562,20043,0.008712121
68575,20075,0.204693252
68575,20075,0.091291939
68576,20075,0.317735984
68584,20327,0.082761271
68587,20327,0.086216734
68596,7046,0.027413162
68596,7046,0.01060702
68597,7046,0.006967681
68597,7046,0.00702366
68597,7046,0.047130497
68598,7046,0.050692502
68599,7046,0.002945305
68606,7108,0.010535234
69472,12018,0.001808254
69473,12018,0.112500437
69474,12018,0.110755143
69475,12018,0.111195827
69476,12018,0.045610679
69478,12018,0.069630835
69478,12018,0.006527118
69478,12077,0.001077639
69479,12077,0.018444683
69479,12077,0.003489392
69479,12077,0.12887076
69479,12077,0.127894835
69480,12077,0.058898653
69480,12080,0.125378134
69481,12080,0.044108019
69491,12023,0.013363397
69491,12046,0.006111325
69491,12023,0.007436454
69491,12046,0.068341044
69502,20185,0.273637291
69544,20277,0.001144
69544,20155,0.272527826
69544,20277,0.02637229
69544,20155,0.488305497
69545,20277,0.009364771
69545,20155,0.021568077
69553,20028,0.036578456
69553,20028,0.151391251
69575,20125,0.035616037
69576,20125,0.300089318
69577,20125,0.073463153
69582,20204,0.142955418
69583,20204,0.135110639
69612,20005,0.062688474
69613,20030,0.00574997
69614,20043,0.001641702
69614,20043,0.028843286
69614,20030,0.067351502
69615,20043,0.044445847
69616,20043,0.004765935
69617,20043,0.038745916
69618,20043,0.038748403
69619,20043,0.03672167
69619,20557,0.013200085
69620,20557,0.175206091
69621,20043,0.028496199
69621,20557,0.066059141
69635,20075,0.201199558
69635,20525,0.069333365
69641,20327,0.016827329
69641,20525,0.019729772
69642,20327,0.06674511
69642,20525,0.018158262
69643,20327,0.014318474
69646,20327,0.052881427
69647,7017,0.020965762
69647,20327,0.009301478
69655,7046,0.018215894
69656,7046,0.054052562
69658,7046,0.046531128
69659,7046,0.047003133
69660,7046,0.052339218
69662,7046,0.005929099
69663,7046,0.050618327
69664,7108,0.005130856
69664,7046,0.042077882
69665,7108,0.017564411
70530,12018,0.046255675
70531,12018,0.034009311
70531,12018,0.08288813
70531,12018,0.017588535
70537,12077,0.158669306
70538,12077,0.020240552
70540,12080,0.102470969
70541,12080,0.133277075
70542,12080,0.132769392
70543,12080,0.134351733
70544,12080,0.100703
70549,12046,0.063935859
70550,12046,0.078761578
70561,20185,0.261882353
70561,20185,0.010822064
70604,20277,0.130655575
70604,20155,0.025961124
70605,20277,0.008777814
70605,20155,0.071741364
70605,20017,0.114329056
70605,20149,1
70606,20017,0.262509606
70612,20028,0.136983614
70612,20028,0.054768766
70635,20125,0.0141922
70636,20125,0.161002608
70636,20064,0.128132361
70637,20064,0.028948849
70640,20204,0.094033718
70641,20204,0.196562504
70641,20204,0.118482959
70667,20053,0.151772635
70668,20305,0.388097503
70669,20305,0.172065302
70669,20005,0.001245406
70669,20305,0.439837195
70669,20005,0.037682262
70670,20005,0.004439251
70670,20005,0.058115687
70671,20005,0.008368199
70671,20005,0.021910832
70671,20005,0.062575304
70672,20005,0.006418763
70672,20005,0.003821549
70672,20005,0.040163744
70672,20030,0.175082038
70674,20043,0.035556075
70675,20043,0.005773505
70679,20557,0.074618516
70680,20557,0.001703359
70680,20557,0.018184532
70680,20557,0.010509316
70680,20557,0.07636074
