GRIDCODE,CVENTMUN,Fb
36862,7051,0.007767511
36863,7051,0.007903337
36864,7051,0.008087049
36865,7051,0.007333075
36866,7051,0.007598859
36867,7051,0.006944141
36868,7051,0.008125753
36869,7051,0.008125753
36870,7001,0.000821811
36870,7051,0.005010986
36870,7080,0.004183255
36871,7001,0.008656445
36871,7080,0.009029981
36872,7001,0.014750924
36872,7080,0.007267642
36873,7001,0.016487266
36873,7080,0.006765544
36874,7001,0.019082191
36874,7080,0.00601517
36875,7001,0.012095449
36875,7032,0.006134796
36875,7080,0.005341816
36876,7032,0.014938416
36876,7080,0.004973901
36877,7032,0.006166059
36877,7080,0.008825728
36878,7080,0.011533164
36879,7080,0.010549923
36880,7080,0.009081568
36881,7080,0.011246923
36882,7080,0.011533164
36883,7080,0.011533164
36884,7080,0.009544818
36885,7070,0.036677666
36885,7080,0.003294907
36886,7036,0.011890982
36886,7070,0.012561687
36886,7080,0.003622576
36887,7036,0.111501021
36887,7070,0.022587995
36888,7010,0.071955863
36888,7036,0.046662486
36888,7053,0.010790889
36888,7070,0.023633419
36889,7010,0.063968467
36889,7053,0.004071796
36890,7006,0.012498274
36890,7010,0.069446816
36891,7006,0.034863378
36891,7010,0.002389591
36892,7006,0.009664928
37783,20439,0.001148796
37784,20439,0.00213631
37785,20439,0.008576752
37786,20439,0.00364724
37787,20439,0.008332637
37788,20439,0.010177741
37789,20439,0.007067453
37790,20439,0.014929803
37791,20439,0.020617945
37792,20324,0.007888143
37792,20439,0.019538756
37793,20324,0.011368143
37794,20324,0.023857403
37795,20324,0.024719408
37796,20324,0.015734965
37797,20324,0.022234176
37798,20324,0.024793146
37799,20324,0.001164018
37799,20413,0.004207423
37800,20413,0.008997946
37801,20413,0.011117648
37802,20413,0.017535902
37803,20413,0.006597949
37804,20413,0.000448251
37907,7069,0.000505846
37908,7069,0.003826244
37909,7069,0.005302136
37910,7069,0.005178996
37911,7069,0.004796605
37912,7069,0.005302136
37913,7069,0.005302136
37914,7069,0.005302136
37915,7069,0.004917572
37916,7069,0.005302136
37917,7069,0.005302136
37918,7069,0.005041369
37919,7051,0.001142942
37919,7069,0.004556355
37920,7051,0.008024631
37921,7051,0.008125753
37922,7051,0.008125753
37923,7051,0.007938166
37924,7051,0.002460834
37925,7051,0.003357309
37926,7051,0.008112755
37927,7051,0.008125753
37928,7051,0.008125753
37929,7051,0.004986943
37929,7080,0.004455023
37930,7080,0.011533164
37931,7080,0.011533164
37932,7080,0.011533164
37933,7080,0.011533164
37934,7080,0.011533164
37935,7080,0.009499091
37936,7080,0.011507032
37937,7080,0.010158974
37938,7080,0.010037686
37939,7080,0.00887593
37940,7080,0.011533164
37941,7080,0.011533164
37942,7080,0.011533164
37943,7080,0.010111258
37944,7080,0.008174379
37945,7036,0.000221017
37945,7080,0.009557685
37946,7036,0.165693588
37946,7080,0.000217684
37947,7010,0.072634504
37947,7036,0.099580708
37948,7010,0.128064064
37949,7010,0.126355507
37950,7006,0.021618648
37950,7010,0.04434837
37951,7006,0.014002776
38837,20401,0.000898153
38838,20401,0.002663378
38839,20401,0.000508597
38839,20439,0.003687046
38840,20439,0.004251889
38841,20439,0.014878446
38842,20439,0.010169719
38843,20439,0.011257279
38844,20439,0.020333014
38845,20439,0.017947885
38846,20439,0.018053613
38847,20439,0.021569669
38848,20439,0.025197
38849,20439,0.017177403
38850,20439,0.011468561
38851,20324,0.007771133
38851,20439,0.016091925
38852,20324,0.00919478
38853,20324,0.018288751
38854,20324,0.022236437
38855,20324,0.023203736
38856,20324,0.023970108
38857,20324,0.021729745
38857,20413,0.000212854
38858,20324,0.000180723
38858,20413,0.014845531
38859,20413,0.017246865
38860,20413,0.014683775
38861,20413,0.017332126
38862,20413,0.02072707
38863,20413,0.018182819
38864,20413,0.005907183
38865,20413,6.56E-05
38965,7069,0.001200134
38966,7069,0.004353335
38967,7069,0.005169773
38968,7069,0.005302136
38969,7069,0.005136785
38970,7069,0.005152635
38971,7069,0.005302136
38972,7069,0.00506195
38973,7069,0.005105693
38974,7069,0.005302136
38975,7069,0.005302136
38976,7069,0.005302136
38977,7069,0.005290165
38978,7051,0.001705635
38978,7069,0.004189192
