GRIDCODE,CVENTMUN,Ft
52721,7097,0.034763383
52722,7097,0.026740758
52766,7030,0.140643813
52767,7030,0.092201001
52780,7034,0.535341361
53624,20414,0.018703074
53625,20414,0.127462281
53638,20334,0.029624878
53639,20334,0.086373826
53646,20364,0.099072344
53652,20526,0.166445552
53652,20433,0.162773181
53653,20433,0.668666761
53654,20526,0.064915424
53654,20433,0.0243939
53656,20202,0.007090725
53657,20159,0.014001257
53657,20159,0.003874216
53657,20153,0.103595537
53657,20159,0.001291567
53657,20202,0.043933217
53658,20159,0.032698241
53659,20159,0.007337942
53661,20159,0.008311997
53662,20159,0.038518413
53668,20291,0.020738691
53668,20366,0.242832349
53675,20254,0.041451882
53676,20254,0.152271139
53677,20254,0.114837843
53677,20254,0.016710044
53678,20254,0.049025221
53681,20424,0.17926255
53682,20424,0.123497648
53775,7097,0.010394946
53775,7097,0.103206466
53776,7097,0.131679045
53823,7020,0.044764293
53824,7020,0.076349311
53825,7030,0.023778754
53825,7020,1.04E-05
54684,20414,0.08855308
54685,20414,0.087417196
54698,20334,0.073689343
54699,20334,0.102952703
54711,20526,0.018772685
54711,20433,0.144166159
54711,20526,0.025621062
54713,20202,0.005346889
54714,20202,0.143976419
54714,20202,0.035709976
54715,20202,0.04245155
54715,20202,0.075755851
54715,20202,0.043738372
54718,20159,0.049954764
54721,20159,0.018627094
54722,20159,0.035739256
54727,20291,0.236604219
54737,20254,0.203434385
54738,20254,0.031502488
54740,20424,0.013871965
54740,20424,0.217590375
54741,20424,0.108846906
54741,20424,0.053095312
54741,20424,0.005187959
54742,20512,0.32119421
54743,20512,0.084618524
54834,7097,0.030703689
54880,7020,0.024061756
54881,7020,0.075381825
54882,7020,0.035948887
54898,7099,0.031747316
54899,7099,0.031254537
54900,7099,0.018029732
55744,20414,0.159347684
55749,20467,0.01041704
55750,20467,0.068976955
55751,20467,0.031432987
55758,20334,0.11796309
55766,20364,0.02782742
55772,20202,0.070491874
55773,20202,0.136259545
55777,20159,0.011116608
55778,20159,0.065610335
55779,20159,0.053679823
55779,20159,0.00177574
55779,20159,0.004580254
55780,20159,0.012445934
55781,20159,0.068401645
55782,20159,0.01029563
55782,20344,0.159384882
55783,20344,0.019888592
55783,20344,0.08799872
55783,20344,0.082027014
55784,20291,0.058337007
55784,20344,0.000779964
55785,20291,0.191422033
55786,20291,0.056299776
55791,20391,0.081162595
55795,20254,0.166468148
55796,20347,0.010347359
55796,20347,0.008727841
55799,20347,0.04928061
55799,20424,0.147960746
55799,20512,0.594187266
55800,20424,0.007699073
55909,7107,0.004027499
55924,7020,0.002759948
55939,7020,0.041429109
55956,7099,0.003681592
55957,7099,0.005539941
55959,7099,0.015553677
55960,7099,0.030990861
56803,20414,0.166828396
56810,20467,0.037822816
56811,20467,0.086732796
56812,20467,0.068923195
56813,20467,0.06620342
56814,20467,0.078999138
56817,20334,0.112212515
56825,20364,0.103798181
56825,20364,0.03193829
56825,20364,0.011077012
56826,20364,0.006697842
56830,20202,0.057540164
56831,20202,0.064427105
56836,20159,0.020787384
56837,20159,0.060287479
56838,20159,0.008409727
56838,20159,0.045915095
56838,20159,0.009038295
56839,20159,0.055406489
56840,20159,0.027252951
56841,20344,0.009054162
56841,20159,0.028285046
56841,20344,0.238455046
56842,20344,0.137851083
56842,20344,0.105940762
56842,20344,0.158619775
56843,20291,0.136718167
56844,20291,0.125261819
56850,20391,0.631588845
56854,20254,0.008051994
56854,20347,0.051340865
56854,20095,0.353065087
56855,20347,0.103634474
56855,20347,0.15497863
56856,20347,0.291348785
56857,20347,0.168102861
56857,20347,0.066648079
56858,20347,0.095590497
56876,20125,0.080031067
56877,20125,0.117373851
56878,20125,0.032606738
56878,20410,0.018344253
56879,20410,0.007757578
56879,20008,0.208063122
56952,7097,0.012178276
56953,7097,0.033981096
56966,7107,0.007633301
56966,7107,0.010532518
56967,7107,0.053182442
56968,7107,0.031528743
56971,7107,0.055458869
56980,7020,0.001013378
56980,7107,0.005079136
56980,7107,0.005180757
56980,7020,0.000642162
56980,7107,0.009065898
56983,7020,0.082379237
57012,7099,0.019096972
57013,7099,0.036340572
57014,7099,0.033986415
57015,7099,0.008072445
57019,7099,0.021297734
57020,7099,0.015193813
57862,20414,0.179780235
57863,20414,0.000694873
57865,20467,0.000635354
57866,20467,0.007011228
57873,20467,0.003707641
57874,20467,0.001934897
57875,20543,0.175376976
57875,20543,0.011279894
57876,20334,0.039095621
57876,20543,0.426658346
57881,20272,0.079982316
57882,20272,0.376515058
57883,20272,0.412688618
57883,20364,0.056184499
57883,20213,0.003801733
57883,20364,0.017108791
57884,20364,0.031685884
57884,20364,0.085238028
57884,20364,0.004513842
57884,20364,0.008108293
57884,20364,0.007639485
57884,20364,0.008599343
57884,20364,0.115830907
57888,20364,0.009600594
57888,20202,0.022977828
57889,20202,0.097676374
57889,20202,0.036312687
57889,20202,0.051073723
57890,20202,0.026567058
57894,20159,0.017598227
57895,20159,0.030598777
57896,20159,0.001568188
57899,20159,0.026778991
57900,20159,0.01076556
57902,20291,0.052075332
57903,20291,0.00449178
57903,20291,0.003980502
57903,20059,0.024644018
57903,20291,0.107545401
57904,20059,0.107960159
57905,20059,0.055126452
57905,20291,0.00196749
57908,20391,0.046104332
57908,20533,0.143648122
57909,20391,0.241144227
57909,20533,0.217449593
57912,20095,0.646934913
57937,20125,0.036700513
57937,20410,0.019955649
57938,20008,0.030342382
57938,20008,0.007690017
57939,20008,0.029626304
57939,20008,0.160194986
58012,7097,0.047733592
58013,7097,0.061071018
58025,7107,0.011519222
58025,7107,0.01991698
58025,7107,0.039912101
58026,7107,0.009364987
58030,7107,0.015002388
58031,7107,0.047863518
58039,7107,0.006244433
58039,7107,0.005928108
58039,7107,0.050400268
58042,7020,0.01958906
58043,7020,0.018814776
58043,7020,0.018315816
58053,7020,0.030331096
58066,7104,0.022920855
58071,7099,0.010549937
58071,7099,0.023790976
58073,7099,0.006241706
58079,7099,0.000592814
58908,20482,0.159515245
58909,20482,0.07722877
58921,20414,0.12080483
58921,20414,0.031741494
58922,20414,0.005465886
58923,20367,0.164057578
58925,20467,0.075000988
58934,20543,0.338595681
58941,20213,0.155269116
58942,20213,0.60015414
58942,20272,0.130814007
58942,20364,0.001969117
58943,20213,0.017666578
58943,20364,0.028428819
58948,20364,0.018704411
58948,20202,0.019937774
58949,20364,0.000919199
58949,20202,0.018732868
58953,20159,0.03146674
58963,20059,0.024670743
58964,20059,0.009721768
58965,20059,0.058875921
58965,20263,1
58965,20291,0.004557783
58968,20533,0.613614909
58989,20410,0.009618178
58989,20428,0.092761644
58989,20428,0.034475677
58997,20008,0.100203751
58998,20008,0.06472437
59021,20248,0.014782772
59072,7097,0.097144534
59085,7107,0.071921725
59090,7107,0.038091198
59091,7107,0.033252508
59098,7107,0.00563645
59099,7020,0.003963418
59099,7107,0.052035809
59102,7020,0.034041593
59103,7020,0.008497104
